#漢字	音標	解釋
搶	tsʰiɔŋ31	搶
鵲	tsiɔk022	鵲
牆	tsʰiɔŋ12	牆
匠	tsʰiɔŋ31	匠
嚼	tsiɔk022	嚼
相	siɔŋ45	相
箱	siɔŋ45	箱
廂	siɔŋ45	廂
湘	siɔŋ45	湘
襄	siɔŋ45	襄
鑲	siɔŋ45	鑲
想	siɔŋ31	想
相	siɔŋ51	相
削	siɔk022	削
詳	tsʰiɔŋ12	詳
祥	tsʰiɔŋ12	祥
象	tsʰiɔŋ31	象
象	tsʰiɔŋ31	象
象	tsʰiɔŋ31	象
像	tsʰiɔŋ31	像
像	tsʰiɔŋ31	像
橡	tsʰiɔŋ31	橡
張	tsɔŋ45	張
長	tsʰɔŋ12	長
漲	tsɔŋ51	漲
帳	tsɔŋ51	帳
賬	tsɔŋ51	賬
脹	tsɔŋ51	脹
着	tsɔk022	着
暢	tsʰɔŋ51	暢
長	tsʰɔŋ12	長
腸	tsʰɔŋ12	腸
場	tsʰɔŋ12	場
丈	tsʰɔŋ31	丈
丈	tsʰɔŋ31	丈
仗	tsɔŋ51	仗
杖	tsʰɔŋ31	杖
着	tsʰɔk055	着
莊	tsɔŋ45	莊
裝	tsɔŋ45	裝
妝	tsɔŋ45	妝
壯	tsɔŋ51	壯
瘡	tsʰɔŋ45	瘡
闖	tsʰɔŋ31	闖
創	tsʰɔŋ51	創
牀	tsʰɔŋ12	牀
狀	tsʰɔŋ31	狀
霜	sɔŋ45	霜
爽	sɔŋ31	爽
章	tsɔŋ45	章
樟	tsɔŋ45	樟
掌	tsɔŋ31	掌
障	tsɔŋ51	障
瘴	tsɔŋ51	瘴
酌	tsiɔk022	酌
昌	tsɔŋ45	昌
菖	tsɔŋ45	菖
廠	tsʰɔŋ31	廠
唱	tsʰɔŋ51	唱
倡	tsʰɔŋ45	倡
綽	tsʰiɔk022	綽
商	siɔŋ45	商
傷	sɔŋ45	傷
賞	sɔŋ31	賞
常	sɔŋ31	常
嘗	sɔŋ12	嘗
償	sɔŋ31	償
上	sɔŋ45	上
上	sɔŋ45	上
尙	sɔŋ31	尚
上	sɔŋ31	上
上	sɔŋ31	上
勺	sɔk055	勺
芍	tsiɔk034	芍
壤	iɔŋ12	壤
讓	ȵiɔŋ31	讓
若	iɔk055	若
弱	ȵiɔk055	弱
疆	kiɔŋ45	疆
僵	kiɔŋ45	僵
薑	kiɔŋ45	薑
姜	kiɔŋ45	姜
腳	kiɔk022	腳
強	kʰiɔŋ12	強
強	kʰiɔŋ12	強
卻	kʰiɔk022	卻
仰	nɔk055	仰
虐	ȵiɔk055	虐
香	hiɔŋ45	香
鄕	hiɔŋ45	鄉
享	hiɔŋ31	享
響	hiɔŋ31	響
向	hiɔŋ51	向
央	iɔŋ45	央
央	iɔŋ45	央
秧	iɔŋ45	秧
殃	iɔŋ45	殃
約	iɔk055	約
羊	iɔŋ12	羊
洋	iɔŋ12	洋
楊	iɔŋ12	楊
陽	iɔŋ12	陽
揚	iɔŋ12	揚
瘍	iɔŋ12	瘍
養	iɔŋ45	養
癢	iɔŋ45	癢
樣	iɔŋ31	樣
樣	iɔŋ31	樣
藥	iɔk055	藥
躍	iɔk055	躍
光	kuɔŋ45	光
廣	kuɔŋ31	廣
桄	kuɔŋ45	桄
郭	kɔk022	郭
曠	kɔŋ51	曠
廓	kɔk022	廓
擴	kʰɔŋ51	擴
荒	fɔŋ45	荒
慌	fɔŋ45	慌
謊	fɔŋ45	謊
霍	fɔk022	霍
藿	fɔk022	藿
黃	uɔŋ12	黃
簧	uɔŋ12	簧
皇	uɔŋ12	皇
蝗	uɔŋ12	蝗
凰	uɔŋ12	凰
晃	fɔŋ12	晃
晃	fɔŋ12	晃
鑊	uɔk055	鑊
汪	uɔŋ45	汪
方	fɔŋ45	方
肪	fɔŋ45	肪
倣	fɔŋ12	倣
放	fɔŋ51	放
嗽	sɛi51	嗽
勾	ŋɛi45	勾
鉤	ŋɛi45	鉤
溝	kʰɛi45	溝
狗	kɛi31	狗
苟	kɛi31	苟
夠	kɛi51	夠
垢	kʰɛi45	垢
構	kʰɛi51	構
購	kʰɛi51	購
勾	ŋɛi45	勾
摳	wak022	摳
口	hɛi31	口
口	hɛi31	口
叩	kʰau51	叩
扣	kʰɛi51	扣
寇	kʰau51	寇
藕	ŋɛi31	藕
偶	ŋɛi12	偶
羞	tsʰiu31	羞
秀	siu51	秀
繡	siu51	繡
宿	sok022	宿
銹	siu51	銹
囚	tsʰiu12	囚
袖	tsʰiu31	袖
肘	tsʰiu31	肘
晝	tou51	晝
抽	tsʰiu45	抽
丑	tsʰiu31	丑
綢	tsʰiu12	綢
稠	tsʰiu12	稠
籌	tsʰiu12	籌
宙	tsou31	宙
鄒	tsɛi45	鄒
皺	tsiu51	皺
縐	tsiu51	縐
愁	tsʰiu12	愁
驟	tsau31	驟
搜	sau12	搜
餿	sau51	餿
蒐	sau12	蒐
瘦	sɛi51	瘦
周	tsiu45	周
舟	tsiu45	舟
州	tsiu45	州
洲	tsiu45	洲
咒	tsiu51	咒
醜	tsʰiu31	醜
醜	tsʰiu31	醜
臭	tsʰiu51	臭
收	siu45	收
手	siu31	手
首	siu31	首
守	siu31	守
獸	tsʰiu51	獸
仇	tsʰiu12	仇
酬	tsʰiu31	酬
受	siu31	受
壽	siu31	壽
授	siu31	授
幽	iu45	幽
幼	iu51	幼
耽	tam45	耽
答	tap022	答
搭	tap022	搭
貪	tʰam45	貪
探	tʰam51	探
踏	tʰaʔ055	踏
潭	tʰam12	潭
譚	tʰam24	譚
沓	tʰaʔ055	沓
南	nam12	南
男	nam12	男
納	nap055	納
拉	lai45	拉
參	tsʰam45	參
慘	tsʰam31	慘
蠶	tsʰam12	蠶
雜	tsʰak055	雜
感	kam31	感
蛤	ha45	蛤
鴿	kap022	鴿
堪	sim31	堪
坎	kam51	坎
砍	tsam31	砍
勘	tʰam51	勘
含	ham12	含
含	ham12	含
函	ham12	函
撼	həm31	撼
憾	həm31	憾
合	hak055	合
合	hak055	合
盒	hak055	盒
庵	am45	庵
揞	am45	揞
揞	am45	揞
暗	am51	暗
擔	tam45	擔
擔	tam45	擔
膽	tam31	膽
擔	tam45	擔
坍	tʰap022	坍
戰	tsan51	戰
折	tsap022	折
浙	tsiɛt022	浙
舌	siɛt022	舌
搧	san51	搧
扇	san51	扇
設	tsʰiɛt022	設
蟬	siɛn31	蟬
善	siɛn31	善
膳	siɛn31	膳
單	tan45	單
禪	siɛn31	禪
折	tsap022	折
然	iɛn12	然
燃	iɛn12	燃
熱	ȵiɛt055	熱
遣	hiɛn12	遣
乾	kʰiɛn12	乾
虔	kʰiɛn12	虔
件	kʰiɛn31	件
傑	kʰiɛt055	傑
諺	iɛn12	諺
孽	niɛp022	孽
延	iɛn12	延
演	hiɛn31	演
建	kiɛn51	建
揭	kʰiɛt022	揭
揭	kʰiɛt022	揭
鍵	kʰiɛn31	鍵
腱	kʰiɛn31	腱
言	iɛn12	言
軒	hiɛn45	軒
掀	hiɛn45	掀
掀	kʰiɛt022	掀
憲	hiɛn51	憲
獻	hiɛn51	獻
蠍	kʰyɛt022	蠍
堰	ȵiɛn51	堰
邊	piɛn45	邊
蝙	piɛn31	蝙
扁	piɛn31	扁
匾	piɛn31	匾
遍	pʰiɛn51	遍
片	pʰiɛn51	片
撇	pʰiɛt022	撇
蹩	pɛi45	蹩
眠	miɛn31	眠
麵	miɛn31	麵
顚	tiɛn45	顛
典	tiɛn31	典
天	tʰiɛn45	天
鐵	tʰiɛt022	鐵
田	tʰiɛn12	田
塡	tʰiɛn12	填
電	tʰiɛn31	電
殿	tiɛn31	殿
奠	tiɛn31	奠
墊	tiɛn51	墊
年	ȵiɛn12	年
撚	niɛm31	撚
捏	niɛp022	捏
憐	liɛn12	憐
憐	liɛn12	憐
蓮	liɛn12	蓮
練	liɛn31	練
鍊	liɛn31	鍊
链	liɛn31	链
薦	tsan51	薦
節	tsiɛt022	節
千	tsʰiɛn45	千
切	tsʰiɛt022	切
前	tsʰiɛn12	前
截	tsiɛt022	截
先	siɛn45	先
屑	siɛu45	屑
肩	kiɛn45	肩
堅	kiɛn45	堅
繭	kan31	繭
見	kiɛn51	見
結	kiɛt022	結
結	kat022	結
潔	kiɛt022	潔
牽	hiɛn45	牽
硏	iɛn12	研
硯	hiɛn12	硯
顯	hiɛn31	顯
賢	hiɛn12	賢
弦	iɛn12	弦
現	hiɛn31	現
煙	iɛn45	煙
燕	iɛn51	燕
燕	iɛn51	燕
嚥	iɛn45	嚥
宴	iɛn51	宴
般	pan45	般
搬	pan45	搬
半	pan51	半
絆	pʰan12	绊
鉢	pat022	鉢
撥	pat022	撥
潘	pʰan45	潘
拚	pʰen51	拚
判	pʰan51	判
潑	pʰat022	潑
盤	pʰan12	盤
伴	pʰan12	伴
伴	pʰan12	伴
拌	pʰan12	拌
叛	pʰan51	叛
瞞	man45	瞞
饅	man31	饅
鰻	man31	鰻
滿	man45	滿
漫	man31	漫
末	mat055	末
沫	mat055	沫
抹	mat022	抹
端	tɔn45	端
短	tɔn31	短
斷	tʰɔn45	斷
鍛	tɔn51	鍛
脫	tʰɔt022	脫
算	sɔn51	算
蒜	sɔn51	蒜
官	kɔn45	官
棺	kɔn45	棺
觀	kɔn45	觀
冠	kɔn51	冠
管	kɔn31	管
館	kɔn31	館
貫	kuan51	貫
灌	kɔn51	灌
罐	kɔn51	罐
觀	kɔn45	觀
冠	kɔn51	冠
括	kʰyɛt022	括
寬	kʰɔn45	寬
款	fɔn31	款
闊	kʰuat022	闊
玩	uan12	玩
歡	fɔn45	歡
喚	uɔn31	喚
煥	uɔn31	煥
完	iɛn12	完
完	iɛn12	完
丸	iɛn12	丸
緩	uɔn31	緩
磚	tsɔn45	磚
川	tsʰɔn45	川
穿	tsʰɔn45	穿
喘	tsʰɔn12	喘
串	tsʰɔn51	串
船	sɔn12	船
說	sɔt022	說
軟	ȵɔn45	軟
捲	kyɛn31	捲
眷	kyɛn51	眷
卷	kyɛn31	卷
絹	kyɛn45	絹
圈	hyɛn45	圈
拳	kʰyɛn12	拳
權	kʰyɛn12	權
倦	kyɛn31	倦
圓	iɛn12	圓
員	iɛn12	員
院	iɛn12	院
緣	iɛn12	緣
沿	iɛn12	沿
鉛	iɛn12	鉛
捐	kyɛn45	捐
悅	iɛt055	悦
閱	iɛt055	閱
藩	fan45	藩
反	fan31	反
販	fan51	販
髮	fat022	髮
發	fat022	發
發	fat022	發
翻	fan45	翻
翻	fan45	翻
番	fan45	番
番	fan45	番
番	pʰan45	番
煩	fan12	煩
礬	fan12	礬
繁	fan31	繁
飯	fan31	飯
飯	fan31	飯
伐	fɐt022	伐
筏	fɐt022	筏
罰	fat055	罰
恨	hɐn31	恨
恩	in45	恩
彬	pen45	彬
賓	pen45	賓
檳	pen45	檳
濱	pen45	滨
殯	pen51	殯
鬢	pen51	鬢
筆	pet022	筆
畢	pet022	畢
必	pit055	必
逞	tsʰeŋ31	逞
呈	tsʰen31	呈
程	tsʰen12	程
程	tsʰen12	程
鄭	tsen31	鄭
獄	ȵiok022	獄
胸	hoŋ45	胸
凶	hoŋ45	凶
兇	hoŋ45	兇
雍	ȵioŋ45	雍
擁	ioŋ12	擁
容	ioŋ12	容
蓉	ioŋ12	蓉
鎔	ioŋ12	鎔
庸	ioŋ12	庸
勇	ioŋ12	勇
湧	ioŋ12	湧
用	ioŋ31	用
用	ioŋ31	用
欲	iok022	欲
慾	iok022	慾
浴	iok022	浴
浴	iok022	浴
屙	ou45	屙
播	pou51	播
畲	sa12	畲
墅	søy31	墅
沸	fət055	沸
竂	liɛu12	竂
煞	sat034	煞
健	kʰiɛn31	健
癲	tiɛn45	癫
逩	pɐn45	逩
詢	sen45	詢
圳	tsøn51	圳
踭	tsɐŋ45	踭
坼	tsʰɐk022	坼
戟	ket022	戟
崠	tsiɛk022	崠
嫲	ma12	嫲
脢	mɔi12	脢
髀	pi31	髀
褸	lɛi45	褛
竇	tɛi51	窦
腩	nam45	腩
腍	nɐm12	腍
桁	hɐŋ12	桁
斫	tsam31	斫
簕	lɐt055	簕
罌	ɐŋ45	罌
腈	tsʰiɛŋ31	腈
擗	piɛk022	擗
壢	liɛk055	壢
瀝	let055	瀝
焗	kok055	焗
摝	lok055	摝
熝	lok055	熝
唔	ŋ12	唔
啱	ŋam45	啱
嫽	liɛu12	嫽
噍	tsʰiɛu31	噍
浼	kʰai12	浼
縈	iɛŋ45	萦
罅	la51	罅
糝	sam31	糁
跔	kʰiɛu45	跔
癐	kʰɛi31	癐
窿	loŋ45	窿
窿	toŋ31	窿
餸	soŋ51	餸
轆	lok055	轆
掟	tiu45	掟
靚	liɛŋ51	靓
呃	ŋɐk055	呃
搵	uen12	揾
奀	ŋɐn45	奀
諗	nɐm31	諗
梘	kan31	梘
慳	han45	慳
踎	mɛi45	踎
孖	mɛ45	孖
嘢	ja45	嘢
咪	mei45	咪
攞	lou45	攞
煲	pou45	煲
蠔	hou31	蠔
睇	tʰei31	睇
冚	kʰɛm31	冚
瓦	ŋa12	瓦数
拘	kʰy45	又读
紫	tsu31	紫苏
美	mi45	美国
司	su45	司机
寺	tsʰu12	又音
飼	tsʰu12	饲料
開聘公	pʰen31	人名
精(白)	tsiaŋ45	精(白)
省府	sɛŋ31	省府
正日	tseŋ31	正日
兩棟	tɔŋ31	两栋
廈	ha31	厦门
廈2	ha31	厦门
母	mu45	母
拇	mu45	拇
戊	mu51	戊
茂	mɛi51	茂
貿	mɛi31	貿
兜	tɛi45	兜
斗	tɛi31	斗
鬥	tɛi51	鬥
偸	tʰɛi45	偷
㪗	tʰɛi31	敨
透	tʰɛi51	透
頭	tʰɛi12	頭
投	tʰɛi12	投
豆	tʰɛi31	豆
逗	tʰɛi31	逗
逗	tʰɛi31	逗
樓	lɛi12	樓
簍	liɛu45	簍
摟	lɛi45	摟
漏	lɛi31	漏
走	tsɛi31	走
奏	tsau51	奏
湊	tsau51	湊
團	tʰɔn12	團
糰	tʰɔn12	糰
皖	uan45	皖
換	uɔn31	換
換	uɔn31	換
換	uɔn31	換
活	uat055	活
豌	uɔn31	豌
碗	uɔn31	碗
腕	uɔn31	腕
頑	ŋan31	頑
幻	uan12	幻
滑	uat055	滑
猾	uat055	猾
挖	uat022	挖
挖	uat022	挖
篡	san45	篡
閂	san45	閂
刷	tsʰat022	刷
關	kuan45	關
慣	kuan51	慣
刮	kuat022	刮
還	uan12	還
還	uan12	還
還	uan12	還
環	uan12	環
患	uan12	患
彎	uan45	彎
灣	uan45	灣
戀	lyn12	戀
劣	lɔt055	劣
全	tsʰyɛn12	全
泉	tsʰan12	泉
絕	tsʰyɛt055	絕
宣	syɛn45	宣
選	syɛn31	選
雪	syɛt022	雪
旋	sɔn12	旋
轉	tsɔn31	轉
轉	tsɔn31	轉
傳	tsʰɔn12	傳
傳	tsɔn31	傳
專	tsɔn45	專
晚	man12	晚
挽	uan12	挽
萬	man31	萬
蔓	man31	蔓
襪	mat022	襪
蕨	kʰøt022	蕨
勸	høn51	勸
券	køn51	券
掘	kuɐt022	掘
元	iɛn12	元
元	iɛn12	元
原	iɛn12	原
源	iɛn12	源
阮	yn12	阮
願	iɛn31	願
月	ȵat055	月
喧	syɛn45	喧
冤	iɛn45	冤
怨	iɛn51	怨
袁	iɛn12	袁
轅	iɛn12	轅
園	iɛn12	園
援	uɔn31	援
遠	iɛn31	遠
越	iɛt055	越
曰	ȵit022	曰
粵	iɛt055	粵
決	kʰøt022	決
訣	kʰøt022	訣
犬	høn51	犬
缺	kʰøt022	缺
血	hiɛt022	血
玄	iɛn12	玄
懸	iɛn12	懸
縣	iɛn31	縣
匹	pʰet022	匹
貧	pʰen12	貧
頻	pʰen12	頻
閩	mɐn12	閩
民	men12	民
敏	mɐn12	敏
密	mɐt055	密
蜜	mɐt055	蜜
鄰	len31	鄰
鱗	liɛn12	鱗
燐	len12	燐
栗	sok022	栗
津	tsiən45	津
儘	tsʰiən31	儘
進	tsiən51	進
晉	tsiən51	晉
親	tsʰiən45	親
親	tsʰiən45	親
七	tsʰiət022	七
漆	tsʰiət022	漆
秦	tsʰiən12	秦
盡	tsʰiən31	盡
疾	tsɐt022	疾
辛	siən45	辛
新	siən45	新
新	siən45	新
薪	siən45	薪
信	siən51	信
訊	siən51	訊
悉	siət022	悉
正	tsiɛŋ45	正
征	tsen45	征
整	tsen31	整
整	tsen31	整
正	tsen51	正
正	tsen51	正
政	tsen51	政
隻	tsak022	隻
炙	tsak022	炙
赤	tsʰiɛk022	赤
斥	tsʰek055	斥
尺	tsʰak022	尺
射	sa31	射
聲	sen45	聲
聖	sen51	聖
適	set022	適
釋	set022	釋
成	sɐŋ12	成
成	sɐŋ12	成
眩	iɛn12	眩
穴	iɛt055	穴
淵	iɛn45	淵
吞	tʰøn45	吞
跟	kɐn45	跟
根	kɐn45	根
懇	hɐn12	懇
墾	hɐn31	墾
齦	ŋɐn12	齦
很	hɐn12	很
斷	tʰɔn45	斷
斷	tʰɔn45	斷
段	tʰɔn31	段
緞	tʰɔn31	緞
奪	tʰɔt022	奪
暖	nɔn24	暖
卵	lyn12	卵
亂	lɔn31	亂
捋	lɔt055	捋
鑽	tsɔn51	鑽
攢	tsan51	攒
鑽	tsɔn51	鑽
撮	tsɔt022	撮
撮	tsɔt022	撮
酸	sɔn45	酸
成	sɐŋ12	成
城	sɐŋ12	城
誠	sɐŋ12	誠
盛	sen51	盛
石	sɐk055	石
頸	kiɛŋ31	頸
輕	hiɛŋ45	輕
輕	hiɛŋ45	輕
嬰	iən45	嬰
纓	iən45	纓
益	iət055	益
盈	iɛŋ12	盈
贏	iɛŋ12	贏
亦	iek022	亦
譯	iek022	譯
易	iek055	易
液	iet022	液
腋	iet022	腋
壁	piɛk022	壁
拼	pʰen45	拼
劈	pʰiɛk022	劈
霹	pʰiɛk034	霹
甁	pʰen12	瓶
屛	pʰen12	屏
萍	pʰeŋ31	萍
萍	pʰeŋ31	萍
並	pen51	並
銘	miɛŋ12	銘
覓	mek022	覓
丁	tɐn45	丁
釘	tiɛŋ45	釘
頂	tiɛŋ31	頂
頂	ten51	頂
鼎	ten31	鼎
釘	tiɛŋ45	釘
訂	tʰen31	訂
的	tek022	的
滴	tet022	滴
嫡	tek022	嫡
聽	tiɛŋ45	聽
廳	tʰiɛŋ45	廳
聽	tʰiɛŋ45	聽
踢	tʰiɛk022	踢
剔	tʰek022	剔
亭	tʰen12	亭
停	tʰen12	停
廷	tʰen12	廷
庭	tʰen12	庭
蜓	tʰen12	蜓
艇	tʰen12	艇
挺	tʰen12	挺
挺	tʰen12	挺
定	tʰen31	定
笛	tʰiɛk055	笛
敵	tʰet055	敵
糴	tʰiɛk055	糴
寧	nen31	寧
寧	nen31	寧
靈	len12	靈
零	liɛŋ12	零
鈴	len45	鈴
伶	len31	伶
伶	len12	伶
另	len31	另
歷	let055	歷
曆	let055	曆
績	tset022	績
靑	tsʰiɛŋ45	青
蜻	tsʰiɛŋ45	蜻
戚	tsʰet022	戚
寂	tsʰet055	寂
星	sen45	星
星	sen45	星
腥	siɛŋ45	腥
腥	siɛŋ45	腥
腥	siɛŋ45	腥
猩	sen45	猩
醒	siɛŋ31	醒
析	set022	析
析	set022	析
經	ken45	經
徑	ken51	徑
經	ken45	經
經	ken45	經
經	ken45	經
擊	ket022	擊
激	ket022	激
馨	hen45	馨
形	iɛŋ12	形
型	iɛŋ12	型
刑	iɛŋ12	刑
礦	kʰɔŋ51	礦
橫	uɐŋ12	橫
橫	uɐŋ12	橫
橫	uɐŋ12	橫
轟	kuɐŋ45	轟
宏	uɐŋ12	宏
獲	uɔk055	獲
獲	uɔk055	獲
劃	uak055	劃
兄	hoŋ45	兄
榮	uen31	榮
永	iøn31	永
泳	uen12	泳
詠	uen31	詠
傾	kʰen45	傾
頃	kʰen45	頃
瓊	kʰen12	瓊
椶	tsoŋ45	椶
鬃	tsoŋ45	鬃
總	tsoŋ31	總
糉	tsoŋ51	糉
聰	tsʰoŋ45	聰
蔥	tsʰoŋ45	蔥
囪	tsʰoŋ45	囪
叢	tsʰoŋ12	叢
族	tsʰok055	族
送	soŋ51	送
速	tsʰok055	速
公	koŋ45	公
蚣	koŋ45	蚣
工	koŋ45	工
功	koŋ45	功
攻	koŋ45	攻
貢	koŋ51	貢
穀	kok022	穀
谷	kok022	谷
空	hoŋ45	空
空	hoŋ45	空
孔	hoŋ12	孔
控	hoŋ51	控
哭	hok055	哭
烘	kʰoŋ51	烘
紅	hoŋ12	紅
洪	hoŋ12	洪
鴻	hoŋ12	鴻
汞	koŋ51	汞
斛	kɔk022	斛
翁	ȵioŋ45	翁
甕	oŋ51	甕
屋	ok022	屋
冬	toŋ45	冬
督	tʰok055	督
統	tʰoŋ12	統
毒	tʰok055	毒
農	noŋ12	農
膿	noŋ12	膿
宗	tsoŋ45	宗
綜	tsoŋ45	綜
鬆	soŋ45	鬆
宋	soŋ51	宋
酷	kʰou51	酷
沃	iok055	沃
風	foŋ45	風
楓	foŋ45	楓
瘋	foŋ45	瘋
諷	foŋ51	諷
福	fok022	福
幅	fok055	幅
蝠	fok022	蝠
輻	fok022	辐
複	fok022	複
腹	fok022	腹
豐	foŋ45	豐
覆	fok022	覆
覆	fok022	覆
馮	foŋ12	馮
鳳	foŋ31	鳳
服	fok022	服
伏	fok022	伏
伏	fok022	伏
袱	fok022	袱
復	fok022	復
夢	moŋ31	夢
目	mok022	目
穆	mok022	穆
牧	mok022	牧
隆	loŋ12	隆
六	lok022	六
陸	lok022	陸
肅	sok022	肅
宿	sok022	宿
中	tsoŋ45	中
中	tsoŋ45	中
忠	tsoŋ45	忠
中	tsoŋ51	中
竹	tsok022	竹
築	tsok022	築
畜	tsʰok055	畜
蟲	tsʰoŋ12	蟲
仲	tsoŋ31	仲
逐	tsok022	逐
軸	tsʰok055	軸
崇	soŋ31	崇
營	iɛŋ12	營
營	iɛŋ12	營
穎	uen31	穎
疫	ik055	疫
役	ik055	役
螢	iɛm12	螢
卜	pok055	卜
卜	pʰiɛt055	卜
撲	pʰɔk022	撲
仆	pʰɔk022	仆
篷	pʰoŋ12	篷
蓬	pʰoŋ12	蓬
曝	pou31	曝
瀑	kok022	瀑
蒙	moŋ31	蒙
懵	moŋ31	懵
木	mok022	木
東	toŋ45	東
董	toŋ12	董
懂	toŋ12	懂
凍	toŋ51	凍
棟	toŋ51	棟
通	tʰoŋ45	通
桶	tʰoŋ31	桶
捅	tʰoŋ31	捅
痛	tʰoŋ51	痛
同	tʰoŋ12	同
銅	tʰoŋ12	銅
桐	tʰoŋ12	桐
筒	tʰoŋ12	筒
童	tʰoŋ12	童
動	tʰoŋ31	動
動	tʰoŋ31	動
洞	tʰoŋ31	洞
獨	tʰok055	獨
讀	tʰok055	讀
籠	loŋ45	籠
聾	loŋ45	聾
攏	loŋ12	攏
弄	loŋ12	弄
鹿	lok055	鹿
縮	sok022	縮
終	tsoŋ45	終
眾	tsoŋ51	眾
祝	tsok022	祝
粥	tsok022	粥
充	tsʰoŋ45	充
叔	sok022	叔
熟	sok055	熟
淑	sok022	淑
絨	ioŋ12	絨
肉	ȵiok022	肉
弓	koŋ45	弓
躬	koŋ45	躬
宮	koŋ45	宮
菊	kʰok022	菊
麴	kʰok022	麴
窮	kʰoŋ12	窮
畜	tsʰok055	畜
蓄	tsʰok055	蓄
郁	uet022	郁
熊	ioŋ12	熊
雄	hoŋ12	雄
融	ioŋ12	融
育	ȵiok022	育
封	foŋ45	封
峯	foŋ45	峰
蜂	foŋ45	蜂
鋒	foŋ45	鋒
捧	poŋ51	捧
逢	foŋ31	逢
逢	foŋ31	逢
縫	foŋ31	縫
奉	foŋ31	奉
俸	foŋ31	俸
縫	foŋ31	縫
濃	noŋ12	濃
濃	noŋ12	濃
龍	loŋ12	龍
壟	loŋ12	壟
綠	lok055	綠
錄	lok055	錄
蹤	tsoŋ45	蹤
縱	tsoŋ45	縱
足	tsok022	足
從	tsʰoŋ12	從
促	tsʰok055	促
從	tsʰoŋ12	從
慫	soŋ12	慫
粟	sok022	粟
松	tsʰoŋ12	松
誦	tsoŋ31	誦
頌	tsoŋ31	頌
訟	tsʰoŋ31	訟
俗	tsʰok055	俗
續	tsʰok055	續
寵	tsʰoŋ12	寵
重	tsʰoŋ31	重
重	tsʰoŋ31	重
重	tsʰoŋ31	重
鐘	tsoŋ45	鐘
盅	tsoŋ45	盅
種	tsoŋ31	種
種	tsoŋ51	種
腫	tsoŋ51	腫
燭	tsok022	燭
囑	tsok022	囑
衝	tsʰoŋ45	衝
觸	tsok022	觸
贖	sok022	贖
舂	tsoŋ45	舂
束	tsʰok055	束
蜀	sok022	蜀
屬	sok055	屬
茸	ioŋ12	茸
辱	iok022	辱
恭	koŋ45	恭
供	koŋ45	供
拱	koŋ31	拱
鞏	koŋ31	鞏
供	koŋ45	供
恐	hoŋ12	恐
曲	kʰok022	曲
共	kʰoŋ31	共
局	kʰok055	局
玉	ȵiok055	玉
