#漢字	音標	解釋
帶	tai51	帶
太	tʰai51	太
泰	tʰai51	泰
大	tʰai31	大
奈	nai31	奈
賴	lai31	賴
癩	la45	癩
蔡	tsʰɔi51	蔡
蓋	kɔi51	蓋
丐	kɔi51	丐
艾	ŋei51	艾
艾	ŋei51	艾
害	hɔi31	害
拜	pai51	拜
排	pʰai12	排
埋	mai31	埋
齋	tsai45	齋
豺	tsʰai12	豺
皆	kai45	皆
階	kai45	階
介	kai51	介
界	kai51	界
芥	kai51	芥
尬	kai51	尬
屆	kai51	屆
戒	kai51	戒
楷	kai13	楷
諧	hai12	諧
械	hai31	械
挨	ŋai31	挨
擺	pai31	擺
派	pʰai51	派
牌	pʰai12	牌
牌	pʰai12	牌
㵺	pʰai12	㵺
罷	pa31	罷
稗	pʰai31	稗
買	mai45	買
賣	mai31	賣
奶	nai45	奶
債	tsai51	債
差	tsʰai45	差
柴	tsʰai12	柴
篩	sei45	篩
灑	sa31	灑
佳	kai12	佳
街	kai45	街
解	kai31	解
解	kei51	解
懈	hai12	懈
涯	nai31	涯
崖	nai31	崖
捱	nai31	捱
鞋	hai12	鞋
解	kai31	解
蟹	hai12	蟹
矮	ei31	矮
敗	pʰai31	敗
邁	man31	邁
寨	tsʰai31	寨
蔽	pi51	蔽
弊	pei31	弊
幣	pʰi31	幣
斃	pei31	斃
例	lei31	例
厲	li31	厲
勵	lei31	勵
祭	tsei51	祭
際	tsei51	際
滯	tsei31	滞
制	tsei51	制
製	tsei51	製
世	sei51	世
世	sei51	世
勢	sei51	勢
誓	sei31	誓
逝	sei31	逝
藝	ŋei31	藝
蓖	pi45	蓖
閉	pi51	閉
批	pʰei45	批
批	pʰei45	批
陛	pi51	陛
迷	mi12	迷
米	mi31	米
謎	mei31	謎
低	tei45	低
堤	tʰi12	堤
底	tei31	底
抵	tei31	抵
抵	tei31	抵
帝	ti51	帝
梯	tʰei45	梯
蒂	ten51	蒂
體	tʰei12	體
替	tʰei51	替
剃	tʰei51	剃
題	tʰi12	題
提	tʰi12	提
蹄	tʰei12	蹄
啼	tʰei12	啼
弟	tʰi31	弟
弟	tʰi31	弟
第	tʰi31	第
遞	tei31	遞
泥	nei12	泥
犁	lei12	犁
黎	lei31	黎
禮	li45	禮
麗	lei31	麗
隸	tei31	隸
擠	tsei45	擠
濟	tsei51	濟
妻	tsʰei45	妻
砌	tsʰei51	砌
齊	tsʰei12	齊
齊	tsʰei12	齊
臍	tsʰi12	臍
劑	tsei45	劑
西	si45	西
犀	si45	犀
洗	sei31	洗
細	sei51	細
婿	sei51	婿
雞	kei45	雞
稽	kʰei45	稽
計	kei51	計
繼	kei51	繼
繫	kei45	繫
髻	ki51	髻
溪	kʰei45	溪
啟	kʰei12	啟
契	kʰei51	契
倪	ȵei31	倪
系	hai31	系
繫	hai31	繫
係	hai31	係
係	hei51	係
杯	pei45	杯
比	pi31	比
祕	pi51	祕
泌	pi51	泌
庇	pi51	庇
痹	pi51	痹
丕	pʰei45	丕
屁	pʰi51	屁
琵	pʰi45	琵
枇	pʰi45	枇
備	pʰi31	備
鼻	pʰi31	鼻
眉	mi12	眉
楣	tʰei12	楣
黴	mɔi12	黴
美	mei12	美
媚	mi12	媚
地	tʰi31	地
尼	nei12	尼
膩	nei31	膩
梨	li12	梨
履	ly45	履
利	li31	利
資	tsi45	資
姿	tsi45	姿
咨	tsi45	咨
姊	tʃu31	姊
次	tsi51	次
瓷	tʃu12	瓷
餈	tsʰi12	餈
自	tsʰu31	自
私	su45	私
死	si31	死
四	si51	四
肆	si51	肆
致	tʃy51	致
遲	tsʰi12	遲
稚	tsi31	稚
師	su45	師
獅	su45	獅
脂	tʃy45	脂
旨	tsi31	旨
指	tsi31	指
至	tsi51	至
示	si31	示
屍	si45	屍
屎	si31	屎
視	si31	視
二	ȵi31	二
貳	ȵi31	貳
飢	ki45	飢
肌	ki45	肌
几	ki45	几
器	hi51	器
棄	hi51	棄
伊	i45	伊
夷	ȵi12	夷
姨	i45	姨
肄	si51	肄
你	ȵi12	你
你	ȵi12	你
釐	li12	釐
狸	li12	狸
李	li31	李
里	li45	里
裏	ly31	裏
理	li45	理
鯉	li45	鯉
吏	su31	吏
滋	tsu45	滋
子	tsu31	子
梓	tsu31	梓
慈	tsʰu12	慈
磁	tsʰi12	磁
字	ʃu31	字
司	ʃu45	司
絲	ʃu45	絲
思	si45	思
伺	si45	伺
思	si12	思
辭	tsʰu12	辭
詞	tsʰi31	詞
祠	tsʰu12	祠
似	tsʰi51	似
輩	pei51	輩
背	pɔi51	背
胚	pʰei45	胚
坯	pei45	坯
配	pʰei51	配
培	pʰei12	培
陪	pʰɔi12	陪
賠	pʰɔi12	賠
倍	pʰei12	倍
佩	pʰei51	佩
背	pɔi51	背
焙	pʰɔi31	焙
梅	mɔi12	梅
枚	mei12	枚
媒	mɔi12	媒
煤	mɔi12	煤
玫	mei12	玫
每	mei45	每
莓	mɔi12	莓
妹	mɔi51	妹
堆	tui45	堆
對	tui51	對
碓	tɔi51	碓
推	tʰui45	推
腿	tʰui12	腿
退	tʰui51	退
退	tʰui51	退
隊	tui31	隊
內	nɔi31	內
雷	lui12	雷
催	tsʰui45	催
崔	tsʰui45	崔
摧	tsʰui45	摧
罪	tsʰui31	罪
罪	tsʰui31	罪
碎	sui51	碎
盔	kʰui45	盔
恢	fɔi45	恢
塊	kʰuai51	塊
桅	ȵei31	桅
灰	fɔi45	灰
廢	fei51	廢
肺	fei51	肺
吠	kʰɔŋ51	吠
穢	wei51	穢
圭	kui45	圭
閨	kuai12	閨
桂	kui51	桂
攜	kʰui12	攜
惠	wei31	惠
慧	wei51	慧
碑	pei45	碑
卑	pei12	卑
彼	pʰei12	彼
臂	pi51	臂
披	pʰei45	披
譬	pi31	譬
皮	pʰi12	皮
疲	pʰi12	疲
脾	pʰi12	脾
被	pʰi45	被
被	pi31	被
避	pʰi31	避
彌	ȵi12	彌
離	li12	離
籬	li12	籬
璃	li45	璃
荔	lei31	荔
紫	tsi31	紫
雌	tsʰi12	雌
此	tsʰi12	此
刺	tsʰi51	刺
斯	su45	斯
撕	si45	撕
賜	tsʰu51	賜
知	ti45	知
知	tsi45	知
知	ti45	知
蜘	tsi45	蜘
智	tsi51	智
池	tsʰi12	池
似	tsʰi51	似
巳	su31	巳
寺	tsʰi12	寺
飼	tsʰi12	飼
置	tsy51	置
癡	tsʰi45	癡
持	tsʰi12	持
痔	tsʰi31	痔
治	tsi31	治
廁	tsʰi51	廁
士	ʃu31	士
仕	ʃu31	仕
柿	pi45	柿
事	ʃu31	事
事	ʃu31	事
使	ʃu31	使
史	ʃu31	史
駛	ʃu31	駛
之	tsi45	之
芝	tsi45	芝
止	tsi31	止
趾	tsi31	趾
址	tsi31	址
志	tsi51	志
誌	tsi51	誌
痣	tsi51	痣
齒	tsʰi31	齒
詩	si45	詩
始	tsʰi12	始
試	si51	試
試	si51	試
時	si12	時
巿	si51	巿
侍	su31	侍
而	i31	而
耳	ȵi31	耳
基	ki45	基
箕	ki45	箕
己	ki31	己
紀	ki51	紀
記	ki51	記
欺	hi45	欺
起	hi31	起
杞	ki31	杞
其	kʰi12	其
棋	kʰi12	棋
期	kʰi12	期
旗	kʰi12	旗
忌	ki31	忌
疑	ȵy12	疑
嬉	hi45	嬉
煕	hei45	熙
喜	hi31	喜
嘻	hei45	嘻
醫	i45	醫
意	y51	意
怡	i31	怡
已	i12	已
以	i31	以
異	i12	異
幾	ki45	幾
機	ki45	機
饑	ki45	饑
幾	ki31	幾
幾	ki31	幾
旣	ki51	旣
豈	hei12	豈
氣	hi51	氣
汽	hi51	汽
祈	kʰi12	祈
毅	ȵei31	毅
希	hi45	希
稀	hi45	稀
衣	i45	衣
依	i45	依
累	løi31	累
累	løi31	累
嘴	tsɔi51	嘴
嘴	tsɔi51	嘴
髓	sui31	髓
隨	tsʰui12	隨
吹	tsʰui45	吹
炊	tsʰui45	炊
垂	sui31	垂
睡	sɔi31	睡
瑞	sui51	瑞
蕊	lui12	蕊
規	kʰui45	規
詭	kui31	詭
虧	kʰui12	虧
跪	kʰui31	跪
危	ȵei12	危
僞	ȵei51	僞
毀	wei12	毀
萎	ei31	萎
委	wei12	委
爲	wei31	為
爲	wei31	為
壘	lui12	壘
類	lui31	類
淚	lui31	淚
醉	tsui51	醉
翠	tsʰui51	翠
雖	sui45	雖
粹	sui51	粹
隧	sui31	隧
穗	sui31	穗
追	tsui45	追
追	tsui45	追
槌	tsʰui12	槌
錘	tsʰui12	錘
墜	tsui31	墜
衰	sui45	衰
衰	sui45	衰
摔	sɔk05	摔
帥	sɔi51	帥
錐	tsui45	錐
水	sui31	水
誰	sui31	誰
龜	kui45	龜
軌	kui31	軌
癸	kʰuei12	癸
愧	kʰuai31	愧
季	kui51	季
逵	kʰuei12	逵
葵	kʰuei12	葵
櫃	kʰuei31	櫃
位	wei31	位
維	wei12	維
惟	wei12	惟
遺	wei31	遺
唯	wei31	唯
非	fei45	非
飛	fei45	飛
飛	fei45	飛
匪	fei12	匪
痱	pei51	痱
妃	fei45	妃
費	fei51	費
肥	fei12	肥
翡	fei12	翡
微	mi12	微
尾	mei45	尾
未	mei31	未
味	mei31	味
歸	kui45	歸
鬼	kui31	鬼
貴	kui51	貴
魏	ŋei31	魏
揮	fei45	揮
輝	fei45	輝
徽	fei45	徽
威	wei45	威
畏	wei51	畏
慰	wei51	慰
違	wei12	違
圍	wei12	圍
偉	wei12	偉
葦	wei12	葦
緯	wei12	緯
胃	wei31	胃
謂	wei31	謂
彙	fei12	彙
褒	pou12	褒
保	pou31	保
堡	pou31	堡
寶	pou31	寶
報	pou51	報
袍	pau45	袍
抱	pʰou12	抱
暴	pou31	暴
毛	mou45	毛
冒	mou31	冒
帽	mou31	帽
刀	tou45	刀
叨	tu45	叨
禱	tou31	禱
島	tou31	島
倒	tou31	倒
到	tou51	到
倒	tou31	倒
滔	tʰou45	滔
討	tʰou12	討
套	tʰou51	套
桃	tʰou12	桃
逃	tʰou12	逃
淘	tʰou12	淘
陶	tʰou12	陶
萄	tʰou12	萄
濤	tʰou45	濤
道	tʰou31	道
稻	tou31	稻
盜	tou31	盜
導	tou31	導
腦	nou31	腦
惱	nou31	惱
惱	nou31	惱
勞	lou12	勞
撈	lau45	撈
撈	lau45	撈
