#漢字	音標	解釋
賠	pʰui42	赔：～钱
背	pui22	背：～书
梅	mui42	梅：～花
妹	mui35	妹：妹妹，姊～，老～
堆	tui51	堆：一～[量]，～放[动]
對	tui33	对：～错；成双成～
推	tʰui51	推：～荐，～动
退	tʰui33	退：后～，～步[文]
內	nɔi22	内：～行，～外
雷	lui42	雷：打～，～公；姓
雷	lœy42	雷：打～，～公；姓
催	ʦʰui51	催：～促，～眠
催	ʦʰœy51	催：～促，～眠
罪	ʦœy22	罪：得～，犯～[文]
罪	ʦɔi22	罪：得～，犯～[文]
碎	sui33	碎：～布，破～
塊	fai33	块：一～钱，～头
灰	wui51	灰：石～，～色
灰	fui51	灰：石～，～色
回	wui42	回：～想[文]
最	ʦy33	最：～好
最	ʦœy33	最：～好
外	ŋɔi22	外：～面
會	wui35	会：开～
會	wui13	会：～睡，～来
乖	kwai51	乖：小孩听话
怪	kwai33	怪：奇～
懷	wai42	怀：～疑
壞	wai22	坏：～人
拐	kwai35	拐：～卖，铁～李
掛	kwa33	挂：～起来，牵～，～钩
歪	wai51	歪：～风邪气
話	wa22	话：笑～，讲～[文，名]
話	wa22	话：说[白，动]
稅	sœy33	税：交～，～收
銳	jœy22	锐：尖～，～角
肺	fɐi33	肺：猪～
皮	pʰi42	皮：调～，～肤
此	ʦʰy35	此：到～为止
此	ʦʰi35	此：到～为止
知	ʦi51	知：通～，～道，无～[文]
知	ʦi51	知：知道，唔～[白]
池	ʦʰy42	池：水～
池	ʦʰi42	池：水～
紙	ʦi35	纸：白～
兒	ji42	儿：～童
騎	kʰɛ42	骑：～马
徛	kʰei13	徛：站立；（山）斜度高
儀	hi42	仪：礼～，～式
儀	ji42	仪：礼～，～式
蟻	∅ɐi13	蚁：蚂蚁，白～
義	ji22	义：情～，～气
戲	hi33	戏：做～
戲	hei33	戏：做～
椅	ji35	椅：椅子，藤～
易	hi22	易：容～
易	ji22	易：容～
鄙	pʰei35	鄙：差劲[白]
比	pi35	比：～较，对～
比	pei35	比：～较，对～
屁	pʰi33	屁：放～
屁	pʰei33	屁：放～
鼻	pi22	鼻：鼻子；鼻涕
鼻	pei22	鼻：鼻子；鼻涕
眉	mi42	眉：眉毛，画～
眉	mei42	眉：眉毛，画～
美	mi13	美：～丽，～化
地	ti22	地：土～
地	tei22	地：土～
膩	ni22	腻：油～，细～
膩	lei22	腻：油～，细～
資	ʦy51	资：～本
姊	ʦy35	姊：～妹
次	ʦʰy33	次：名～，～品
自	ʦy22	自：～私
四	si33	四：数字
師	sy51	师：老～，～父
指	tsi35	指：手～，～甲
屎	si35	屎：狗～
二	ji22	二：数字
姨	hi51	姨：大～，～丈
李	li13	李：姓；水果
李	li35	李：姓；水果
理	lei13	理：道～，～由
子	ʦy35	子：～孙；孔～
字	ʦy22	字：～典，文～
絲	sy51	丝：～绸
詞	ʦʰy42	词：歌～
寺	ʦy35	寺：～庙，灵光～
柿	sy35	柿：柿子，～饼
痣	ʦi33	痣：乌～
齒	ʦʰi35	齿：牙～
詩	si55	诗：～人
時	si42	时：～间，当～
耳	ji13	耳：耳朵，中～炎
基	ki51	基：～本，地～
基	kei51	基：～本，地～
記	ki33	记：笔～，～号
記	kei33	记：笔～，～号
起	hi35	起
喜	hi35	喜：～欢
醫	ji42	医：～生
意	ji22	意：～思
以	hi13	以：可～，～为
幾	ki35	几：～只
氣	hi33	气：～人，空～
希	hi51	希：～望
隨	ʦʰœy42	随：～时，～便
吹	ʦʰœy55	吹：～牛皮，～喇叭
跪	kwɐi22	跪：下～
危	ŋɐi42	危：～险，安～
委	wɐi35	委：～托，常～
類	lœy22	类：分～
追	ʦœy51	追：～求[文]
衰	sœy51	衰：～弱，～老[文]
水	sœy35	水：～果，～平
龜	kwɐi55	龟：乌～
葵	kʰwɐi42	葵：向日～，～花籽
櫃	kwɐi22	柜：～台
位	wɐi35	位：座～，～置
維	wɐi42	维：～生素，～持，纤～
飛	fi51	飞：～机；飞行
飛	fei51	飞：～机；飞行
費	fɐi33	费：～用，浪～
肥	pɐi42	肥：化～，～肉
肥	fei42	肥：化～，～肉
尾	mi13	尾：尾巴
尾	mei13	尾：尾巴
味	mi22	味：～道，～精
味	mei22	味：～道，～精
鬼	kwɐi35	鬼：鬼神
貴	kwɐi33	贵：～重
魏	ŋɐi22	魏：～国；姓
威	wɐi51	威：～风，～胁
畏	wɐi33	畏：不喜欢；怕，～热
偉	wɐi13	伟：～大
胃	wɐi22	胃：肠～
寶	pu35	宝：～贝
寶	pou35	宝：～贝
報	pu33	报：～告，日～
報	pou33	报：～告，日～
袍	pʰu42	袍：长～，袄～
袍	pʰou42	袍：长～，袄～
暴	pu22	暴：～雨，残～
暴	pou22	暴：～雨，残～
毛	mu	毛：～病，鸡～
毛	mou42	毛：～病，鸡～
帽	mu35	帽：草～
帽	mou35	帽：草～
刀	tou51	刀：菜～
到	tou33	到：～站
討	tʰou35	讨：～老婆，～厌
套	tʰou33	套：配～，～房
桃	hou42	桃：杨～，～花
桃	tʰou42	桃：杨～，～花
稻	tou22	稻：水～
導	tou22	导：领～，～师
惱	lou13	恼：烦～[文]
惱	lou13	恼：讨厌，不喜欢[白]
勞	lou42	劳：～动
老	lou13	老：～爷，～实
糟	ʦou51	糟：酒～，～糕
早	ʦou35	早：还～
竈	ʦou33	灶：～头，～神
草	ʦʰou35	草：青～，～稿
造	ʦou22	造：创～
臊	sou51	臊：臭～
掃	sou33	扫：～地[动]
嫂	sou35	嫂：大～
髙	kou51	高：姓；～低
稿	kou35	稿：草～，～纸
吿	kou33	告：报～，～状
考	hau35	考：～试，大～
靠	kʰau33	靠：依～，可～
熬	ŋou42	熬：～汤，～夜
好	hou35	好：～人
號	hou22	号：～码，口～[名]
包	pɛu55	包：钱～，～围
包	pɛu51	包：钱～，～围
飽	pɛu35	饱：食～（吃饱）
飽	pau35	饱：食～（吃饱）
爆	pɛu33	爆：～炸
爆	pau33	爆：～炸
炮	pʰau33	炮：枪～
跑	pʰau35	跑：～步
茅	mau42	茅：～庐
貓	mɛu55	猫：大～
貓	mau55	猫：大～
貌	mau22	貌：礼～
鬧	lau22	闹：～热，～事
罩	ʦau33	罩：灯～，床～
爪	ʦɛu35	爪：鸡～
爪	ʦau35	爪：鸡～
抄	ʦʰɛu51	抄：～书
抄	ʦʰau51	抄：～书
炒	ʦʰɛu35	炒：～股，～菜
炒	ʦʰau35	炒：～股，～菜
交	kɛu51	交：～通，～钱[文]
交	kau51	交：～通，～钱[文]
咬	ŋɛu13	咬：～人
咬	ŋau13	咬：～人
孝	hau33	孝：～顺
效	hau22	效：～果
標	piu51	标：～准，～志，招～
表	piu35	表：图～，～扬
票	pʰiu33	票：车～
苗	miu42	苗：鱼～，～族
秒	miu13	秒：～针
廟	miu22	庙：和尚～
療	liu42	疗：治～，～养
椒	ʦiu51	椒：胡～
消	siu51	消：～化
小	siu35	小：～姐，～人
笑	siu33	笑：～话，玩～
朝	ʦiu51	朝：～晨，三～
超	ʦʰiu51	超：～过
朝	ʦʰiu42	朝：～代
趙	ʦiu22	赵：姓
招	ʦiu51	招：～生
照	ʦiu33	照：～明，～顾
燒	siu51	烧：～水，发～
少	siu35	少：～数，多～
少	siu33	少：～年，～爷
饒	jiu42	饶：～命，求～
繞	jiu35	绕：围～，～线
嬌	kiu51	娇：～气，做～（撒娇）
橋	kʰiu42	桥：大～
轎	kʰiu35	轿：坐～，扛～
要	jiu33	要：～求
要	jiu33	要：重～
搖	jiu42	摇：动～，～篮
耀	jiu22	耀：～眼，荣～
鳥	liu13	鸟：花～市场[文]
鳥	liu13	鸟：～笼[白]
鳥	liu13	鸟：骂人话，交合[白]
吊	tiu33	吊：上～，～车
挑	hiu51	挑：～剔，～担
挑	tʰiu51	挑：～剔，～担
跳	hiu33	跳：～高，起～
跳	tʰiu33	跳：～高，起～
條	hiu42	条：～件，字～
條	tʰiu42	条：～件，字～
調	tiu22	调：音～
尿	niu22	尿：屙～
了	niu13	了：～结；明～，～解
料	niu35	料：肥～，材～
繳	kiu35	缴：～枪，～费
僥	hiu51	侥：～幸
叫	kiu33	叫：大～；小孩哭
竅	hiu33	窍：～门
曉	hiu35	晓：春～，～得
剖	fɐu35	剖：解～
畝	mɐu13	亩：一～田
母	mu13	母：父～
貿	mɐu22	贸：外～，～易
兜	tɐu51	兜：～风
斗	tɐu35	斗：十升为一斗
鬥	tɐu33	斗：～争，批～
偸	hɐu51	偷：小～
偸	tʰɐu51	偷：小～
透	hɐu33	透：～明
頭	hɐu42	头：开～
頭	tʰɐu42	头：开～
豆	tɐu35	豆：黄～
樓	lɐu35	楼：～下
漏	lɐu22	漏：～水，～斗
走	ʦɐu35	走：行走
奏	ʦɐu33	奏：节～
湊	ʦʰɐu33	凑：～数，～热闹
鉤	ɐu55	钩：鱼～
鉤	ŋɐu55	钩：鱼～
狗	kɐu35	狗
夠	kɐu33	够：足～
摳	ŋɐu51	抠：挖
摳	ɐu51	抠：挖
口	hɐu35	口：～头，开～
扣	kʰɐu33	扣：～钱，～压
藕	ɐu13	藕：～断丝连，莲～
藕	ŋɐu13	藕：～断丝连，莲～
喉	hɐu42	喉：～咙
後	hɐu22	后：～生，～来[文]
後	hɐu22	后：～日[白]
歐	ŋɐu51	欧：～洲；姓
嘔	ɐu35	呕：～吐
嘔	ŋɐu35	呕：～吐
漚	ɐu33	沤：久浸水中，～坏，～肥
漚	ŋɐu33	沤：久浸水中，～坏，～肥
否	fɐu35	否：是～，～定
富	fu33	富：丰～，～贵
謀	mɐu42	谋：计～，～财害命
紐	nɐu35	纽：纽扣；～约（地名）
劉	lɐu42	刘：姓
柳	lɐu13	柳：～树
酒	ʦɐu13	酒：～精
秋	ʦʰɐu51	秋：～天；～千
就	ʦɐu22	就：成～，～去
修	sɐu51	修：装～，～正
秀	sɐu33	秀：清～，～才
袖	ʦɐu22	袖：领～，衫～（衣袖）
晝	ʦɐu33	昼：上～，～夜
抽	ʦʰɐu51	抽：～出
綢	ʦʰɐu42	绸：～缎，丝～
宙	ʦɐu22	宙：宇～
鄒	ʦɐu51	邹：姓，～家华
皺	ʦɐu33	皱：～纹
愁	ʦʰɐu42	愁：～眉苦脸
搜	sɐu35	搜：～查
瘦	sɐu33	瘦：肥瘦
周	ʦɐu51	周：姓；～围，～年
醜	ʦʰɐu35	丑：不好看，出～
臭	ʦʰɐu33	臭：～味
收	sɐu51	收：丰～，～集
手	sɐu35	手：～脚，～段
