#漢字	音標	解釋
結	kɛt1	打～；织衣服[白]
洁	kiat1	～白，清～
牽	kʰian33	～牛花
硏	ŋan33	～究
硯	ian55	～台
顯	hian31	明～
賢	hian21	～惠，圣～
弦	hian21	琴～
現	hian55	～在，出～
烟	ian33	冒～
燕	ian55	姓；～京，～山（地名）
燕	ian55	燕子，～窝
咽	in33	～喉
宴	ian55	～会
般	pan33	～配，一～
搬	pan33	～运
半	pan55	一～，～日
絆	pʰan55	～脚石，～马索
鉢	pat1	花～（花盆），衣～
撥	pat1	～款
潘	pʰan33	姓
拼	pʰin33	～命
判	pʰan55	～断，审～
潑	pʰat1	～水；泼辣
盤	pʰan21	算～
伴	pʰan55	～随，伙～[文]
伴	pʰan55	做～，冇～[白]
拌	pʰan55	凉～，搅～
叛	pan31	～徒，背～
瞞	man21	隐～
饅	man21	～头
鰻	man55	～鱼
滿	man33	～意
漫	man55	～画，～长
末	mat5	～尾
沫	mat5	泡～
抹	mat1	～桌，～布
端	tɔn33	～正
短	tɔn31	长～
斷	tʰɔn55	判～，～案
鍛	tʰɔn55	～炼
掇	tɔt1	端东西，～菜
脫	tʰɔt1	～鞋，摆～
团	tʰɔn21	～结，～长
团	tʰɔn21	饭～，面～
斷	tʰɔn33	线断了[白]；～绝[文]
段	tʰɔn55	姓；阶～
緞	tʰɔn55	绸～
奪	tʰɔt5	～取
暖	nɔn21	冷～
鸞	lan21	～凤
卵	lɔn31	鸡～（鸡蛋），～生
亂	lɔn55	混～
捋	lɔt5	捋袖子，捋胡子
钻	tsɔn33	～孔，～山洞[动]
纂	tsʰɔn31	编～
攢	tsan55	积～
钻	tsɔn55	电～[名]
撮	tsɔt1	一～毛
酸	sɔn33	～甜
算	sɔn55	计～
蒜	sɔn55	大蒜，蒜头
官	kuɔn33	～司，当～
棺	kuɔn33	～材
觀	kuɔn33	参～，～音
冠	kuɔn55	衣～，鸡～花
管	kuɔn31	～理，气～
館	kuɔn31	图书～
貫	kuɔn55	一～，～彻
灌	kuɔn55	～溉
罐	kuɔn55	～头
觀	kuɔn55	道～
冠	kuɔn55	～军
括	kuat1	包～
寬	kʰɔn33	～松
款	kʰuan31	汇～，拨～
闊	fat1	开～
玩	ŋan55	～具，游～
歡	fɔn33	喜～，～喜
喚	fɔn55	呼～
煥	fɔn55	～然一新
豁	hɔt5	～免，～然开朗
桓	fan21	齐～公
完	van21	～全[文]
完	ian21	用～，食～[白]
丸	ian21	肉～，药～
緩	fɔn55	～慢，迟～
皖	van31	安徽简称，～南事变
換	vɔn55	交～[文]
換	vɔn55	～水[白]
換	fɔn55	金不换[白]
活	fat5	生～
豌	van33	～豆
碗	vɔn31	饭～
腕	vɔn31	手～
鰥	kuan33	～寡，～夫
頑	ŋan21	～固，～皮
幻	fam55	科～，～想
滑	vat5	地～，～稽
猾	vat5	狡～
挖	vat1	～掘[文]
挖	iat1	穵[白]
篡	tsʰɔn55	～位，～改
閂	tsʰɔn33	～门，门～
拴	tsʰɔn33	拴住（捆绑）
刷	sɔt1	～牙，牙～
關	kuan33	～门，海～
慣	kuan55	习～
刮	kuat1	～毛，搜～
还	fan21	～原[文]
还	van21	～钱[白]
还	han21	～有[白]
環	fan21	～境
患	fɔn55	～病，忧～
宦	fɔn55	～官
彎	van33	转～
灣	van33	台～，海～
戀	liɛn55	～爱
劣	lɔt1	～质，恶～
全	tsʰiɛn21	～部，安～
泉	tsʰan21	～水，喷～
絕	tsʰiɛt5	～对
宣	siɛn33	～布，～传
選	siɛn31	～择，挑～
雪	siɛt1	落～（下雪），～白
旋	siɛn21	～转
轉	tsɔn31	～学，～移，翻～
轉	tsɔn31	～圈
篆	tsʰɔn55	～体，～刻，～书
傳	tsʰɔn21	～达，流～
傳	tsʰɔn55	～记，自～
專	tsɔn33	～门，大～
磚	tsɔn33	～头
拙	tsɔt1	笨～
川	tsʰɔn33	四～
穿	tsʰɔn33	～堂风，揭～
喘	tsʰɔn31	哮～
串	tsʰɔn55	一～，～通
船	sɔn21	轮～
說	sɔt1	小～
軟	ŋiɔn33	～弱
卷	kian31	～起来[动]
眷	kian55	～属
卷	kian31	试～[名]
絹	kian33	绢
圈	kʰian33	圆～，～套
拳	kʰian21	～头
權	kʰian21	～利
倦	kʰian31	疲～
圓	ian21	团～
員	ian21	人～，～工
院	ian55	医～，～长
緣	ian21	～分
沿	ian21	边～，～江路
鉛	ian21	～笔，～球
捐	kian33	～钱
悅	iat5	愉～
閱	iat5	～读
藩	pʰan33	曾国～
反	fan31	～对，造～
販	fan55	～毒，小～，～卖
販	fan55	小～
发	fat1	头～
发	fat1	～展，～财[文]；～虫（长虫）[白]
翻	fan33	～书[文]
翻	pʰɔn33	翻转；呕吐[白]
番	fan33	三～两次；一～被；～禺
煩	fan21	麻～
礬	fam21	明～
繁	fan21	～华
飯	fan55	～店[文]
飯	fan55	食～（吃饭）[白]
伐	fat5	讨～，～木工人
筏	fat5	竹～（竹排）
罰	fat5	～款，惩～
晚	van31	～上，～稻
挽	van31	～留，手～手
万	van55	～一
蔓	man55	～延，瓜～
袜	mat1	鞋～
蕨	kiat1	植物，～根粉
勸	kʰian55	规～
券	kʰian55	国库～，证～
掘	kʰiut1	挖～
元	ŋian21	～旦[文]
元	ian21	一～钱[白]
原	ŋian21	～来，平～
源	ŋian21	～头，来～
阮	ŋiɔn33	姓，～玲玉
愿	ŋian55	～望
月	ŋiat5	三～
喧	siɛn33	～哗，～闹
冤	ian33	～枉
怨	ian55	～人，埋～
袁	ian21	姓，～世凯
轅	ian21	轩～
园	ian21	菜～，花～
援	ian21	～助，支～
遠	ian31	永～
越	iat5	～来～好
曰	iat5	子～
粵	iat5	～东
决	kiat1	～定
訣	kiat1	口～
犬	kʰian31	狂～病
缺	kʰiat1	～点
血	hiat1	流～
玄	hian21	～妙
懸	hian21	～挂，～崖
縣	ian55	～长
眩	hian21	晕眩，头～（头晕）
穴	hiat5	～位
淵	ian33	深～，～源
吞	tʰun33	～口水
跟	kɛn33	～从
根	kɛn33	～本，树～
懇	kʰɛn31	～求，诚～
垦	kʰɛn31	开～
齦	ŋiun21	牙～肉（牙龈）
痕	hɛn33	～迹
很	hɛn33	～大
恨	hɛn55	仇～
恩	ɛn33	～人
彬	pin33	文质～～；人名用字
賓	pin33	贵～
檳	pin33	～榔
濱	pin33	哈尔～（地名）
殯	pin33	～仪馆，出～
鬢	pin33	～角
筆	pit1	毛～，～记
畢	pit1	～业
必	pit1	～须
匹	pʰit1	～配
貧	pʰin21	扶～
頻	pʰin21	～繁
弼	pʰɛt1	～马温；任～时
閩	mɛn33	福建简称，～南
民	min21	人～，～族
憫	mɛn31	怜～
敏	mɛn31	灵～
密	mɛt5	秘～，～封
抿	min21	小口喝
蜜	mɛt5	～蜂
鄰	lin21	～居
鱗	lin33	鱼～
磷	lin21	～肥
吝	nin55	吝啬
栗	lit5	～子
津	tsin33	天～（地名）
尽	tsʰin55	～管，～早
進	tsin55	～步，前～
晉	tsin31	山西简称；魏～南北朝
親	tsʰin33	～生，父～
親	tsʰin33	～家
七	tsʰit1	数字
漆	tsʰit1	油～
秦	tsʰin21	姓；～国
尽	tsʰin55	～量，～力，～头
疾	tsʰit5	残～
辛	sin33	～苦
新	sin33	～旧
新	sim33	～妇
薪	sin33	～水
信	sin55	相～
訊	sin31	通～
悉	sit1	熟～
膝	tsʰit1	～头（膝盖）
珍	tsən33	～珠
鎭	tsən31	～长，～压
趁	tsʰən55	～机
陳	tsʰən21	姓；～列，～皮
塵	tsʰən21	灰～，～灰
陣	tsʰən55	～雨
侄	tsʰət5	～子
秩	tsət1	～序
臻	tsən33	聂荣～
襯	tsʰən55	～衫
虱	sɛt1	虱子，～嫲
眞	tsən33	认～，～假
診	tsən31	急～
疹	tsən31	麻～
振	tsən31	～动
震	tsən31	地～
質	tsət1	～量，品～
神	sən21	～仙，精～
實	sɛt5	老～，～在
身	sən33	～体，上～
申	sən33	～请；地支，申酉戌亥
伸	sən33	～展，延～[文]
伸	tsʰun33	～手[白]
娠	sən21	妊～反应
失	sət1	～去，丧～
室	sət1	教～，～内
辰	sən21	时～
晨	sən21	朝～
臣	sən21	大～
腎	sən55	～病
腎	kʰin33	鸡～（鸡肫）[白]
愼	səm31	谨～，～重
人	ŋin21	老～，～民
仁	in21	～义
忍	ŋiun33	～耐，～受
刃	ŋiun55	刀～
認	ŋin55	承～，～真
韌	ŋiun55	不易断，坚～[文]
韌	ŋiun55	不易断[白]
日	ŋit1	十～，～期
巾	kin33	围～
緊	kin31	～张
吉	kit1	～利
仅	kiun31	～～，不～
銀	ŋiun21	金～，～行
衅	hin55	挑～
因	in33	原～
姻	in33	婚～
印	in55	手～
乙	iat1	天干，甲乙丙丁
一	it1	数字
寅	i21	地支，子丑寅卯
引	in31	吸～
逸	it5	劳～结合
斤	kin33	～两
筋	kin33	牛～丸
謹	kiun31	～慎，严～
勁	kin55	有～，～敌
訖	ŋiat1	收～
乞	kʰɛt1	～食，～求
勤	kʰiun21	～劳
芹	kʰiun21	～菜
近	kʰiun55	最～，～来[文]
近	kʰiun33	远近[白]
欣	hiun33	～赏
殷	in33	姓；～勤
隱	in31	～形，～身
癮	in31	喜欢；烟～
奔	pun33	～跑，东～西走
本	pun31	～来，书～
不	put1	～过
噴	pʰun55	～水；～嚏
盆	pʰun21	面～（脸盆），～地
笨	pun55	～蛋[文]
笨	pʰun33	厚[白]
勃	pʰut5	勃，蓬～，生机～～
蓬～	pʰut5	勃，蓬～，生机～～
生机～～	pʰut5	勃，蓬～，生机～～
門	mun21	关～
悶	mun31	烦～，～热
沒	mut5	沉～，～有，出～
敦	tun33	～厚；伦～（地名）
墩	tun33	桥～
頓	tun31	停～，～脚
褪	tʰui55	～色
屯	tʰun21	～田
豚	tʰun21	海～
囤	tʰun21	～积
沌	tʰun21	混～
盾	tʰun31	矛～
鈍	tʰun55	迟～，～角
遁	tʰun31	逃～
凸	tʰut1	～起
突	tʰut1	～然
突	tʰut5	～出
嫩	nun55	不老
論	lun21	～语
仑	lun21	昆～
論	lun55	议～，～文
尊	tsun33	～重
卒	tsut1	兵～，小～
村	tsʰun33	～长
寸	tsʰun55	尺～
猝	tsʰui55	仓～，～死
存	sun21	～在，～折，储～
蹲	tun33	～马[扎马步]；蹲下[白]
孫	sun33	姓；子～
損	sun31	～坏
遜	sun55	～色，谦～
昆	kʰun33	～明，～虫
滾	kun31	～动；水开
棍	kun55	长～
骨	kut1	～头
坤	kʰun33	乾～
捆	kʰun31	～绑
困	kʰun55	～难
窟	kʰiut1	～窿[文]
窟	fut1	小坑[白]
昏	fun33	黄～
婚	fun33	结～
忽	fut1	～然
魂	fun21	灵～
渾	fun21	～浊[文]
渾	vun21	水浑[白]
混	fun55	～淆，相～
核	hɛt5	～心，～对[文]
核	fut5	龙眼～[白]
核	hak5	～卵（睾丸）[白]
溫	vun33	～度，～和
瘟	vun33	鸡～
穩	vun31	～定，求～
倫	lun21	～理，天～之乐
淪	lun21	沉～
輪	lun21	车～，～流
律	lit5	法～，～师
率	lit5	效～
遵	tsun33	～守
俊	tsun33	英～
笋	sun31	竹～
榫	sun31	～头（接合处）
迅	sin31	～速
戌	sut1	戊～变法
恤	sit1	体～，抚～
旬	sun21	上～
循	sun21	遵～，～环
巡	sun21	～逻，出～
殉	sun21	～职，～情
椿	tsʰun33	～树，香～
朮	sut5	白～（中药）
率	sut1	～领
蟀	sut1	蟋～
准	tsun31	瞄～，～则
准	tsun31	批～，～确
春	tsʰun33	立～
蠢	tsʰun31	～才
出	tsʰut1	～入，～发
唇	sun21	嘴～[文]
唇	sun21	嘴～[训，舷]
順	sun55	～利，～风
术	sut1	技～
述	sut1	叙～
舜	sun55	尧～
純	sun21	单～，～粹
醇	sun21	酒味～
潤	iun55	利～，～色
閏	iun55	～月
均	kiun33	平～，～匀
鈞	kiun33	千～一发
橘	kit1	橘子
菌	kʰiun33	细～
勻	iun21	均～
允	ŋiun33	～许
分	fun33	～数，区～[文]
分	pun33	给[白]
粉	fun31	～笔，面～[文]；～松[白]
糞	pun55	粪便
奋	fun31	～斗
芬	fun33	～芳
紛	fun33	纠～
佛	fut1	仿～
焚	fun21	～烧
墳	fun21	～墓，上～
憤	fun31	气～，～怒
忿	fun55	～～不平
份	fun55	～量
佛	fut5	拜～
文	vun21	～章，论～
紋	vun21	花～
蚊	mun33	～香
聞	vun21	新～
吻	vun31	接～
刎	vun31	自～
問	mun55	～题
物	vut5	～理[文]
勿	vut5	非礼～视
君	kiun33	～子
軍	kiun33	～队，参～
屈	kʰiut1	委～，～服；委屈，～气
羣	kʰiun21	～众
裙	kʰiun21	裙子
郡	kiun31	～主
掘	kʰiut1	挖～
倔	kʰiut1	～强
熏	hiun33	～陶，烟～人[文]
熏	hiun33	烟～人,～蚊[白]
勳	hiun33	～章
薰	hiun33	～衣草
葷	fun33	～素
訓	hiun55	教～，～人
熨	tʰɔŋ55	～斗[训]
云	iun21	古人～
云	iun21	乌～
韻	iun55	押～，～律
运	iun55	～气，好～
暈	fun33	～车，头～[训]
幫	pɔŋ33	～忙
榜	pɔŋ31	～样
謗	pɔŋ31	诽～
博	pɔk1	～士，广～
滂	pʰɔŋ21	～沱
泊	pʰak1	梁山～
旁	pʰɔŋ21	～边
螃	pʰɔŋ21	～蟹
傍	pʰɔŋ21	～晚
傍	pɔŋ31	～菜（以菜送饭）
薄	pʰɔk5	不厚，～弱
泊	pʰak1	停～，淡～
忙	mɔŋ21	农～，～碌
芒	mɔŋ21	～种[节气]
茫	mɔŋ21	白～～，～然
莽	vɔŋ31	鲁～
蟒	maŋ31	～蛇
莫	mɔk5	不要，～非
膜	mɔk1	薄～
幕	mɔk1	报～，～布
寞	mɔk1	寂～
摸	mou33	偷偷～～[文]
摸	mia33	～来～去[白]
當	tɔŋ33	～时，应～，～官
襠	tɔŋ55	裤～
襠	nɔŋ55	裤～[白]
党	tɔŋ31	入～，～员
擋	tɔŋ31	阻～，～风
當	tɔŋ55	～铺，恰～
檔	tɔŋ31	～案
湯	tʰɔŋ33	煮～；姓
倘	tʰɔŋ31	～使
躺	tʰɔŋ31	平～
燙	tʰɔŋ55	～手
趟	tʰɔŋ55	两～
托	tʰɔk1	～词，推～
托	tʰɔk1	手承物，～盘
堂	tʰɔŋ21	～兄，拜～，课～
棠	tʰɔŋ21	海～
螳	tʰɔŋ21	～螂
唐	tʰɔŋ21	～朝；姓
糖	tʰɔŋ21	白～
塘	tʰɔŋ21	鱼～
蕩	tʰɔŋ31	放～，扫～，～走（走失）
蕩	tʰɔŋ33	过水，～嘴，～碗[白]
鐸	tʰɔk5	人名用字，郑振～
度	tʰɔk5	思～
囊	nɔŋ21	背～
諾	nɔk1	承～，～言
郞	lɔŋ21	新～；姓，～平
廊	lɔŋ21	走～
狼	lɔŋ21	～狈，豺～
螂	lɔŋ21	螳～
朗	lɔŋ55	～诵，明～
浪	lɔŋ55	风～，～费
落	lɔk5	下落
烙	lɔk5	～印
駱	lɔk5	～驼
洛	lɔk5	～阳（地名）
絡	lɔk5	联～
樂	lɔk5	～观，快～
贓	tsɔŋ33	～款，贪～枉法
脏	tsɔŋ55	肮～
葬	tsɔŋ55	埋～，落～
作	tsɔk1	工～，种～
倉	tsʰɔŋ33	～库
蒼	tsʰɔŋ33	～白
錯	tsʰɔk1	～开，～杂
藏	tsʰɔŋ21	隐～
藏	tsʰɔŋ55	西～，～族
脏	tsɔŋ55	内～
鑿	tsʰɔk5	用凿子凿
昨	tsʰɔk5	昨天
桑	sɔŋ33	～叶
喪	sɔŋ55	婚～，～事
嗓	sɔŋ33	金～子
搡	sɔŋ33	推搡，玩耍
喪	sɔŋ31	～失
索	sɔk1	绳子，线～
岡	kɔŋ33	井～山（地名）
崗	kɔŋ33	站～，～位
剛	kɔŋ33	～才，～好
綱	kɔŋ33	～常，大～
鋼	kɔŋ55	炼～，～笔
缸	kɔŋ33	水～
杠	kɔŋ55	高低～
各	kɔk1	～人
閣	kɔk1	～楼；～下
擱	kɔk1	耽～
康	kʰɔŋ33	健～
糠	hɔŋ33	谷～
慷	kʰɔŋ33	～慨
抗	kʰɔŋ55	反～，～战
昂	ŋɔŋ33	～首挺胸，气～～
鄂	ŋɔk5	湖北简称
鱷	ŋɔk5	～鱼
行	hɔŋ21	银～
航	hɔŋ21	～行，～线
杭	hɔŋ21	～州
鶴	hɔk5	仙～
肮	ɔŋ33	～脏
恶	ɔk1	善～，～霸
娘	ŋiɔŋ21	姑～
釀	ŋiɔŋ55	～豆腐[训]
良	liɔŋ21	～好，优～
凉	liɔŋ21	天～
量	liɔŋ21	衡～，～尺寸
糧	liɔŋ21	～食
梁	liɔŋ21	姓；～山（地名）
粱	liɔŋ21	高～，黄～美梦
兩	liɔŋ31	～个
兩	liɔŋ33	半斤八～
亮	liɔŋ55	明～
諒	liɔŋ55	原～，～解
輛	liɔŋ21	车～，两～
量	liɔŋ55	数～
略	liɔk5	省～
掠	liɔk5	～夺
將	tsiɔŋ33	～来；～军
漿	tsiɔŋ33	豆～，～糊
蔣	tsiɔŋ31	姓，～介石
獎	tsiɔŋ31	～金，得～
槳	tsiɔŋ31	船～
醬	tsiɔŋ55	沙茶～，辣椒～
將	tsiɔŋ55	大～，～士
爵	tsiɔk1	官～，～位
雀	tsiɔk1	麻～，～斑
槍	tsʰiɔŋ33	手～
搶	tsʰiɔŋ31	～劫
鵲	siak1	喜～，鸦～
牆	siɔŋ21	～壁
匠	siɔŋ55	木～
嚼	tsiɔk1	咀～，～碎
相	siɔŋ33	互～，～打（打架）
箱	siɔŋ33	皮～
廂	siɔŋ33	～房，车～
湘	siɔŋ33	湖南简称，～江
襄	siɔŋ33	～阳（地名）
鑲	siɔŋ33	～牙
想	siɔŋ31	～法，思～
相	siɔŋ55	宰～，看～，～貌
削	siɔk1	～皮，剥～
詳	siɔŋ21	～细
祥	siɔŋ21	慈～，吉～
象	siɔŋ55	气～
象	siɔŋ55	大～
象	siɔŋ55	印～，想～
像	tsʰiɔŋ55	好～，相～
像	siɔŋ55	头～，～章
橡	siɔŋ55	～胶，～树
張	tsɔŋ33	紧～；姓；装东西
長	tsɔŋ31	生～，省～
漲	tsɔŋ55	～价，～潮
帳	tsɔŋ55	蚊～
賬	tsɔŋ55	算～，～簿
脹	tsɔŋ55	～肚，膨～
着	tsɔk1	～衫（穿衣服）
暢	tsʰɔŋ31	～快，通～
長	tsʰɔŋ21	～期，～短
腸	tsʰɔŋ21	猪～，～胃
場	tsʰɔŋ21	排～，～地
丈	tsʰɔŋ55	三丈
丈	tsʰɔŋ33	姑～
仗	tsɔŋ55	打～；炮～（鞭炮）
杖	tsʰɔŋ31	拐～
着	tsʰɔk5	～火
庄	tsɔŋ33	～园；姓
裝	tsɔŋ33	假～
妝	tsɔŋ33	化～
壯	tsɔŋ55	强～
瘡	tsʰɔŋ33	痔～
闖	tsʰɔŋ55	～祸，李～王
創	tsʰɔŋ31	开～，～造
牀	tsʰɔŋ21	眠～
狀	tsʰɔŋ55	告～，～元，～态
霜	sɔŋ33	落～，～降
孀	sɔŋ33	遗～
爽	sɔŋ31	～快，直～
章	tsɔŋ33	姓；文～
樟	tsɔŋ33	～脑丸；～木头（地名）
掌	tsɔŋ31	巴～，～握
障	tsɔŋ55	保～
瘴	tsɔŋ55	～气
嶂	tsɔŋ55	耸立如屏障的山峰
酌	tsɔk1	斟～，～情
昌	tsʰɔŋ33	～盛
菖	tsʰɔŋ33	～蒲
厂	tsʰɔŋ31	～长
唱	tsʰɔŋ55	～歌
倡	tsʰɔŋ33	提～
綽	sɔk1	～～有余，～号
商	sɔŋ33	～量，经～
傷	sɔŋ33	受～
賞	sɔŋ31	欣～，～金
餉	hiɔŋ31	军～
常	sɔŋ21	经～，～识；姓
尝	sɔŋ21	～试，品～
償	sɔŋ31	赔～
上	sɔŋ33	～山[动]
上	sɔŋ31	安上，～灯，～灯泡
尙	sɔŋ55	和～，高～
上	sɔŋ55	～背[方位]；～海（地名）
上	hɔŋ55	桌～，床～
勺	sɔk5	饭～
芍	sɔk1	～药；白～（中药）
瓤	nɔŋ21	瓜～
壤	iɔŋ55	土～
讓	ŋiɔŋ55	～位
若	iɔk5	～干，～无其事
弱	ŋiɔk5	～点
疆	kiɔŋ33	新～（地名）
僵	kiɔŋ33	冻～，～硬
姜	kiɔŋ33	～糖
繮	kiɔŋ33	～绳
姜	kiɔŋ33	姓，孟～女，～太公
脚	kiɔk1	赤～
强	kʰiɔŋ21	～大，坚～
强	kiɔŋ31	勉～
卻	kʰiɔk1	退～，～步
仰	ŋiɔŋ31	～视
虐	ŋiɔk1	～待
瘧	ŋiɔk1	～疾
香	hiɔŋ33	～味，烧～；～港（地名）
鄕	hiɔŋ33	家～
享	hiɔŋ31	～受，分～
響	hiɔŋ31	音～
向	hiɔŋ55	～东
央	iɔŋ33	中～台，党中～[文]
央	iɔŋ33	中～（中间）[白]
秧	iɔŋ33	插～，～苗
殃	iɔŋ33	遭～，～及
約	iɔk1	大～，～会
羊	iɔŋ21	羊
洋	iɔŋ21	太平～
楊	iɔŋ21	姓；～树
陽	iɔŋ21	太～；揭～（地名）
揚	iɔŋ21	表～，发～
瘍	iɔŋ21	溃～
養	iɔŋ33	培～，～猪
痒	iɔŋ33	皮肤痒
样	iɔŋ55	一～
样	iɔŋ55	～般
药	iɔk5	中～，～片
躍	iɔk1	跳～，大～进
光	kuɔŋ33	阳～，～明
广	kuɔŋ31	推～；～东（地名）
桄	kuaŋ33	桌椅等腿间的横木
郭	kuɔk1	姓，～靖
曠	kʰɔŋ31	空～，～课
廓	kʰɔk1	轮～
擴	kʰɔk1	～充，～大
荒	fɔŋ33	开～，～唐
慌	fɔŋ33	～张，心～
謊	fɔŋ33	说～
霍	vɔk1	姓；～乱
藿	vɔk1	～香（中药）
黃	vɔŋ21	姓；～色
簧	vɔŋ21	弹～
皇	fɔŋ21	～帝
蝗	fɔŋ21	～虫
凰	fɔŋ21	凤～
晃	fɔŋ31	摇～，～动，～光
鑊	vɔk5	锅
汪	vɔŋ33	姓，～洋
方	fɔŋ33	地～，大～
肪	fɔŋ21	脂～
仿	fɔŋ31	～效
放	fɔŋ55	解～，～心[文]
放	piɔŋ55	～手[白]
芳	fɔŋ33	～香
妨	fɔŋ21	～碍
紡	fɔŋ31	～织
仿	fɔŋ31	～照，相～
彷	fɔŋ31	～佛
訪	fɔŋ31	采～，～问
房	fɔŋ21	～间
房	pʰiɔŋ21	姓，～玄龄
防	fɔŋ21	～止，国～
亡	mɔŋ21	死～
芒	mɔŋ33	～果
芒	miɔŋ21	～花草（可制扫帚）
网	miɔŋ31	鱼～，～络
忘	vɔŋ55	～记，遗～[文]
忘	mɔŋ21	～记，遗～[白]
忘	mɔŋ55	添～（忘记）[白]
妄	vɔŋ31	狂～，痴心～想
望	mɔŋ55	失～
縛	pʰiɔk1	束～
鑺	kiɔk1	锄头，～锄，～头
匡	kʰiɔŋ33	～扶正义；赵～胤（人名）
筐	kʰiɔŋ33	箩～，两～[文]
筐	kʰiɔŋ33	两～[白]
眶	kʰiɔŋ33	眼眶
狂	kʰɔŋ21	发～
况	kʰɔŋ31	情～，～且
枉	vɔŋ31	冤～
王	vɔŋ21	姓；大～
往	vɔŋ33	来～，～日
旺	vɔŋ55	兴～
邦	pɔŋ33	～国；刘～（人名）
綁	pɔŋ31	捆～
剝	pɔk1	～削，～皮
駁	pɔk1	反～
胖	pʰaŋ55	～子，肥～
朴	pʰɔk1	～素
龐	pʰaŋ21	～大；姓，～太师
棒	puŋ31	棍～，～打鸳鸯
蚌	pʰɔŋ33	～埠（地名）
蚌	kʰɔŋ33	～壳
雹	pʰɔk5	冰～
樁	tsɔŋ33	打～
桌	tsɔk1	书～
卓	tsɔk1	～越；姓，～别林
琢	tɔk1	～磨，雕～
啄	tuk1	～木鸟，鸡～米
撞	tsʰɔŋ31	～人
濁	tsʰuk5	浑～
捉	tsɔk1	捕～，～棋（下棋）
窗	tsʰuŋ33	门～，～帘
鐲	tsuk1	手～
雙	suŋ33	一～鞋
朔	sɔk1	每月初一，～望
江	kɔŋ33	长～，～湖
扛	kɔŋ33	肩扛，双手抬
講	kɔŋ31	～话
港	kuɔŋ31	～口；香～（地名）
降	kɔŋ55	下～，～低
虹	fuŋ21	彩～
覺	kɔk1	～得，知～
角	kɔk1	牛～，～色
餃	kiau21	饺子，水～
腔	kʰiɔŋ33	口～
确	kʰɔk1	～定，的～
殼	hɔk1	贝～
岳	ŋɔk5	五～
岳	ŋɔk5	姓，～飞
樂	ŋɔk5	音～
降	hɔŋ21	投～
項	hɔŋ55	～链；姓，～羽
巷	hɔŋ55	巷子，两条～
學	hɔk5	数～，～习
握	vɔk1	～手，把～
崩	pɛn33	倒塌，山～，～溃
北	pɛt1	东南西北
朋	pʰɛn21	～友
墨	mɛt5	～水
默	mɛt5	沉～，～写
登	tɛn33	～山，攀～
灯	tɛn33	～光
等	tɛn31	～人，高～
凳	tɛn55	凳子
得	tɛt1	获～，～意
德	tɛt1	品～；～国（国名）
忒	tʰiɛt1	～好（太好）
騰	tʰɛn21	奔～
謄	tʰɛn21	～写，～抄
藤	tʰɛn21	～椅
疼	tʰuŋ55	疼痛
邓	tɛn55	姓，～小平
特	tʰit5	～别
能	nɛn21	才～，～够
肋	lit5	～骨
勒	lit5	～索
曾	tsɛn33	姓
增	tsɛn55	～加
憎	tsɛn55	～恨
則	tsɛt1	否～，规～
蹭	tsɛn33	磨～
曾	tsʰɛn21	～经
層	tsʰɛn21	～次
贈	tsɛn55	～送
賊	tsʰɛt5	做～
僧	sɛn33	唐～，沙～
僧	sɛn33	～人
塞	sɛt1	堵～，～车
肯	kʰɛn31	～定，中～
刻	kʰɛt1	时～ ，～画[文]
刻	kʰɛt1	～字[白]
克	kʰɛt1	～服，攻～
黑	hɛt1	～白
恆	hɛn21	～心，永～
冰	pɛn33	结～，～箱
凭	pʰin21	文～，～借[文]
凭	pɛn55	倚靠，～墙[白]
匿	nit5	～名信
陵	lin21	中山～
凌	lin21	冰淇～，壮志～云
菱	lin21	～角
力	lit5	大～，～量
即	tsit1	～时，立～
鯽	tsit1	～鱼
息	sit1	休～[文]
息	sɛt1	子息，孙～[白]
熄	sit1	～火
媳	sit1	～妇，婆～
征	tsən33	～求
澄	tsʰən21	～清[文]
澄	tsʰən21	水浑，澄一澄[白]
澄	tsʰən21	～海（地名）[白]
懲	tsʰən31	～罚，严～
橙	tsʰaŋ21	橙子
瞪	tɛn33	瞪眼，目～口呆[文]
瞪	taŋ33	瞪眼[白]
直	tsʰət5	～接
値	tsʰət5	价～，～日
側	tsɛt1	～面
測	tsʰɛt1	～量，观～
色	sɛt1	颜～，～彩
嗇	sit1	吝啬
蒸	tsən33	清～，～发
拯	tsən31	～救；包～（人名）
证	tsən55	～明
症	tsən55	～状
織	tsət1	纺～，～布
職	tsət1	～位，称～
稱	tsʰən55	～心如意，对～
稱	tsʰən33	～呼
秤	tsʰən55	用以称物，～砣
乘	sən55	～机，～车
乘	sən33	加减乘除
繩	sən21	～之以法
塍	sun21	田～
剩	sən55	～下，～余
食	sɛt5	粮～；吃
蝕	sat5	腐～
升	sən33	～级
胜	sən55	～任
胜	sən55	～利，战～
識	sət1	相～，～字
式	sət1	～样，公～
飾	sət1	装～
承	sən21	～担，继～
丞	sən21	～相
殖	tsʰət5	繁～
植	tsʰət5	～物
仍	in21	～然
凝	nɛn21	～聚，～结
凝	kʰɛn21	凝固，～油[训]
興	hin33	～旺；绍～（地名）
興	hin55	高～，～趣[文]
興	hin31	高兴[白]
應	in55	～当，～该
應	in55	～用，响～
鷹	in33	老～
憶	it1	回～
億	i55	十～
抑	it1	～制，压～
蠅	in21	乌～（苍蝇）
孕	in31	怀～，～妇
翼	it5	鸡～，机～
