#漢字	音標	解釋
霞	ha11	霞 朝霞
嚇	hak033	吓 恐吓
?	ha55	虾 虾腰
蝦	ha55	虾 虾蟆（蛤蟆）
雅	ŋa13	雅 典雅
蚜	ŋa11	蚜 蚜虫（生在豆类、棉花、稻等幼苗上）
芽	ŋa11	芽 豆芽
衙	ŋa11	衙 衙门
牙	ŋa11	牙 牙齿
價	ka33	价 价钱
嫁	ka33	嫁 出嫁
稼	ka33	稼 庄稼
架	ka33	架 衣架
駕	ka33	驾 驾驶
賈	ka35	賈 姓，贾宝玉
假	ka33	假 放假
傢	ka53	家 家具
假	ka35	假 真假
嘉	ka53	嘉 嘉宾
加	ka53	加 加工
痂	ka53	痂 结痂
家	ka53	家 成家，老家
灑	ʃa35	洒 洒水
廈	ha31	厦 大厦；厦门
砂	ʃa53	砂 朱砂；砂纸
痧	ʃa53	痧 刮痧；斑痧
紗	ʃa53	纱 纱布
沙	ʃa53	沙 沙漠
乍	tʃa33	乍 初来乍到
査	tʃʰa11	查 调查
岔	tʃʰa55	岔 三岔路口
差	tʃʰa53	差 差别
杈	tʃʰa55	杈 枝杈
叉	tʃʰa55	叉 叉腰
榨	tʃa33	榨 榨油
炸	tʃa33	炸 炸弹
渣	tʃa55	渣 药渣
詐	tʃa33	诈 诈骗
搽	tʃʰa31	搽 搽药
楂	tʃa53	楂 山楂
罵	ma31	骂 骂人
拿	la11	拿 拿手；推拿
茶	tʃʰa11	茶 茶叶
馬	ma13	马 骑马
碼	ma13	码 码头
媽	ma55	妈 妈妈
麻	ma11	麻 麻袋
痲	ma11	痲 麻疹
蟆	mɔk022	蟆 蛤蟆
杷	pʰa11	杷 枇杷
耙	pʰa11	耙 犁耙
琶	pʰa11	琶 琵琶
爬	pʰa11	爬 爬树
怕	pʰa33	怕 害怕
帕	pʰak033	帕 手帕
壩	pa33	坝 堤坝
爸	pa55	爸 爸爸
把	pa35	把 把握、一把
把	pa35	把 把柄
霸	pa33	霸 霸王
笆	pa55	笆 篱笆
吧	pa55	吧 酒吧
疤	pa55	疤 伤疤
芭	pa55	芭 芭蕉
靴	hœ53	靴 靴子
巴	pa55	巴 巴掌
萵	wɔ53	莴 莴笋
窩	wɔ55	窝 鸟窝
禍	wɔ31	祸 祸害
和	wɔ11	和 和诗，唱和
倭	wɔ53	倭 倭寇
和	wɔ11	和 和气
禾	wɔ11	禾 禾苗
伙	fɔ35	伙 伙食
夥	fɔ35	伙 伙计，合伙
貨	fɔ33	货 货物
臥	ŋɔ31	卧 卧室
火	fɔ35	火 火车
課	fɔ33	课 上课
訛	ŋɔ31	讹 讹诈
棵	pʰɔ53	棵 一棵
顆	lɔ35	颗 颗粒
餜	kɔ35	馃（粿） 炒粿条
過	kwɔ33	过 过去
科	fɔ53	科 文科
果	kɔ35	果 水果
裹	kɔ35	裹 包裹
戈	ŋɔ53	戈 大动干戈
鍋	wɔ53	锅 砂锅；锅铲
鎖	ʃɔ35	锁 门锁
瑣	ʃɔ35	琐 琐碎
梭	ʃɔ53	梭 织布梭
唆	ʃɔ53	唆 唆使
座	tʃɔ31	座 座位
蓑	ʃɔ53	蓑 蓑衣
銼	tʃʰɔ33	锉 锉刀
坐	tʃʰɔ13	坐 请坐
裸	lɔ35	裸 裸体
腡	lɔ35	腡 手指纹
囉	lɔ53	啰 啰嗦
螺	lɔ35	螺 田螺
墮	tɔ31	堕 堕胎
糯	lɔ31	糯 糯米
惰	tɔ31	惰 懒惰
橢	tʰɔ13	椭 椭圆
妥	tʰɔ13	妥 妥当
剁	tœk033	剁 剁猪肉
躲	tɔ35	躲 躲避
磨	mɔ11	磨 石磨（名）
朵	tœ35	朵 一朵花
磨	mɔ11	磨 磨刀（动）
摩	mɔ53	摩 摩托车
魔	mɔ53	魔 魔术
薄	pɔk022	薄 薄荷
婆	pʰɔ11	婆 外婆
破	pʰɔ33	破 破坏
玻	pɔ55	玻 玻璃
坡	pɔ53	坡 山坡
頗	pʰɔ35	颇 颇有心得
播	pɔ33	播 播种
簸	pɐi53	簸 簸箕
跛	pɐi53	跛 跛足
波	pɔ53	波 风波
菠	pɔ53	菠 菠菜
茄	kʰia11	茄 茄子
阿	ŋɔ53	阿 阿胶；阿弥陀佛
阿	a33	阿 阿哥（非亲属称呼）
賀	hɔ31	贺 祝贺
何	hɔ11	何 姓何
荷	hɔ11	荷 荷花
河	hɔ11	河 黄河
荷	hɔ11	荷 薄荷
餓	ŋɔ31	饿 肚子饿
我	ŋai13	我 我们
俄	ŋɔ11	俄 俄国
鵝	ŋɔ11	鹅 天鹅
蛾	ŋɔ11	蛾 飞蛾
可	hɔ35	可 可以
個	kai33	个 一个
哥	kɔ55	哥 哥哥
歌	kɔ55	歌 唱歌
搓	tʃʰai53	搓 搓手
佐	tʃɔ35	佐 辅佐
左	tʃɔ35	左 左右
籮	lɔ11	箩 箩筐
蘿	lɔ11	萝 萝卜
鑼	lɔ11	锣 锣鼓
羅	lɔ11	罗 姓
哪	la13	哪 哪里；哪吒
那	la13	那 那里；那霍（地名）
大	tai31	大 大夫、大黄
舵	tʰɔ31	舵 舵手
他	tʰa53	他 其他
駝	tʰɔ11	驼 骆驼
拖	tʰɔ53	拖 拖拉机
多	tɔ53	多 多少
鞋	hai11	鞋 布鞋
解	kai35	解 理解（知道，懂了）
蟹	hai13	蟹 螃蟹
矮	ŋɐi35	矮 高矮
隘	ŋai33	隘 狭隘
敗	pai31	败 失败
邁	mai31	迈 迈步
寨	tʃai31	寨 山寨
蔽	pɐi33	蔽 隐蔽
弊	pɐi31	弊 作弊
幣	pɐi31	币 人民币
斃	pɐi31	毙 枪毙
例	lɐi31	例 例子
厲	lei31	厉 厉害
勵	lɐi31	励 鼓励
祭	tʃɐi33	祭 祭祀
際	tʃɐi33	际 国际
滯	tʃɐi31	滯 停滞
制	tʃɐi33	制 制度
製	tʃɐi33	制 制造
世	ʃɐi33	世 世界
勢	ʃɐi33	势 势力
誓	ʃɐi31	誓 发誓
逝	ʃɐi31	逝 逝去，逝世
藝	ŋɐi31	艺 艺术
蓖	pei33	蓖 蓖麻
閉	pɐi33	闭 关闭
批	pʰei53	批 批评
陛	pɐi31	陛 陛下
迷	mɐi11	迷 迷路
米	mɐi13	米 大米
謎	mɐi11	谜 谜语
低	tɐi53	低 高低
堤	tʰɐi11	堤 河堤
底	tɐi35	底 水底
抵	tɐi35	抵 抵押
帝	tɐi33	帝 皇帝
蒂	tɐi33	蒂 瓜蒂，并蒂莲
梯	tʰɐi53	梯 楼梯
體	tʰɐi35	体 身体
替	tʰɐi33	替 代替
涕	tʰɐi33	涕 鼻涕
剃	tʰɐi33	剃 剃头
題	tʰɐi11	題 题目
提	tʰɐi11	提 提问
蹄	tʰɐi11	蹄 猪蹄
啼	tʰɐi11	啼 鸡啼
弟	tɐi31	弟 弟弟
第	tɐi31	第 第一
遞	tɐi31	递 传递
泥	lɐi11	泥 水泥
犁	lɐi11	犁 犁地
黎	lɐi11	黎 黎明；姓
禮	lɐi13	礼 礼貌
麗	lɐi31	丽 美丽
隸	tɐi31	隶 奴隶；隶属
莉	lei31	莉 茉莉
擠	tʃɐi53	挤 拥挤
濟	tʃɐi33	济 经济
妻	tʃʰɐi53	妻 妻子
砌	tʃʰi33	砌 砌墙
齊	tʃʰɐi11	齐 整齐
臍	tʃʰi13	脐 肚脐
劑	tʃɐi53	剂 药剂
西	ʃɐi53	西 东西南北
棲	tʃʰɐi53	栖 栖息，两栖
犀	ʃɐi53	犀 犀牛
洗	ʃɐi35	洗 洗衣服
細	ʃɐi33	细 粗细；大细
婿	ʃɐi33	婿 女婿
雞	kɐi53	鸡 公鸡
稽	kʰɐi53	稽 稽查
計	kɐi33	计 会计
繼	kɐi33	继 继续
繫	hɐi31	系 联系
髻	kɐi11	髻 发髻
溪	kʰɐi53	溪 小溪
啓	kʰɐi35	启 启发
契	kʰɐi33	契 地契
倪	ŋɐi31	倪 姓
系	hɐi31	系 系统；中文系
繫	hɐi31	系 系鞋带
係	hɐi31	系 是
杯	pui53	杯 茶杯
輩	pui33	辈 长辈
背	pui33	背 背书
胚	pʰei53	胚 胚胎
坯	pʰei53	坯 毛坯
配	pʰui33	配 分配
培	pʰui11	培 培训
陪	pʰui11	陪 陪伴
賠	pʰui11	赔 赔钱
裴	pʰui11	裴 姓
倍	pʰui13	倍 倍数
佩	pʰui33	佩 佩服
背	pui33	背 后背
焙	pui31	焙 焙干
梅	mui11	梅 梅花
枚	mui11	枚 一枚
媒	mui11	媒 媒人
煤	mui11	煤 煤矿
玫	mui11	玫 玫瑰
莓	mui11	莓 草莓
每	mui13	每 每天
妹	mui55	妹 妹妹
昧	mei31	昧 拾金不昧
堆	tɔi53	堆 堆放
對	tɔi33	对 对错
推	tʰɔi53	推 推动
