#漢字	音標	解釋
途	t'u24	途：前～
塗	t'u24	涂：糊～，～改
圖	t'u24	图：画～，地～
杜	t'u51	杜：姓；杜仲（中药）
肚	tu31	肚：肚子
度	t'u51	度：～数，长～
渡	t'u51	渡：偷～，摆～
鍍	t'u51	镀：电～
奴	nu24	奴：～隶
努	nu31	努：～力
怒	nu51	怒：愤～，～气
盧	lu24	卢：姓
爐	lu24	炉：火～
蘆	lu24	芦：～苇
鸕	lu24	鸬：～鹚（扁嘴善捕鱼的水鸟）
魯	lu44	鲁：～国，～迅
虜	lu31	虏：俘～
滷	lu44	卤：盐～，～水
路	lu51	路：大～
賂	lu51	赂：贿～
露	lu51	露：～水，白～，打～
鷺	lu51	鹭：白～
租	ʦu44	租：～金，出～
祖	ʦu31	祖：～宗，～国
組	ʦu31	组：～织，小～
做	ʦɔ51	做：～好事
粗	ʦ'u44	粗：～心
醋	ʦ'u51	醋：陈～
措	ʦ'ɔ51	措：～施
錯	ʦ'ɔ51	错：～误
蘇	su44	苏：～州；姓
酥	su44	酥：脆，杏仁～
素	su51	素：～菜，朴～
訴	su51	诉：上～，倾～
塑	sɔk31	塑：雕～，～料
姑	ku44	姑：大～
孤	ku44	孤：～儿，～单
箍	k'u44	箍：紧～咒[文]
箍	k'u44	箍：围束，～桶[白]
古	ku31	古：～代
估	ku44	估：～计
牯	ku31	牯：牛～
股	ku31	股：～票
鼓	ku31	鼓：锣～，～励
故	ku51	故：～事，～乡
蠱	ku31	蛊：养～，～惑
固	ku51	固：～定
錮	ku51	锢：禁～
雇	ku51	雇：～人，～主
顧	ku51	顾：照～
枯	k'u44	枯：干～，～水
苦	k'u31	苦：辛～，食～（吃苦）
苦	k'u31	苦：～味
庫	k'u51	库：水～，仓～
褲	fu51	裤：裤子
吳	øm24	吴：姓
蜈	øm24	蜈：～蚣
梧	vu24	梧：～桐
五	øm31	五：数字
伍	øm31	伍：姓；队～
午	øm31	午：中～，端～
誤	ŋu51	误：～会，错～
悟	ŋu51	悟：觉～；孙～空
呼	fu44	呼：称～，～吸，招～
虎	fu31	虎：老～
虎	fu44	虎：马～
滸	fu31	浒：水～
戽	fu51	戽：～水（泼水），～斗
胡	fu24	胡：二～ ；姓
湖	fu24	湖：西～
狐	fu24	狐：～狸
壺	fu24	壶：水～
乎	fu24	乎：在～
瓠	fu24	瓠：瓠卢，同葫芦
鬍	fu24	胡：～须
蝴	fu24	蝴：～蝶
糊	fu24	糊：浆～，～涂
戶	hu51	户：～口
滬	fu51	沪：上海简称
互	fu44	互：～相
護	fu51	护：保～，～士
瓠	p'u24	瓠：瓠瓜（味似葫芦而长）
烏	vu44	乌：黑
污	vu44	污：～染
塢	vu44	坞：船～
惡	vu51	恶：可～
女	ni31	女：女人
廬	lu24	庐：～山
驢	li24	驴：毛驴
呂	li44	吕：姓
旅	li31	旅：～游
慮	li51	虑：考～
濾	li51	滤：过～
蛆	ʦi31	蛆：蛆虫，生～
絮	su44	絮：棉～
徐	ʦ'ɿ24	徐：姓
序	sɿ51	序：顺～
敍	sɿ44	叙：倒～
緖	sɿ51	緖：情～；光～
豬	ʦu44	猪：～肉
著	ʦu51	著：～名，显～
除	ʦ'u24	除：～法
儲	su24	储：～蓄
苧	ʦ'u44	苎：～麻
阻	ʦɔ31	阻：～止，～力
初	ʦ'ɔ44	初：当～，～中
楚	ʦ'ɔ31	楚：清～
礎	ʦ'ɔ31	础：基～
鋤	ʦ'ɔ24	锄：～草，～禾日当午
助	ʦ'ɔ51	助：帮～
梳	sɔ44	梳：梳子[名]；梳头[动]
疏	sɔ44	疏：～远；稀疏
疏	sɔ44	疏：生～
蔬	sɔ44	蔬：～菜
所	sɔ31	所：～以；派出～
疏	sɔ44	疏：注～
諸	ʦu44	诸：姓；～如此类
煮	ʦu31	煮：～饭
處	ʦ'u44	处：～理
處	ʦ'u51	处：～所
書	su44	书：读～
舒	su44	舒：～服
暑	su31	暑：～假
鼠	su31	鼠：老～
庶	su51	庶：～民
恕	su51	恕：宽～
署	su31	署：～名
薯	su24	薯：番～
如	jʮ24	如：～果，假～
居	ki44	居：～民
車	ki44	车：象棋，～马炮
舉	ki31	举：～报，～重
據	ki31	据：收～
鋸	ki51	锯：电～
墟	sɿ44	墟：～日
去	k'i51	去：来～，过～
渠	k'i44	渠：水～，～道
佢	ki24	佢：他，第三人称
巨	k'i44	巨：～大
拒	k'i44	拒：～绝
距	ki44	距：～离
魚	øm24	鱼：金～
漁	ni24	渔：～业，～夫
語	ni44	语：～文
御	jɿ51	御：～用文人
禦	jɿ51	御：防～
虛	si44	虚：～心
噓	si44	嘘：吹～
許	su31	许：允～；姓
於	jɿ24	于：在～
淤	jɿ24	淤：～泥
余	jɿ24	余：姓
餘	jɿ24	余：多～
與	jɿ24	与：参～，给～，～众不同
予	jɿ51	予：给～
譽	jɿ51	誉：荣～
預	jɿ51	预：～报，～备
豫	jɿ51	豫：犹～
夫	fu44	夫：～妻，车～
膚	fu44	肤：皮～
跗	fu51	跗：脚背，～骨
府	fu31	府：政～
腑	fu31	腑：五脏六～
俯	fu31	俯：～卧撑，～视
甫	p'u31	甫：杜～
脯	p'u31	脯：菜～（萝卜干）
斧	pu31	斧：～头
付	fu51	付：应～
咐	fu51	咐：吩～
賦	fu51	赋：天～
傅	fu51	傅：师～[文]
傅	fu51	傅：姓[白]
敷	fu44	敷：～衍，～药
俘	fu44	俘：～虏
孵	p'u51	孵：孵小鸡
麩	fu44	麸：麦～
撫	fu31	抚：～养，安～
殕	mɔi24	殕：食物长毛变质，臭～
赴	p'uk5	赴：奔～，～汤蹈火
訃	p'uk3	讣：～告
符	fu24	符：～合，鬼画～
扶	fu24	扶：～贫，～手[文]
扶	p'u24	扶：搀扶，～起来[白]
芙	fu24	芙：～蓉
父	fu44	父：～亲
釜	fu31	釜：破～沉舟
腐	fu44	腐：～败
腐	fu51	腐：豆～
輔	p'u31	辅：～导，～助
附	fu51	附：～近，～带
無	vu24	无：没有，～中生有[文]
無	mau24	无：没有，～事[白]
巫	vu24	巫：姓；～婆
誣	vu44	诬：～陷，～告
武	vu44	武：～器，～术
舞	vu31	舞：跳～
舞	vu31	舞：拨弄，摆弄[白，动]
侮	vu44	侮：～辱
