#漢字	音標	解釋
處	tʃʰu45	处：～所
書	ʃu22	书：读～
舒	ʃu22	舒：～服
暑	ʃu31	暑：～假
鼠	ʧʰu31	鼠：老～
署	ʃu31	署：～名
薯	ʃu41	薯：番～
如	i41	如：～果，假～
居	ʨi22	居：～民
車	ʨi22	车：象棋，～马炮
舉	tɕi31	举：～报，～重
據	tɕi31	据：收～
鋸	tɕi45	锯：电～
去	tɕʰi45	去：来～，过～
佢	tɕi45	佢：他，第三人称
巨	tɕʰi22	巨：～大
拒	tɕʰi22	拒：～绝
距	tɕʰi22	距：～离
魚	ȵu41	鱼：金～
漁	ȵu41	渔：～业，～夫
語	ȵi31	语：～文
虛	ʃi22	虚：～心
許	ʃu31	许：允～；姓
於	i 41	于：在～
余	i41	余：姓
餘	i41	余：多～
與	i31	与：参～，给～，～众不同
譽	i31	誉：荣～
預	i31	预：～报，～备
夫	fu22	夫：～妻，车～
膚	fu22	肤：皮～
府	fu31	府：政～
腑	fu31	腑：五脏六～
俯	fu31	俯：～卧撑，～视
甫	pʰu22	甫：杜～
斧	pu31	斧：～头
付	fu45	付：应～
咐	fu45	咐：吩～
賦	fu22	赋：天～
傅	fu31	傅：师～[文]
傅	fu31	傅：姓[白]
敷	fu41	敷：～衍，～药
俘	fu22	俘：～虏
孵	pʰu31	孵：孵小鸡
麩	kʰu22	麸：麦～
撫	vu31	抚：～养，安～
赴	fu41	赴：奔～，～汤蹈火
符	fu41	符：～合，鬼画～
扶	fu41	扶：～贫，～手[文]
扶	pʰu41	扶：搀扶，～起来[白]
芙	fu41	芙：～蓉
父	fu31	父：～亲
腐	fu31	腐：～败
腐	fu31	腐：豆～
輔	pu31	辅：～导，～助
附	fu31	附：～近，～带
無	vu41	无：没有，～中生有[文]
無	mɔu41	无：没有，～事[白]
巫	m̩41	巫：姓；～婆
武	vu31	武：～器，～术
舞	vu31	舞：跳～
舞	vu31	舞：拨弄，摆弄[白，动]
鵡	vu31	鹉：鹦～
務	vu31	务：任～，～农
霧	vu45	雾：大～
屢	lei31	屡：～次，～教不改
取	tsʰi31	取：～钱
娶	tsʰi31	娶：嫁～
趣	tsʰi45	趣：兴～
聚	ʦʰi31	聚：～会
聚	tsʰiu31	聚：捡～（收拢）[白]
須	si41	须：必～
鬚	si22	须：胡～
需	si41	需：～要
續	suk4	续：连～，继～
誅	tʃu22	诛：天～地灭
蛛	tʃu22	蛛：蜘～
株	tʃu22	株：守～待兔
駐	tʃu45	驻：～扎
註	tʃu45	注：～释
廚	tʃʰu41	厨：～房
櫥	tʃʰu41	橱：碗～
柱	tʃʰu31	柱：柱子
住	tʃʰu31	住：～宿
數	sɿ45	数：～落，～星星[动]
數	sɿ45	数：～字，～学
朱	tʃu22	朱：姓
珠	tʃu22	珠：珍～
主	tʃu31	主：～人，地～
注	tʃu45	注：～意
蛀	tʃu45	蛀：～虫
鑄	tʃu45	铸：～铁，～钢
輸	ʃu22	输：～赢
輸	ʃu22	输：运～
殊	ʃu41	殊：特～
豎	ʃu31	竖：横～
樹	ʃu31	树：～立，种～
乳	iei31	乳：哺～，母～[文]
乳	nen41	乳：食～（吃奶），麦～精[训]
拘	ʨi22	拘：～留
倶	tɕʰi31	俱：～备，～乐部
