#漢字	音標	解釋
丈	ts'ɔŋ44	丈：姑～
丈	ts'ɔŋ44	丈：三丈
場	ts'ɔŋ51	场：排～，～地
腸	ts'ɔŋ51	肠：猪～，～胃
長	ts'ɔŋ51	长：～期，～短
暢	ts'ɔŋ24	畅：～快，通～
着	tsɔk5	着：～衫（穿衣服）
脹	tsɔŋ31	胀：～肚，膨～
賬	tsɔŋ31	账：算～，～簿
帳	tsɔŋ31	帐：蚊～
漲	tsɔŋ31	涨：～价，～潮
長	tsɔŋ24	长：生～，省～
張	tsɔŋ44	张：紧～；姓；装东西
橡	ts'iɔŋ31	橡：～胶，～树
像	siɔŋ31	像：头～，～章
像	ts'iɔŋ31	像：好～，相～
象	ts'iɔŋ44	象：大～
象	ts'iɔŋ44	象：印～，想～
象	ts'iɔŋ44	象：气～
祥	ts'iɔŋ51	祥：慈～，吉～
詳	ts'iɔŋ51	详：～细
削	siɔk5	削：～皮，剥～
相	siɔŋ31	相：宰～，看～，～貌
想	siɔŋ24	想：～法，思～
鑲	siɔŋ44	镶：～牙
襄	siɔŋ44	襄：～阳（地名）
湘	siɔŋ44	湘：湖南简称，～江
廂	siɔŋ44	厢：～房，车～
箱	siɔŋ44	箱：皮～
相	siɔŋ44	相：互～，～打（打架）
嚼	ts'iau44	嚼：咀～，～碎
匠	ts'iɔŋ44	匠：木～
鵲	siak5	鹊：喜～，鸦～
牆	ts'iɔŋ51	墙：～壁
搶	ts'iɔŋ24	抢：～劫
槍	ts'iɔŋ44	枪：手～
雀	tsiɔk5	雀：麻～，～斑
爵	tsiɔk5	爵：官～，～位
將	tsiɔŋ31	将：大～，～士
醬	tsiɔŋ31	酱：沙茶～，辣椒～
槳	tsiɔŋ24	桨：船～
獎	tsiɔŋ24	奖：～金，得～
蔣	tsiɔŋ24	蒋：姓，～介石
漿	tsiɔŋ44	浆：豆～，～糊
將	tsiɔŋ44	将：～来；～军
略	liɔk3	略：省～
掠	liɔk3	掠：～夺
量	liɔŋ44	量：数～
輛	liɔŋ51	辆：车～，两～
諒	liɔŋ44	谅：原～，～解
亮	liɔŋ44	亮：明～
兩	liɔŋ31	两：半斤八～
兩	liɔŋ24	两：～个
樑	liɔŋ51	梁：姓；～山（地名）
粱	liɔŋ51	粱：高～，黄～美梦
糧	liɔŋ51	粮：～食
量	liɔŋ51	量：衡～，～尺寸
凉	liɔŋ51	凉：天～
良	liɔŋ51	良：～好，优～
釀	niɔŋ44	酿：～豆腐[训]
娘	niɔŋ51	娘：姑～
惡	ɔk5	恶：善～，～霸
骯	ɔŋ44	肮： ～脏
杭	hɔŋ51	杭：～州
鶴	hɔk3	鹤：仙～
航	hɔŋ51	航：～行，～线
行	hɔŋ51	行：银～
