#漢字	音標	解釋
理	li51	理：道～，～由
子	tsɿ51	子：～孙；孔～
字	tsʰɿ35	字：～典，文～
絲	si31	丝：～绸
詞	sɿ55	词：歌～
寺	si35	寺：～庙，灵光～
柿	pi31	柿：柿子，～饼
痣	tsi51	痣：乌～
齒	tsʰi51	齿：牙～
詩	ʃi31	诗：～人
時	ʃi55	时：～间，当～
耳	ŋi51	耳：耳朵，中～炎
基	ki33	基：～本，地～
記	ki51	记：笔～，～号
起	kʰi51	起
喜	hi51	喜：～欢
醫	zi33	医：～生
意	zi51	意：～思
以	zi51	以：可～，～为
幾	kiɔ35	几：～只
幾	ki51	几：～只
氣	kʰi51	气：～人，空～
希	hi31	希：～望
隨	sui55	随：～时，～便
吹	tʃʰɛ31	吹：～牛皮，～喇叭
跪	kʰui35	跪：下～
危	mui31	危：～险，安～
委	vui51	委：～托，常～
類	lui35	类：分～
追	tsui31	追：～求[文]
衰	suɛ31	衰：～弱，～老[文]
水	fi51	水：～果，～平
龜	kui31	龟：乌～
葵	kʰui55	葵：向日～，～花籽
櫃	kui51	柜：～台
位	vi35	位：座～，～置
維	vui55	维：～生素，～持，纤～
飛	pui31	飞：～机；飞行
費	fui51	费：～用，浪～
肥	hui55	肥：化～，～肉
尾	mui31	尾：尾巴
味	vi35	味：～道，～精
鬼	kui51	鬼：鬼神
貴	kui51	贵：～重
魏	vui51	魏：～国；姓
威	vui31	威：～风，～胁
畏	vui51	畏：不喜欢；怕，～热
偉	vui51	伟：～大
胃	vui35	胃：肠～
寶	pɔ51	宝：～贝
報	pɔ51	报：～告，日～
暴	pɔ51	暴：～雨，残～
毛	mu31	毛：～病，鸡～
帽	kuai55	帽：草～
刀	tɔ31	刀：菜～
到	tɔ51	到：～站
討	tʰɔ51	讨：～老婆，～厌
套	tʰɔ51	套：配～，～房
桃	tʰɔ55	桃：杨～，～花
導	tʰɔ35	导：领～，～师
惱	nau51	恼：烦～[文]
勞	lɔ55	劳：～动
老	lɔ51	老：～爷，～实
糟	tsɔ31	糟：酒～，～糕
早	tsɔ51	早：还～
竈	tsɔ51	灶：～头，～神
草	tsʰɔ51	草：青～，～稿
造	tsʰɔ35	造：创～
掃	sɔ51	扫：～地[动]
嫂	sɔ51	嫂：大～
髙	kɔ31	高：姓；～低
稿	kɔ51	稿：草～，～纸
吿	kɔ51	告：报～，～状
考	kʰau51	考：～试，大～
靠	kʰau51	靠：依～，可～
熬	ŋau55	熬：～汤，～夜
好	hɔ51	好：～人
號	hɔ35	号：～码，口～[名]
襖	ɔ51	袄：棉～，～袍
包	pau31	包：钱～，～围
飽	pau51	饱：食～（吃饱）
爆	pau31	爆：～炸
炮	pʰau51	炮：枪～
跑	pʰau51	跑：～步
茅	mɔ55	茅：～庐
貓	ŋiaũ51	猫：大～
貌	mau35	貌：礼～
鬧	nau35	闹：～热，～事
罩	tsau35	罩：灯～，床～
爪	ziau51	爪：鸡～
抄	tsʰau31	抄：～书
炒	tsʰau51	炒：～股，～菜
交	kau31	交：～通，～钱[文]
咬	ŋau31	咬：～人
孝	hau51	孝：～顺
效	hau51	效：～果
標	pʰɛu31	标：～准，～志，招～
表	pɛu51	表：图～，～扬
票	pʰɛu51	票：车～
苗	mɛu55	苗：鱼～，～族
秒	mɛu51	秒：～针
廟	mɛu35	庙：和尚～
療	liau55	疗：治～，～养
椒	tsɛu31	椒：胡～
消	sɛu31	消：～化
小	sɛu31	小：～姐，～人
笑	sɛu51	笑：～话，玩～
朝	tʃɛu31	朝：～晨，三～
超	tʰiau35	超：～过
朝	tʃʰɛu35	朝：～代
趙	tʃɛu51	赵：姓
招	tʃɛu31	招：～生
照	tʃɛu51	照：～明，～顾
燒	ʃɛu31	烧：～水，发～
少	ʃɛu51	少：～数，多～
少	ʃɛu51	少：～年，～爷
饒	ŋɛu55	饶：～命，求～
繞	ŋɛu55	绕：围～，～线
嬌	kɛu31	娇：～气，做～（撒娇）
橋	kʰɛu55	桥：大～
轎	kʰiau35	轿：坐～，扛～
要	ʒɛu31	要：～求
要	ʒɛu51	要：重～
搖	ʒɛu55	摇：动～，～篮
舀	ʒɛu31	舀：～水
耀	ʒɛu31	耀：～眼，荣～
鳥	tau51	鸟：花～市场[文]
鳥	tau51	鸟：～笼[白]
吊	tau51	吊：上～，～车
跳	tʰau51	跳：～高，起～
條	tʰau35	条：～件，字～
調	tʰiau35	调：音～
尿	nau35	尿：屙～
了	liau51	了：～结；明～，～解
料	lau35	料：肥～，材～
繳	kiau51	缴：～枪，～费
僥	kiau51	侥：～幸
叫	ham51	叫：大～；小孩哭
竅	kʰiau51	窍：～门
曉	hiau51	晓：春～，～得
剖	pʰok021	剖：解～
畝	mɛu51	亩：一～田
母	mu51	母：父～
貿	mau35	贸：外～，～易
兜	tɛu51	兜：～风
斗	tɛu51	斗：十升为一斗
鬥	tɛu51	斗：～争，批～
偸	tʰɛu31	偷：小～
透	tʰɛu51	透：～明
頭	tʰɛu55	头：开～
豆	tʰɛu35	豆：黄～
樓	lɛu55	楼：～下
漏	lɛu35	漏：～水，～斗
走	tsɛu51	走：行走
奏	tsɛu35	奏：节～
湊	tsʰɛu51	凑：～数，～热闹
鉤	kɛu31	钩：鱼～
狗	kɛu51	狗
夠	kɛu35	够：足～
摳	lɛu51	抠：挖
口	kʰɛu51	口：～头，开～
口	kʰɛu51	口：一～饭
扣	kʰɛu51	扣：～钱，～压
藕	ŋɛu35	藕：～断丝连，莲～
喉	hɛu55	喉：～咙
後	hɛu35	后：～生，～来[文]
後	hɛu35	后：～日[白]
歐	ou31	欧：～洲；姓
嘔	ou31	呕：～吐
漚	ɛu51	沤：久浸水中，～坏，～肥
富	fu51	富：丰～，～贵
謀	mɛu55	谋：计～，～财害命
紐	nɛu51	纽：纽扣；～约（地名）
劉	liu55	刘：姓
柳	liu51	柳：～树
酒	tsiu51	酒：～精
秋	tsʰiu31	秋：～天；～千
就	tsʰiu35	就：成～，～去
修	siu31	修：装～，～正
秀	siu51	秀：清～，～才
袖	tsʰiu35	袖：领～，衫～（衣袖）
晝	tsiu51	昼：上～，～夜
抽	tʰiu31	抽：～出
