#漢字	音標	解釋
財	ʦʰɔi213	財
裁	ʦʰɔi213	裁
纔	ʦʰɔi213	纔
在	ʦʰai33	在
載	ʦʰɔi33	載
腮	sɔ45	腮
鰓	sɔ45	鰓
賽	sɔ33	賽
該	kɔi45	該
改	kɔ31	改
概	kʰɔ33	概
溉	kʰɔ33	溉
開	hɔ45	開
凱	hɔ31	凱
慨	kʰɔ33	慨
咳	kʰɐt055	咳
礙	ŋɔ31	礙
海	hɔ31	海
孩	hai213	孩
亥	hɔi31	亥
哀	ɔi45	哀
埃	ai45	埃
愛	ɔi33	愛
貝	pui33	貝
沛	pʰui33	沛
帶	tai33	帶
太	tʰai33	太
泰	tʰai33	泰
大	tʰai33	大
奈	nai31	奈
賴	lai33	賴
癩	lai33	癩
蔡	ʦʰɔi33	蔡
蓋	kɔi33	蓋
丐	kʰai31	丐
艾	ŋɛ33	艾
害	hɔ33	害
藹	ɔi31	藹
拜	pai33	拜
排	pʰai213	排
埋	mai213	埋
齋	ʦai33	齋
豺	sai213	豺
皆	kai33	皆
階	kai45	階
介	kai33	介
界	kai33	界
芥	kai33	芥
尬	kai33	尬
疥	kai33	疥
屆	kai33	届
戒	kai33	戒
諧	hai213	諧
械	kai33	械
挨	ai45	挨
擺	pai31	擺
派	pʰai33	派
牌	pʰai213	牌
箄	pʰai213	箄
罷	pʰak031	罷
稗	pʰai31	稗
買	mai45	買
賣	mai33	賣
奶	nai31	奶
債	ʦai33	債
釵	ʦʰa45	釵
差	ʦʰai45	差
柴	ʦʰai213	柴
篩	sei45	篩
灑	sa31	灑
曬	sai33	曬
佳	kai45	佳
街	kai45	街
解	kai31	解
懈	hai31	懈
涯	ŋai213	涯
崖	ŋai213	崖
捱	ŋai31	捱
鞋	hai213	鞋
解	kai31	解
蟹	hai31	蟹
矮	ai31	矮
敗	pʰai33	敗
邁	mai31	邁
寨	ʦʰai33	寨
蔽	pi33	蔽
弊	pi33	弊
幣	pʰi31	幣
斃	pi31	斃
例	lɛ33	例
厲	li33	厲
勵	li33	勵
祭	ʦi33	祭
際	ʦi33	際
制	ʦɛ33	制
製	ʦɐi33	製
世	sɛ33	世
勢	sɛ33	勢
誓	si33	誓
逝	sɛ33	逝
藝	ŋɛ33	藝
蓖	pi45	蓖
閉	pi33	閉
批	pʰɛ45	批
迷	mi213	迷
米	mi31	米
謎	mi213	謎
低	tɛ45	低
堤	tʰi213	堤
底	tɛ31	底
抵	tɛ31	抵
帝	ti33	帝
蒂	tʰi45	蒂
梯	tʰɛ45	梯
體	tʰi31	體
替	tʰɛ33	替
涕	tʰɛ213	涕
剃	tʰɛ33	剃
題	tʰi213	題
提	tʰi213	提
蹄	tʰɛ213	蹄
啼	tʰɛ213	啼
弟	tʰi33	弟
第	tʰi33	第
遞	tʰi45	遞
泥	nɐi213	泥
犁	lɛ213	犁
黎	lɛ213	黎
禮	li33	禮
麗	lɛ33	麗
隸	tʰi31	隸
莉	li33	莉
擠	ʦɛ33	擠
濟	ʦi31	濟
妻	ʦʰi33	妻
砌	ʦɛt031	砌
