#漢字	音標	解釋
儘	ʦʰɛn33	儘
進	ʦɛn33	進
晉	ʦɛn31	晋
親	ʦʰɛn45	親
親	ʦʰɛn45	親
七	ʦʰɛt031	七
漆	ʦʰɛt031	漆
秦	ʦʰɛn213	秦
盡	ʦʰɛn33	盡
疾	ʦʰɛt055	疾
薪	sɛn45	薪
辛	sɛn45	辛
新	sɛn45	新
信	sɛn33	信
訊	sun33	訊
悉	sɛt031	悉
膝	ʦʰɛt031	膝
珍	ʦiɐn33	珍
鎭	ʦɛn33	鎮
趁	ʦʰɛn33	趁
陳	ʦʰɛn213	陳
塵	ʦʰɛn213	塵
陣	ʦʰɛn33	陣
侄	ʦʰɛt055	侄
秩	tɛt031	秩
臻	ʦɛn45	臻
襯	ʦʰun33	襯
蝨	sɐt031	蝨
眞	ʦɛn45	真
診	ʦʰɛn31	診
疹	ʦʰɛn31	疹
振	ʦɛn31	振
震	ʦɛn33	震
質	ʦɛt031	質
神	sɛn213	神
實	sɛt055	實
身	sɛn45	身
申	sɛn45	申
伸	sɛn45	伸
娠	sɛn213	娠
失	sɛt031	失
室	sɛt031	室
辰	sɛn213	辰
晨	sɛn213	晨
臣	sɛn213	臣
腎	sen213	腎
愼	sen31	慎
人	ȵɛn213	人
仁	jɛn213	仁
忍	ȵun31	忍
刃	ȵun31	刃
認	ȵɛn33	認
韌	ȵun31	韌
日	ȵɛt031	日
巾	kɛn45	巾
緊	kɛn31	緊
吉	kɛt031	吉
僅	kɛn31	僅
銀	ŋen213	銀
因	jɛn45	因
姻	jen45	姻
洇	jen45	洇
印	jɛn33	印
一	jɛt031	一
乙	jɛt031	乙
寅	jɛn213	寅
引	jɛn31	引
斤	kɛn45	斤
筋	kɛn45	筋
謹	kɛn31	謹
勁	kɛn33	勁
訖	ŋɐt031	訖
乞	kʰɐt031	乞
勤	kʰɛn213	勤
芹	kʰɛn213	芹
近	kʰun31	近
欣	hun45	欣
殷	jɛn45	殷
隱	jun31	隱
癮	jɛn31	癮
奔	pen45	奔
本	pun31	本
逩	pen45	逩
不	puk031	不
噴	pʰun33	噴
盆	pʰun213	盆
笨	pun33	笨
勃	pʰuk055	勃
門	mun213	門
悶	mun31	悶
沒	mok055	没
敦	tun45	敦
墩	tun45	墩
頓	tun31	頓
褪	tʰui33	褪
屯	sun213	屯
豚	kʰun213	豚
飩	tʰun213	飩
炖	tun33	炖
囤	tun31	囤
盾	tʰun31	盾
鈍	tʰun31	鈍
突	tʰok055	突
凸	tʰok055	凸
嫩	nun31	嫩
論	kun31	論
侖	lun213	侖
論	lun33	論
尊	ʦun45	尊
卒	ʦok031	卒
村	ʦʰun45	村
寸	ʦʰun33	寸
猝	sok031	猝
存	ʦʰun213	存
孫	sun45	孫
損	sun31	損
遜	sun33	遜
昆	kʰun45	昆
崑	kʰun33	崑
滾	kun31	滚
棍	kun33	棍
骨	kok031	骨
坤	kʰun45	坤
綑	kʰun31	綑
困	kʰun33	困
睏	kʰun33	睏
昏	fun45	昏
婚	fun45	婚
忽	fok055	忽
魂	fun213	魂
餛	vun213	餛
渾	vun213	渾
混	vun213	混
核	fok055	核
溫	vun45	温
瘟	vun45	瘟
穩	vun31	穩
倫	lun33	倫
淪	lun213	淪
輪	lun213	輪
律	lok055	律
率	sok031	率
遵	ʦun45	遵
俊	ʦun33	俊
詢	ʦʰun213	詢
筍	sun31	筍
榫	sun31	榫
迅	sun33	迅
戌	sok031	戌
恤	sɐt031	恤
旬	ʦʰun213	旬
循	sun213	循
巡	ʦʰun213	巡
殉	ʦʰun213	殉
椿	ʦʰun45	椿
朮	sok055	朮
率	lok055	率
蟀	sɐt031	蟀
準	ʦun31	準
准	ʦun31	准
圳	ʦun33	圳
春	ʦʰun45	春
蠢	ʦʰun31	蠢
出	ʦʰok031	出
脣	sɛn213	脣
盾	tʰun31	盾
順	sun33	順
術	sok055	術
述	sok055	述
舜	sun33	舜
純	sun213	純
醇	sun213	醇
潤	jun33	潤
閏	jun33	閏
均	kiun45	均
鈞	kiun45	鈞
橘	kɛt031	橘
菌	kʰun31	菌
勻	jun213	匀
允	jun31	允
分	fun45	分
吩	fun45	吩
粉	fun31	粉
糞	pun33	糞
奮	fun31	奮
芬	fun45	芬
紛	fun45	紛
彿	fok031	彿
焚	fun213	焚
墳	fun213	墳
憤	fun31	憤
忿	fen31	忿
份	fun33	份
佛	fok33	佛
文	vun213	文
紋	vun213	紋
蚊	mun45	蚊
聞	vun213	聞
赫	hak055	赫
嚇	hak031	嚇
行	haŋ45	行
衡	heŋ45	衡
杏	heŋ45	杏
行	haŋ45	行
浜	pɛŋ45	浜
繃	peŋ31	繃
擘	piaŋ45	擘
檗	pɛt055	檗
棚	pʰaŋ213	棚
蚌	foŋ45	蚌
萌	mɛŋ213	萌
氓	mɔŋ213	氓
麥	mɐt055	麥
脈	mɐt031	脈
摘	ʦak031	摘
橙	ʦʰaŋ213	橙
爭	ʦaŋ45	争
箏	ʦaŋ45	筝
睜	ʦeŋ45	睁
踭	ʦeŋ45	踭
責	ʦak031	責
策	ʦʰak031	策
冊	ʦʰak031	册
耕	kaŋ45	耕
耿	kaŋ31	耿
革	kak031	革
隔	kak031	隔
莖	lɛŋ33	莖
幸	hɛn33	幸
核	fok055	核
核	fok055	核
鶯	eŋ45	鶯
鸚	iŋ33	鸚
櫻	iŋ33	櫻
扼	ŋak031	扼
軛	ak031	軛
兵	pɛŋ45	兵
丙	piaŋ31	丙
秉	pɛŋ31	秉
柄	piaŋ33	柄
碧	piɛt031	碧
平	pʰɛŋ45	平
坪	pʰiɛŋ45	坪
評	pʰɛŋ33	評
病	pʰɛŋ33	病
鳴	mɛŋ213	鳴
明	mɛŋ213	明
盟	meŋ213	盟
皿	meŋ213	皿
命	mɛŋ33	命
京	kɛŋ45	京
荆	kɛŋ33	荆
驚	kiaŋ45	驚
境	kɛŋ31	境
景	kɛŋ31	景
警	kɛŋ31	警
敬	kɛŋ33	敬
竟	kɛŋ31	竟
鏡	kiaŋ33	鏡
戟	kɛt031	戟
卿	kʰɛŋ45	卿
慶	kʰɛŋ33	慶
鯨	kɛŋ45	鯨
競	kʰɛŋ31	競
劇	kʰɛt055	劇
屐	kʰiat055	屐
迎	ȵiaŋ213	迎
逆	ȵɛt055	逆
英	jɛŋ45	英
影	jaŋ31	影
映	jaŋ31	映
餠	pɛŋ31	餅
倂	pɛŋ33	併
璧	pɛt031	璧
聘	pʰɛŋ33	聘
僻	pʰɛt031	僻
辟	pʰɛt031	辟
名	miaŋ213	名
領	liaŋ33	領
嶺	liaŋ33	嶺
令	lɛŋ33	令
精	ʦɛŋ33	精
晶	ʦɛŋ33	晶
睛	ʦɛŋ33	睛
井	ʦɛŋ31	井
積	ʦɛt031	積
跡	ʦiat031	跡
脊	ʦiat031	脊
淸	ʦʰɛŋ45	清
請	ʦʰɛŋ31	請
情	ʦʰɛŋ213	情
晴	ʦʰiaŋ213	晴
靜	ʦʰɛŋ31	静
淨	ʦʰiaŋ33	净
籍	ʦʰɛt031	籍
藉	ʦʰɛt031	藉
省	seŋ31	省
性	sɛŋ33	性
姓	sɛŋ33	姓
惜	sɛt031	惜
昔	sɛt031	昔
席	ʦiat055	席
蓆	ʦʰiat055	蓆
夕	sɛt031	夕
貞	ʦɛŋ45	貞
偵	ʦɛŋ45	偵
逞	ʦʰɛŋ31	逞
呈	sɛŋ33	呈
程	ʦʰɛŋ213	程
鄭	ʦeŋ33	鄭
正	ʦɛŋ33	正
征	ʦɛŋ45	征
整	ʦɛŋ31	整
正	ʦɛŋ33	正
政	ʦɛŋ33	政
隻	ʦak031	隻
炙	ʦak031	炙
赤	ʦʰak031	赤
斥	si33	斥
尺	ʦʰak031	尺
射	sa45	射
聲	seŋ	聲
聖	sɛŋ33	聖
適	sɛt031	適
釋	sɛt031	釋
成	seŋ213	成
城	seŋ213	城
誠	sɛŋ213	誠
盛	sɛŋ33	盛
石	sɛt055	石
鑿	ʦʰɔk055	鑿
昨	ʦʰɔk031	昨
桑	sɔn45	桑
喪	sɔn45	喪
嗓	sɔn31	嗓
喪	sɔn33	喪
索	sɔk031	索
岡	kɔŋ45	岡
崗	kɔŋ45	崗
剛	kɔŋ45	剛
綱	kɔŋ45	綱
鋼	kɔŋ33	鋼
缸	kɔŋ45	缸
杠	kɔŋ33	杠
各	kɔk031	各
閣	kɔk031	閣
擱	kɔk031	擱
康	hɔŋ45	康
糠	hɔŋ45	糠
慷	hɔŋ45	慷
抗	kʰɔŋ33	抗
昂	ŋɔŋ31	昂
腭	ŋɔk055	腭
鱷	ŋɔk055	鱷
鄂	ŋɔk031	鄂
行	hɔŋ213	行
杭	hɔŋ213	杭
航	hɔŋ213	航
鶴	hɔk055	鶴
惡	ɔk031	惡
娘	ȵɔŋ213	娘
釀	ȵɔŋ31	釀
良	lœŋ213	良
凉	lœŋ213	凉
量	lœŋ33	量
糧	lœŋ213	糧
梁	lœŋ213	梁
粱	lœŋ213	粱
兩	liaŋ31	兩
兩	lœŋ45	兩
亮	lœŋ33	亮
諒	lœŋ33	諒
輛	lœŋ31	輛
量	lœŋ33	量
略	liɛt055	略
掠	lœt055	掠
薑	kiœŋ45	薑
繮	kiœŋ45	繮
姜	kiœŋ45	姜
脚	kiœŋ31	脚
卻	kʰiɛt031	却
强	kʰiœŋ213	强
强	kʰiœŋ213	强
仰	ŋɔk055	仰
虐	ȵɔk031	虐
瘧	ȵɔk031	瘧
香	sɔŋ45	香
鄕	sɔŋ45	鄉
享	sɔŋ31	享
響	sɔŋ31	響
向	sɔŋ33	向
央	jɔŋ45	央
秧	jɔŋ45	秧
殃	jɔŋ45	殃
約	jɔk031	約
羊	jɔŋ213	羊
洋	jɔŋ213	洋
楊	jɔŋ213	楊
陽	jɔŋ213	陽
揚	jɔŋ213	揚
瘍	jɔŋ213	瘍
養	jɔŋ33	養
癢	jɔŋ33	癢
樣	jɔŋ33	樣
藥	jɔk055	藥
躍	jɔk031	躍
光	kɔŋ45	光
廣	kɔŋ31	廣
郭	kɔk031	郭
曠	kʰɔŋ33	曠
廓	kɔk031	廓
擴	kʰɔŋ33	擴
荒	fɔŋ45	荒
慌	fɔŋ45	慌
謊	fɔŋ45	謊
霍	kʰɔk031	霍
藿	kʰɔk031	藿
黃	vɔŋ213	黃
簧	vɔŋ213	簧
皇	vɔŋ213	皇
蝗	vɔŋ213	蝗
凰	vɔŋ213	凰
琢	ʦiɛt031	琢
啄	ʦiɛt031	啄
戳	ʦʰɔk055	戳
撞	ʦʰɔŋ33	撞
濁	ʦʰok055	濁
捉	ʦok031	捉
窗	ʦʰoŋ45	窗
鐲	ʦʰɔk031	鐲
雙	soŋ45	雙
朔	sɔk031	朔
江	kɔŋ45	江
扛	kʰɔŋ45	扛
肛	koŋ45	肛
講	kɔŋ31	講
港	kɔŋ31	港
降	kɔŋ33	降
虹	hoŋ45	虹
覺	kʰɔk031	覺
角	kɔk031	角
餃	kau31	餃
腔	kʰɔŋ45	腔
確	kʰɔk031	確
殼	hɔk031	殼
嶽	ŋɔk055	嶽
岳	ŋɔk055	岳
樂	ŋɔk055	樂
降	hɔŋ45	降
項	hɔŋ45	項
巷	hɔŋ45	巷
學	hɔk055	學
握	ak031	握
崩	peŋ45	崩
北	pɐt031	北
朋	pʰeŋ213	朋
墨	mɐt055	墨
默	mɐt055	默
登	teŋ45	登
燈	teŋ45	燈
等	teŋ31	等
凳	teŋ33	凳
得	tɐt031	得
德	tɐt031	德
騰	tʰeŋ213	騰
藤	tʰeŋ213	藤
疼	toŋ33	疼
嗇	hɔŋ213	嗇
蒸	ʦɛŋ45	蒸
拯	ʦʰɛŋ33	拯
證	ʦɛŋ33	證
症	ʦɛŋ33	症
織	ʦɛt031	織
職	ʦʰɛt031	職
稱	ʦʰɛŋ45	稱
稱	ʦʰɛŋ45	稱
秤	ʦʰɛŋ33	秤
乘	sɛŋ45	乘
繩	suŋ213	繩
剩	sɛŋ33	剩
食	sɛt055	食
蝕	sɛt055	蝕
升	sɛŋ45	升
勝	sɛŋ33	勝
勝	sɛŋ33	勝
識	sɛt031	識
式	sɛt031	式
飾	sɛt031	飾
承	sɛŋ45	承
丞	sɛŋ45	丞
殖	ʦʰɛt055	殖
植	ʦʰɛt055	植
仍	jɛŋ213	仍
扔	jɛŋ45	扔
棘	kɛt031	棘
極	kʰɛt055	極
凝	ȵi213	凝
興	hɛŋ45	興
興	hɛŋ33	興
應	jɛŋ33	應
鷹	jiŋ45	鷹
應	jiŋ45	應
憶	jɛt055	憶
億	jɛt055	億
抑	jɛt055	抑
蠅	jɛŋ213	蠅
孕	jɛŋ213	孕
翼	jɛt055	翼
國	kɔk031	國
弘	saŋ213	弘
或	vak055	或
惑	vak055	惑
頸	kiaŋ31	頸
勁	kɛŋ33	勁
輕	kʰiaŋ45	輕
嬰	iŋ45	嬰
纓	iŋ45	纓
益	iɛt031	益
盈	iɛŋ213	盈
贏	jaŋ213	贏
亦	iɛt055	亦
易	iɛt055	易
液	iɛt055	液
腋	iɛt055	腋
壁	pɛt031	壁
拼	pʰɛŋ33	拼
劈	pʰɛt031	劈
甁	pʰɛŋ213	瓶
屛	pʰɛŋ213	屏
萍	pʰɛŋ213	萍
並	pʰɛŋ33	並
銘	miaŋ213	銘
冥	mɛŋ31	冥
覓	tʰɔ31	覓（误读）
丁	teŋ45	丁
釘	teŋ45	釘
疔	teŋ45	疔
叮	teŋ45	叮
頂	teŋ31	頂
鼎	teŋ31	鼎
釘	teŋ45	釘
訂	teŋ31	訂
的	tɛt031	的
滴	tɛt031	滴
嫡	tɛt031	嫡
聽	tʰeŋ45	聽
廳	tʰeŋ45	廳
汀	teŋ45	汀
聽	tʰeŋ45	聽
踢	tʰɐt031	踢
剔	tʰɐt031	剔
亭	tʰɛŋ213	亭
停	tʰɛŋ213	停
廷	tʰɛŋ213	廷
庭	tʰɛŋ213	庭
蜓	tʰɛŋ213	蜓
艇	tʰɛŋ213	艇
挺	tʰɛŋ213	挺
錠	tʰɛŋ33	錠
定	tʰɛŋ33	定
笛	tʰɐt055	笛
敵	tʰɛt055	敵
狄	tʰɛt055	狄
糴	tʰɐt055	糴
寧	neŋ31	寧
寧	neŋ31	寧
溺	ȵɛt055	溺
靈	lɛŋ45	靈
零	lɛŋ31	零
鈴	leŋ213	鈴
伶	lɛŋ213	伶
拎	niaŋ45	拎
翎	lɛŋ213	翎
另	lɛŋ33	另
歷	lɛt055	歷
曆	lɛt055	曆
績	ʦɛt031	績
靑	ʦʰiaŋ45	青
蜻	ʦʰiaŋ45	蜻
戚	ʦʰɛt031	戚
寂	ʦʰɛt031	寂
星	seŋ45	星
腥	seŋ45	腥
醒	sɛŋ31	醒
錫	sɛt031	錫
析	sɛt031	析
經	kɛŋ45	經
徑	kɛŋ33	徑
經	kɛŋ45	經
擊	kɛt031	擊
激	kɛt031	激
喫	hɛt031	喫
馨	hɛŋ45	馨
形	iɛŋ213	形
型	iɛŋ213	型
刑	iɛŋ213	刑
礦	kʰɔŋ33	礦
橫	vaŋ213	横
橫	vaŋ213	横
轟	kʰuŋ45	轟
宏	hɔŋ213	宏
獲	vak055	獲
劃	vak055	劃
兄	hoŋ45	兄
榮	joŋ213	榮
永	juŋ31	永
泳	juŋ31	泳
詠	juŋ31	咏
傾	kʰɛŋ45	傾
頃	kʰɛŋ31	頃
瓊	kʰɛŋ213	瓊
營	jaŋ213	營
穎	jɛŋ213	穎
疫	jɛt055	疫
役	jɛt055	役
螢	jaŋ213	螢
卜	pok031	卜
撲	pʰɔk031	撲
仆	pʰɔk055	仆
篷	pʰoŋ213	篷
蓬	pʰoŋ213	蓬
僕	pok031	僕
曝	pʰau33	曝
瀑	pʰau33	瀑
蒙	moŋ213	蒙
懵	noŋ31	懵
木	mok031	木
東	toŋ45	東
董	toŋ31	董
懂	toŋ31	懂
凍	toŋ33	凍
棟	toŋ33	棟
通	tʰoŋ45	通
桶	tʰoŋ31	桶
捅	tʰoŋ31	捅
痛	tʰoŋ33	痛
禿	tʰui31	秃
同	tʰoŋ213	同
銅	tʰoŋ213	銅
桐	tʰoŋ213	桐
筒	tʰoŋ213	筒
童	tʰoŋ213	童
瞳	tʰoŋ213	瞳
動	tʰoŋ31	動
洞	tʰoŋ33	洞
獨	tʰok055	獨
讀	tʰok055	讀
籠	loŋ213	籠
聾	loŋ213	聾
嚨	loŋ213	嚨
攏	loŋ31	攏
弄	loŋ33	弄
鹿	lok055	鹿
祿	lok031	禄
棕	ʦʰoŋ45	棕
鬃	ʦʰoŋ45	鬃
總	ʦʰoŋ31	總
糉	ʦʰoŋ45	粽
聰	ʦʰoŋ45	聰
匆	ʦʰoŋ45	匆
葱	ʦʰoŋ45	葱
囪	ʦʰoŋ45	囱
叢	ʦʰoŋ213	叢
族	ʦʰok055	族
送	soŋ33	送
速	sok031	速
公	koŋ45	公
蚣	koŋ45	蚣
工	koŋ45	工
功	koŋ45	功
攻	koŋ45	攻
貢	koŋ33	貢
穀	kok031	穀
谷	kok031	谷
空	hoŋ45	空
孔	kʰoŋ31	孔
控	hoŋ33	控
空	kʰoŋ45	空
哭	kʰok031	哭
烘	hoŋ33	烘
哄	hoŋ33	哄
紅	foŋ213	紅
洪	hoŋ213	洪
鴻	hoŋ213	鴻
虹	hoŋ213	虹
汞	koŋ33	汞
鬨	hoŋ33	鬨
翁	joŋ45	翁
瓮	oŋ45	瓮
屋	vok031	屋
冬	toŋ45	冬
督	tok031	督
統	tʰoŋ31	統
鄧	tʰeŋ33	鄧
澄	ʦʰɛŋ213	澄
特	tʰɐt055	特
能	neŋ213	能
棱	lɛŋ213	棱
肋	hɛp055	肋
勒	lɐt055	勒
曾	ʦeŋ45	曾
增	ʦeŋ45	增
憎	ʦeŋ45	憎
則	ʦɐt055	則
曾	ʦʰen213	曾
層	ʦʰeŋ213	層
贈	ʦʰeŋ45	贈
賊	ʦʰat055	賊
僧	ʦeŋ45	僧
塞	sɐt031	塞
肯	kʰeŋ31	肯
刻	kʰɐt031	刻
刻	kʰɐt031	刻
克	kʰɐt031	克
黑	hɐt031	黑
恆	heŋ213	恒
冰	peŋ45	冰
逼	pɛt031	逼
憑	pʰɛŋ213	憑
陵	lɛŋ213	陵
凌	lɛŋ213	凌
菱	lɛŋ213	菱
力	lɛt055	力
即	ʦɛt031	即
鯽	ʦɛt031	鯽
息	sɛt031	息
熄	sɛt031	熄
媳	sɛt031	媳
徵	ʦɛŋ45	徵
澄	ʦʰɛŋ213	澄
懲	ʦʰɛŋ45	懲
橙	ʦʰeŋ213	橙
瞪	teŋ33	瞪
直	ʦʰɛt055	直
値	ʦʰɛt055	值
側	ʦʰɐt031	側
測	ʦʰɐt031	測
色	sɐt031	色
域	vak055	域
百	pak031	百
柏	pak031	柏
伯	pak031	伯
迫	pʰak031	迫
碰	pʰoŋ33	碰
拍	pʰak031	拍
珀	pʰak031	珀
魄	pʰak031	魄
彭	pʰaŋ213	彭
膨	pʰaŋ213	膨
白	pʰak055	白
帛	pʰak055	帛
盲	maŋ213	盲
猛	meŋ45	猛
孟	meŋ31	孟
陌	mak031	陌
打	ta31	打
冷	laŋ45	冷
撑	ʦʰeŋ45	撑
拆	ʦʰak031	拆
澤	ʦʰak055	澤
擇	ʦʰak055	擇
宅	ʦʰak055	宅
窄	ʦak031	窄
生	saŋ45	生
牲	saŋ45	牲
笙	saŋ45	笙
甥	saŋ45	甥
省	seŋ31	省
省	seŋ31	省
更	keŋ33	更
庚	kaŋ33	庚
羹	kaŋ45	羹
哽	kʰeŋ31	哽
埂	keŋ45	埂
梗	keŋ31	梗
更	kaŋ45	更
格	kak031	格
坑	haŋ45	坑
客	hak031	客
硬	ŋaŋ33	硬
額	ŋak031	額
亨	haŋ45	亨
慳	han45	慳
攢	ʦʰan33	攢
椽	jan213	椽
奀	ŋan45	奀
乜	mɐt055	乜
遁	tʰun31	遁
蹲	ʦun45	蹲
圂	vun33	圂
搵	vun31	揾
樽	ʦun45	樽
劏	tʰɔn45	劏
螂	lɔŋ213	螂
胳	lɔk031	胳
斫	ʦam31	斫
嚷	ȵɔŋ031	嚷
烊	jɔŋ213	烊
逛	kʰɔn33	逛
楞	lɛŋ33	楞
簕	lɐt031	簕
呃	ŋak055	呃
靚	lian33	靚
嚦	liɛt055	嚦
埕	ʦɛŋ213	埕
掟	tɐt055	掟
壢	lɐt055	壢
蠓	moŋ45	蠓
戙	tʰoŋ33	戙
睩	lok055	睩
轆	lok055	轆
餸	soŋ33	餸
喐	ȵok055	喐
礱	loŋ213	礱
焗	kʰok055	焗
命2	miɛŋ33	一条命
毒	tʰok055	毒
農	noŋ213	農
膿	noŋ213	膿
宗	ʦoŋ45	宗
綜	ʦoŋ45	綜
鬆	soŋ45	鬆
宋	soŋ33	宋
酷	hɔ33	酷
沃	jok055	沃
風	foŋ45	風
楓	foŋ45	楓
瘋	foŋ45	瘋
諷	foŋ31	諷
福	fok031	福
幅	fok031	幅
蝠	fok031	蝠
複	fok031	複
腹	fok031	腹
豐	foŋ45	豐
覆	fok031	覆
馮	foŋ213	馮
鳳	foŋ33	鳳
服	fok055	服
伏	fok055	伏
復	fok031	復
袱	fok055	袱
夢	moŋ33	夢
目	mok031	目
穆	mok031	穆
牧	mok055	牧
隆	loŋ213	隆
六	lok031	六
陸	lok031	陸
嵩	soŋ45	嵩
肅	sok031	肅
宿	sok031	宿
中	ʦoŋ45	中
忠	ʦoŋ45	忠
衷	ʦoŋ45	衷
中	ʦoŋ33	中
竹	ʦok031	竹
築	ʦʰok031	築
畜	ʦʰok031	畜
蟲	ʦʰoŋ213	蟲
仲	ʦʰoŋ31	仲
逐	ʦʰok055	逐
軸	ʦʰok055	軸
崇	soŋ213	崇
縮	sok031	縮
終	ʦoŋ45	終
衆	ʦoŋ33	衆
祝	ʦok031	祝
粥	ʦok031	粥
充	ʦʰoŋ45	充
叔	sok031	叔
熟	sok055	熟
淑	sok031	淑
戎	kai33	戎（误读）
絨	joŋ213	絨
肉	ȵok031	肉
弓	koŋ45	弓
躬	koŋ45	躬
宮	koŋ45	宫
菊	kʰiɛt031	菊
麴	kiɛt031	麴
窮	kʰioŋ213	窮
畜	ʦʰok031	畜
蓄	ʦʰok031	蓄
郁	vɐt055	郁
熊	joŋ213	熊
雄	sioŋ213	雄
融	joŋ213	融
育	jok031	育
封	foŋ45	封
峯	foŋ45	峰
蜂	foŋ45	蜂
鋒	foŋ45	鋒
捧	poŋ31	捧
逢	foŋ213	逢
縫	foŋ213	縫
奉	foŋ33	奉
俸	foŋ31	俸
濃	ȵoŋ213	濃
龍	loŋ213	龍
壟	loŋ31	壟
綠	lok055	緑
錄	lok055	録
蹤	ʦoŋ45	踪
縱	ʦoŋ45	縱
縱	ʦoŋ33	縱
足	ʦok031	足
從	ʦʰoŋ213	從
促	ʦʰok031	促
從	ʦʰoŋ213	從
慫	ʦʰoŋ213	慫
粟	sok031	粟
松	soŋ45	松
誦	tʰoŋ31	誦
頌	ʦʰoŋ31	頌
訟	ʦʰoŋ31	訟
俗	ʦʰok055	俗
續	ʦʰok055	續
寵	ʦʰoŋ31	寵
重	ʦʰoŋ45	重
重	ʦʰoŋ31	重
重	ʦʰoŋ213	重
鐘	ʦoŋ45	鐘
鍾	ʦoŋ45	鍾
盅	ʦoŋ45	盅
種	ʦoŋ31	種
腫	ʦoŋ31	腫
種	ʦoŋ33	種
燭	ʦok031	燭
囑	ʦok031	囑
衝	ʦʰoŋ45	衝
觸	ʦok031	觸
贖	sok055	贖
束	ʦʰok055	束
蜀	ʦok055	蜀
屬	sok055	屬
茸	joŋ213	茸
辱	jok031	辱
褥	jok031	褥
恭	koŋ33	恭
供	koŋ33	供
拱	koŋ31	拱
鞏	koŋ31	鞏
供	koŋ33	供
恐	hoŋ31	恐
曲	kʰok031	曲
共	kʰoŋ33	共
局	kʰok055	局
玉	ȵok055	玉
獄	ȵok055	獄
胸	hoŋ45	胸
凶	hoŋ45	凶
兇	hoŋ45	兇
旭	jok055	旭
雍	joŋ45	雍
擁	joŋ31	擁
壅	oŋ45	壅
容	joŋ213	容
蓉	joŋ213	蓉
庸	joŋ213	庸
溶	joŋ213	溶
熔	joŋ213	熔
甬	joŋ31	甬
勇	ȵoŋ31	勇
涌	joŋ31	涌
用	joŋ33	用
欲	jok055	欲
慾	jok055	慾
浴	jok055	浴
挪	nɔ31	挪
攞	lɔ45	攞
嗰	kɔ33	嗰
屙	ŋɔ45	屙
騾	lɔ213	騾
欛	pian33	欛
鈀	pʰa213	鈀
乸	na213	乸
摣	ʦa45	摣
笡	ʦʰɛ31	笡
嘢	ȵa45	嘢
瓠	kua213	瓠
縷	lɔu31	縷
拄	ʦʰi45	拄
盂	meŋ31	盂
枱	tʰɔi213	枱
捭	mɛ45	捭
睇	tʰɛ31	睇
縊	iɛt055	縊
脢	mɔi213	脢
癐	tʰɔi33	癐
髀	pi31	髀
畀	pun45	畀
魅	mui33	魅
洱	ȵi31	洱
煲	pɔu45	煲
冇	nɔu213	冇
掏	tʰɔu213	掏
佬	lɔ31	佬
蠔	hɔu213	蠔
撓	ȵau31	撓
拗	au33	拗
裱	piau31	裱
瓢	piau213	瓢
撬	kʰiau33	撬
竇	tɐi33	竇
褸	lɔu45	褸
睺	hɐi33	睺
吼	hoŋ31	吼
嬲	nɐi45	嬲
邱	kʰiau45	邱
抌	tɐm213	抌
腩	nam213	腩
啱	ŋam45	啱
啖	tʰam33	啖
噉	kam31	噉
冚	kʰɐm213	冚
磕	kʰɔi33	磕
蚶	kʰian213	蚶
憨	ŋɔn33	憨
檻	kʰiɛt055	檻
鯰	ȵian213	鯰
諗	nen31	諗
腍	nen45	腍
檁	pɛŋ31	檁
緝	ʦɐt055	緝
笪	tat031	笪
邋	lat031	邋
綻	tʰɛn33	綻
