#漢字	音標	解釋
尿	ȵiau54	尿：屙～
了	liau31	了：～结；明～，～解
料	liau54	料：肥～，材～
繳	kiau24	缴：～枪，～费
僥	hiau33	侥：～幸
叫	kiau212	叫：大～；小孩哭
竅	k'iau212	窍：～门
曉	hiau24	晓：春～，～得
剖	fɛi24	剖：解～
畝	mɛi31	亩：一～田
母	mu31	母：父～
貿	mɛi54	贸：外～，～易
兜	tɔi33	兜：～风
斗	tɔi24	斗：十升为一斗
鬥	tɔi212	斗：～争，批～
偸	t'ɔi33	偷：小～
偸	tiu24	偷：小～
透	t'ɔi212	透：～明
頭	t'ɔi31	头：开～
豆	t'ɔi54	豆：黄～
樓	lɔi31	楼：～下
漏	lɔi54	漏：～水，～斗
走	tsɔi24	走：行走
奏	tsɔi212	奏：节～
湊	ts'ɔi212	凑：～数，～热闹
鉤	kɔi33	钩：鱼～
狗	kɔi24	狗
夠	kɔi212	够：足～
摳	vat5	抠：挖
口	hɔi24	口：～头，开～
口	hɔi24	口：一～饭
扣	k'ɔi212	扣：～钱，～压
藕	ʔɔi212	藕：～断丝连，莲～
喉	hɔi31	喉：～咙
後	hɔi54	后：～生，～来[文]
後	hɔi54	后：～日[白]
歐	ʔɔi33	欧：～洲；姓
嘔	ʔɔi24	呕：～吐
漚	ʔɔi212	沤：久浸水中，～坏，～肥
否	fɔi24	否：是～，～定
富	hu212	富：丰～，～贵
謀	mɔi31	谋：计～，～财害命
紐	nɔi24	纽：纽扣；～约（地名）
劉	liu31	刘：姓
柳	liu212	柳：～树
酒	tsiu24	酒：～精
秋	ts'iu33	秋：～天；～千
就	ts'iu54	就：成～，～去
修	siu33	修：装～，～正
秀	siu212	秀：清～，～才
袖	ts'iu54	袖：领～，衫～（衣袖）
哥	kɔ33	哥：大～，学生～
可	k'ɔ24	可：～能，许～证
鵝	ŋɔ31	鹅：天～
我	ŋɔi31	我：自～[文]
我	ŋɔi31	我：涯，第一人称[白]
餓	ŋɔ54	饿：饥～
河	hɔ31	河：黄～
賀	hɔ54	贺：祝～，～礼
阿	a33	阿：～爸
茄	k'ø31	茄：茄子；番～
波	pɔ33	波：风～，～浪
破	p'ɔ212	破：～坏
婆	p'ɔ31	婆：老～
磨	mɔ54	磨：石～[名]
朶	tyø24	朵：一～花，花～
糯	nɔ54	糯：～米
坐	ts'ɔ212	坐：～车，～稳
座	ʦ'ɔ54	座：～位，上～
簑	niɔk5	蓑：棕～，～衣
鎖	sɔ24	锁：～匙
果	kɔ24	果：水～
過	kɔ212	过：～去，～头
科	fɔ33	科：～学，文～
課	k'ɔ212	课：上～
火	fɔ24	火：着～，～车
貨	fɔ212	货：～车，百～
禾	vɔ31	禾：割～，～苗
靴	hø33	靴：皮～
巴	pa33	巴：～掌，～结，～黎
把	pa24	把：～握，～脉
霸	pa212	霸：恶～，～王
怕	p'a212	怕：害怕，惊～
爬	p'a31	爬：～树
麻	ma31	麻：天～，～烦
馬	ma24	马：骑～，～虎
拿	na31	拿：～手，推～
茶	ts'a31	茶：～叶
渣	tsa33	渣：药～
炸	tsa212	炸：～药
査	ʦ'a31	查：调～
沙	sa33	沙：泥～，～漠
家	ka33	家：老～，～庭
假	ka24	假：真～，～设
架	ka212	架：书～
牙	ŋa31	牙：～齿，刷～
蝦	ha33	虾：鱼～，～公
下	ha54	下：～背，底～
下	ha212	下：～降，～流
啞	a24	哑：哑巴，～佬
姐	tsia24	姐：小～[文]
借	tsia212	借：～钱
且	ts'ia24	且：而～，况～
寫	sia24	写：～字
謝	ts'ia54	谢：多～；姓
遮	tsa33	遮：遮挡[动]；伞[名]
者	tsa24	者：记～，作～
蔗	tsa212	蔗：甘蔗
車	ts'a33	车：火～
扯	ts'a24	扯：～开，～烂
蛇	sa31	蛇：毒～
射	sa54	射：发～，～箭
捨	sa24	舍：～唔得（舍不得）
社	sa212	社：～会，公～
惹	ȵia212	惹：～事
爺	jia31	爷：父亲；爷爷[文]
野	jia212	野：～人
夜	jia54	夜：日～，～班
傻	sɔ31	傻：～瓜，～子
瓜	ka33	瓜：西～，～分
誇	k'a33	夸：～大，～张
瓦	ŋa24	瓦：～片
花	fa33	花：开～
華	fa31	华：中～
補	pu24	补：～鞋，～充
布	pu212	布：红～，～料
部	p'u54	部：～队，干～
步	p'u54	步：跑～
模	mu31	模：～型，～范
墓	mu54	墓：坟～，～地
都	tu33	都：都是
賭	tu24	赌：～博
土	t'u24	土：～地
圖	t'u31	图：画～，地～
度	t'u54	度：～数，长～
奴	nu31	奴：～隶
爐	lu31	炉：火～
滷	lu212	卤：盐～，～水
路	lu54	路：大～
租	tsu33	租：～金，出～
祖	tsu24	祖：～宗，～国
做	tsu212	做：～好事
粗	ts'u33	粗：～心
蘇	su33	苏：～州；姓
姑	ku33	姑：大～
鼓	ku24	鼓：锣～，～励
故	ku212	故：～事，～乡
苦	hu24	苦：辛～，食～（吃苦）
苦	hu24	苦：～味
褲	hu212	裤：裤子
吳	ŋu31	吴：姓
五	m24	五：数字
誤	ŋu54	误：～会，错～
虎	hu24	虎：老～
胡	hu31	胡：二～ ；姓
戶	hu54	户：～口
烏	u33	乌：黑
女	ny4	女：女人
呂	ly212	吕：姓
慮	ly54	虑：考～
徐	ts'y31	徐：姓
序	ts'y54	序：顺～
楚	ts'ɔ24	楚：清～
豬	tsy33	猪：～肉
除	ts'y31	除：～法
初	ts'ɔ33	初：当～，～中
鋤	ts'ɔ33	锄：～草，～禾日当午
助	ts'ɔ54	助：帮～
梳	sɔ33	梳：梳子[名]；梳头[动]
煮	tsy24	煮：～饭
處	ts'y212	处：～理，相～
書	sy33	书：读～
鼠	sy24	鼠：老～
薯	sy31	薯：番～
如	jy31	如：～果，假～
舉	ky24	举：～报，～重
鋸	ky212	锯：电～
去	hy212	去：来～，过～
佢	k	佢：他，第三人称
佢	'i31	佢：他，第三人称
巨	k'y33	巨：～大，艰～
魚	ny31	鱼：金～
語	ny33	语：～文
虛	hy33	虚：～心
許	hy24	许：允～；姓
餘	jy31	余：多～
預	jy54	预：～报，～备
夫	hu33	夫：～妻，车～
府	hu24	府：政～
斧	pu24	斧：～头
輔	p'u24	辅：～导，～助
武	mu212	武：～器，～术
舞	mu24	舞：跳～
務	mu54	务：任～，～农
取	ts'y24	取：～钱
趣	ts'y212	趣：兴～
聚	ts'y54	聚：～会
需	sy33	需：～要
柱	ts'y212	柱：柱子
住	ts'y54	住：～宿
朱	tsy33	朱：姓
主	tsy24	主：～人，地～
樹	sy54	树：～立，种～
區	k'y33	区：地～，～别
具	k'y54	具：～体
遇	jy54	遇：遭～，相～，～到
雨	jy212	雨：落～，谷～，～水
臺	t'ɔi31	台：～湾
代	t'ɔi54	代：～替，～表
耐	nai54	耐：～力，～心，忍～
來	lɔi31	来：过～，～去
再	tsɔi212	再：～来
彩	ts'ɔi24	彩：～色
菜	ts'ɔi212	菜：煮～，青～
才	ts'ɔi31	才：人～，～气，秀～
賽	sai212	赛：比～
該	kɔi33	该：应～
改	kɔi24	改：修～，～正
開	hɔi33	开：公～，～门
海	hɔi24	海：大～
哀	ɔi33	哀：悲～
愛	ʔɔi33	爱：～情；要
帶	tai212	带：鞋～
大	t'ai54	大：大小
賴	lai54	赖：依～，无～；姓
艾	ŋɔi54	艾：艾草
害	hɔi54	害：～人
拜	pai212	拜：结～，礼～，～佛
排	p'ai31	排：～队
埋	mai31	埋：～伏
齋	tsai33	斋：食～（吃斋）
階	kai33	阶：台～，～级
介	kai21	介：～绍，中～
擺	pai24	摆：摇～
派	p'ai212	派：正～，～出所
買	mai212	买：～卖
賣	mai54	卖：买～
柴	ts'ai31	柴：姓；火～
街	kai33	街：～路
解	kai24	解：～释，讲～[文]
鞋	hai31	鞋：布～
蟹	hai212	蟹：老～
矮	ai24	矮：高矮
敗	p'ai54	败：失～
幣	p'iɛ54	币：人民～
例	liɛ54	例：举～，～外
祭	tsiɛ212	祭：～祀
制	tsiɛ212	制：～度
世	siɛ212	世：～界
藝	ŋiɛ54	艺：～术，文～晚会
米	miɛ24	米：大米
低	tiɛ33	低：高～
底	tiɛ24	底：水～
梯	t'iɛ33	梯：楼～
體	t'iɛ24	体：～育，身～
題	t'iɛ31	题：～目，难～
合	hap3	合：～作，～适[文]
合	kəp5	合：～本，～伙[白]
庵	əm33	庵：尼姑～
揞	əm33	揞：手覆，揞住
暗	əm212	暗：不亮
擔	tam33	担：～任[动]
擔	tam212	担：～竿[名]
膽	tam24	胆：大～
塔	t'ap5	塔：宝～
痰	t'am31	痰：吐～
淡	t'am212	淡：～水（地名）
淡	t'am212	淡：咸～；浓～
籃	lam31	篮：菜～
欖	lam24	榄：橄～，乌～
臘	lap3	腊：～肉，～肠
暫	ts'iam54	暂：～时
甘	kam33	甘：甜；～心
敢	kam24	敢：勇～
斬	tsam24	斩：白～鸡
蘸	tsiam24	蘸：～豉油
插	ts'ap5	插：～花
杉	ts'am212	杉：～树
夾	kap5	夹：夹子；～心饼干
恰	k'ap5	恰：～切，～当
鹹	ham31	咸：～淡
陷	ham54	陷：～害，～井
衫	sam33	衫：衬～，～裤（衣服）
鑑	kam212	鉴：～定
甲	kap5	甲：天干，甲乙丙丁
巖	ŋam31	岩：～石，石灰～
鴨	ap5	鸭：鸭子
壓	at5	压：～力
鐮	liam31	镰：镰刀，禾～
獵	liap3	猎：打～，～人
尖	tsiam33	尖：～刀
接	tsiap3	接：迎～，～待
籤	ts'iam33	签：竹～，求～
潛	ts'iam31	潜：～力
漸	ts'iam54	渐：逐～
捷	ts'iap3	捷：～报，大～，敏～
沾	tsiam33	沾：～光
佔	tsiam31	占：～领，～地方
摺	tsiap5	折：～被，～叠
閃	siam35	闪：～开
攝	nia꜈	摄：～影
涉	siap3	涉：～及
染	niam212	染：污～
檢	kiam24	检：～查，体～
鉗	k'iam31	钳：～工，火～
儉	k'iam54	俭：勤～
險	hiam24	险：危～，保～
掩	jiam24	掩：～护
厭	jiam212	厌：讨～
鹽	jiam31	盐
葉	jiap3	叶：树～；姓
劍	kiam212	剑：宝～
劫	kiap5	劫：抢～
欠	hiam212	欠：～钱，拖～
嚴	niam31	严：～格；姓
業	niap3	业：事～，～余
醃	jiap5	腌：腌制
點	tiam24	点：～心，～头
店	tiam212	店：开～
跌	tiet5	跌：～打
添	t'iam33	添：～加，～丁
貼	tiep5	贴：补～
貼	tiep5	贴：～纸，～对联[动]
甜	t'iam31	甜
碟	t'iep3	碟：盛具，碟子
念	niam54	念：～经，怀～
兼	kiam33	兼：～职
謙	hiam33	谦：～虚
嫌	hiam31	嫌：～弃，～人
協	hiep3	协：～会，～作
法	fat5	法：方～
凡	fan31	凡：平～
犯	fan54	犯：～法[文]
品	p'in24	品：～德
林	lim31	林：树～；姓
立	lit3	立：～足
粒	lit5	粒：三～，颗～
浸	tsim212	浸：～水
集	ts'ip3	集：～合，～体
心	sim33	心：～肝，内～
尋	ts'im31	寻：～人
沉	ts'im31	沉：～底
參	siəm31	参：人～
針	tsim33	针：～线，～对
枕	tsim24	枕：～头[名]；～枕头[动]
汁	tsip5	汁：菜～，果～
深	ts'im33	深：～浅，～入
沈	sim24	沈：姓；地名，～阳
濕	sip5	湿：潮～
十	sip3	十：数字
任	nim54	任：姓；责～，～何
入	jip3	入：～门，进～
金	kim33	金：～银
錦	kim24	锦：～绣，～旗
禁	kim212	禁：～止
急	kip5	急：心～
級	k'ip5	级：～别，年～
欽	him33	钦：～差，～佩
琴	k'im31	琴：弹～
及	k'ip3	及：～时
吸	k'ip5	吸：呼～，～引
陰	ʔim33	阴：～天
飮	ʔim24	饮：～料
單	tan33	单：～独
旦	tan212	旦：元～，花～
