#漢字	音標	解釋
戰	tsien55	战：～斗
折	tsiet21	折：～断，打～
舌	siet55	舌：舌头
設	tsʰiet21	设：～计，建～
善	sien55	善：～良，心～
然	jien21	然：～后，居～
熱	ŋiet55	热：冷～，～情
乾	kʰien21	乾：～坤，～隆
件	kʰien55	件：事～
傑	kiet21	杰：～出
延	jien21	延：～长，～安
演	jien41	演：～员，表～
建	kien55	建：～设
揭	kʰiet21	揭：～发，～露
言	jien21	言：语～
獻	hien55	献：贡～
歇	hiet21	歇：～夜（过夜）
邊	pien34	边：～疆，旁～
扁	pien41	扁：圆扁
片	pʰien55	片：一～，～面
撇	pʰiet21	撇：～捺，～开
顚	tien34	颠：～倒
典	tien41	典：～型，词～
天	tʰien34	天：～才
鐵	tʰiet21	铁：～皮
田	tʰien21	田：种～
電	tʰien55	电：触～，～灯
墊	tien55	垫：～钱，座～
年	ŋien21	年：过～
捏	miet21	捏：以指尖捏取小面积
練	lien55	练：～习，熟～
薦	tsien55	荐：推～
節	ʦiet21	节：～约，竹～
千	tsʰien34	千：～万
切	tsʰiet21	切：～菜
截	ʦʰiet21	截：～断
先	sien34	先：祖～，～进，～生
見	kien55	见：～人，～识
潔	kiet21	洁：～白，清～
牽	hien34	牵：～牛花
硏	jien21	研：～究
顯	hien41	显：明～
賢	hien21	贤：～惠，圣～
現	hien55	现：～在，出～
煙	jien34	烟：冒～
燕	jien55	燕：燕子，～窝
搬	pan34	搬：～运
半	pan55	半：一～，～日
鉢	pat21	钵：花～（花盆），衣～
潘	pʰan34	潘：姓
判	pʰun55	判：～断，审～
潑	pʰat21	泼：～水；泼辣
盤	pʰun21	盘：算～
叛	pʰun55	叛：～徒，背～
滿	man34	满：～意
末	mut55	末：～尾
短	tʰon41	短：长～
脫	tʰot21	脱：～鞋，摆～
團	tʰon21	团：～结，～长
斷	ton55	断：线断了[白]
段	ton55	段：姓；阶～
奪	tʰot21	夺：～取
暖	lon34	暖：冷～
卵	lon34	卵：鸡～（鸡蛋），～生
亂	lon55	乱：混～
捋	lot55	捋：捋袖子
鑽	ʦon55	钻：电～[名]，～石
撮	tsʰuk55	撮：一～毛
酸	son34	酸：～甜
蒜	son55	蒜：大蒜，蒜头
官	kon34	官：～司，当～
管	kon41	管：～理，气～
灌	kon55	灌：～溉
括	kʰut21	括：包～
寬	fon34	宽：～松
款	fun41	款：汇～，拨～
闊	fut21	阔：开～
玩	wan41	玩：～具，游～
歡	fon34	欢：喜～，～喜
丸	jien21	丸：肉～，药～
換	won55	换：交～[文]
活	wut55	活：生～
碗	won41	碗：饭～
頑	ŋan21	顽：～固，～皮
滑	wut55	滑：地～，～稽
挖	wat21	挖：～掘[文]
關	kan34	关：～门，海～
刮	kat21	刮：～毛，搜～
還	wan21	还：～钱[白]
環	wan21	环：～境
彎	wan34	弯：转～
戀	lien41	恋：～爱
劣	liet55	劣：～质，恶～
全	ʦʰon21	全：～部，安～
絕	tsʰiet55	绝：～对
宣	son34	宣：～布，～传
選	sien41	选：～择，挑～
雪	siet21	雪：落～（下雪），～白
旋	hien21	旋：～转
轉	tson41	转：～学，～移，翻～
傳	tsʰon21	传：～达，流～
專	tson34	专：～门，大～
穿	ʦʰon34	穿：～堂风，揭～
串	tsʰon55	串：一～，～通
船	son21	船：轮～
說	sot21	说：小～
軟	ŋon34	软：～弱
捲	kien41	卷：～起来[动]
圈	hien34	圈：圆～，～套
拳	kʰien21	拳：～头
圓	jien21	圆：团～
院	jien55	院：医～，～长
閱	ŋiet55	阅：～读
反	fan41	反：～对，造～
發	fat21	发：～展，～财[文]
發	fat21	发：～虫（长虫）[白]
翻	fan34	翻：～书[文]
翻	fan41	翻：翻转；呕吐[白]
煩	fan21	烦：麻～
飯	fan55	饭：食～，～店
罰	fat55	罚：～款，惩～
晚	man34	晚：～会
萬	man55	万：～一
襪	mat21	袜：鞋～
勸	hien55	劝：规～
原	jien21	原：～来，平～
願	ŋien55	愿：～望
怨	jien55	怨：～人，埋～
遠	jien41	远：永～
粵	ŋiet55	粤：～东
決	kʰiet21	决：～定
犬	hien41	犬：狂～病
血	hiet21	血：流～
縣	jien55	县：～长
穴	ŋiet55	穴：～位
吞	tʰun34	吞：～口水
跟	kien34	跟：～从
恩	in34	恩：～人
賓	pin34	宾：贵～
筆	pit21	笔：毛～，～记
匹	pʰit21	匹：～配
貧	pʰin21	贫：扶～
民	min21	民：人～，～族
敏	min41	敏：灵～
密	mit55	密：秘～，～封
鄰	lun21	邻：～居
鱗	lin21	鳞：鱼～
栗	lut55	栗：～子
進	tsin55	进：～步，前～
親	tsʰin34	亲：～生，父～
七	tsʰit21	七：数字
秦	tsʰun21	秦：姓；～国
盡	tsin55	尽：～量，～力，～头
疾	tsɐt55	疾：残～
新	sin34	新：～旧
信	sin55	信：相～
膝	sit21	膝：～头（膝盖）
珍	tsin34	珍：～珠
鎭	tsɐn55	镇：～长，～压
陳	tsʰin21	陈：姓；～列，～皮
陣	tsɐn55	阵：～雨
姪	ʦʰit55	侄：～子
蝨	sit21	虱：虱子，～嫲
眞	tsin34	真：认～，～假
振	tsɐn55	振：～动
質	tsit21	质：～量，品～
神	sin21	神：～仙，精～
實	sit55	实：老～，～在
身	sin34	身：～体，上～
失	sit21	失：～去，丧～
晨	sin21	晨：朝～
腎	sin55	肾：～病
人	ŋin21	人：老～，～民
仁	jin21	仁：～义
