#漢字	音標	解釋
戲	hi55	戏：做～
椅	i41	椅：椅子，藤～
易	i55	易：容～
比	pi41	比：～较，对～
屁	pʰi55	屁：放～
鼻	pʰi55	鼻：鼻子；鼻涕
眉	mi21	眉：眉毛，画～
美	mui41	美：～丽，～化
地	thqi55	地：土～
膩	li55	腻：油～，细～
資	tsi34	资：～本
姊	tsi41	姊：～妹
次	ʦʰi55	次：名～，～品
自	tsi55	自：～私
四	si55	四：数字
師	si34	师：老～，～父
指	tsi41	指：手～，～甲
屎	si41	屎：狗～
二	ŋi55	二：数字
姨	ji21	姨：大～，～丈
李	li41	李：姓；水果
理	li34	理：道～，～由
子	tsi41	子：～孙；孔～
字	si55	字：～典，文～
絲	si34	丝：～绸
詞	ʦʰi21	词：歌～
寺	si55	寺：～庙，灵光～
柿	tsʰi41	柿：柿子，～饼
痣	tsi55	痣：乌～
齒	ʦʰi41	齿：牙～
詩	si34	诗：～人
時	si21	时：～间，当～
耳	ŋi41	耳：耳朵，中～炎
基	ki34	基：～本，地～
記	ki55	记：笔～，～号
起	hi41	起
喜	hi41	喜：～欢
醫	ji34	医：～生
意	ji55	意：～思
以	ji41	以：可～，～为
幾	ki41	几：～只
氣	hi55	气：～人，空～
希	hi34	希：～望
隨	tsʰøi121	随：～时，～便
吹	ʦʰøi34	吹：～牛皮，～喇叭
跪	kʰui41	跪：下～
危	ŋɐi21	危：～险，安～
委	wui41	委：～托，常～
類	lui55	类：分～
追	tsui34	追：～求[文]
衰	sɔi34	衰：～弱，～老[文]
水	sui41	水：～果，～平
龜	kui34	龟：乌～
葵	kʰui21	葵：向日～，～花籽
櫃	kʰui55	柜：～台
位	wui55	位：座～，～置
維	wui21	维：～生素，～持，纤～
飛	fui34	飞：～机；飞行
費	fui55	费：～用，浪～
肥	pʰui21	肥：化～，～肉
尾	bui34	尾：尾巴
味	bui55	味：～道，～精
鬼	kui41	鬼：鬼神
貴	kui55	贵：～重
魏	ŋɐi55	魏：～国；姓
威	wui34	威：～风，～胁
畏	wui55	畏：不喜欢；怕，～热
偉	wui41	伟：～大
胃	wui55	胃：肠～
寶	pau41	宝：～贝
報	pau55	报：～告，日～
袍	pʰau21	袍：长～，袄～
暴	pau55	暴：～雨，残～
毛	mau21	毛：～病，鸡～
帽	mau55	帽：草～
刀	tau34	刀：菜～
到	tau55	到：～站
討	tʰau41	讨：～老婆，～厌
套	tʰau55	套：配～，～房
桃	tʰau21	桃：杨～，～花
稻	tʰui55	稻：水～
導	tau55	导：领～，～师
惱	lau41	恼：烦～[文]
惱	lau41	恼：讨厌，不喜欢[白]
勞	lau21	劳：～动
老	lau41	老：～爷，～实
糟	ʦu34	糟：酒～，～糕
早	ʦau41	早：还～
竈	tsau55	灶：～头，～神
草	tsʰau41	草：青～，～稿
造	tsau55	造：创～
臊	sau34	臊：臭～
掃	sau55	扫：～地[动]
嫂	sau41	嫂：大～
髙	kau34	高：姓；～低
稿	kau41	稿：草～，～纸
吿	kau55	告：报～，～状
考	hau41	考：～试，大～
靠	kʰau55	靠：依～，可～
熬	ŋau21	熬：～汤，～夜
好	hau41	好：～人
號	hau55	号：～码，口～[名]
襖	ŋau41	袄：棉～，～袍
包	pau34	包：钱～，～围
飽	pau41	饱：食～（吃饱）
爆	pau55	爆：～炸
炮	pʰau55	炮：枪～
跑	pʰau34	跑：～步
茅	mau21	茅：～庐
貓	miau55	猫：大～
貌	mau55	貌：礼～
鬧	lau55	闹：～热，～事
罩	tsau55	罩：灯～，床～
爪	tsau41	爪：鸡～
抄	tsʰau34	抄：～书
炒	tsʰau41	炒：～股，～菜
交	kau34	交：～通，～钱[文]
咬	ŋau34	咬：～人
孝	hau55	孝：～顺
效	hau55	效：～果
標	pieu34	标：～准，～志，招～
表	piau41	表：图～，～扬
票	pʰiau55	票：车～
苗	miau21	苗：鱼～，～族
秒	miau41	秒：～针
廟	miau55	庙：和尚～
療	liau41	疗：治～，～养
椒	tsiau34	椒：胡～
消	siau34	消：～化
小	siau41	小：～姐，～人
笑	siau55	笑：～话，玩～
朝	tsau34	朝：～晨，三～
超	tsʰiau34	超：～过
朝	tsʰiau21	朝：～代
趙	tsau55	赵：姓
招	ʦiau34	招：～生
照	ʦau55	照：～明，～顾
燒	sau34	烧：～水，发～
少	siau41	少：～数，多～
少	siau55	少：～年，～爷
饒	jiau21	饶：～命，求～
繞	jiau41	绕：围～，～线
嬌	kiau34	娇：～气，做～（撒娇）
橋	kʰiau21	桥：大～
轎	kʰiau55	轿：坐～，扛～
要	jiau34	要：～求
要	jiau55	要：重～
