#漢字	音標	解釋
據	ki31	据：收～
鋸	ki45	锯：电～
墟	sy11	墟：～日
去	kʰi45	去：来～，过～
渠	kʰi11	渠：水～，～道
佢	ki41	佢：他，第三人称
巨	kʰi11	巨：～大
拒	kʰi11	拒：～绝
距	kʰi11	距：～离
魚	ɲy41	鱼：金～
漁	ɲy41	渔：～业，～夫
語	ɲy11	语：～文
御	ɲy45	御：～用文人
禦	y45	御：防～
虛	sy11	虚：～心
噓	sy11	嘘：吹～
許	sy31	许：允～；姓
於	i41	于：在～
淤	i41	淤：～泥
余	i41	余：姓
餘	i41	余：多～
與	i31	与：参～，给～，～众不同
予	i31	予：给～
譽	i31	誉：荣～
預	i31	预：～报，～备
豫	i31	豫：犹～
夫	fu11	夫：～妻，车～
膚	fu11	肤：皮～
府	fu31	府：政～
腑	fu31	腑：五脏六～
俯	fu31	俯：～卧撑，～视
甫	pʰu31	甫：杜～
脯	pʰu31	脯：菜～（萝卜干）
斧	pu31	斧：～头
付	fu45	付：应～
咐	fu45	咐：吩～
賦	fu31	赋：天～
傅	fu31	傅：师～[文]
傅	fu45	傅：姓[白]
敷	fu11	敷：～衍，～药
俘	fu11	俘：～虏
孵	pʰu31	孵：孵小鸡
矢	ʦɿ11	矢：有的放～
屎	sɿ31	屎：狗～
視	sɿ45	视：近～
嗜	ki11	嗜：～好
二	ɲi31	二：数字
貳	liɔŋ31	贰：～心
飢	ki11	饥：～饿
肌	ki11	肌：～肉
几	ki11	几：茶～
冀	i31	冀：河北简称，晋察～
器	kʰi45	器：武～，机～，～重
棄	kʰi45	弃：放～，抛～
祁	kʰi41	祁：～连山
伊	i41	伊：～犁；姓
姨	i41	姨：大～，～丈
你	ȵi22	你：～们，第二人称[文]
你	n̩41	你：第二人称[白]
釐	li41	厘：～米
狸	li41	狸：狐～
李	li31	李：姓；水果
里	li11	里：公～
裏	li31	里：～外
理	li11	理：道～，～由
鯉	li11	鲤：～鱼
吏	li45	吏：官～
滋	ʦɿ11	滋：～味
子	ʦɿ31	子：～孙；孔～
梓	ʦɿ31	梓：桑～；曾宪～
慈	ʦʰɿ41	慈：～悲，～禧太后
磁	ʦʰɿ41	磁：～铁，～场
字	sɿ31	字：～典，文～
司	sɿ11	司：公～，～令
絲	sɿ11	丝：～绸
思	sɿ11	思：～想
伺	sɿ31	伺：～候，～机而动
思	sɿ11	思：意～
辭	ʦʰɿ41	辞：～职，告～
詞	ʦʰɿ41	词：歌～
祠	ʦʰɿ41	祠：～堂
似	sɿ45	似：相～，～乎[文]
似	ʦʰiɔŋ45	似：好～（好像）[白]
祀	sɿ45	祀：祭～
巳	sɿ45	巳：地支，～时
寺	sɿ31	寺：～庙，灵光～
嗣	ʦʰɿ41	嗣：后～；谭～同
飼	ʦʰɿ41	饲：～料，～养[文]
飼	ʦʰi31	饲：喂饭[白]
置	ʦɿ45	置：布～
癡	ʦʰɿ11	痴：白～，～呆
恥	ʦʰɿ31	耻：～辱
持	ʦʰɿ41	持：支～
痔	sɿ31	痔：～疮
治	ʦʰɿ31	治：～安，统～[文]
治	tʰɔŋ11	治：～鸡，～猪[白]
廁	ʦʰɿ45	厕：～所，公～
士	sɿ31	士：～兵
仕	sɿ31	仕：～途
柿	sɿ31	柿：柿子，～饼
事	sɿ31	事：～实，～情[文]
事	sɿ31	事：做～[白]
使	sɿ31	使：～用，假～，大～馆
史	sɿ45	史：历～
駛	sɿ45	驶：驾～
之	ʦɿ11	之：～前
芝	ʦɿ11	芝：灵～，～麻
止	ʦɿ31	止：停～，～血
趾	ʦɿ31	趾：脚～
址	ʦɿ31	址：地～
志	ʦɿ45	志：～气，～愿
誌	ʦɿ45	志：县～，标～
痣	ʦɿ45	痣：乌～
