#漢字	音標	解釋
糾	tau35	纠：纠正
幽	jɐu53	幽：幽默
幼	jɐu33	幼：幼稚，幼小
耽	tam53	耽：耽误，耽搁
搭	tap033	搭：衣服搭在肩上，搭讪
答	tap033	答：回答
貪	tʰam53	贪：贪心
探	tʰam33	探：探路，试探
踏	tap	踏：脚踏，践踏
潭	tʰam21	潭：溪中深处，湘潭，鹰潭
譚	tʰam21	谭：姓，谭震林
壜	tʰan21	坛：酒坛
沓	tap	沓：一沓纸
南	lam21	南：南方，东南
男	lam21	男：男人
納	lap	纳：出纳
拉	lai53	拉：推拉，拖拉，拉萨
簪	tsam53	簪：发簪
參	tsʰam53	参：参加，参军
慘	tsʰam35	惨：悲惨
蠶	tsʰam21	蚕：动物
雜	tsap	杂：复杂，杂货
感	kam35	感：感谢，感动
蛤	kap053	蛤：蛤蜊，花蛤
合	hap	合：十合一升
鴿	kap053	鸽：鸽子
堪	hɐm53	堪：难堪，不堪
坎	hɐm53	坎：坎坷
砍	hɐm35	砍：砍柴
勘	ham33	勘：勘探，勘误
喝	hot033	喝：喝酒
含	hɐm21	含：包含，含在嘴里
函	ham21	函：信函，函授
撼	ham22	撼：震撼
憾	ham22	憾：遗憾
合	hap	合：合作
盒	hap	盒：盒子
庵	ɐm53	庵：尼姑庵
揞	ɐm53	揞：手覆、揞住
暗	ɐm33	暗：不亮，黑暗
擔	tam53	担：挑，拿，担任
膽	tam35	胆：胆小，苦胆
擔	tam33	担：挑担，担子
坍	tʰan53	坍：坍下来，坍塌
毯	tʰan35	毯：毯子，毛毯
塔	tʰap033	塔：一座塔
遢	tʰat033	遢：邋遢
溻	tʰap033	溻：湿溻溻，溻汗
塌	tʰap033	塌：倒塌
談	tʰam21	谈：谈话，会谈
痰	tʰam21	痰：吐痰
淡	tʰam13	淡：咸淡，浓淡
藍	lam21	蓝：蓝色，深蓝
籃	lam21	篮：菜篮，篮子
覽	lam13	览：阅览，展览
攬	lam13	揽：总揽，包揽
欖	lam35	榄：橄榄
濫	lam13	滥：泛滥
纜	lam22	缆：粗索，缆绳
臘	lap	腊：腊肉，腊月
蠟	lap	蜡：蜡烛
慚	tsʰam21	惭：惭愧
暫	tsam22	暂：暂时，短暂
三	sam53	三：数字
甘	kam53	甘：甘蔗，甘心
柑	kam53	柑：芦柑，柑桔
敢	kam35	敢：敢不敢，勇敢
橄	kam33	橄：橄榄
喊	ham33	喊：叫喊
酣	lɐm22	酣：酣睡
站	tsam22	站：站立
劄	tsat	扎：针扎，札记
賺	tsan22	赚：赚钱
站	tsam22	站：车站
斬	tsam35	斩：
蘸	tsam33	蘸：蘸酱油
眨	tsam35	眨：眨眼
插	tsʰap033	插：插在腰里，插秧
讒	tsʰam21	谗：谗言
閘	tsap	闸：闸门
煠	tsa31	炸：把食物放入汤或煮沸的油里弄熟
杉	tsʰam33	杉：杉树，杉木
尷	kam33	尴：尴尬
減	kam35	减：减掉点饭，加减
鹼	kan35	碱：发酵用
夾	kap	夹：夹子，夹东西
裌	kap	裌：裌衣
恰	hat055	恰：恰当
喊	ham33	喊：叫喊，呻吟
鹹	ham21	咸：咸淡
咸	ham21	咸：咸丰
陷	ham22	陷：陷害，陷进去，陷井
餡	ham35	馅：馅心，饺子馅
狹	hap	狭：窄，狭窄
峽	hap	峡：峡口，三峡
洽	hap053	洽：洽谈，融洽
衫	sam53	衫：衬衫，布衫
監	kam53	监：监视，牢监
鑑	kam33	鉴：鉴定
監	kam53	监：国子监
甲	kap033	甲：天干第一
嵌	hɐm53	嵌：镶嵌
巖	ŋam21	岩：石头，岩石
銜	hɐm21	衔：叼在嘴里，头衔，军衔
艦	lam22	舰：军舰
匣	hap	匣：匣子，箱匣
鴨	ap033	鸭：动物
押	at033	押：抵押，押送
壓	at033	压：压力，镇压
貶	pin35	贬：贬值，褒贬
黏	lim53	黏：黏米，黏起来
聶	lit033	聂：姓
鑷	lip	镊：镊子
廉	lin21	廉：廉洁，清廉
鐮	lin21	镰：镰刀
簾	lin21	帘：窗帘，帘子
斂	lin13	敛：收敛
殮	lin13	殓：殡殓
獵	lit	猎：打猎
尖	tsin53	尖：尖刀，眼睛尖，铅笔尖儿
殲	tsin53	歼：～灭
接	tsit033	接：接人，接起来
籤	tsʰin53	签：竹签，求签
簽	tsʰin53	签：签字
妾	tsʰit033	妾：小老婆
潛	tsʰin21	潜：潜水，潜伏，于潜
漸	tsin22	渐：逐渐，渐渐
捷	tsit	捷：捷报，大捷
沾	tsim53	沾：沾亲带故
粘	tsin53	粘：粘贴
占	tsin53	占：占卜
佔	tsin33	占：占领，占地方
摺	tsit033	摺：折被子、纸
陝	sin35	陕：陕西
閃	sin35	闪：闪电
攝	sit033	摄：摄影
蟾	sin21	蟾：蟾酥
涉	sit033	涉：干涉，涉及
染	jin13	染：污染，染色
檢	kʰin35	检：检查，体检
臉	lin35	脸：脸色，花脸
鉗	kʰin21	钳：老虎钳，钳子
儉	kʰim22	俭：节俭，俭朴
驗	jim22	验：试验，验证
險	hin35	险：危险，险恶
淹	jin35	淹：淹没，淹死
閹	jin53	阉：阉割
掩	jin35	掩：掩护
魘	jin35	魇：梦魇（梦见胸口被压着喘不过气）
厭	jin33	厌：讨厌，厌烦
炎	jin21	炎：消炎，炎热
鹽	jin21	盐：调味品
閻	jin21	阎：阎王，姓
檐	sim21	檐：屋檐，檐头
豔	jin22	艳：鲜艳，艳丽
焰	jin22	焰：火焰，焰火
葉	jit	叶：姓，树叶
頁	jit	页：一页两页
劍	kin33	剑：宝剑
劫	kit033	劫：抢劫，劫数
欠	hin33	欠：欠债，拖欠
怯	hit	怯：胆怯
嚴	jin21	严：严格，姓
業	jit	业：事业，业余
脅	hit	胁：威胁
醃	jit033	醃：腌制
掂	tim053	掂：掂分量
點	tim35	点：一点，点头
踮	tim53	踮：踮脚尖
店	tim33	店：开店，商店
跌	tit033	跌：跌打损伤
添	tʰim53	添：增添，添加
舔	tʰim13	舔：以舌取物
帖	tʰet033	帖：请帖
貼	tʰet033	贴：贴邮票，张贴
甜	tʰen21	甜：糖的滋味
疊	tit	叠：折叠，堆叠
碟	tit	碟：似盘而小
牒	tit	牒：通牒，文牒
蝶	tit	蝶：蝴蝶
諜	tit	谍：间谍
拈	lin53	拈：用两三个手指头夹、捏取物，拈轻怕重
念	lim22	念：念经，想念
兼	kin53	兼：兼职
挾	kap033	挟：挟菜
謙	hin53	谦：谦虚
歉	hit033	歉：道歉，歉意
嫌	hin21	嫌：嫌弃
協	hit	协：协作，协会
俠	hap	侠：侠义，武侠
法	fat033	法：法律，办法
泛	fan35	泛：广泛，泛滥
凡	fan21	凡：下凡，凡是
帆	fan21	帆：船帆
范	fan22	范：师范，模范
範	fan22	范：姓
犯	fan22	犯：犯法，犯人
梵	fan21	梵：梵文
乏	fat	乏：乏力，缺乏
稟	pɐn35	禀：禀报
品	pɐn35	品：品德，商品
賃	jɐm22	赁：租赁
林	lɐm21	林：姓，树林
淋	lɐm21	淋：淋雨
臨	lɐm21	临：临时，面临
立	lɐp	立：立正，建立
笠	lɐp053	笠：斗笠，笠帽
粒	lɐp053	粒：一粒，颗粒
浸	tsɐm33	浸：泡在水里
侵	tsʰɐm53	侵：侵略，入侵
寢	tsʰɐm35	寝：寝室，就寝
集	tsɐp	集：集体，召集
輯	tsʰɐp053	辑：编辑
心	sɐm53	心：身体，心思
尋	tsʰɐm21	寻：找，寻死
習	tsɐp	习：学习，习惯
襲	tsɐp	袭：袭击、抄袭
砧	tsɐm53	砧：砧板，铁砧
沉	tsʰɐm21	沉：沉浮
蟄	tsek	蛰：惊蛰
簪	tsam53	簪：发簪
岑	sɐm21	岑：姓
森	sɐm53	森：森林
參	sɐm53	参：人参
滲	sɐm33	渗：渗透，渗水
澀	kit033	涩：青苹果味
級	kʰɐp053	级：级别，年级
給	kʰɐp053	给：供给
欽	jɐm53	钦：钦佩
撳	kɐm22	揿：手用力捏住，往下按
泣	jɐp053	泣：哭泣
琴	kʰɐm21	琴：弹琴
禽	kʰɐm21	禽：家禽
擒	kʰɐm21	擒：擒拿
妗	kʰɐm13	妗：舅母，娘妗
及	kɐp	及：不及，及时
吟	jɐm21	吟：呻吟，吟诗
吸	kʰɐp053	吸：呼吸，吸住
音	jɐm53	音：声音，音乐
陰	jɐm53	阴：阴天，乌阴
飮	jɐm35	饮：饮酒，米汤
蔭	jɐm33	阴：屋子里很阴
揖	tsʰɐp053	揖：作揖
邑	jɐp053	邑：五邑
淫	jɐm21	淫：淫荡，浸淫
丹	tan53	丹：人丹
單	tan53	单：单独
疸	tʰan35	疸：黄疸
旦	tan33	旦：元旦
灘	tʰan53	滩：沙滩
攤	tʰan53	摊：摆摊，摊开
癱	tʰan35	瘫：瘫痪，风瘫
坦	tʰan35	坦：坦白，坦克
嘆	tʰan33	叹：叹气，感叹
炭	tʰan33	炭：烧炭，木炭
檀	tʰan21	檀：檀香
壇	tʰan21	坛：天坛
彈	tʰan21	弹：弹琴
誕	tan33	诞：诞生
但	tan22	但：但是，不但
彈	tan22	弹：子弹，弹子
蛋	tan35	蛋：鸡蛋，皮蛋
達	tat	达：达到，到达
難	lan21	难：困难，很难
難	lan22	难：落难，逃难
捺	lat	捺：撇捺，捺下去
蘭	lan21	兰：兰花
攔	lan21	拦：拦住
欄	lan21	栏：栏杆，猪栏
懶	lan13	懒：懒惰，很懒
爛	lan22	烂：腐烂，烂掉
辣	lat	辣：味道，泼辣
贊	tsan33	赞：赞助
灒	tsʰin35	灒：溅水
餐	tsʰan53	餐：一餐饭，快餐
燦	tsʰan33	灿：灿烂
擦	tsʰat033	擦：擦洗
殘	tsʰan21	残：残疾，摧残
珊	san53	珊：珊瑚
散	san35	散：松散，鞋带散了
傘	san33	伞：雨伞
散	san33	散：散会，解散
撒	sat033	撒：撒化肥，撒种
干	kon53	干：天干地支
乾	kon53	干：干湿
肝	kon53	肝：身体，猪肝
竿	kon53	竿：竹竿
桿	kon35	杆：木杆
稈	kon35	秆：稻秆
趕	kon35	赶：赶走，追赶
幹	kon33	干：干部，能干
割	kot033	割：割稻
葛	kot033	葛：姓，诸葛亮
看	hon53	看：看守
刊	hon35	刊：报刊
看	hon33	看：看见
渴	hot033	渴：口渴，渴望
岸	ŋon22	岸：岸上，口岸
鼾	hon21	鼾：打鼾
罕	hon13	罕：稀罕，罕见
漢	hon33	汉：汉族，好汉
喝	hot033	喝：喝采，吆喝
寒	hon21	寒：伤寒，小寒，寒冷
韓	hon21	韩：姓，韩国
旱	hon13	旱：干旱
汗	hon22	汗：出汗
銲	hon22	焊：焊接，电焊
翰	hon22	翰：翰林，人名用字
安	on53	安：安全，安放
鞍	on53	鞍：马鞍
按	on33	按：按照，按铃
案	on33	案：人命案，档案
扮	pan22	扮：打扮，扮相
八	pat033	八：数字
盼	pʰan33	盼：盼望，期盼
辦	pan22	办：办法，怎么办
瓣	pan22	瓣：花瓣，叶子
拔	pat022	拔：拔秧，选拔
抹	mut033	抹：抹布
盞	tsan35	盏：灯盏，酒盏，碗盏
札	tsat033	札：札记，信札
紮	tsat033	扎：扎紧，驻扎
鏟	tsʰan35	铲：镬铲，铲草
察	tsʰat033	察：察看，观察
山	san53	山：山顶，泰山
產	tsʰan35	产：生产，共产党，做产母，产母娘
殺	sat033	杀：杀人，自杀
艱	kan53	艰：艰苦
間	kan53	间：中间，一间房间
簡	kan35	简：简单
柬	kan35	柬：请柬
揀	kan35	拣：挑选，拣菜
間	kan33	间：间断，离间
眼	ŋan13	眼：针眼，眼镜
閑	han21	闲：空闲，闲事
限	han22	限：有限，限制
莧	hin22	苋：苋菜，马齿苋
軋	tsat033	轧：被车轧，轧钢厂
班	pan53	班：班级，上班
斑	pan53	斑：雀斑，斑点
扳	man33	扳：扳手，用力往后拉
頒	pan53	颁：颁布
板	pan35	板：黑板，石板
版	pan35	版：出版，版本
攀	pʰan53	攀：攀登，高攀
蠻	man21	蛮：野蛮，蛮横
慢	2	慢：慢车，快慢
慢	man21	慢：慢车，快慢
棧	tsan35	栈：客栈，栈房，栈道
鍘	tsap022	铡：铡刀（包公的刑具，切中药、人参的工具）
刪	san53	删：删除
疝	san33	疝：疝气（大卵脬，小肠气）
奸	kan53	奸：奸臣，忠奸
澗	kan33	涧：两山之间的小溪
顏	ŋan21	颜：颜色，姓
雁	ŋan22	雁：大雁，雁鹅
瞎	hat022	瞎：瞎子，眼瞎
轄	hat022	辖：直辖市，管辖
晏	an33	晏：晚也，晏子
鞭	pin53	鞭：皮鞭，鞭策
編	pʰin53	编：编筐，编辑
變	pin33	变：改变，变化
別	pit022	别：别针，别支笔在口袋
鱉	pit022	鳖：甲鱼，鳖壶（军用水壶）
篇	pʰin53	篇：一篇文章
偏	pʰin53	偏：偏偏，偏僻
騙	pʰin33	骗：骗人，欺骗
便	pʰin21	便：便宜
辯	pin22	辩：辩论
辨	pin22	辨：分辨，辨别
便	pin22	便：方便，便当
別	pit022	别：分别，别人
綿	min21	绵：海绵，绵延
棉	min21	棉：棉花
免	min13	免：免除，罢免
勉	min13	勉：勉强，勉励
緬	min13	缅：缅甸，缅怀
娩	min13	娩：分娩
面	min22	面：被面，面子
滅	mit022	灭：消灭，灭亡
碾	tsin35	碾：农具，碾米
連	lin21	连：连长，大连
聯	løn21	联：对联，联系
列	lit022	列：排列，列宁
烈	lit022	烈：烈士，热烈
裂	lit033	裂：分裂，裂开
煎	tsin53	煎：煎药，煎鱼
剪	tsin35	剪：铰剪，剪东西
箭	tsin33	箭：射箭
濺	tsʰin35	溅：溅水
遷	tsʰin53	迁：迁移
淺	tsʰin35	浅：深浅，浅薄
錢	tsʰin21	钱：一块钱，姓
踐	tsʰin35	践：实践
賤	tsin22	贱：犯贱，贱价
仙	sin53	仙：神仙，仙丹
鮮	sin53	鲜：新鲜，鲜艳
鮮	sin53	鲜：朝鲜
癬	sin35	癣：脚癣
綫	sin33	线：棉线，线索
薛	sit033	薛：姓，薛宝钗
泄	sit033	泄：排泄，泄漏，泄洪
羡	sin22	羡：羡慕
展	tsin35	展：发展，展开
哲	tsit033	哲：哲学，哲理
蜇	tsit033	蜇：蝎子蜇人，海蜇
撤	tsʰit033	撤：撤退
徹	tsʰit033	彻：彻底
纏	tsin21	缠：盘缠，纠缠
轍	tsʰit033	辙：南辕北辙
澈	tsʰit033	澈：清澈
氈	tsin53	毡：油毛毡
戰	tsin33	战：战斗
顫	tsin33	颤：颤抖，打颤
折	tsit033	折：打折，折扣
浙	tsit033	浙：浙江
舌	sit022	舌：舌头，口舌
搧	sin33	搧：搧扇子
扇	sin33	扇：芭蕉扇
設	tsʰit033	设：建设，设计
蟬	sim21	蝉：蝉儿，蝉蜕
禪	sim21	禅：禅师，禅宗
善	sin22	善：善良，面善
膳	sin22	膳：用膳，膳食
單	sin21	单：姓，单雄信
禪	sim21	禅：禅让
折	sit022	折：折本，摔折
然	jin21	然：然后，居然
燃	jin21	燃：点燃，燃烧
熱	jit022	热：冷热，热烈
遣	hin35	遣：遣责，派遣
乾	kʰin21	乾：乾隆，乾坤
虔	kʰin21	虔：虔诚
件	kin22	件：一件，事件
傑	kit022	杰：杰出，豪杰
諺	jin21	谚：谚语
孽	jit022	孽：作孽
蔫	tsin33	蔫：食物不新鲜
焉	jin53	焉：心不在焉
延	jin21	延：延安，拖延
筵	jin21	筵：酒席
演	hin35	演：表演，演出
演	jin35	演：表演，演出
建	kin33	建：建设，新建
揭	kʰit033	揭：揭发，揭盖
鍵	kin22	键：关键，键盘
健	kin22	健：健康，老人体健
腱	kin22	腱：肌腱
竭	hit033	竭：竭尽全力
言	jin21	言：语言，言论
掀	hin53	掀：掀桌子、锅盖、被子
軒	hin53	轩：人名用字
憲	hin33	宪：宪法
獻	hin33	献：贡献，献宝
歇	hit033	歇：休息，一歇
蠍	kʰit033	蝎：蝎子，蛇蝎
蔫	tsin33	蔫：花蔫了，颜色不鲜艳
堰	jin33	堰：都江堰，坝
邊	pin53	边：旁边，边缘
蝙	pʰin53	蝙：蝙蝠
扁	pin35	扁：扁担，形状
匾	pin35	匾：牌匾，匾额
遍	pʰin33	遍：一遍
遍	pʰin33	遍：遍地，普遍
憋	pei33	憋：憋气，憋尿
片	pʰin33	片：一片，片面
撇	pʰit033	撇：撇捺，撇开
辮	pin53	辫：编辫子，辫子
眠	min21	眠：安眠，眠床
麵	min22	面：吃面，面粉
篾	met022	篾：竹篾
顚	tin53	颠：颠倒，颠箥
癲	tin53	癫：疯，癫狗
典	ten35	典：词典，典当
天	tʰin53	天：天上，晴天
鐵	tʰet033	铁：钢铁
田	tʰen21	田：种田，田地
塡	tʰen21	填：填空，填房（续弦）
電	ten22	电：电灯，触电
殿	ten22	殿：佛殿，殿堂
佃	ten22	佃：佃户
墊	tsin33	垫：垫钱，座垫
年	nin21	年：过年，年纪
撚	nen35	撚：用指撚碎，撚线
捏	lip033	捏：捏紧
憐	lin21	怜：可怜
蓮	lin21	莲：莲花，莲蓬
練	lin22	练：练习，熟练
煉	lin22	炼：炼丹
鏈	lin35	链：项链，链条
楝	lin22	楝：苦楝树
鍊	lin22	炼：锻炼
箋	tsin53	笺：便笺，信笺
薦	tsin33	荐：推荐，棕荐，稿荐
節	tsit033	节：竹节，节约
癤	tsit033	疖：疮疖
千	tsʰin53	千：数字，千万
切	tsʰit033	切：切开，迫切
前	tsʰin21	前：前后，从前
截	tsit022	截：斩钉截铁，截断
先	sin53	先：祖先，先进
屑	sit033	屑：木屑，不屑一顾
楔	kɐi33	楔：楔子
肩	kin53	肩：肩膀
堅	kin53	坚：坚强
繭	kan35	茧：蚕茧
趼	tsɐm35	趼：老茧
見	kin33	见：没脸见人，看见，见识
結	kit033	结：打结，结果
潔	kit033	洁：清洁，洁白
牽	hin53	牵：牵牛花
硏	jin21	研：研究，研磨
硯	jin22	砚：砚台
顯	hin35	显：明显，显灵
賢	jin21	贤：圣贤，贤惠
弦	jin21	弦：上弦月，琴弦
現	jin22	现：出现，现在
煙	ʔen53	烟：冒烟，香烟
燕	jin53	燕：姓，燕京
宴	jin33	宴：宴会
燕	jin33	燕：燕子
嚥	jin53	咽：下咽，咽喉
搬	pun53	搬：搬家，搬运
般	pun53	般：般配，一般
半	pun33	半：半天，一半
絆	pun22	绊：绊脚石，绊倒
鉢	put033	钵：钵头，衣钵
撥	put022	拨：拨款，点拨
潘	pʰun53	潘：姓
拚	pʰeŋ33	拼：拼命
判	pʰun33	判：判断，审判
潑	pʰut033	泼：泼水，泼辣
盤	pʰun21	盘：盘子，算盘
伴	pun22	伴：伙伴，伴随
拌	pun22	拌：搅拌，凉拌
畔	pun22	畔：河畔，江畔
叛	pun22	叛：叛徒，背叛
瞞	mun21	瞒：隐瞒
饅	man22	馒：馒头
鰻	man22	鳗：河鳗，鳗鱼
滿	mɐn13	满：装满，满意
漫	man22	漫：漫长，漫画
末	mut022	末：末尾，锯末
沫	mut022	沫：泡沫
抹	mut033	抹：抹布，抹杀
端	tyn53	端：端午，端正
短	tyn35	短：长短，短命
斷	tyn22	断：判断，断案，断价钱
鍛	tyn22	锻：锻炼
脫	tʰyt033	脱：脱衣裳，脱线，摆脱
團	tʰyn21	团：团结，一团线，团长
糰	tʰyn21	团：糯米团子
斷	tʰyn13	断：断绝，断掉
段	tyn22	段：一段木头，路段，阶段
緞	tyn22	缎：绸缎，缎面
奪	tyt022	夺：抢夺，夺权
暖	lyn13	暖：温暖，暖和
鸞	lyn21	鸾：鸾凤
卵	lɐn35	卵：鸡卵，男阴
亂	lyn22	乱：混乱，乱动
捋	lɐn35	捋：以手沿物摘取，顺着抹过去，捋胡子，捋牌,捋衣袖
鑽	tsyn33	钻：动词，钻洞
纂	tsyn33	纂：编纂
攢	tsan22	攒：攒钱
鑽	tsyn33	钻：名词，扯钻，钻子
竄	tsʰyn35	窜：东窜西窜
撮	tsʰyt053	撮：一撮毛，撮一撮米
酸	syn53	酸：硫酸，味道
算	syn33	算：算账，计算
蒜	syn33	蒜：大蒜，蒜苗
官	kun53	官：当官，官司
棺	kun53	棺：棺材
觀	kun53	观：参观，观音
冠	kun33	冠：衣冠
管	kun35	管：不管，管理
館	kun35	馆：馆子，图书馆
貫	kun33	贯：一贯，贯彻
灌	kun33	灌：灌溉，浇灌
罐	kun33	罐：瓦罐，罐头
觀	kun33	观：道观，寺观
冠	kun33	冠：冠军
括	kʰot033	括：包括，
寬	fun53	宽：宽敞，不紧
款	fun35	款：款项，汇款
闊	fut033	阔：不窄，开阔
玩	van35	玩：古玩，玩具
歡	fun53	欢：喜欢，欢喜
喚	vun22	唤：呼唤
煥	vun22	焕：焕然一新
豁	kot033	豁：豁然，豁嘴，豁口，豁拳
完	jyn21	完：吃完，完全
丸	jyn21	丸：药丸，丸子
緩	vun22	缓：缓慢，迟缓
皖	vun35	皖：皖南事变
換	vun22	换：交换，换衣
活	vut022	活：生活，活鱼
豌	vun35	豌：豌豆
碗	vun35	碗：饭碗，碗筷
腕	vun35	腕：手腕
鰥	kuan53	鳏：鳏夫，鳏寡
頑	van21	顽：顽皮，顽固
幻	van22	幻：幻想，科幻
滑	vat022	滑：地滑，滑稽
猾	vat022	猾：狡猾
挖	vat033	挖：挖地，开挖
篡	san33	篡：篡位，篡改
撰	tsan33	撰：撰写
閂	san53	闩：门闩
拴	san53	拴：捆绑
刷	tsʰat033	刷：牙刷，刷子
關	kuan53	关：关门，关心
慣	kuan33	惯：习惯，惯用
刮	kuat033	刮：刮胡子，搜刮
還	van21	还：还原，还钱
還	van21	还：还有
環	van21	环：环境，菜篮环
患	van22	患：忧患，患病
彎	van53	弯：弯曲，转弯
灣	van53	湾：海湾，港湾
戀	løn35	恋：恋爱，留恋
劣	løt033	劣：恶劣，伪劣
全	tsʰøn21	全：全部，安全
泉	tsʰøn21	泉：泉水，喷泉
絕	tsøt022	绝：断子绝孙，绝对
宣	søn53	宣：宣传，宣布
選	søn35	选：选举，挑选
雪	søt033	雪：下雪，雪白
轉	tsøn35	转：转送，转学，翻转
轉	tsøn33	转：转圆圈，转毛线
傳	tsʰøn21	传：传达，流传
篆	søn21	篆：小篆，篆书
傳	tsøn35	传：传记，水浒传
專	tsøn53	专：大专，专门
磚	tsøn53	砖：砖头
拙	tsʰøt022	拙：笨拙，拙劣
川	tsʰøn53	川：四川，川流不息
穿	tsʰøn53	穿：穿针，贯穿，穿衣服
喘	tsʰøn35	喘：气喘，哮喘
串	tsʰøn33	串：一串，串通
船	søn21	船：轮船
說	søt033	说：说话，小说
軟	jøn13	软：软硬，软弱
捲	køn35	卷：卷起来
絹	køn53	绢：手绢
卷	køn35	卷：一卷，考卷
圈	høn53	圈：圆圈，圈套
權	kʰøn21	权：有权，权力
拳	kʰøn21	拳：拳头，打拳
倦	køn22	倦：疲倦
圓	jøn21	圆：圆圈，团圆
員	jøn21	员：人员，员外
院	jøn35	院：医院，院子
緣	jøn21	缘：姻缘，缘分
沿	jøn21	沿：沿路，边沿
鉛	jøn21	铅：铅笔，铅球
捐	køn53	捐：捐款，募捐
悅	jøt022	悦：愉悦
閱	jøt022	阅：阅读，批阅
藩	fan21	藩：曾国藩
反	fan35	反：反面，反手，反对
販	fan33	贩：贩卖，行贩
髮	fat033	发：头发
發	fat033	发：发展，发财
翻	fan53	翻：翻书，翻筋头，翻转
番	fan53	番：几次三番
煩	fan21	烦：麻烦，烦人
礬	fan21	矾：明矾
繁	fan21	繁：繁华
飯	fan22	饭：吃饭，饭店
伐	fat022	伐：讨伐，伐木
筏	fat022	筏：竹筏
罰	fat022	罚：惩罚，罚款
晚	man13	晚：晚上，晚娘，晚稻
挽	van13	挽：挽留，手挽手
萬	man22	万：数字，麻将中的万子
蔓	man22	蔓：瓜蔓，蔓延
襪	mat022	袜：袜子，鞋袜
勸	høn33	劝：劝架，规劝
券	køn33	券：国库券
掘	kuat022	掘：挖掘，掘地
元	jøn21	元：元旦，元老
原	jøn21	原：原来，平原
源	jøn21	源：源头，来源
阮	jøn35	阮：姓，阮玲玉
願	jøn22	愿：许愿，愿望
月	jøt022	月：月亮，月份
喧	høn53	喧：喧哗，喧闹
冤	jøn53	冤：冤枉，冤家，喊冤
怨	jøn33	怨：埋怨，怨恨
袁	jøn21	袁：姓，袁世凯
轅	jøn21	辕：辕门
園	jøn21	园：菜园，花园
援	van21	援：援助，救援
遠	jøn13	远：远近，永远
曰	jœt022	曰：子曰
越	jøt022	越：吴越，越来越好
粵	jøt022	粤：广东简称
决	kʰøt033	决：决定，判决
訣	kʰøt033	诀：口诀，诀窍
犬	høn35	犬：狗
缺	kʰøt033	缺：缺钱，缺口，残缺
血	høt033	血：流血，血液
玄	jøn21	玄：玄妙，黑色
懸	jøn21	悬：悬空，悬崖
縣	jøn35	县：行政单位
眩	jøn21	眩：晕眩，眩目
穴	jøt022	穴：穴位
淵	jøn53	渊：深渊，渊源
吞	tʰɐn53	吞：不嚼咽下
跟	kɐn53	跟：跟随，脚跟
根	kɐn53	根：树根，根本
懇	hɐn35	恳：恳求，诚恳
墾	hɐn35	垦：开垦，垦荒
啃	lɐn53	啃：啃皮
痕	hɐn21	痕：痕迹，伤痕
很	hɐn35	很：很多，好得很
恨	hɐn22	恨：恨他，仇恨
恩	jɐn53	恩：恩德，周恩来
彬	pɐn53	彬：文质彬彬
賓	pɐn53	宾：贵宾，宾客
檳	pɐn53	槟：槟榔
殯	pɐn33	殡：出殡
鬢	pɐn33	鬓：鬂角
筆	pɐt053	笔：毛笔，笔记
畢	pɐt053	毕：毕业，完毕
必	pit053	必：必须，务必
匹	pʰɐt053	匹：一匹布，匹配
貧	pʰɐn21	贫：贫农，清贫
頻	pʰɐn21	频：频繁，调频
蘋	pʰeŋ21	苹：苹果
弼	mat022	弼：弼马温，任弼时
閩	mɐn13	闽：福建简称
民	mɐn21	民：人民，民族
憫	mɐn13	悯：怜悯，悲天悯人
敏	mɐn13	敏：灵敏，敏捷
密	mɐt022	密：秘密，密封
蜜	mɐt022	蜜：蜂蜜，蜜蜂
鱗	lɐn21	鳞：鱼鳞
磷	lɐn21	磷：磷肥
栗	lɐt022	栗：板栗，栗子
津	tsɐn53	津：天津
儘	tsɐn22	尽：尽前头（最前面）
進	tsɐn33	进：前进，进步
晉	tsɐn33	晋：晋朝，山西简称
親	tsʰɐn53	亲：亲生，父亲
親	tsʰɐn33	亲：亲家
七	tsʰɐt053	七：数字
漆	tsʰɐt053	漆：油漆
秦	tsʰɐn21	秦：姓，秦国
盡	tsɐn22	尽：尽量，尽力
疾	tsɐto22	疾：疾病，残疾
辛	sɐn53	辛：辛苦，艰辛
薪	sɐn53	薪：薪水
新	sɐn53	新：新旧，革新
信	sɐn33	信：书信，相信
訊	sɐn33	讯：通讯
悉	sek053	悉：熟悉
膝	tsʰɐt053	膝：膝盖
珍	tsɐn53	珍：珍珠，珍贵
鎭	tsɐn33	镇：小镇，镇压
趁	tsʰɐn33	趁：趁机，趁车，趁钱
陳	tsʰɐn21	陈：姓，陈年，陈列
塵	tsʰɐn21	尘：灰尘，尘土
陣	tsɐn22	阵：布阵，阵雨
侄	tsɐt022	侄：侄子，内侄
秩	tit022	秩：秩序
榛	tsʰɐn21	榛：榛子
臻	tsɐn53	臻：聂荣臻
襯	tsʰɐn33	衬：里衬，衬衫
瑟	sɐt053	瑟：萧瑟，琴瑟
蝨	sɐt053	虱：虱子，头虱
眞	tsɐn53	真：真假，认真
診	tsʰɐn35	诊：急诊，诊脉
疹	tsʰɐn35	疹：麻疹
振	tsɐn33	振：振动，振奋
震	tsɐn33	震：地震，震动
質	tsɐt053	质：质量，品质
神	sɐn21	神：精神，神仙
實	sɐt022	实：老实，实在
身	sɐn53	身：身体，上身
申	sɐn53	申：地支，申请
伸	sɐn53	伸：伸手，延伸
娠	sɐn21	娠：妊娠
失	sɐt053	失：失去，丧失
