#漢字	音標	解釋
都	tɐu53	都：都市，首都
都	tɐu53	都：都是
堵	tou35	堵：堵车，堵塞
賭	tou35	赌：打赌，赌博
肚	tou13	肚：猪肚（胃）
妒	tou22	妒：妒忌
土	tʰou35	土：土地
吐	tʰo33	吐：吐痰
吐	tʰo33	吐：呕吐
兔	tʰɐu33	兔：兔子，野兔
途	tʰo21	途：前途
屠	tʰo21	屠：屠杀，屠夫
徒	tʰo21	徒：徒弟，学徒
塗	tʰo21	涂：泥涂
圖	tʰo21	图：画图，地图
杜	tɐu22	杜：姓，杜仲
肚	tɐu13	肚：肚子，肚脐
度	tɔk	度：度量
渡	tɐu22	渡：摆渡，渡船，偷渡
鍍	tɐu22	镀：电镀
奴	lɐu21	奴：奴隶
努	lou13	努：努力
怒	lɐu22	怒：发怒
盧	lɐu21	卢：姓
爐	lɐu21	炉：炉子，风炉
蘆	lɐu21	芦：芦苇
魯	lo35	鲁：鲁国，鲁迅
櫓	lo35	橹：摇船的工具
虜	lo13	虏：俘虏
滷	lou13	卤：盐卤，菜中的汤汁
路	lɐu22	路：一条路，大路，走路
賂	lɐu22	赂：贿赂
露	lɐu22	露：露水，白露
鷺	lɐu22	鹭：白鹭，鹭鸶（一种鸟，腿很长）
租	tsɐu53	租：租房子，田租
祖	tsɐu35	祖：祖宗，祖国
組	tsɐu35	组：组长，小组，组织
做	tsɐu22	做：做事情
粗	tsʰɐu53	粗：粗细，粗心
醋	tsʰou31	醋：一种调味料，味酸。吃醋
措	tsʰɔ31	措：措施，举措
錯	tsʰɔ31	错：做错，错误，过错
蘇	sɐu53	苏：苏州，苏联，姓
酥	sɐu53	酥：杏仁酥，酥糖，酥油
素	sɐu33	素：吃素，朴素，素质
訴	sɐu33	诉：告诉，上诉，诉讼
塑	sɔk033	塑：塑料，塑像
姑	ku53	姑：姑妈，姑娘
孤	ku53	孤：孤儿，孤独
辜	ku53	辜：无辜，辜负
古	ku35	古：古老，古代
估	ku35	估：估计，毛估估
牯	ku35	牯：公牛，公狗
股	ku35	股：一股线，股票
鼓	ku35	鼓：锣鼓
蠱	ku35	蛊：蛊惑
故	ku33	故：故事，事故
固	ku33	固：固定
雇	ku33	雇：雇主
顧	ku33	顾：照顾，顾忌
枯	ku53	枯：树枯了，水枯了
苦	fu35	苦：甜的苦的，吃苦
庫	fu33	库：水库，库存
褲	fu33	裤：裤子
吳	ŋ21	吴：姓
蜈	ŋ21	蜈：蜈蚣
梧	ŋ21	梧：梧桐
五	ŋ13	五：数字
伍	ŋ13	伍：队伍，姓
午	ŋ13	午：端午，中午
誤	ŋ22	误：误会，错误，耽误
悟	ŋ22	悟：孙悟空，觉悟
呼	fu53	呼：呼吸，呼鸡
虎	fu35	虎：老虎
滸	vu35	浒：水浒传
戽	fu33	戽：戽水（把水泼出去）戽斗（汲水灌田的老式农具）
胡	vu21	胡：姓，二胡
湖	vu21	湖：
糊	vu21	糊：米糊（用米粉调制的食品，可以喂婴儿），浆糊，糊涂，糊了
狐	vu21	狐：狐狸
壺	vu21	壶：水壶
乎	fu21	乎：之乎者也
葫	vu21	葫：葫芦
蝴	vu21	蝴：蝴蝶
鬍	vu21	胡：胡须
戶	vu22	户：户口
滬	vu22	沪：上海简称
互	vu22	互：互相，相互
護	vu22	护：保护，护士
烏	vu53	乌：黑，乌纱帽
污	vu53	污：污染
塢	vu53	坞：山坞，船坞
惡	vu22	恶：可恶，大便
女	løy13	女：女儿，女婿，孙女，女人
廬	lɐu21	庐：庐山
驢	lɐu21	驴：毛驴
呂	løy13	吕：姓，吕布
旅	løy13	旅：旅长
慮	loi22	虑：考虑
濾	loi22	滤：过滤
蛆	tsoi53	蛆：蛆虫（孑孓）
胥	soi53	胥：伍子胥
絮	soi13	絮：棉絮，被絮，丝瓜瓤
徐	tsʰoi21	徐：姓
序	tsoi22	序：秩序
叙	tsoi22	叙：
緖	soi13	绪：光绪，情绪
豬	tsy53	猪：养猪，猪八戒
著	tsy33	著：著名，显著
除	tsy21	除：除法，除衣服，把东西除掉
苧	tsʰy35	苎：苎麻
箸	tsy33	箸：筷子。箸笼（盛筷器）
阻	tsɔ35	阻：阻力，阻拦
初	tsʰɔ53	初：大年初一，初中
楚	tsʰɔ35	楚：姓，楚国。
礎	tsʰɔ35	础：柱下石，基础
鋤	tsʰɔ21	锄：锄头
助	tsɔ22	助：帮助
梳	sɔ53	梳：梳头，梳子（头梳）
疏	sɔ53	疏：亲疏，疏密，疏远
蔬	sɔ53	蔬：蔬菜，菜蔬
所	sɔ35	所：所以，派出所
疏	sɔ53	疏：注疏，经疏
諸	tsy53	诸：诸葛亮，诸如此类
煮	tsy35	煮：煮饭，煮粥
