#漢字	音標	解釋
維	vuɐi11	维：～生素，～持，纤～
飛	fei55	飞：～机；飞行
費	fei33	费：～用，浪～
肥	fei11	肥：化～，～肉
尾	bᵐei24	尾：尾巴
味	bᵐei22	味：～道，～精
鬼	kuɐi35	鬼：鬼神
貴	kuɐi33	贵：～重
魏	ɡᵑɐi24	魏：～国；姓
威	vuɐi55	威：～风，～胁
畏	vuɐi33	畏：不喜欢；怕，～热
偉	vuɐi24	伟：～大
胃	vuɐi22	胃：肠～
寶	pou35	宝：～贝
報	pou33	报：～告，日～
袍	pʰau35	袍：长～，袄～
暴	pau33	暴：～雨，残～
毛	bᵐou11	毛：～病，鸡～
帽	bᵐou22	帽：草～
刀	tou55	刀：菜～
到	tou33	到：～站
討	tʰou35	讨：～老婆，～厌
套	tʰou33	套：配～，～房
桃	tʰou11	桃：杨～，～花
稻	tou22	稻：水～
導	tou33	导：领～，～师
惱	lou24	恼：烦～[文]
惱	lau55	恼：讨厌，不喜欢[白]
勞	lou11	劳：～动
老	lou35	老：～爷，～实
糟	tsou55	糟：酒～，～糕
早	tsou35	早：还～
竈	tsou33	灶：～头，～神
草	tsʰou35	草：青～，～稿
造	tsou22	造：创～
掃	sou33	扫：～地[动]
掃	sou33	扫：～地[动]
嫂	sou35	嫂：大～
髙	kou55	高：姓；～低
稿	kau35	稿：草～，～纸
吿	kou33	告：报～，～状
考	hau35	考：～试，大～
靠	kʰau33	靠：依～，可～
熬	ɡᵑai11	熬：～汤，～夜
好	hou35	好：～人
號	hou22	号：～码，口～[名]
襖	ou33	袄：棉～，～袍
包	pau55	包：钱～，～围
飽	pau35	饱：食～（吃饱）
爆	pau33	爆：～炸
炮	pʰau33	炮：枪～
跑	pʰau35	跑：～步
茅	mau11	茅：～庐
貓	bᵐiau55	猫：大～
貌	bᵐau22	貌：礼～
鬧	lau22	闹：～热，～事
罩	tsau33	罩：灯～，床～
爪	ʦau35	爪：鸡～
抄	ʦʰau55	抄：～书
炒	tsʰau35	炒：～股，～菜
交	kau55	交：～通，～钱[文]
咬	ɡᵑau24	咬：～人
孝	hau35	孝：～顺
效	hau22	效：～果
標	piu55	标：～准，～志，招～
表	piu35	表：图～，～扬
票	pʰiu33	票：车～
苗	bᵐiu11	苗：鱼～，～族
秒	bᵐiu33	秒：～针
廟	bᵐiu33	庙：和尚～
療	liu11	疗：治～，～养
椒	tsiu55	椒：胡～
消	siu55	消：～化
小	siu35	小：～姐，～人
笑	siu33	笑：～话，玩～
朝	tsiu55	朝：～晨，三～
超	tsʰiu55	超：～过
朝	tsʰiu11	朝：～代
趙	tsiu22	赵：姓
招	tsiu55	招：～生
照	tsiu33	照：～明，～顾
燒	siu55	烧：～水，发～
少	siu35	少：～数，多～
少	siu33	少：～年，～爷
饒	jiu35	饶：～命，求～
繞	jiu35	绕：围～，～线
嬌	kiu55	娇：～气，做～（撒娇）
橋	kʰiu11	桥：大～
轎	kʰiu35	轿：坐～，扛～
要	jiu33	要：～求
要	jiu33	要：重～
搖	jiu11	摇：动～，～篮
舀	jiu35	舀：～水
耀	jiu22	耀：～眼，荣～
鳥	liu35	鸟：花～市场[文]
鳥	liu35	鸟：～笼[白]
鳥	tiu35	鸟：骂人话，交合[白]
吊	tiu33	吊：上～，～车
挑	tʰiu55	挑：～剔，～担
跳	tʰiu33	跳：～高，起～
條	tʰiu11	条：～件，字～
調	tʰiu11	调：音～
尿	liu33	尿：屙～
了	liu35	了：～结；明～，～解
料	liu22	料：肥～，材～
繳	kiu35	缴：～枪，～费
僥	hiu35	侥：～幸
叫	kiu33	叫：大～；小孩哭
竅	hau55	窍：～门
曉	hiu35	晓：春～，～得
剖	pʰɔ22	剖：解～
畝	bᵐau24	亩：一～田
母	bᵐou24	母：父～
貿	bᵐau22	贸：外～，～易
兜	tau55	兜：～风
斗	tɐu35	斗：十升为一斗
鬥	tɐu33	斗：～争，批～
偸	tʰɐu55	偷：小～
透	tʰɐu33	透：～明
頭	tʰɐu11	头：开～
豆	tɐu22	豆：黄～
豆	-35	豆：黄～
樓	lɐu11	楼：～下
漏	lɐu22	漏：～水，～斗
走	tsɐu35	走：行走
奏	tsɐu33	奏：节～
湊	tsʰɐu33	凑：～数，～热闹
鉤	ŋɐu55	钩：鱼～
狗	kɐu35	狗
夠	kɐu33	够：足～
摳	kʰɐu55	抠：挖
口	hɐu35	口：～头，开～
口	hɐu35	口：一～饭
扣	kʰɐu33	扣：～钱，～压
藕	ɡᵑɐu24	藕：～断丝连，莲～
喉	hɐu11	喉：～咙
後	hɐu22	后：～生，～来[文]
後	hɐu22	后：～日[白]
歐	ɡᵑɐu55	欧：～洲；姓
嘔	au35	呕：～吐
漚	au33	沤：久浸水中，～坏，～肥
否	fɐu35	否：是～，～定
富	fu33	富：丰～，～贵
謀	bᵐɐu11	谋：计～，～财害命
紐	lɐu24	纽：纽扣；～约（地名）
劉	lɐu11	刘：姓
柳	lɐu24	柳：～树
酒	tsɐu35	酒：～精
秋	tsʰɐu55	秋：～天；～千
就	tsɐu22	就：成～，～去
修	sɐu55	修：装～，～正
秀	sɐu33	秀：清～，～才
袖	tsɐu22	袖：领～，衫～（衣袖）
晝	tsɐu22	昼：上～，～夜
抽	tsʰɐu55	抽：～出
綢	tsʰɐu11	绸：～缎，丝～
鄒	tsɐu55	邹：姓，～家华
皺	tsɐu33	皱：～纹
愁	sɐu11	愁：～眉苦脸
搜	sɐu35	搜：～查
瘦	sɐu33	瘦：肥瘦
周	tsɐu55	周：姓；～围，～年
醜	tsʰɐu35	丑：不好看，出～
臭	tsʰɐu33	臭：～味
收	sɐu55	收：丰～，～集
手	sɐu35	手：～脚，～段
獸	tsʰɐu33	兽：野～
仇	sɐu11	仇：～人，报～
壽	sɐu22	寿：长～
九	kɐu35	九：数字，～龙
救	kɐu33	救：～命
求	kʰɐu11	求：要～
舅	kʰɐu33	舅：～公
舊	kɐu22	旧：新～
牛	ɡᵑɐu11	牛：～牯
休	jɐu55	休：～息，退～
有	jɐu24	有：～钱
右	jɐu33	右：左～
油	jɐu11	油：麻～
丟	tiu55	丢：～失
答	tap033	答：回～
