#漢字	音標	解釋
壺	hu55	壶：水～
乎	hu33	乎：在～
瓠	hu55	瓠：瓠卢，同葫芦
鬍	hu55	胡：～须
蝴	hu55	蝴：～蝶
糊	kou55	糊：浆～
戶	hou25	户：～口
滬	hu25	沪：上海简称
互	hu25	互：～相
護	hu25	护：保～，～士
瓠	pu33	瓠：瓠瓜（味似葫芦而长）
烏	ou33	乌：黑
污	u33	污：～染
塢	u33	坞：船～
惡	u25	恶：可～
女	nɯŋ51	女：女人
廬	lou55	庐：～山
驢	lɯ55	驴：毛驴
呂	lɯ25	吕：姓
旅	li51	旅：～游
慮	lɯ25	虑：考～
濾	lɯ25	滤：过～
蛆	tsʰɯ33	蛆：蛆虫，生～
絮	su13	絮：棉～
徐	tsʰɯ55	徐：姓
序	su25	序：顺～
敍	su25	叙：倒～
緖	su51	緖：情～；光～
豬	tɯ33	猪：～肉
著	tu25	著：～名，显～
除	tɯ33	除：～法
儲	pʰu33	储：～蓄
苧	tiu25	苎：～麻
箸	tɯ22	箸：筷子
阻	tsɔ51	阻：～止，～力
初	tsʰɔ33	初：当～，～中
楚	tsʰɔ51	楚：清～
礎	tsʰɔ51	础：基～
鋤	tsʰɔ33	锄：～草，～禾日当午
助	tsɔ25	助：帮～
梳	siu33	梳：梳子[名]；梳头[动]
疏	sɔ33	疏：～远；稀疏
疏	sɔ33	疏：生～
蔬	sɔ33	蔬：～菜
所	sɔ51	所：～以；派出～
疏	sɔ33	疏：注～
諸	tsu33	诸：姓；～如此类
煮	tsɯ51	煮：～饭
處	tsʰu13	处：～理
處	tsʰu13	处：～所
書	tsɯ33	书：读～
舒	su33	舒：～服
暑	su51	暑：～假
鼠	tsʰɯ51	鼠：老～
庶	su13	庶：～民
恕	su13	恕：宽～
署	su51	署：～名
薯	tsɯ55	薯：番～
如	ʒu33	如：～果，假～
居	kɯ33	居：～民
車	kɯ33	车：象棋，～马炮
舉	kɯ51	举：～报，～重
據	kɯ25	据：收～
鋸	kɯ13	锯：电～
墟	hɯ33	墟：～日
去	kʰɯ13	去：来～，过～
渠	kʰɯ55	渠：水～，～道
佢	kɯ25	佢：他，第三人称
巨	kɯ25	巨：～大
拒	kɯ25	拒：～绝
距	kɯ25	距：～离
魚	hɯ55	鱼：金～
漁	hɯ55	渔：～业，～夫
語	ɡɯ51	语：～文
御	ɡɯ25	御：～用文人
禦	ɡɯ25	御：防～
虛	hɯ33	虚：～心
噓	hɯ33	嘘：吹～
許	hɯ51	许：允～
於	i33	于：在～
淤	i33	淤：～泥
余	ɯ55	余：姓
餘	ɯ55	余：多～
與	ɯ51	与：参～，给～，～众不同
予	ɯ25	予：给～
譽	ɯ25	誉：荣～
預	ɯ25	预：～报，～备
豫	ɯ25	豫：犹～
夫	hu33	夫：～妻，车～
膚	hu33	肤：皮～
跗	u33	跗：脚背，～骨
府	hou51	府：政～
腑	hou51	腑：五脏六～
俯	hou51	俯：～卧撑，～视
甫	pʰou51	甫：杜～
脯	pou51	脯：菜～（萝卜干）
斧	pou51	斧：～头
付	hu13	付：应～
咐	hu13	咐：吩～
賦	hu13	赋：天～
傅	hu25	傅：师～[文]
傅	pou13	傅：姓[白]
敷	hu33	敷：～衍，～药
俘	hu33	俘：～虏
孵	pu22	孵：孵小鸡
麩	hu33	麸：麦～
撫	bu51	抚：～养，安～
殕	pou22	殕：食物长毛变质，臭～
赴	hu13	赴：奔～，～汤蹈火
訃	hu13	讣：～告
符	hu55	符：～合，鬼画～
扶	hu25	扶：～贫，～手[文]
扶	hu25	扶：搀扶，～起来[白]
芙	hu33	芙：～蓉
父	pɛ25	父：～亲
釜	hu51	釜：破～沉舟
腐	hu33	腐：～败
