#漢字	音標	解釋
恰	kʰap021	恰：～切，～当
咸	ham55	咸：～丰皇帝
鹹	kiam55	咸：～淡
陷	ham55	陷：～害，～井
掐	kʰat055	掐：～颈（掐脖子）
餡	ã13	馅：～饼
狹	hiap055	狭：～窄[文]
狹	hiap055	狭：空间小[白]
峽	kiap021	峡：三～（地名）
洽	tsiap055	洽：～谈会，融～
攙	tsʰam55	搀：～扶，～腰
衫	sã33	衫：衬～，～裤（衣服）
監	kam33	监：～狱，～视，～督
鑑	kam13	鉴：～定
監	kam13	监：太～
甲	kaʔ021	甲：天干，甲乙丙丁
胛	kaʔ021	胛：肩～
巖	ŋam55	岩：～石，石灰～
銜	ham55	衔：军～；叼在嘴里
艦	lam13	舰：军～
匣	ap055	匣：匣子
鴨	aʔ021	鸭：鸭子
押	aʔ021	押：抵～，～送
壓	iap021	压：～力
貶	pʰin51	贬：～值
黏	niam33	黏：～合剂，～起来
聶	niap021	聂：姓，～耳
廉	liam55	廉：清～，～洁
鐮	liam55	镰：镰刀，禾～
簾	liam55	帘：窗～
斂	niam51	敛：收～
殮	niam51	殓：给死者穿衣入棺，～尸
獵	laʔ055	猎：打～，～人
尖	tsiam33	尖：～刀
殲	tsʰiam55	歼：～灭
接	tsiʔ021	接：迎～，～待
籤	tsʰiam33	签：竹～，求～
簽	tsʰiam33	签：～字，～名
妾	tsʰiap021	妾：小老婆
潛	tsʰiam55	潜：～力
漸	tsiam25	渐：逐～
捷	tsiap055	捷：～报，大～，敏～
沾	niam33	沾：～光
粘	niam33	粘：～贴
占	tsiam13	占：～卜
佔	tsiam13	占：～领，～地方
摺	tsiʔ021	折：～被，～叠
褶	tsiʔ021	褶：衣裙或皮肤上的皱纹，打～
陝	siam13	陕：～西
閃	siam51	闪：～开
攝	niap021	摄：～影
蟾	siam55	蟾：～蜍
涉	siap055	涉：～及
染	ziam51	染：污～
染	ziam51	染：～色
檢	kiam51	检：～查，体～
臉	lian51	脸：红～白～[文]
鉗	kʰiam55	钳：～工，火～
儉	kʰiam25	俭：勤～
驗	ŋiam22	验：～收，试～
險	hiam51	险：危～，保～
淹	iam33	淹：～没
閹	iam33	阉：～鸡，～猪
掩	iam33	掩：～护
厭	iam13	厌：讨～
炎	iam22	炎：消～，～热
鹽	iam55	盐
閻	ŋiam55	阎：～罗王；姓
簷	siam55	檐：屋～下
豔	iam22	艳：鲜～，～丽
焰	iam22	焰：火～
葉	hiɛʔ055	叶：树～；姓
頁	hiɛʔ055	页：～数
劍	kiam13	剑：宝～
劫	kiap021	劫：抢～
欠	kʰiam13	欠：～钱，拖～
怯	kʰiak021	怯：胆～
嚴	ŋiam55	严：～格；姓
釅	ŋiam55	酽：～茶
業	ŋiap055	业：事～，～余
脅	hiap055	胁：威～
醃	iam33	腌：腌制
掂	tiam33	掂：～量
點	tiam51	点：～心，～头
店	tiam13	店：开～
跌	tiat021	跌：～打
添	tʰiam33	添：～加，～丁
帖	tʰiap021	帖：请～
貼	tʰiap021	贴：补～
貼	tʰiap021	贴：～纸，～对联[动]
甜	tiam55	甜
疊	tʰaʔ055	叠：～起来，折～
碟	tiʔ055	碟：盛具，碟子
牒	tiap055	牒：通～，文～
蝶	tiap055	蝶：蝴～
諜	tiap055	谍：间～
鮎	liam55	鲇：～鱼
拈	ni33	拈：用指头捏取物，～起来
念	niam25	念：～经，怀～
兼	kiam33	兼：～职
挾	kiap055	挟：～菜
謙	kʰiam33	谦：～虚
歉	kʰiam51	歉：道～，～意
嫌	hiam55	嫌：～弃，～人
協	hiap055	协：～会，～作
俠	hiap055	侠：武～
法	huap021	法：方～
泛	huam13	泛：广～，～滥[文]
泛	huam13	泛：中空，～谷[白]
凡	huam55	凡：平～
帆	pʰaŋ55	帆：～船
范	huam25	范：姓
範	huam25	范：模～，～围
犯	huam25	犯：～法[文]
犯	huam25	犯：触犯[白]
乏	huat055	乏：缺～
稟	pin51	禀：～报
品	pʰin51	品：～德
林	lim55	林：树～；姓
淋	lim55	淋：～湿，～菜
臨	lim55	临：～时，面～
立	lip055	立：～足
笠	loiʔ055	笠：～嫲，斗～
粒	liap055	粒：三～，颗～
凜	lim51	凛：威风～～
浸	tsim13	浸：～水
侵	tsʰim55	侵：～略
寢	tsim51	寝：就～，～室，废～忘食
緝	tsip021	缉：～私，通～
集	tsip055	集：～合，～体
輯	tsip021	辑：编～
心	sim33	心：～肝，内～
尋	tsʰim55	寻：～人
習	sip055	习：学～，练～
襲	sip055	袭：～击，偷～
沉	tim55	沉：～底
蟄	tet055	蛰：惊～
參	tsʰam33	参：～差不齐
森	siam33	森：～林
參	siam33	参：人～
滲	tsʰam33	渗：～水
澀	siap021	涩：青～
澀	siap021	涩：柿子～[训]
針	tsam33	针：～线，～对
斟	tsim55	斟：～酒，～酌
枕	tsim51	枕：～头[名]；～枕头[动]
執	tsip021	执：～行，～法
汁	tsap021	汁：菜～，果～
深	tsʰim33	深：～浅，～入
沈	sim51	沈：姓；地名，～阳
審	sim51	审：～问
嬸	sim51	婶：叔母，大～
濕	sip021	湿：潮～
甚	sim25	甚：～至
十	tsap055	十：数字
拾	sip055	拾：收～
壬	zim25	壬：天干，庚辛壬癸
任	zim25	任：姓；责～，～何
紝	zim51	纫：缝～
入	zip055	入：～门，进～
今	kim33	今：～日，～年，现～[文]
今	kim33	今：～日，～年[白]
金	kim33	金：～银
禁	im13	禁：不～
襟	kʰim33	襟：衣的前幅、交领，连～
錦	kim51	锦：～绣，～旗
禁	kim13	禁：～止
急	kip021	急：心～
級	kʰip021	级：～别，年～
級	kʰip021	级：三年～
給	kip021	给：供～，～予
欽	kʰim33	钦：～差，～佩
泣	kʰip021	泣：～血，哭～
琴	kʰim55	琴：弹～
禽	kʰim55	禽：家～
擒	kʰim55	擒：～拿
及	kip055	及：～时
吟	ŋim55	吟：～诗
吸	kʰip021	吸：呼～，～引
音	im33	音：～乐，声～
陰	im33	阴：～天
飮	im51	饮：～料
蔭	im13	荫：福～，树～
飮	im51	饮：～田
揖	zip021	揖：作～
淫	im55	淫：～荡
丹	tuã33	丹：牡～，仙～
單	tuã33	单：～独
旦	tan13	旦：元～，花～
疸	tʰan51	疸：黄～
灘	tʰuã33	滩：沙～
攤	tʰuã33	摊：分～，～开，摆～
癱	tʰuã33	瘫：～痪
坦	tʰan51	坦：～白，～克
炭	tʰuã13	炭：烧～
嘆	tʰan13	叹：～气
獺	tʰuaʔ021	獭：水～
檀	tʰan55	檀：～香
壇	tuã55	坛：天～，文～
彈	tʰan55	弹：～琴
誕	tan13	诞：圣～，～生
但	tan13	但：～係（但是），不～
彈	tʰan55	弹：子～
蛋	tan13	蛋：皮～
達	tat055	达：发～，～到
難	lan55	难：困～
難	lan22	难：逃～，患～
捺	nai51	捺：撇～
蘭	lan55	兰：～花
攔	lan55	拦：～路
欄	lan55	栏：～杆
懶	lai25	懒：懒惰，～尸
爛	lan13	烂：灿～，腐～
辣	luaʔ021	辣：～椒
贊	tsan13	赞：称～，～助
餐	tsʰaŋ33	餐：～车，快～
燦	tsʰaŋ13	灿：～烂
擦	tsʰat021	擦：～车
殘	tsʰaŋ55	残：～废
珊	san33	珊：～瑚
散	suã51	散：药～
散	suã13	散：分～，解～
薩	sat033	萨：菩～
干	kan33	干：天～地支；～扰
亁	kan33	干：烘～，饼～
肝	kuã33	肝：猪～
竿	ko33	竿：竹～
桿	ko33	杆：旗～，杠～
稈	ko51	秆：禾～（稻秆）
趕	kuã51	赶：追～
幹	kan13	干：～部，才～
割	kuaʔ021	割：～禾（割稻）
葛	kuaʔ021	葛：诸～亮；生～，～薯
看	tʰoĩ51	看：～守所
刊	kʰaŋ33	刊：报～
看	tʰoĩ51	看：看见
渴	kuaʔ021	渴：口渴；～望
岸	ŋai25	岸：口～，两～
鼾	huã55	鼾：～睡
罕	han51	罕：稀～，～见
漢	han13	汉：～人
喝	hat021	喝：吆～，～彩
寒	han55	寒：大～，～流
韓	han55	韩：～国；姓
旱	uã25	旱：干旱
汗	uã22	汗：出～，～马功劳
銲	han51	焊：电～，～接
翰	han55	翰：～林院；人名用字
安	an33	安：公～，～全
鞍	an13	鞍：马～，～山
按	an13	按：～照
案	uã13	案：～件，档～
扮	pan13	扮：打～
八	poi021	八：数字
盼	pʰan13	盼：～望
瓣	haʔ021	瓣：花～
辦	pʰoĩ22	办：～事
拔	put055	拔：～河，选～
綻	tian25	绽：破～[文]
綻	tian25	绽：长出，～笋，～芽[白]
盞	tsuã51	盏：灯～（灯）
紮	tsap021	扎：～紧，驻～
鏟	tsʰan51	铲：～草
察	tsʰat021	察：观～
山	suã33	山
產	suã51	产：生～
殺	suaʔ021	杀：～人，自～
艱	kan33	艰：～苦
間	kuĩ33	间：房～，中～
簡	kan51	简：～单
揀	koĩ51	拣：挑选
間	koĩ25	间：～断，离～[文]
間	koĩ25	间：隔开[白]
眼	ŋan51	眼：双～皮
閑	oĩ55	闲：～事，空～
限	han25	限：期～，～制
莧	hoĩ55	苋：～菜
軋	tsap021	轧：～钢厂
班	pan33	班：上～
斑	pan33	斑：～马
頒	pan33	颁：～布，～奖
扳	pan51	扳：～手，～开
板	pan51	板：黑～，石～
版	pan51	版：出～
攀	paŋ33	攀：～登，高～
蠻	man55	蛮：不听话；野～
慢	man22	慢：～车
棧	tsaŋ13	栈：客～；碗橱，碗～
鍘	tsoiʔ055	铡：～刀
刪	san33	删：～除
奸	kan33	奸：～诈，～臣
鐧	kan51	锏：杀手～
顏	ŋuɛ̃55	颜：姓；～色
雁	ŋai13	雁：大～
瞎	hat022	瞎：～目
轄	hat022	辖：管～，直～市
晏	an33	晏：晚、迟；～子使楚
鞭	pian33	鞭：皮～，～策
編	pʰian33	编：主～，～辑[文]
編	pʰian33	编：毛～，～毛编[白]
變	pian13	变：～化，改～
別	piat055	别：区～
鼈	piʔ021	鳖：甲鱼
篇	pʰian33	篇：一～文章
偏	pʰian33	偏：～～，～僻
騙	pʰian13	骗：欺～
便	pian25	便：～宜
辨	pian25	辨：分～，～别
辯	pian25	辩：～论
汴	pian51	汴：～京（北宋都城）
便	pian25	便：方～
別	piat055	别：离～，分～
綿	mian55	绵：海～，～羊
棉	mĩ55	棉：～花
免	mian51	免：难～，～除
勉	mian51	勉：～强，～励
娩	mian51	娩：分～
緬	mian55	缅：～怀；～甸（地名）
面	min22	面：～子
滅	mit055	灭：消～，～亡
碾	lian51	碾：～米
連	lian55	连：～长；大～（地名）
聯	lian55	联：～系；对～
列	liat055	列：排～；～宁（人名）
列	liat055	列：两～（两排）[白，量]
烈	liat055	烈：～士，热～
裂	liʔ055	裂：～开，分～
煎	tsian33	煎：～药，～鱼
剪	tsian51	剪：～刀
箭	tsĩ13	箭：射～
濺	tsian33	溅：～一身水
遷	tsʰian33	迁：升～，～怒
淺	tsʰian51	浅：深～
錢	tsĩ55	钱：～财
踐	tsian51	践：实～
賤	tsuã22	贱：下～，～人
仙	sian33	仙：神～
鮮	tsʰĩ33	鲜：新～
鮮	sian51	鲜：朝～（国名）
癬	sian51	癣：发～（生癣）
線	suã13	线：～索
薛	siʔ021	薛：姓，～宝钗
泄	siap055	泄：～漏，排～
羨	ian25	羡：～慕
展	tian51	展：开～，发～
哲	tiat021	哲：～学
徹	tʰiat021	彻：～底
撤	tʰiat021	撤：～退
纏	tĩ55	缠：纠～，～线
轍	tʰiat021	辙：南辕北～；苏～（人名）
氈	tsĩ33	毡：羊毛～
戰	tsian13	战：～斗
顫	tsian51	颤：～抖
折	tsiʔ055	折：～断，打～
浙	tsiat021	浙：～江（地名）
舌	tsiʔ055	舌：舌头
搧	sĩ13	扇：扇扇子，扇耳光[动]
扇	sĩ13	扇：扇子[名]
設	siat021	设：～计，建～
蟬	siam55	蝉
禪	siam55	禅：～宗，～师
善	sian25	善：～良，心～
膳	sian25	膳：～食，用～
單	siam55	单：姓
禪	siam55	禅：～让，封～
折	siʔ055	折：～本（赔本）
然	zian55	然：～后，居～
燃	zian55	燃：～烧
熱	ziat055	热：冷～，～情
遣	kʰian51	遣：派～
乾	kʰian55	乾：～坤，～隆
虔	kʰian55	虔：～诚
件	kiã25	件：事～
傑	kiat055	杰：～出
諺	ŋaŋ25	谚：农～，～语
孽	ŋiak055	孽：造～
延	ian25	延：～长，～安
演	in55	演：～员，表～
建	kian25	建：～设
揭	kiak021	揭：～发，～露
揭	kit021	揭：～阳（地名）
鍵	kian25	键：关～，～盘
腱	kain25	腱：肌～
言	ŋan55	言：语～
軒	hɯn33	轩：人名用字
掀	hɯn33	掀：～起[文]
掀	hɯn33	掀：～被[白]
憲	hian13	宪：～法
獻	hian13	献：贡～
歇	kʰiak021	歇：～夜（过夜）
蠍	kʰiak021	蝎：蝎子，蛇～心肠
堰	iam13	堰：坝，都江～
邊	pian33	边：～疆，旁～
蝙	pʰian33	蝙：～蝠
扁	pĩ51	扁：圆扁
匾	pin51	匾：牌～
遍	pian13	遍：三～，～地，普～
片	pʰian13	片：一～，～面
撇	piɛ13	撇：～捺，～开
眠	min55	眠：～床（床），安～
麵	mĩ22	面：～粉
蔑	miaũ51	蔑：～视
顚	tian33	颠：～倒，～簸
典	tian51	典：～型，词～
天	tʰian33	天：～才
腆	tian51	腆：腼～
鐵	tʰiʔ021	铁：～皮
田	tsʰian55	田：种～
塡	tʰian55	填：～空
電	tian25	电：触～，～灯
殿	toĩ22	殿：宫～
奠	tian25	奠：～基
墊	tian25	垫：～钱，座～
年	nĩ33	年：过～
撚	niap055	捻：以指捻碎
捏	niam13	捏：以指尖捏取小面积
憐	lin55	怜：可～[文]
憐	lian55	怜：可～[白]
蓮	noĩ55	莲：～花，睡～
練	lian22	练：～习，熟～
鍊	lian22	炼：～丹，锻～
链	lian22	链：项～，～条
楝	noĩ22	楝：苦～树
箋	tsian33	笺：便～，信～
薦	tsin13	荐：推～
節	tsat021	节：～约，竹～
千	tsʰoĩ33	千：～万
切	tsʰiat033	切：～菜
前	tsoĩ55	前：从～，～后
截	tsoi25	截：～断
先	soĩ33	先：祖～，～进，～生
屑	sut033	屑：锯～[白，名]
屑	sut033	屑：不～一顾[文，动]
楔	soiʔ033	楔：～入去（塞进去）[训]
肩	koĩ33	肩：～头
堅	kian33	坚：～强
繭	koĩ51	茧：蚕～
見	kĩ13	见：～人，～识
結	kat021	结：～婚，～疕[文，动]
結	kat021	结：打～[白]
潔	kiat021	洁：～白，清～
牽	kʰan33	牵：～牛花
硏	ŋian51	研：～究
硯	ĩ13	砚：～台
顯	hian51	显：明～
賢	hian55	贤：～惠，圣～
弦	hĩ55	弦：琴～
現	hin22	现：～在，出～
煙	in33	烟：冒～
燕	ĩ13	燕：姓；～京，～山（地名）
燕	ĩ13	燕：燕子，～窝
嚥	in33	咽：～喉
宴	an13	宴：～会
般	puã33	般：～配，一～
搬	puã33	搬：～运
半	puã13	半：一～，～日
絆	pʰuen55	绊：～脚石，～马索
鉢	puaʔ021	钵：花～（花盆），衣～
撥	pʰuaʔ021	拨：～款
潘	pʰuã33	潘：姓
拚	piã22	拼：～命
判	pʰuen13	判：～断，审～
潑	pʰuaʔ021	泼：～水；泼辣
盤	puã55	盘：算～
伴	pʰuã25	伴：～随，伙～[文]
伴	pʰuã25	伴：做～，冇～[白]
拌	pʰuen13	拌：凉～，搅～
叛	puen25	叛：～徒，背～
瞞	muã51	瞒：隐～
饅	man25	馒：～头
鰻	man25	鳗：～鱼
滿	muã51	满：～意
漫	man25	漫：～画，～长
末	muat055	末：～尾
沫	muaʔ055	沫：泡～
抹	muaʔ021	抹：～桌，～布
端	tuen33	端：～正
短	to51	短：长～
斷	tuen13	断：判～，～案
鍛	tuen13	锻：～炼
掇	toʔ055	掇：端东西，～菜
脫	tʰut021	脱：～鞋，摆～
團	tʰuen55	团：～结，～长
糰	tʰuen55	团：饭～，面～
斷	tuen25	断：～绝[文]
斷	tuen25	断：线断了[白]
段	tɯŋ22	段：姓；阶～
緞	tɯŋ22	缎：绸～
奪	toʔ055	夺：～取
暖	nuɛ51	暖：冷～
鸞	luen55	鸾：～凤
卵	nɯŋ25	卵：鸡～（鸡蛋），～生
亂	luen25	乱：混～
捋	lut055	捋：捋袖子
捋	lut055	捋：～骨头（啃骨头）
鑽	tsəŋ25	钻：～孔，～山洞[动]
纂	tsuen25	纂：编～
攢	tsan25	攒：积～
鑽	tsəŋ13	钻：电～[名]，～石
撮	tsʰoʔ021	撮：一～毛
酸	səŋ33	酸：～甜
算	səŋ13	算：计～
蒜	səŋ13	蒜：大蒜，蒜头
官	kuã33	官：～司，当～
棺	kuã33	棺：～材
觀	kuen33	观：参～，～音
冠	kuen25	冠：衣～，鸡～花
管	kuen51	管：～理，气～
館	kuen51	馆：图书～
貫	kuen13	贯：一～，～彻
灌	kuen13	灌：～溉
罐	kuen13	罐：～头
觀	kuen33	观：道～
冠	kuen13	冠：～军
括	kut021	括：包～
寬	kʰuen33	宽：～松
款	kʰuen51	款：汇～，拨～
闊	kʰuaʔ021	阔：开～
玩	ŋuen51	玩：～具，游～
歡	huã33	欢：喜～，～喜
喚	huen13	唤：呼～
煥	huen13	焕：～然一新
豁	hat021	豁：～免，～然开朗
桓	hen55	桓：齐～公
完	uen55	完：～全[文]
完	uen55	完：用～，食～[白]
丸	ĩ55	丸：肉～，药～
緩	man22	缓：～慢，迟～
皖	uen51	皖：安徽简称，～南事变
換	uã22	换：交～[文]
換	uã22	换：～水[白]
換	huen13	换：金不换[白]
活	uaʔ055	活：生～
豌	uen51	豌：～豆
碗	uã51	碗：饭～
腕	uen51	腕：手～
頑	ŋuen51	顽：～固，～皮
幻	huam13	幻：科～，～想
滑	kut055	滑：地～，～稽
猾	kut055	猾：狡～
挖	uai22	挖：～掘[文]
挖	ue22	挖：穵[白]
篡	tsʰuen22	篡：～位，～改
閂	tsʰuã22	闩：～门，门～
拴	tsʰuã22	拴：拴住（捆绑）
刷	sueʔ021	刷：～牙，牙～
關	kuen33	关：～门，海～
慣	kuen13	惯：习～
刮	kuaʔ021	刮：～毛，搜～
還	huen55	还：～原[文]
還	hoĩ55	还：～钱[白]
還	huen55	还：～有[白]
環	huen55	环：～境
患	huam25	患：～病，忧～
宦	huam25	宦：～官
彎	uen33	弯：转～
灣	uen33	湾：台～，海～
戀	luen13	恋：～爱
劣	luet021	劣：～质，恶～
全	tsʰuen55	全：～部，安～
泉	tsuã55	泉：～水，喷～
絕	tsoʔ055	绝：～对
宣	suen33	宣：～布，～传
選	suen51	选：～择，挑～
雪	soʔ021	雪：落～（下雪），～白
旋	suen55	旋：～转
轉	tsuen51	转：～学，～移，翻～
轉	tsuen51	转：～圈
篆	tsuen51	篆：～体，～书，～刻
傳	tʰuen55	传：～达，流～
傳	təŋ22	传：～记，自～
專	tsuen33	专：～门，大～
磚	tsəŋ33	砖：～头
拙	tsʰuaʔ021	拙：勤能补～
川	tsʰuen33	川：四～
穿	tsʰuen33	穿：～堂风，揭～
喘	tsʰuen51	喘：哮～
串	tsʰuen13	串：一～，～通
船	tsun55	船：轮～
說	sueʔ021	说：小～
軟	nəŋ51	软：～弱
捲	kuen25	卷：～起来[动]
眷	kuen13	眷：～属
卷	kəŋ51	卷：试～[名]
絹	kian33	绢
圈	kʰuen33	圈：圆～，～套
拳	kʰun55	拳：～头
權	kʰun55	权：～利
倦	kuen25	倦：疲～
圓	ĩ55	圆：团～
員	kuen33	员：人～，～工
院	ĩ13	院：医～，～长
緣	uen55	缘：～分
沿	in55	沿：边～，～江路
鉛	in55	铅：～笔，～球
捐	kian33	捐：～钱
悅	zuəʔ055	悦：愉～
閱	luət021	阅：～读
藩	pʰuã33	藩：曾国～
反	huen51	反：～对，造～
販	huen13	贩：～毒，小～，～卖
髮	huet021	发：头～
發	huet021	发：～展，～财[文]
發	huet021	发：～虫（长虫）[白]
翻	huen33	翻：～书[文]
翻	huen33	翻：翻转；呕吐[白]
番	huen33	番：三～两次，～薯
番	huen33	番：一～被（一床被子）
番	pʰuã33	番：～禺（地名）
煩	huen55	烦：麻～
礬	huam55	矾：明～
繁	huen55	繁：～华
飯	pəŋ22	饭：～店[文]
飯	pəŋ22	饭：食～（吃饭）[白]
伐	huet055	伐：讨～，～木工人
筏	huet055	筏：竹～（竹排）
罰	huet055	罚：～款，惩～
晚	mɯŋ51	晚：～会
挽	man51	挽：～留，手～手
萬	muen22	万：～一
蔓	man13	蔓：～延，瓜～
襪	kueʔ055	袜：鞋～
蕨	kʰiat021	蕨：植物
勸	kʰəŋ13	劝：规～
券	kuen13	券：国库～，证～
掘	kut055	掘：挖～
元	ŋuen55	元：～旦[文]
元	ŋuen55	元：一～钱[白]
原	ŋuen55	原：～来，平～
源	ŋuen55	源：～头，来～
阮	ŋuen51	阮：姓，～玲玉
願	ŋuen25	愿：～望
月	ɡueʔ055	月：三～
喧	suaŋ33	喧：～哗，～闹
冤	uen33	冤：～枉
怨	uen13	怨：～人，埋～
袁	uen55	袁：姓，～世凯
轅	uen55	辕：轩～
園	ŋ̩55	园：菜～，花～
援	ian25	援：～助，支～
遠	ian51	远：永～
越	uet055	越：～来～好
曰	uet021	曰：子～
粵	uet055	粤：～东
決	kuet021	决：～定
訣	kuet021	诀：口～
犬	kʰian51	犬：狂～病
缺	kʰuet021	缺：～点
血	huet021	血：流～
玄	hian55	玄：～妙
懸	ian55	悬：～挂，～崖
縣	kuĩ22	县：～长
眩	hin55	眩：晕眩，～昏
穴	huet055	穴：～位
淵	ian33	渊：深～，～源
吞	tʰun33	吞：～口水
跟	kɯn33	跟：～从
根	kɯn33	根：～本，树～
懇	kʰɯn51	恳：～求，诚～
墾	kʰɯn51	垦：开～
齦	ŋɯn55	龈：牙～肉（牙龈）
痕	hun55	痕：～迹
很	hɯn51	很：～大
恨	hɯn25	恨：仇～
恩	ɯn33	恩：～人
彬	pin33	彬：文质～～；人名用字
賓	pin33	宾：贵～
檳	pin33	槟：～榔
濱	pin33	滨：哈尔～（地名）
殯	pin33	殡：～仪馆，出～
鬢	pin13	鬓：～角
筆	pit021	笔：毛～，～记
畢	pit055	毕：～业
必	pit021	必：～须
匹	pʰit021	匹：～配
貧	pʰin55	贫：扶～
頻	pʰin55	频：～繁
弼	pit055	弼：～马温；任～时
閩	man55	闽：福建简称，～南
民	min55	民：人～，～族
憫	mian51	悯：怜～
敏	mian51	敏：灵～
密	mit055	密：秘～，～封
抿	lim33	抿：小口喝
蜜	bit055	蜜：～蜂
鄰	lin55	邻：～居
鱗	lan55	鳞：鱼～
燐	lin55	磷：～肥
栗	liat055	栗：～子
津	tsin33	津：天～（地名）
儘	tsin25	尽：～管，～早
進	tsin13	进：～步，前～
晉	tsin13	晋：山西简称；魏～南北朝
親	tsʰin33	亲：～生，父～
親	tsʰin33	亲：～家
七	tsʰit021	七：数字
漆	tsʰat021	漆：油～
秦	tsʰin55	秦：姓；～国
盡	tsin25	尽：～量，～力，～头
疾	tsip055	疾：残～
辛	sin33	辛：～苦
新	sin33	新：～旧
新	sim33	新：～妇（儿媳妇）
薪	tsin33	薪：～水
信	sin13	信：相～
訊	sin13	讯：通～
悉	set021	悉：熟～
膝	tsʰet021	膝：～头（膝盖）
珍	tian33	珍：～珠
鎭	tin13	镇：～长，～压
趁	sian55	趁：～机
陳	tan55	陈：姓
塵	tin55	尘：灰～，～灰
陣	tin22	阵：～雨
姪	tiat055	侄：～子
秩	tiat021	秩：～序
臻	tsin33	臻：聂荣～
襯	tsʰin13	衬：～衫
蝨	sat021	虱：虱子，～嫲
眞	tsin33	真：认～，～假
診	tsian51	诊：急～
疹	tsian51	疹：麻～
振	tsin51	振：～动
震	tsin51	震：地～
質	tsiat021	质：～量，品～
神	sin55	神：～仙，精～
實	sit055	实：老～，～在
身	sin33	身：～体，上～
申	sin33	申：～请；地支，申酉戌亥
伸	sin33	伸：～展，延～[文]
伸	sin33	伸：～手[白]
娠	sin55	娠：妊～反应
失	sit021	失：～去，丧～
室	sip021	室：教～，～内
辰	sin55	辰：时～
晨	sin55	晨：朝～
臣	tsʰin55	臣：大～
腎	sian25	肾：～病
腎	kɯn25	肾：鸡～（鸡肫）[白]
愼	sin51	慎：谨～，～重
人	naŋ55	人：老～，～民
仁	zin55	仁：～义
忍	zim51	忍：～耐，～受
刃	zim51	刃：刀～
認	zin22	认：承～，～真
靭	zin51	韧：不易断，坚～[文]
靭	zin51	韧：不易断[白]
日	zit055	日：十～，～期
巾	kɯn33	巾：围～
緊	kin51	紧：～张
吉	kit021	吉：～利
僅	kɯn51	仅：～～，不～
銀	ŋɯn55	银：金～，～行
釁	pʰuen13	衅：挑～
因	in33	因：原～
姻	in33	姻：婚～
印	in13	印：手～
乙	it021	乙：天干，甲乙丙丁
一	it021	一：数字
寅	in55	寅：地支，子丑寅卯
引	in51	引：吸～
逸	it055	逸：劳～结合
斤	kɯn33	斤：～两
筋	kɯn33	筋：牛～丸
謹	kɯn51	谨：～慎，严～
勁	kɛ̃13	劲：有～，～敌
訖	kʰɯt021	讫：收～
乞	kʰɯt021	乞：～食，～求
勤	kʰɯn55	勤：～劳
芹	kʰɯn55	芹：～菜
近	kɯn25	近：最～，～来[文]
近	kɯn25	近：远近[白]
欣	hɯn33	欣：～赏
殷	hɯn33	殷：姓；～勤
隱	un51	隐：～形，～身
癮	in51	瘾：喜欢；烟～
奔	pʰun33	奔：～跑，东～西走
本	pəŋ51	本：～来，书～
不	put021	不：～过
噴	pʰun13	喷：～水；～嚏
盆	pʰun55	盆：面～（脸盆），～地
笨	pun13	笨：～蛋[文]
笨	pun13	笨：厚[白]
勃	put055	勃，蓬～，生机～～
門	mɯn55	门：关～
悶	mun51	闷：烦～，～热
沒	mut055	没：沉～，～有，出～
敦	tun33	敦：～厚；伦～（地名）
墩	tun33	墩：桥～
頓	tun51	顿：停～，～脚
褪	tʰo13	褪：～色
屯	tun33	屯：～田
豚	tʰun55	豚：海～
囤	tun33	囤：～积
沌	tun25	沌：混～
盾	tun51	盾：矛～
鈍	tun25	钝：迟～，～角
遁	tun25	遁：逃～
凸	tut055	凸：～起
突	tut055	突：～然
突	tut055	突：～出
嫩	nun13	嫩：不老
論	lun25	论：～语
崙	lun55	仑：昆～
論	lun25	论：议～，～文
尊	tsun33	尊：～重
卒	tsut021	卒：兵～，小～
村	tsʰəŋ33	村：～长
寸	tsʰun13	寸：尺～
猝	sut021	猝：仓～，～死
存	tsʰun55	存：～在，～折，储～
蹲	tun33	蹲：～马（扎马步）[文]
蹲	kʰu55	蹲：蹲下[白]
孫	sun33	孙：姓；子～
損	sun51	损：～坏
遜	sun13	逊：～色，谦～
昆	kʰun33	昆：～明，～虫
滾	kun51	滚：～动；水开
棍	kun13	棍：长～
骨	kut021	骨：～头
坤	kʰun33	坤：乾～
綑	kʰun51	捆：～绑
困	kʰun13	困：～难
窟	kʰut021	窟：～窿[文]
窟	kʰut021	窟：小坑[白]
昏	hun33	昏：黄～
婚	hun33	婚：结～
忽	hut021	忽：～然
魂	hun55	魂：灵～
渾	hun25	浑：～浊[文]
渾	hun25	浑：水浑[白]
混	hun25	混：～淆，相～
核	hɛt021	核：～心，～对[文]
核	hut055	核：龙眼～[白]
核	hut055	核：～卵（睾丸）[白]
溫	un33	温：～度，～和
瘟	un33	瘟：鸡～
穩	un51	稳：～定，求～
倫	lun55	伦：～理，天～之乐
淪	lun55	沦：沉～
輪	lun55	轮：车～，～流
律	lut055	律：法～，～师
率	lut055	率：效～
遵	tsun33	遵：～守
俊	tsun13	俊：英～
筍	sun51	笋：竹～
榫	sun51	榫：～头（接合处）
迅	sin13	迅：～速
戌	sut021	戌：戊～变法
恤	sut021	恤：体～，抚～
旬	sun55	旬：上～
循	sun55	循：遵～，～环
巡	sun55	巡：～逻，出～
殉	sun55	殉：～职，～情
椿	tsʰun33	椿：～树，香～
朮	tut055	朮：白～（中药）
率	lut055	率：～领
