#漢字	音標	解釋
姓	ɬiaŋ44	姓 姓（单用，白）
淨	tʃiaŋ31	净 干净（白）
井	tʃeŋ35	井 井井有条（文）
領	leŋ13	领 领钱；领导（文）
名	miaŋ11	名 名字（白）
命	meŋ31	命 命令（文）
更	kɐŋ44	更 更换
平	pʰiaŋ11	平 很平（白）
擱	kaʔ033	搁 耽搁（旧读）
室	ʃɐʔ055	室 室内
失	ʃɐʔ055	失 失去
娠	ʃɐŋ11	娠 妊娠
申	ʃɐŋ33	申 申请
伸	ʃɐŋ33	伸 伸手
實	ʃɐʔ021	实 老实
身	ʃɐŋ33	身 身体
質	tʃɐʔ055	质 质量
神	ʃɐŋ11	神 精神
震	tʃɐŋ44	震 地震
振	tʃɐŋ44	振 振动
疹	tʃʰɐŋ35	疹 麻疹
眞	tʃɐŋ33	真 真假
診	tʃʰɐŋ35	诊 急诊
蝨	ʃɐʔ055	虱 虱子
瑟	ɬɐʔ055	瑟 琴瑟
襯	tʃʰɐŋ44	衬 衬衫
臻	tʃɐŋ33	臻 聂荣臻
榛	tʃɐŋ31	榛 榛子
秩	tit021	秩 秩序
侄	tʃɐʔ021	侄 侄子
陣	tʃɐŋ31	阵 阵雨
塵	tʃʰɐŋ11	尘 灰尘
陳	tʃʰɐŋ11	陈 陈年
趁	tʃʰɐŋ44	趁 趁机
珍	tʃɐŋ33	珍 珍珠
鎭	tʃɐŋ44	镇 镇压
膝	ɬɐʔ055	膝 膝盖
悉	ɬek055	悉 熟悉
訊	ɬɐŋ44	讯 通讯
信	ɬɐŋ44	信 相信
新	ɬɐŋ33	新 新旧
辛	ɬɐŋ33	辛 辛苦
疾	tʃɐʔ021	疾 疾病
薪	ɬɐŋ33	薪 薪水
盡	tʃɐŋ31	尽 尽力；尽头
秦	tʃʰɐŋ11	秦 秦国；姓
七	tʃʰɐʔ055	七 第七
漆	tʃʰɐʔ055	漆 油漆
親	tʃʰɐŋ44	亲 亲家
親	tʃʰɐŋ33	亲 亲戚
晉	tʃɐŋ44	晋 魏晋；山西简称
進	tʃɐŋ44	进 前进
儘	tʃɐŋ31	尽 尽早
津	tʃɐŋ33	津 天津
栗	lɐʔ021	栗 栗子
磷	lɐŋ11	磷 磷肥
鄰	lɐŋ11	邻 邻居
鱗	lɐŋ11	鳞 鱼鳞
蜜	mɐʔ021	蜜 蜂蜜
密	mɐʔ021	密 秘密
抿	min11	抿 小口喝酒
憫	mɐŋ13	悯 怜悯
敏	mɐŋ13	敏 灵敏
閩	mɐŋ13	闽 福建简称
民	mɐŋ11	民 人民
弼	paʔ033	弼 弼马温，任弼时
貧	pʰɐŋ11	贫 贫农
頻	pʰaŋ11	频 频繁
蘋	pʰeŋ11	苹 苹果
匹	pʰɐʔ055	匹 匹配；一匹布
必	pit033	必 必须
畢	pɐʔ055	毕 毕业
筆	pɐʔ055	笔 毛笔
鬢	pɐŋ44	鬓 鬂角
殯	pɐŋ44	殡 出殡
賓	pɐŋ33	宾 贵宾
檳	pɐŋ33	槟 槟榔
彬	pɐŋ33	彬 文质彬彬
恩	iɐŋ33	恩 恩德
恨	hɐŋ31	恨 仇恨
很	hɐŋ35	很 很多
啃	hɐŋ35	啃 啃树皮
痕	hɐŋ31	痕 痕迹
懇	hɐŋ35	恳 恳求
墾	hɐŋ35	垦 开垦
跟	kɐŋ33	跟 跟随
根	kɐŋ33	根 树根
吞	tʰɐŋ33	吞 吞口水
穴	it021	穴 穴位
淵	in33	渊 深渊
眩	hin11	眩 眩目，晕眩
懸	hin11	悬 悬崖
縣	in31	县 行政单位
玄	hin11	玄 玄妙
血	hit033	血 流血
缺	kʰit033	缺 缺钱，缺口
犬	hin35	犬 狗
决	kʰit033	决 决定
訣	kʰit033	诀 口诀
粵	it021	粵 粤菜
越	it021	越 越来越
曰	ie44	曰 子曰
遠	in13	远 远近
援	hin11	援 援助
園	in11	园 花园
袁	in11	袁 姓
轅	in11	辕 辕门；轩辕
怨	in44	怨 埋怨
冤	in33	冤 冤枉
宛	un35	宛 宛然；人名用字
喧	ɬin33	喧 喧闹
月	ȵit021	月 月亮
願	ȵin31	愿 愿望
阮	in35	阮 姓
源	in11	源 来源
原	ȵin11	原 原来
元	in11	元 元旦
掘	kwɐʔ021	掘 挖掘
券	kin44	券 国库券，证券
勸	hin44	劝 规劝
厥	hit033	厥 突厥
襪	mɐʔ021	袜 袜子
