#漢字	音標	解釋
繰	tʂaʔ031	缲：缲边（把布边往里卷，然后藏着针脚缝）
悄	tsʰiɑu31	悄：静悄悄
俏	tsʰiɑu31	俏：商品紧俏
偢	tsʰiɑu22	偢：傻
樵	tsʰiɑu22	樵：渔樵耕读，柴草
瞧	kʰiɑu22	瞧：看
消	siɑu44	消：消化，抵消
宵	siɑu44	宵：良宵
霄	siɑu44	霄：云霄
硝	siɑu44	硝：硝烟，硝酸
銷	siɑu44	销：供销社
小	siɑu31	小：大小（物体大小，年龄大小，排行大小）
逍	siɑu44	逍：逍遥
笑	siɑu52	笑：动作，笑话
肖	siɑu52	肖：姓，生肖
朝	tʂau33	朝：早上，明朝，三朝
超	tʂʰau33	超：超过
潮	tʂʰau22	潮：潮水，涨潮
朝	tʂʰau22	朝：动词，朝代
趙	tʂʰau52	赵：姓，赵匡胤
兆	tʂʰau52	兆：人名用字
召	ʂau52	召：号召，召集
昭	tʂau44	昭：王昭君
招	tʂau44	招：招手
沼	tʂau52	沼：沼气，沼泽
照	tʂau52	照：用手电照
詔	tʂau52	诏：诏书
燒	ʂau44	烧：发烧，烧水
少	ʂau31	少：多少
少	ʂau52	少：少爷，少年
韶	ʂau22	韶：韶山，韶关
紹	ʂau52	绍：绍兴，介绍
邵	ʂau52	邵：姓
饒	niɑu22	饶：求饶，饶他
橈	niɑu22	桡：桨
擾	ʐiɑu31	扰：打扰，扰乱
繞	niɑu31	绕：围绕
繞	niɑu31	绕：绕线
驕	kiɑu44	骄：骄傲
嬌	kiɑu44	娇：撒娇，娇滴滴
矯	kiɑu31	矫：矫枉过正
蕎	tsʰiɑu22	荞：荞麦
僑	kʰiɑu22	侨：华侨
橋	kʰiɑu22	桥：一座桥
喬	kʰiɑu22	乔：姓
翹	tsʰiɑu52	翘：翘尾巴
轎	kʰiɑu52	轿：轿子，抬轿
囂	siɑu44	嚣：嚣张
妖	ʐau44	妖：妖怪
邀	ʐau44	邀：邀请
腰	ʐau44	腰：身体部位
要	ʐau44	要：要求
夭	ʐau44	夭：夭折
要	ʐau52	要：重要
搖	ʐau22	摇：摇来摇去，摇摆，摇篮
謠	ʐau22	谣：民谣，童谣
姚	ʐau22	姚：姓，姚文元
窑	ʐau22	窑：官窑，烧窑
舀	ʐau31	舀：舀水
遙	ʐau22	遥：逍遥
耀	ʐau52	耀：耀眼，照耀
鷂	ʐau52	鹞：鹞鹰，纸鹞
刁	tiɑu44	刁：刁钻，嘴刁
雕	tiɑu33	雕：根雕，雕刻
貂	tiɑu44	貂：水貂，一种动物，皮毛名贵，貂皮
凋	tiɑu44	凋：凋谢，凋零
鳥	tiɑu44	鸟：有无避讳
吊	tiɑu52	吊：上吊
釣	tiɑu52	钓：上钓，钓鱼
挑	tʰiɑu44	挑：挑刺，挑选，挑担
跳	tʰiɑu52	跳：跳高，跳起
糶	tʰiɑu52	粜：卖米
條	tʰiɑu13	条：条件，字条
調	tʰiɑu13	调：调和，调整
跳	tʰiɑu52	跳：走。小孩不高兴跺脚的说法。
調	tiɑu52	调：调动，调查
掉	tiɑu52	掉：吃掉，走掉
調	tʰiɑu52	调：音调
尿	niɑu52	尿：小便，尿素
遼	liɑu13	辽：辽宁
聊	liɑu13	聊：聊天，无聊
寥	liɑu31	寥：寥寥无几
廖	liɑu52	廖：姓
撩	liɑu45	撩：撩起来
了	liɑu31	了：了结
瞭	liɑu31	了：明了，了解
僚	liɑu13	僚：官僚
料	liɑu52	料：肥料，材料
鐐	liɑu13	镣：脚镣
蕭	siɑu44	萧：姓
簫	siɑu44	箫：乐器，吹箫
澆	liuŋ45	浇：浇花
繳	kiɑu31	缴：缴枪，上缴
僥	kiɑu31	侥：侥幸
叫	kiɑu52	叫：小孩哭，大喊大叫
撬	kʰiɑu52	撬：撬门
竅	tsʰiɑu52	窍：诀窍，窍门
堯	niɑu22	尧：尧舜禹
曉	ʂau31	晓：天光晓（启明星），黄昏晓（长庚星），晓得
幺	au44	幺：幺二三
吆	ʐau44	吆：吆喝
杳	ʐau31	杳：杳无音信
剖	fiu31	剖：解剖
某	miu45	某：某人
畝	miu31	亩：一亩田
牡	miu52	牡：牡丹
母	mu45	母：亲家母
拇	mu45	拇：拇指
戊	vu52	戊：戊戌变法
茂	miu52	茂：茂盛
貿	miu31	贸：贸易，外贸
兜	tiu45	兜：兜风
斗	tiu31	斗：十升为斗
抖	tiu31	抖：发抖
陡	tiu31	陡：山很陡
鬥	tiu52	斗：斗争，批斗
偸	tʰiu44	偷：偷东西
透	tʰiu52	透：透明，看透
頭	tʰiu22	头：脑袋，开头，头发，纸头
投	tʰiu22	投：投降
豆	tʰiu52	豆：黄豆，豆芽
痘	tʰiu52	痘：出痘，水痘
逗	tʰiu52	逗：逗号，引逗
樓	liu13	楼：上楼，楼房
摟	liu31	搂：搂取（挖）
簍	liu13	篓：竹篓，鱼篓
摟	naŋ31	搂：搂抱
漏	liu52	漏：漏雨
陋	liu52	陋：简陋
走	tsiu31	走：走路，行走
奏	tsiu52	奏：节奏
湊	tsʰiu52	凑：凑数
叟	siu31	叟：童叟无欺
嗽	kʰɛin31	嗽：咳嗽
勾	kiu45	勾：勾引，勾芡，勾心斗角
鈎	kiu45	钩：鱼钩，打钩
溝	kiu45	沟：阴沟，畎沟，沟通
狗	kiu31	狗：动物
苟	kiu31	苟：苟且偷生
垢	kiu52	垢：污垢
够	kiu52	够：足够，够了
彀	kiu52	够：往上够
構	kiu52	构：结构，构造
購	kiu52	购：购买，采购
勾	kiu33	勾：勾当
摳	ʐɛʔ031	抠：挖，掏
瞘	au44	眍：眼眍下去
口	tʂuɔi52	口：嘴，门口，口头，开口
叩	ŋaŋ31	叩：叩头
扣	kʰiu52	扣：扣子，纽扣，扣钱
寇	kʰiu52	寇：姓，倭寇
藕	iu31	藕：植物
偶	niu31	偶：配偶
偶	niu31	偶：偶然
鱟	tʰiɛn33	鲎：彩虹
鱟	kiuŋ44	鲎：彩虹
侯	hiu22	侯：诸侯，姓
喉	hiu22	喉：喉咙
猴	hiu22	猴：动物，属相
后	hiu52	后：皇后
厚	hiu52	厚：厚薄，忠厚
後	hiu52	后：前后，后来
候	hiu52	候：等候，候车
歐	iu44	欧：姓，欧洲
甌	iu44	瓯：瓯江
區	iu44	区：姓
嘔	iu31	呕：呕吐
毆	iu31	殴：殴打
漚	iu52	沤：久浸水中
慪	iu31	怄：怄气
否	fiu31	否：否定
不	piʔ031	不：
富	fu52	富：有钱，富贵
副	fu52	副：正副
浮	fiu22	浮：浮动，轻浮
負	fu52	负：负担，负责
婦	fu52	妇：妇女、媳妇
復	fuʔ031	复：复兴，唧唧复唧唧
謀	miu22	谋：阴谋，谋财
矛	mau22	矛：矛盾，长矛
紐	niu31	纽：纽扣，纽带
扭	niu31	扭：扭动，用两个手指掐
流	liu22	流：水流，流动
留	liu22	留：留下，停留
劉	liu22	刘：姓，刘备
榴	liu22	榴：石榴
琉	liu22	琉：琉璃
硫	liu22	硫：硫磺
柳	liu31	柳：柳树，姓
溜	liu45	溜：溜走，滑
餾	liu52	馏：蒸馏水
廖	liɑu52	廖：姓
揪	tsiu45	揪：揪头发
酒	tsiu31	酒：喝酒，酒精
秋	tsʰiu44	秋：秋天，春秋
秋	tsʰiu44	秋：秋千
鰍	tsʰiu44	鳅：泥鳅
就	tsʰiu52	就：成就，就去
修	siu44	修：修理，装修
羞	siu44	羞：害羞，羞愧
秀	siu52	秀：清秀，秀才
繡	siu52	绣：绣花，刺绣
銹	siu52	锈：生锈
宿	siuʔ031	宿：星宿
囚	siuŋ22	囚：囚笼，囚犯
袖	tsʰiu52	袖：袖子，领袖
肘	tʂu31	肘：手肘，肘子（蹄膀）
晝	tʂu52	昼：白天，昼夜中午，日昼
抽	tʂʰu44	抽：抽出，抽屉
丑	tʂʰu31	丑：地支名
綢	tʂʰu22	绸：绸缎，丝绸
稠	tʂʰu22	稠：稠密
籌	tʂʰu22	筹：筹码，筹备
紂	tʂu52	纣：商纣王
宙	tsʰiu52	宙：宇宙
鄒	tsiu44	邹：姓
皺	tsiu52	皱：老人皮肤皱，皱纹
縐	tsiu44	绉：文绉绉，绉纱
矁	tsʰiu44	瞅：看，瞧
愁	siu22	愁：发愁，愁眉苦脸
驟	tsʰiu31	骤：步骤，暴风骤雨
搜	sau44	搜：搜查，搜身
颼	siu31	飕：凉飕飕
餿	siu45	馊：饭馊了
蒐	sau44	搜：搜集
瘦	siu52	瘦：人瘦了
漱	ʂu52	漱：漱口
周	tʂu45	周：姓
舟	tʂu45	舟：舟山
州	tʂu45	州：杭州
洲	tʂu45	洲：亚洲
週	tʂu45	周：一周，周年
帚	tʂu31	帚：扫帚
咒	tʂu52	咒：咒人
醜	tʂʰu31	丑：难看，丑恶
臭	tʂʰu52	臭：香臭
收	ʂu33	收：秋收，收集
手	ʂu31	手：身体部位，手艺，手段
首	ʂu31	首：首都
守	ʂu31	守：看守（养牛，看东西），保守，守卫
獸	tʂʰuʔ031	兽：野兽，兽性
酬	tʂʰu22	酬：报酬，酬谢
仇	ʂu22	仇：报仇
受	ʂu52	受：接受，受苦，受记（把仇恨等记在心里）
壽	ʂu52	寿：做寿，寿星
授	ʂu52	授：教授
售	ʂu22	售：出售，售货
柔	ʐu22	柔：温柔，柔软
揉	ʐu22	揉：揉痛的地方，揉眼睛。揉面团
鳩	kiu45	鸠：斑鸠
鬮	kiu44	阄：抓阄
糾	kiu44	纠：纠缠
九	kiu31	九：数字
久	kiu31	久：长久，久仰
韭	kiu31	韭：韭菜
灸	kiu52	灸：针灸
救	kiu52	救：救命，求救
究	kiu52	究：研究，究竟
丘	kʰiu44	丘：一丘田，姓
求	kʰiu22	求：要求，求雨
球	kʰiu22	球：汽球，地球
仇	ʂu22	仇：姓
臼	tsiu52	臼：石臼，脱臼
舅	kʰiu44	舅：舅舅，舅妈
咎	tsiu44	咎：咎由自取
舊	kʰiu52	旧：新旧，旧货
柩	kʰiu52	柩：已装尸的棺材
牛	niu13	牛：吹牛，一头牛
休	ʂu44	休：休息，退休
朽	ʂu31	朽：朽木，腐朽，永垂不朽
嗅	siu52	嗅：嗅觉，闻
優	ʐu13	优：优秀
憂	ʐu33	忧：担忧，忧伤
尤	ʐu22	尤：尤其
郵	ʐu22	邮：邮票，邮电
有	ʐu45	有：有无，拥有
友	ʐu45	友：朋友，友谊
又	ʐu52	又：又来了，又红又专
右	ʐu52	右：右面，左右
祐	ʐu52	佑：保佑
由	ʐu22	由：理由，由来
油	ʐu22	油：菜油，油滑
游	ʐu22	游：游泳，旅游
猶	ʐu22	犹：犹豫
悠	ʐu33	悠：悠闲
酉	ʐu52	酉：地支第十
莠	ʐu52	莠：良莠不齐
誘	ʐu31	诱：引诱，诱惑
柚	ʐu52	柚：一种水果
釉	ʐu52	釉：釉彩，上釉
彪	pʰiau44	彪：林彪
謬	miu52	谬：谬论
丟	tiu45	丢：扔，丢失
糾	kiu44	纠：纠正
幽	ʐu33	幽：幽默
幼	ʐu52	幼：幼稚，幼小
耽	taŋ44	耽：耽误，耽搁
搭	taʔ031	搭：衣服搭在肩上，搭讪
答	taʔ031	答：回答
貪	tʰaŋ44	贪：贪心
探	tʰaŋ31	探：探路，试探
踏	tʰaʔ055	踏：脚踏，践踏
搨	pʰaʔ031	搨：搨本
潭	tʰaŋ22	潭：溪中深处，湘潭，鹰潭
譚	tʰaŋ22	谭：姓，谭震林
壜	tʰain22	坛：酒坛
沓	tʰaʔ055	沓：一沓纸
南	naŋ22	南：南方，东南
男	naŋ22	男：男人
納	naʔ055	纳：出纳
婪	laŋ22	婪：贪婪
拉	la45	拉：推拉，拖拉，拉萨
垃	la45	垃：垃圾
簪	tsain44	簪：发簪
參	tsʰaŋ44	参：参加，参军
慘	tsʰaŋ31	惨：悲惨
蠶	tsʰaŋ22	蚕：动物
雜	tsʰaʔ055	杂：复杂，杂货
感	kaŋ31	感：感谢，感动
蛤	ha31	蛤：蛤蜊，花蛤
合	haʔ055	合：十合一升
鴿	kaʔ031	鸽：鸽子
堪	kʰaŋ44	堪：难堪，不堪
龕	kʰaŋ44	龛：神龛
坎	haŋ52	坎：坎坷
砍	kʰaŋ31	砍：砍柴
勘	kʰaŋ44	勘：勘探，勘误
喝	huɔi31	喝：喝酒
含	haŋ22	含：包含，含在嘴里
函	haŋ22	函：信函，函授
撼	hain52	撼：震撼
憾	hain52	憾：遗憾
合	haʔ055	合：合作
盒	haʔ055	盒：盒子
庵	aŋ45	庵：尼姑庵
揞	aŋ52	揞：手覆、揞住
暗	aŋ52	暗：不亮，黑暗
擔	taŋ44	担：挑，拿，担任
膽	taŋ31	胆：胆小，苦胆
擔	taŋ44	担：挑担，担子
坍	tʰaʔ031	坍：坍下来，坍塌
毯	tʰain31	毯：毯子，毛毯
塔	tʰaʔ031	塔：一座塔
榻	tʰaʔ031	榻：床榻
遢	tʰa44	遢：邋遢
溻	tʰaʔ031	溻：湿溻溻，溻汗
塌	tʰaʔ031	塌：倒塌
談	tʰaŋ22	谈：谈话，会谈
痰	tʰaŋ22	痰：吐痰
淡	tʰaŋ44	淡：咸淡，浓淡
藍	laŋ22	蓝：蓝色，深蓝
籃	laŋ22	篮：菜篮，篮子
覽	laŋ31	览：阅览，展览
攬	laŋ31	揽：总揽，包揽
欖	laŋ31	榄：橄榄
濫	laŋ52	滥：泛滥
纜	laŋ31	缆：粗索，缆绳
臘	laʔ055	腊：腊肉，腊月
蠟	laʔ055	蜡：蜡烛
慚	tsʰaŋ31	惭：惭愧
暫	tsʰiaŋ52	暂：暂时，短暂
三	saŋ33	三：数字
甘	kaŋ33	甘：甘蔗，甘心
柑	kaŋ33	柑：芦柑，柑桔
泔	kaŋ33	泔：洗米水
敢	kaŋ31	敢：敢不敢，勇敢
橄	kaŋ44	橄：橄榄
磕	ŋaŋ31	磕：磕头
憨	haŋ45	憨：傻
喊	haŋ52	喊：叫喊
酣	haŋ45	酣：酣睡
站	tsaŋ52	站：站立
劄	tsaʔ031	扎：针扎，札记
賺	tsʰain52	赚：赚钱
站	tsʰaŋ52	站：车站
斬	tsaŋ31	斩：
蘸	tsiaŋ31	蘸：蘸酱油
眨	niaʔ031	眨：眨眼
插	tsʰaʔ031	插：插在腰里，插秧
饞	tsʰaŋ22	馋：嘴馋
讒	tsʰaŋ22	谗：谗言
閘	tʂaʔ031	闸：闸门
煠	tsa52	炸：把食物放入汤或煮沸的油里弄熟
杉	tsʰaŋ52	杉：杉树，杉木
尷	kaŋ44	尴：尴尬
減	kaŋ31	减：减掉点饭，加减
鹼	kɛin31	碱：发酵用
夾	kiaʔ055	夹：夹子，夹东西
裌	kiaʔ055	裌：裌衣
掐	kiaʔ055	掐：掐虱子，掐脖子，用手指掐
恰	kʰaʔ031	恰：恰当
喊	haŋ52	喊：叫喊，呻吟
鹹	haŋ22	咸：咸淡
咸	haŋ22	咸：咸丰
陷	haŋ52	陷：陷害，陷进去，陷井
餡	kʰaŋ44	馅：馅心，饺子馅
狹	kʰiaʔ055	狭：窄，狭窄
峽	ʂaʔ055	峡：峡口，三峡
洽	kʰaʔ031	洽：洽谈，融洽
攙	tsʰaŋ45	搀：扶，搀扶
懺	tʂʰain44	忏：忏悔，打忏
衫	saŋ44	衫：衬衫，布衫
監	kaŋ52	监：监视，牢监
鑑	kaŋ52	鉴：鉴定
監	kaŋ52	监：国子监
甲	kaʔ031	甲：天干第一
胛	kaʔ031	胛：肩胛
嵌	kʰiaŋ22	嵌：镶嵌
巖	ŋaŋ22	岩：石头，岩石
銜	haŋ22	衔：叼在嘴里，头衔，军衔
艦	kaŋ52	舰：军舰
檻	kʰiaŋ44	槛：门槛
鴨	aʔ031	鸭：动物
押	aʔ031	押：抵押，押送
壓	aʔ031	压：压力，镇压
貶	piɛn31	贬：贬值，褒贬
黏	niaŋ22	黏：黏米，黏起来
聶	niaʔ031	聂：姓
鑷	niaʔ031	镊：镊子
躡	niaʔ031	蹑：蹑手蹑脚
廉	liaŋ22	廉：廉洁，清廉
鐮	liaŋ22	镰：镰刀
簾	liaŋ22	帘：窗帘，帘子
斂	liaŋ31	敛：收敛
殮	liaŋ31	殓：殡殓
獵	liaʔ055	猎：打猎
尖	tsiaŋ44	尖：尖刀，眼睛尖，铅笔尖儿
殲	tsiaŋ44	歼：～灭
接	tsiaʔ031	接：接人，接起来
籤	tsʰiaŋ44	签：竹签，求签
簽	tsʰiaŋ44	签：签字
妾	tsʰiaʔ055	妾：小老婆
潛	siaŋ22	潜：潜水，潜伏，于潜
漸	tsʰiaŋ52	渐：逐渐，渐渐
捷	tsʰiaʔ055	捷：捷报，大捷
暹	ʐiɛn44	暹：暹罗
纖	siaŋ22	纤：纤维
沾	tʂaŋ44	沾：沾亲带故
粘	niaŋ22	粘：粘贴
瞻	tʂaŋ44	瞻：高瞻远瞩，瞻仰
占	tʂaŋ44	占：占卜
佔	tʂaŋ52	占：占领，占地方
摺	tʂaʔ031	摺：折被子、纸
褶	tʂaʔ031	褶：褶皱
陝	ʂaŋ31	陕：陕西
閃	ʂaʔ031	闪：闪电
攝	niaʔ031	摄：摄影
蟾	ʂaŋ22	蟾：蟾酥
涉	ʂaʔ055	涉：干涉，涉及
染	niaŋ52	染：污染，染色
冉	ʐiɛn33	冉：冉冉上升
檢	kiaŋ31	检：检查，体检
臉	miɛn52	脸：脸色，花脸
鉗	kʰiaŋ22	钳：老虎钳，钳子
儉	kiaŋ31	俭：节俭，俭朴
驗	niaŋ52	验：试验，验证
險	ʂiaŋ31	险：危险，险恶
淹	ʐaŋ44	淹：淹没，淹死
閹	ʐaŋ44	阉：阉割
掩	ʐaŋ31	掩：掩护
厭	ʐaŋ52	厌：讨厌，厌烦
靨	vɔ44	靨：酒靨，凹下，瘪掉
炎	ʐaŋ22	炎：消炎，炎热
鹽	ʐaŋ22	盐：调味品
閻	ʐaŋ22	阎：阎王，姓
檐	ʐaŋ22	檐：屋檐，檐头
豔	ʐaŋ52	艳：鲜艳，艳丽
鹽	ʐaŋ22	盐：动词，腌制
焰	ʐaŋ52	焰：火焰，焰火
葉	ʐaʔ055	叶：姓，树叶
頁	ʐaʔ055	页：一页两页
劍	kiaŋ52	剑：宝剑
劫	kiaʔ031	劫：抢劫，劫数
欠	kʰiaŋ52	欠：欠债，拖欠
嚴	niaŋ22	严：严格，姓
儼	ʐiɛn45	俨：俨然，高傲
釅	niaŋ22	酽：酽茶
業	niaʔ055	业：事业，业余
脅	ʂaʔ055	胁：威胁
醃	ʐaŋ44	醃：腌制
腌	ʐaŋ44	腌：
掂	tiaŋ52	掂：掂分量
點	tiaŋ31	点：一点，点头
踮	niɛn52	踮：踮脚尖
店	tiaŋ52	店：开店，商店
跌	tiɛʔ031	跌：跌打损伤
添	tʰiaŋ33	添：增添，添加
舔	tʰiɛ31	舔：以舌取物
帖	tʰiaʔ031	帖：请帖
貼	tiaʔ031	贴：贴邮票，张贴
甜	tʰiaŋ22	甜：糖的滋味
疊	tʰiaʔ055	叠：折叠，堆叠
碟	tʰiaʔ055	碟：似盘而小
牒	tʰiaʔ055	牒：通牒，文牒
蝶	tʰiaʔ055	蝶：蝴蝶
諜	tʰiaʔ055	谍：间谍
鮎	niaŋ52	鲇：鲇魚（鲶）
拈	niaŋ44	拈：用两三个手指头夹、捏取物，拈轻怕重
念	niaŋ52	念：念经，想念
廿	ni52	廿：二十
兼	kiaŋ45	兼：兼职
搛	kiaŋ31	搛：挟菜
挾	kiaʔ031	挟：挟菜
莢	kaʔ031	荚：豆荚
謙	kʰiaŋ44	谦：谦虚
歉	kʰiaʔ031	歉：道歉，歉意
嫌	ʂaŋ22	嫌：嫌弃
協	ʂaʔ055	协：协作，协会
俠	ʂaʔ055	侠：侠义，武侠
法	faʔ031	法：法律，办法
泛	faŋ52	泛：广泛，泛滥
凡	faŋ22	凡：下凡，凡是
帆	faŋ22	帆：船帆
範	faŋ52	范：师范，模范
范	faŋ52	范：姓
犯	faŋ52	犯：犯法，犯人
梵	faŋ52	梵：梵文
乏	faiʔ055	乏：乏力，缺乏
稟	pin31	禀：禀报
品	pʰin31	品：品德，商品
賃	li52	赁：租赁
林	liuŋ22	林：姓，树林
淋	liuŋ22	淋：淋雨
臨	liuŋ22	临：临时，面临
檁	liaŋ22	檩：房梁
凜	liuŋ33	凛：威风凛凛
立	liuʔ055	立：立正，建立
笠	liʔ031	笠：斗笠，笠帽
粒	liuʔ055	粒：一粒，颗粒
怎	tsiɛ45	怎：怎么
浸	tsiuŋ52	浸：泡在水里
侵	tsʰiuŋ44	侵：侵略，入侵
寢	tsʰiuʔ055	寝：寝室，就寝
緝	tsʰiuʔ055	缉：通缉，缉鞋底，缉毛衣
蕈	tsʰiuʔ055	蕈：菌类总称
集	tsʰiuʔ055	集：集体，召集
輯	tsʰiuʔ055	辑：编辑
心	siuŋ44	心：身体，心思
芯	siuŋ44	芯：灯芯，灯芯绒，笔芯
尋	tsʰiuŋ22	寻：找，寻死
習	siuʔ055	习：学习，习惯
襲	tsʰiuʔ055	袭：袭击、抄袭
砧	tʂaŋ44	砧：砧板，铁砧
沉	tʂʰuŋ22	沉：沉浮
蟄	tʂʰʅʔ055	蛰：惊蛰
簪	tsaŋ44	簪：发簪
參	tsʰaŋ44	参：参差
岑	tsʰin22	岑：姓
森	siuŋ45	森：森林
參	sɛin45	参：人参
滲	tsʰaŋ45	渗：渗透，渗水
澀	sɛʔ031	涩：青苹果味
針	tʂuŋ44	针：缝衣针，针线，针对
斟	tʂuŋ44	斟：斟酌，斟酒
枕	tʂuŋ31	枕：枕头
枕	tʂuŋ31	枕：动词
執	tʂuʔ031	执：执行，执法
汁	tʂuʔ031	汁：菜汁，果汁，墨汁
葚	ʂʅn52	葚：桑葚
深	tʂʰuŋ45	深：深浅，深入
沈	ʂuŋ31	沈：姓，沈阳
嬸	ʂuŋ31	婶：叔之妻
審	ʂuŋ31	审：审问，会审
濕	ʂuʔ031	湿：潮湿，很湿，湿溻溻，湿润
甚	ʂuŋ52	甚：甚至，欺人太甚
十	ʂuʔ055	十：数字
什	ʂʅʔ055	什：果什，什物
拾	ʂuʔ055	拾：拾金不昧
壬	ʐʅn31	壬：天干第九
任	niuŋ52	任：姓
任	niuŋ52	任：任务
紝	ʐʅn52	纴：缝纴
入	niuʔ055	入：入口，进入
今	kin44	今：今天，今年，如今
金	kiuŋ44	金：金银，金子
禁	kiuŋ52	禁：禁不住
襟	kin44	襟：衣的前幅，连襟
錦	kiuŋ31	锦：锦旗，锦绣
禁	kiuŋ52	禁：禁止
急	kiuʔ031	急：着急，急忙
級	kiuʔ031	级：级别，年级
給	kiuʔ031	给：供给
欽	kʰin44	钦：钦佩
撳	kʰiuŋ52	揿：手用力捏住，往下按
泣	kʰi52	泣：哭泣
琴	kʰin22	琴：弹琴
禽	kʰiuŋ22	禽：家禽
擒	kʰiuŋ22	擒：擒拿
妗	kʰiu44	妗：舅母，娘妗
及	kʰiuʔ055	及：不及，及时
吟	ʐʅn22	吟：呻吟，吟诗
吸	kiuʔ031	吸：呼吸，吸住
音	ʐuŋ44	音：声音，音乐
陰	ʐuŋ44	阴：阴天，乌阴
飮	ʐuŋ31	饮：饮酒，米汤
陰	ʐuŋ44	阴：屋子里很阴
窨	ʐuŋ44	窨：阴沟，地窖
飮	ʐuŋ31	饮：饮马
揖	ʐʅ44	揖：作揖
邑	ʐʅ52	邑：
淫	ʐuŋ22	淫：淫荡，浸淫
丹	tain33	丹：人丹
單	tain33	单：单独
撣	sau52	掸：鸡毛掸子，掸埲尘
疸	taŋ31	疸：黄疸
旦	tain52	旦：元旦
灘	tʰain45	滩：沙滩
攤	tʰain44	摊：摆摊，摊开
癱	tʰain44	瘫：瘫痪，风瘫
坦	tʰain31	坦：坦白，坦克
歎	tʰain52	叹：叹气，感叹
炭	tʰain52	炭：烧炭，木炭
獺	lai52	獭：水獭
檀	tʰain22	檀：檀香
壇	tʰain22	坛：天坛
彈	tʰain22	弹：弹琴
誕	tain52	诞：诞生
但	tain52	但：但是，不但
彈	tʰain22	弹：子弹，弹子
蛋	tʰain52	蛋：鸡蛋，皮蛋
達	tʰaiʔ055	达：达到，到达
難	nain22	难：困难，很难
難	nain52	难：落难，逃难
捺	nai52	捺：撇捺，捺下去
蘭	lain22	兰：兰花
攔	lain22	拦：拦住
欄	lain22	栏：栏杆，猪栏
懶	lain44	懒：懒惰，很懒
爛	lain52	烂：腐烂，烂掉
辣	laiʔ055	辣：味道，泼辣
瘌	laiʔ031	瘌：瘌痢头
贊	tsain52	赞：赞助
灒	tsʰɛin52	灒：溅水
讚	tsain52	赞：称赞
餐	tsʰɔin33	餐：一餐饭，快餐
燦	tsʰain52	灿：灿烂
擦	tsʰaiʔ031	擦：擦洗
殘	tsʰain22	残：残疾，摧残
珊	sain45	珊：珊瑚
散	sain31	散：松散，鞋带散了
傘	sain31	伞：雨伞
散	sain52	散：散会，解散
撒	sa31	撒：撒化肥，撒种
薩	saiʔ031	萨：菩萨，拉萨
干	kɔin33	干：天干地支
乾	kɔin33	干：干湿
肝	kɔin45	肝：身体，猪肝
竿	kau45	竿：竹竿
桿	kɔin52	杆：木杆
稈	kɔin31	秆：稻秆
擀	kɔin31	擀：擀面
趕	kɔin31	赶：赶走，追赶
幹	kɔin52	干：干部，能干
割	kɔiʔ031	割：割稻
葛	kɔiʔ031	葛：姓，诸葛亮
看	kʰɔin52	看：看守
刊	kʰain44	刊：报刊
看	kʰɔin52	看：看见
渴	hɔiʔ031	渴：口渴，渴望
岸	ŋaŋ52	岸：岸上，口岸
鼾	hɔin44	鼾：打鼾
罕	hɔin31	罕：稀罕，罕见
漢	hɔin52	汉：汉族，好汉
熯	hɔ52	熯：用极少的油煎，菜放在上蒸，烘烤
喝	hɔiʔ031	喝：喝采，吆喝
寒	hɔin22	寒：伤寒，小寒，寒冷
韓	hɔin22	韩：姓，韩国
旱	hɔin45	旱：干旱
捍	hɔin31	捍：捍卫
汗	hɔin52	汗：出汗
銲	hɔin52	焊：焊接，电焊
翰	hɔin52	翰：翰林，人名用字
安	ɔin45	安：安全，安放
鞍	ɔin44	鞍：马鞍
按	ɔin52	按：按照，按铃
案	ɔin52	案：人命案，档案
扮	pʰain52	扮：打扮，扮相
八	paiʔ031	八：数字
盼	pʰain31	盼：盼望，期盼
辦	pʰain52	办：办法，怎么办
瓣	pʰain52	瓣：花瓣，叶子
拔	pʰaiʔ055	拔：拔秧，选拔
抹	maiʔ031	抹：抹布
綻	tʰin52	绽：破绽，谷粒饱满，绽缝（衣服脱线）
盞	tsain31	盏：灯盏，酒盏，碗盏
札	tsaʔ031	札：札记，信札
紮	tsaiʔ031	扎：扎紧，驻扎
鏟	tsʰain31	铲：镬铲，铲草
察	tsʰaiʔ031	察：察看，观察
山	sain45	山：山顶，泰山
潺	tʂʰaŋ22	潺：流水潺潺
產	sain31	产：生产，共产党，做产母，产母娘
殺	saiʔ031	杀：杀人，自杀
艱	kiɛn45	艰：艰苦
間	kain44	间：中间，一间房间
襉	tsaʔ031	裥：衣服上的褶子，老人皮肤皱
簡	kain31	简：简单
柬	tʰiaʔ031	柬：请柬
揀	kiaŋ31	拣：挑选，拣菜
間	kain45	间：间断，离间
擖	kaiʔ031	擖：用刀刮
眼	ŋain31	眼：针眼，眼镜
閑	hain22	闲：空闲，闲事
限	hain52	限：有限，限制
莧	kain52	苋：苋菜，马齿苋
軋	ŋain45	轧：被车轧，轧钢厂
班	pain44	班：班级，上班
斑	pain44	斑：雀斑，斑点
扳	pain31	扳：扳手，用力往后拉
頒	pain44	颁：颁布
板	pain31	板：黑板，石板
版	pain31	版：出版，版本
攀	pain45	攀：攀登，高攀
扳	pain31	扳：
襻	pain45	襻：纽襻，门襻
蠻	main22	蛮：野蛮，蛮横
慢	main52	慢：慢车，快慢
