#漢字	音標	解釋
糊	fu22	糊：米糊（用米粉调制的食品，可以喂婴儿），浆糊，糊涂，糊了
狐	fu22	狐：狐狸
壺	fu22	壶：水壶
乎	fu45	乎：之乎者也
葫	fu22	葫：葫芦
瓠	fu13	瓠：瓠卢，同葫芦
蝴	fu22	蝴：蝴蝶
鬍	fu22	胡：胡须
戶	fu52	户：户口
滬	fu52	沪：上海简称
互	fu33	互：互相，相互
護	fu52	护：保护，护士
烏	vu44	乌：黑，乌纱帽
污	vu44	污：污染
塢	vu44	坞：山坞，船坞
惡	ɔʔ031	恶：可恶，大便
女	ni31	女：女儿，女婿，孙女，女人
廬	lu13	庐：庐山
驢	lu13	驴：毛驴
呂	li45	吕：姓，吕布
稆	li45	稆：稆谷，稆生（野生）
旅	li31	旅：旅长
慮	li52	虑：考虑
濾	li52	滤：过滤
蛆	tsʮ33	蛆：蛆虫（孑孓）
胥	siɛ52	胥：伍子胥
絮	si52	絮：棉絮，被絮，丝瓜瓤
徐	tsʰui22	徐：姓
序	si52	序：秩序
叙	si52	叙：
緖	si52	绪：光绪，情绪
嶼	ʐʅ31	屿：小岛
豬	tʂu33	猪：养猪，猪八戒
著	tʂu52	著：著名，显著
褚	tʂaʔ031	褚：姓
除	tʂʰu22	除：除法，除衣服，把东西除掉
儲	ʂu22	储：储蓄
苧	tʂu52	苎：苎麻
箸	tʂaʔ031	箸：筷子。箸笼（盛筷器）
阻	tsʮ31	阻：阻力，阻拦
初	tsʰɔ44	初：大年初一，初中
楚	tsʰɔ31	楚：姓，楚国。
礎	tsʰɔ31	础：柱下石，基础
鋤	tsʰɔ13	锄：锄头
助	tsʰʮ52	助：帮助
梳	sɔ33	梳：梳头，梳子（头梳）
疏	sɔ33	疏：亲疏，疏密，疏远
蔬	sɔ33	蔬：蔬菜，菜蔬
所	sɔ31	所：所以，派出所
疏	sɔ33	疏：注疏，经疏
諸	tʂu44	诸：诸葛亮，诸如此类
煮	tʂu31	煮：煮饭，煮粥
處	tʂʰu31	处：处理
杵	tʂʰu31	杵：舂杵（可用来捣草药），杵杖（旧式手杖）
處	tʂʰu31	处：处所，处里（家里）
書	ʂu33	书：一本书
舒	ʂu33	舒：舒服，姓
鼠	tʂʰu31	鼠：老鼠
暑	ʂu31	暑：暑假，中暑
黍	ʂu31	黍：玉米
庶	ʂu52	庶：庶民
恕	ʂu52	恕：饶恕，恕罪
墅	ʂu31	墅：别墅
署	ʂu31	署：署名
薯	ʂu22	薯：番薯，薯片，山药
如	ʐʅ13	如：如果，假如
汝	li45	汝：第二人称
居	ki45	居：居民
車	tʰa33	车：车馬炮
舉	ki31	举：举起，举报
據	ki31	据：收据
鋸	ki52	锯：锯子，锯木头
墟	ʂʅ33	墟：墟市，废墟
去	kʰi52	去：来去，去湿，过去（从前）
渠	kʰi44	渠：水渠，渠道
佢	ki44	佢：他
拒	kʰi44	拒：拒绝
距	kʰi33	距：距离
