#漢字	音標	解釋
滷	lou215	卤：盐～，～水
路	lou31	路：大～
賂	luk031	赂：贿～
露	lou31	露：～水，白～，打～
鷺	lou31	鹭：白～
租	tsou55	租：～金，出～
祖	tsou215	祖：～宗，～国
組	tsou215	组：～织，小～
做	tsou43	做：～好事
粗	tsʰou55	粗：～心
醋	tsʰou43	醋：陈～
措	tsʰou43	措：～施
錯	tsʰɔ52	错：～误
蘇	sou55	苏：～州；姓
酥	sou55	酥：脆，杏仁～
素	sou43	素：～菜，朴～
訴	sou43	诉：上～，倾～
塑	sok043	塑：雕～，～料
姑	ku55	姑：大～
孤	ku55	孤：～儿，～单
箍	kʰu55	箍：紧～咒[文]
箍	kʰu55	箍：围束，～桶[白]
古	ku215	古：～代
估	ku215	估：～计
牯	ku215	牯：牛～
股	ku215	股：～票
鼓	ku215	鼓：锣～，～励
故	ku43	故：～事，～乡
蠱	ku215	蛊：养～，～惑
固	ku43	固：～定
錮	ku43	锢：禁～
雇	ku43	雇：～人，～主
顧	ku43	顾：照～
枯	ku55	枯：干～，～水
苦	fu215	苦：辛～，食～（吃苦）
苦	fu215	苦：～味
庫	fu43	库：水～，仓～
褲	fu43	裤：裤子
吳	ŋ̩31	吴：姓
蜈	ŋ̩31	蜈：～蚣
梧	ŋ̩31	梧：～桐
五	ŋ̩13	五：数字
伍	ŋ̩13	伍：姓；队～
午	ŋ̩13	午：中～，端～
誤	ŋ̩31	误：～会，错～
悟	ŋ̩31	悟：觉～；孙～空
呼	fu55	呼：称～，～吸，招～
虎	fu215	虎：老～
虎	fu215	虎：马～
滸	u215	浒：水～
戽	fu43	戽：～水（泼水），～斗
胡	u31	胡：二～ ；姓
湖	u31	湖：西～
狐	u31	狐：～狸
壺	u215	壶：水～
乎	fu31	乎：在～
瓠	pʰiu31	瓠：瓠卢，同葫芦
鬍	u31	胡：～须
蝴	u31	蝴：～蝶
糊	u215	糊：浆～，～涂
戶	u13	户：～口
滬	u31	沪：上海简称
互	u31	互：～相
護	u31	护：保～，～士
瓠	pʰiu43	瓠：瓠瓜（味似葫芦而长）
烏	u55	乌：黑
污	u55	污：～染
塢	u55	坞：船～
惡	ok031	恶：可～
女	nøy13	女：女人
廬	lou31	庐：～山
驢	lui31	驴：毛驴
呂	løy13	吕：姓
旅	løy13	旅：～游
慮	lui31	虑：考～
濾	lui31	滤：过～
蛆	tsʰui55	蛆：蛆虫，生～
絮	sy43	絮：棉～
徐	tsʰui31	徐：姓
序	tsui31	序：顺～
敍	tsui31	叙：倒～
緖	sui215	緖：情～；光～
豬	tsy55	猪：～肉
著	tsy43	著：～名，显～
除	tsʰy31	除：～法
儲	tsʰy13	储：～蓄
苧	tsʰy13	苎：～麻
箸	tsy43	箸：筷子
阻	tsɔ215	阻：～止，～力
初	tsʰɔ55	初：当～，～中
楚	tsʰɔ215	楚：清～
礎	tsʰɔ215	础：基～
鋤	tsʰɔ31	锄：～草，～禾日当午
助	tsɔ31	助：帮～
梳	sɔ55	梳：梳子[名]；梳头[动]
疏	sɔ55	疏：～远；稀疏
疏	sɔ55	疏：生～
蔬	sɔ55	蔬：～菜
所	sɔ215	所：～以；派出～
疏	sɔ55	疏：注～
諸	tsy55	诸：姓；～如此类
煮	tsy215	煮：～饭
處	tsy43	处：～理
處	tsy43	处：～所
書	sy55	书：读～
舒	sy55	舒：～服
暑	sy215	暑：～假
鼠	sy215	鼠：老～
庶	sy43	庶：～民
恕	sy43	恕：宽～
署	tsy43	署：～名
薯	sy215	薯：番～
如	ny31	如：～果，假～
居	køy55	居：～民
車	køy55	车：象棋，～马炮
舉	køy215	举：～报，～重
據	køy43	据：收～
鋸	køy43	锯：电～
墟	høy55	墟：～日
去	høy43	去：来～，过～
渠	kʰøy31	渠：水～，～道
佢	kʰøy13	佢：他，第三人称
巨	kʰøy31	巨：～大
拒	kʰøy13	拒：～绝
距	kʰøy13	距：～离
魚	ȵy31	鱼：金～
漁	ȵy31	渔：～业，～夫
語	ȵy13	语：～文
御	y31	御：～用文人
禦	y31	御：防～
虛	høy55	虚：～心
噓	sy31	嘘：吹～
許	høy215	许：允～；姓
於	y31	于：在～
淤	øy215	淤：～泥
余	y31	余：姓
餘	y31	余：多～
與	y13	与：参～，给～，～众不同
予	y31	予：给～
譽	y31	誉：荣～
預	y31	预：～报，～备
豫	y31	豫：犹～
夫	fu55	夫：～妻，车～
膚	fu55	肤：皮～
跗	fu31	跗：脚背，～骨
府	fu215	府：政～
腑	fu215	腑：五脏六～
俯	fu215	俯：～卧撑，～视
甫	pʰou215	甫：杜～
脯	pʰou43	脯：菜～（萝卜干）
斧	fu215	斧：～头
付	fu31	付：应～
咐	fu31	咐：吩～
賦	fu43	赋：天～
傅	fu43	傅：师～[文]
傅	fu43	傅：姓[白]
敷	fu55	敷：～衍，～药
俘	fu55	俘：～虏
孵	fu55	孵：孵小鸡
麩	fu55	麸：麦～
撫	fu215	抚：～养，安～
殕	pʰui31	殕：食物长毛变质，臭～
赴	fu31	赴：奔～，～汤蹈火
訃	puk055	讣：～告
符	fu31	符：～合，鬼画～
扶	fu31	扶：～贫，～手[文]
扶	fu31	扶：搀扶，～起来[白]
芙	fu31	芙：～蓉
父	fu31	父：～亲
釜	fu215	釜：破～沉舟
腐	fu31	腐：～败
腐	fu31	腐：豆～
輔	fu31	辅：～导，～助
附	fu31	附：～近，～带
無	mou31	无：没有，～中生有[文]
無	mou31	无：没有，～事[白]
巫	mou31	巫：姓；～婆
誣	mou31	诬：～陷，～告
武	mou13	武：～器，～术
舞	mou13	舞：跳～
舞	mou13	舞：拨弄，摆弄[白，动]
侮	mou13	侮：～辱
鵡	mou13	鹉：鹦～
務	mou31	务：任～，～农
霧	mou31	雾：大～
縷	lau31	缕：千丝万～
屢	løy13	屡：～次，～教不改
趨	tsʰui55	趋：～势
取	tsʰui215	取：～钱
