#漢字	音標	解釋
甫	pʰu51	甫：杜～
脯	pʰu51	脯：菜～（萝卜干）
斧	pu51	斧：～头
付	fu45	付：应～
咐	fu45	咐：吩～
賦	fu45	赋：天～
傅	fu45	傅：师～[文]
傅	fu45	傅：姓[白]
敷	fu21	敷：～衍，～药
俘	fu213	俘：～虏
孵	pʰu45	孵：孵小鸡
麩	fu213	麸：麦～
撫	vu51	抚：～养，安～
赴	fu45	赴：奔～，～汤蹈火
訃	puk031	讣：～告
符	pʰu21	符：～合，鬼画～
扶	fu21	扶：～贫，～手[文]
扶	pʰu21	扶：搀扶，～起来[白]
芙	fu21	芙：～蓉
父	fu45	父：～亲
釜	vu45	釜：破～沉舟
腐	fu51	腐：～败
腐	fu45	腐：豆～
輔	pʰu51	辅：～导，～助
附	fu45	附：～近，～带
無	mɔ21	无：没有，～中生有[文]
無	mɔ21	无：没有，～事[白]
巫	mu21	巫：姓；～婆
誣	mu213	诬：～陷，～告
武	vu213	武：～器，～术
舞	vu51	舞：跳～
舞	vu51	舞：拨弄，摆弄[白，动]
侮	vu213	侮：～辱
鵡	vu213	鹉：鹦～
務	vu45	务：任～，～农
霧	vu45	雾：大～
縷	lei51	缕：千丝万～
屢	lui213	屡：～次，～教不改
趨	ʦʰi213	趋：～势
取	ʦʰi51	取：～钱
娶	ʦʰi51	娶：嫁～
趣	ʦʰi45	趣：兴～
聚	ʦʰi45	聚：～会
聚	ʦʰiu213	聚：捡～（收拢）[白]
須	si213	须：必～
鬚	si213	须：胡～
需	si213	需：～要
續	siuk045	续：连～，继～
誅	ʦu213	诛：天～地灭
蛛	ʦu213	蛛：蜘～
株	ʦu213	株：守～待兔
駐	ʦu45	驻：～扎
註	ʦu45	注：～释
廚	ʦʰu21	厨：～房
櫥	ʦʰu21	橱：碗～
柱	ʦʰu213	柱：柱子
住	ʦʰu45	住：～宿
雛	ʦʰu213	雏：～形
數	su45	数：～落，～星星[动]
數	su45	数：～字，～学
朱	ʦu213	朱：姓
珠	ʦu213	珠：珍～
主	ʦu51	主：～人，地～
注	ʦu45	注：～意
蛀	ʦu45	蛀：～虫
鑄	ʦu45	铸：～铁，～钢
樞	kʰi213	枢：中～，～纽
輸	su213	输：～赢
戍	su451	戍：～边
輸	su213	输：运～
殊	su21	殊：特～
豎	su45	竖：横～
樹	su451	树：～立，种～
儒	ji21	儒：～家思想
乳	nen45	乳：哺～，母～[文]
乳	nen45	乳：食～（吃奶），麦～精[训]
拘	ki213	拘：～留
倶	kʰi51	俱：～备，～乐部
矩	ki51	矩：规～，～形
句	ki45	句：～号
區	kʰi213	区：地～，～别
驅	kʰi213	驱：先～，～动
具	kʰi51	具：～体
懼	kʰi51	惧：恐～
愚	ȵi21	愚：～蠢，～公移山
虞	ji21	虞：姓，～姬
娛	ŋu21	娱：～乐
遇	ȵi45	遇：遭～，相～，～到
寓	ȵi45	寓：～言；公～
于	ji21	于：姓；等～
吁	ji213	吁：气喘～～，长～短叹
雨	ji451	雨：落～，谷～，～水
宇	ji213	宇：～宙
禹	ji21	禹：大～治水
羽	ji21	羽：～毛球
芋	vu451	芋：芋头
逾	ji451	逾：超过，～期
愉	ji451	愉：～快
愈	ji451	愈：病～
喩	ji451	喻：比～
裕	ji451	裕：富～
獃	tai213	呆：书～子，发～[文]
獃	tai213	呆：发～[白]
戴	tai45	戴：姓；～帽
胎	tʰɔi213	胎：双胞～，～盘
台	tʰɔi21	台：天台
態	tʰai45	态：～度，心～
貸	tʰɔi45	贷：～款
臺	tʰɔi21	台：～湾
苔	tʰɔi21	苔：青～，舌～
抬	tʰɔi21	抬：两个人抬
待	tʰai45	待：等～，～人接物
怠	tʰai45	怠：～慢，～工
代	tʰɔi45	代：～替，～表
逮	pʰi45	逮：～捕
袋	tʰɔi45	袋：袋子
乃	nai213	乃：安～近；人名用字
耐	nai45	耐：～力，～心，忍～
來	lɔi21	来：过～，～去
災	ʦai213	灾：水～
栽	ʦai213	栽：种，～培
宰	ʦai51	宰：～相
載	ʦai213	载：一年半～
再	ʦai45	再：～来
載	ʦai45	载：～重
猜	ʦʰai21	猜：～谜
彩	ʦʰai51	彩：～色
採	ʦʰai51	采：～集
睬	ʦʰai51	睬：理睬
菜	ʦʰɔi45	菜：煮～，青～
才	ʦʰɔi21	才：人～，～气，秀～
材	ʦʰɔi21	材，药～，～料
財	ʦʰɔi21	财，发～
裁	ʦʰai21	裁，～纸，剪～
纔	ʦʰɔi21	才：刚～
在	ʦʰai45	在：实～，现～[文]
在	ʦʰɔi213	在：存在，还～[白]
載	ʦai45	载：满～而归
腮	sɔi213	腮：～腺炎，～红
鰓	sɔi213	鳃：鱼鳃
賽	sɔi45	赛：比～
該	kɔi213	该：应～
改	kɔi51	改：修～，～正
概	kʰɔi51	概：大～，～括
溉	kʰɔi51	溉：灌～
開	kʰɔi213	开：公～，～门
凱	kʰɔi51	凯：～旋
慨	kʰɔi51	慨：慷～，感～
咳	kʰet031	咳：～嗽，止～糖浆
呆	ŋɔi21	呆：～板
礙	ŋɔi45	碍：妨～
海	hɔi51	海：大～
孩	hai21	孩：～童
亥	hɔt045	亥：辛～革命
哀	ɔi213	哀：悲～
埃	ai213	埃：尘～，～及
愛	ɔi45	爱：～情；要
貝	pi45	贝：宝～
貝	pi45	贝：川～，～壳
沛	fi45	沛：充～
帶	tai45	带：鞋～
太	tʰai45	太：老～婆
泰	tʰai45	泰：～山
大	tʰai45	大：大小
奈	nai45	奈：无～，～何
賴	lai45	赖：依～，无～；姓
癩	lai45	癞：～蛤蟆[文]
癩	lai45	癞：～哥（癞疮）[白]
蔡	ʦʰai45	蔡：姓
蓋	kɔi45	盖：～被[动]；盖子[名]
丐	kɔi45	丐：～帮
艾	ai45	艾：姓；～滋病
艾	ŋei45	艾：艾草
害	hɔi45	害：～人
藹	ai45	蔼：和～，宋～龄
拜	pai45	拜：结～，礼～，～佛
排	pʰai21	排：～队
埋	mai21	埋：～伏
齋	ʦai213	斋：食～（吃斋）
豺	sai21	豺：～狼
皆	kiai213	皆：～大欢喜
階	kiai213	阶：台～，～级
介	kiai45	介：～绍，中～
界	kiai45	界：世～
芥	kiai45	芥：～菜
尬	kiai45	尬：尴～
疥	kiai45	疥：～疮
屆	kiai45	届：第一～
戒	kiai45	戒：～烟，猪八～
楷	kʰɔi51	楷：～书，～模
諧	hai213	谐：和～
駭	het045	骇：惊～，～人听闻
械	hai45	械：机～
挨	ai213	挨：～打，～近
擺	pai51	摆：摇～
派	pʰai51	派：正～，～出所
牌	pʰai21	牌：～坊，～匾[文]
牌	pʰai21	牌：打～[白，训]
㵺	pʰai21	排：竹排
罷	pʰa45	罢：～工
稗	kʰuai45	稗：～草
買	mai213	买：～卖
賣	mai45	卖：买～
奶	nai213	奶：二～，～牛
債	ʦai45	债：欠～
釵	ʦʰa213	钗：宝～
差	ʦʰai213	差：出～
柴	ʦʰai21	柴：姓；火～
篩	ʦʰi213	筛：～选，～米
灑	sa51	洒：潇～，～水
佳	ka213	佳：～人，～节
街	kiai213	街：～路
解	kiai51	解：～释，讲～[文]
解	kiai51	解：～开[白]
懈	hai45	懈：松～，坚持不～
涯	ŋai21	涯：天～
崖	ŋai21	崖：悬～
捱	ŋai45	捱：难～，～苦
鞋	hai21	鞋：布～
解	kiai51	解：懂了，理～，了～
蟹	hai51	蟹：老～
矮	ai51	矮：高矮
敗	pʰai45	败：失～
邁	mai51	迈：豪～，～步
寨	ʦʰai45	寨：山～，大～
蔽	pi45	蔽：隐～
弊	pi45	弊：作～
幣	pi45	币：人民～
斃	pi45	毙：枪～
例	li45	例：举～，～外
厲	li45	厉：严～，～害
勵	li45	励：鼓～
祭	ʦi45	祭：～祀
際	ʦi45	际：国～
滯	ʦʰei45	滞：停～，湿～（中医）
制	ʦɿ45	制：～度
製	ʦɿ45	制：～造
世	sɿ45	世：～界
世	sei451	世：出～
勢	sɿ45	势：～力，有权有～
誓	sɿ45	誓：发～
逝	sɿ45	逝：～世
藝	ȵi45	艺：～术，文～晚会
蓖	pi21	蓖：～麻
閉	pi45	闭：关～
箅	pi45	箅：蒸笼中的竹屉
批	pʰi213	批：～评，大～
批	pʰi213	批：螺丝～
陛	pi45	陛：～下
迷	mi21	迷：入～，～路
米	mi451	米：大米
謎	mi21	谜：～语，猜～
低	tai213	低：高～
堤	tʰi21	堤：河～，～坝
底	tai51	底：水～
抵	ti51	抵：～押
抵	tei51	抵：用手抵挡
帝	ti45	帝：皇～
梯	tʰɔi213	梯：楼～
蒂	ti45	蒂：花～，并～莲
體	tʰi51	体：～育，身～
替	tʰei45	替：代～，～身
剃	tʰei45	剃：～头
題	tʰi21	题：～目，难～
提	tʰi21	提：～问，～醒
蹄	tʰai21	蹄：马～
啼	tʰi21	啼：哭哭～～[文]
啼	tʰi21	啼：鸡～[白]
弟	tʰi45	弟：兄～[文]
弟	hai213	弟：弟弟，老～[白]
第	tʰi451	第：～一，门～
遞	tʰi45	递：传～，邮～员
泥	nei21	泥：水～，地～（地板）
犁	lai21	犁：耕田用具
黎	lai21	黎：～民，～明；姓
禮	li213	礼：～貌
麗	li45	丽：秀～
隸	li45	隶：奴～，～属
擠	ʦi213	挤：拥～，～时间
濟	ʦi45	济：～公，经～
妻	ʦʰi213	妻：夫～
砌	ʦʰei45	砌：～墙
齊	ʦʰei21	齐：～国[文]
齊	ʦʰei21	齐：整～，放～，来～[白]
臍	ʦʰi21	脐：肚～，～带
劑	ʦi45	剂：一～药，药～
西	si213	西：东西南北
棲	si213	栖：两～动物
犀	si213	犀：～牛
洗	sei51	洗：～菜，～衣机
細	sei45	细：粗细，大小
婿	sei45	婿：女～
雞	kei213	鸡：～公（公鸡）
稽	si213	稽：～查，滑～
計	kei45	计：～算，会～
繼	ki45	继：～续，～承
繫	kei213	系：～皮带
髻	ki45	髻：发髻；鸡～（鸡冠）
溪	hai213	溪：～水
啟	kʰi51	启：～发
契	kʰei45	契：房～，～约
倪	ji21	倪：姓，～萍
奚	hai213	奚：～落
兮	si213	兮：神经～～
系	si451	系：中文～，～统
繫	si451	系：联～
係	si451	系：关～[文]
係	hei451	系：是[白]
杯	pi213	杯：茶～
輩	pi45	辈：～分，长～
背	pɔi45	背：违～，后～
胚	pʰi213	胚：～胎
坯	pʰi213	坯：泥～，毛～房
配	pʰi45	配：分～，搭～
培	pʰi21	培：～训
陪	pʰi21	陪：～同
賠	pʰɔi21	赔：～钱
裴	fi213	裴：姓
倍	pʰi45	倍：～数
佩	pʰi45	佩：～服
背	pɔi45	背：～书
焙	hɔt031	焙：～火
梅	mɔi21	梅：～花
枚	mɔi21	枚：两～
媒	mɔi21	媒：～人
煤	mɔi21	煤：烧～，～矿
玫	mɔi21	玫：～瑰
每	mi213	每：～只，～日
莓	mɔi21	莓：草～
妹	mɔi45	妹：妹妹，姊～，老～
昧	mi45	昧：愚～，拾金不～
堆	tɔi213	堆：一～[量]，～放[动]
對	tui451	对：～错；成双成～
碓	tɔi451	碓：舂米工具，踏～
推	tʰui213	推：～荐，～动
腿	tʰui51	腿：～部，火～
退	tʰui45	退：后～，～步[文]
退	tʰui45	退：向后退[白]
隊	tui45	队：～伍，排～
內	nui45	内：～行，～外
雷	lui21	雷：打～，～公；姓
累	lui45	累：劳～
催	ʦʰui213	催：～促，～眠
崔	ʦʰui213	崔：姓，～莺莺
摧	ʦʰui213	摧：～残
罪	ʦʰui45	罪：得～，犯～[文]
罪	ʦʰui45	罪：～过（可怜、难受）[白]
碎	sui45	碎：～布，破～
盔	fɔi213	盔：头～，～甲
魁	kʰvi21	魁：～梧，花～
恢	fɔi213	恢：～复
塊	kʰuai451	块：一～钱，～头
桅	ŋvi21	桅：～杆
灰	fɔi213	灰：石～，～色
賄	jiu451	贿：受～，～赂
悔	fi45	悔：后～
晦	fi45	晦：～气
回	fi21	回：～想[文]
回	fi21	回：～礼[白]
茴	fi21	茴：～香
匯	fi45	汇：～报，～款
潰	kʰvi51	溃：～疡，胃～疡
煨	vɔi213	煨：～番薯
蛻	tʰui51	蜕：～变，～皮，～壳
兌	tʰui51	兑：～水，～换
最	ʦui45	最：～好
會	kʰuai45	会：～计
劊	kʰuai45	刽：～子手
檜	kʰuai45	桧：人名，秦～
外	ŋɔi45	外：～面
會	fi45	会：开～
會	vɔi45	会：～睡，～来
繪	kʰuai45	绘：～图，测～
乖	kuai213	乖：小孩听话
怪	kuai45	怪：奇～
懷	fai21	怀：～疑
槐	fai21	槐：～树
淮	fai21	淮：～河，～北
壞	fai45	坏：～人
拐	kuai451	拐：～卖，铁～李
拐	kuai51	拐：～脚（瘸腿）
掛	kua45	挂：～起来，牵～，～钩
卦	kua45	卦：八～
歪	wai21	歪：～风邪气
畫	fa45	画：～图，图～
快	kʰuai45	快：～车
筷	kʰuai45	筷：公～
話	fa45	话：笑～，讲～[文，名]
話	fa45	话：讲～[白，名]
話	va45	话：说[白，动]
脆	ʦʰɔi45	脆：干～[文]
