#漢字	音標	解釋
櫃	uɐi31	柜：～台
位	vɐi31	位：座～，～置
維	vɐi22	维：～生素，～持，纤～
飛	fei34	飞：～机；飞行
費	fei34	费：～用，浪～
肥	fei22	肥：化～，～肉
尾	ᵐbei45	尾：尾巴
味	ᵐbei31	味：～道，～精
鬼	kuɐi45	鬼：鬼神
貴	kuɐi34	贵：～重
魏	ᵑɡɐi31	魏：～国；姓
威	vɐi34	威：～风，～胁
畏	vɐi34	畏：不喜欢；怕，～热
偉	vɐi45	伟：～大
胃	vɐi31	胃：肠～
寶	pou45	宝：～贝
報	pou34	报：～告，日～
袍	pʰou22	袍：长～，袄～
暴	pou31	暴：～雨，残～
毛	ᵐbou22	毛：～病，鸡～
帽	ᵐbou31	帽：草～
刀	tou34	刀：菜～
到	tou34	到：～站
討	huɐ45	讨：～老婆，～厌
套	hou34	套：配～，～房
桃	hou22	桃：杨～，～花
稻	tou31	稻：水～
導	tou31	导：领～，～师
惱	ⁿdou21	恼：烦～[文]
惱	ⁿdou31	恼：讨厌，不喜欢[白]
勞	lou22	劳：～动
老	lou45	老：～爷，～实
糟	tsou34	糟：酒～，～糕
早	tsou45	早：还～
竈	tsou21	灶：～头，～神
草	ʈʰou45	草：青～，～稿
造	tsou31	造：创～
臊	sou34	臊：臭～
掃	sou34	扫：～地[动]
嫂	sou45	嫂：大～
髙	kou34	高：姓；～低
稿	kou45	稿：草～，～纸
吿	kou34	告：报～，～状
考	hau45	考：～试，大～
靠	kʰau34	靠：依～，可～
熬	ᵑɡɒi22	熬：～汤，～夜
好	hou45	好：～人
號	hou31	号：～码，口～[名]
包	pau34	包：钱～，～围
飽	pau45	饱：食～（吃饱）
爆	pau34	爆：～炸
炮	pʰau34	炮：枪～
跑	pʰau45	跑：～步
茅	ᵐbau22	茅：～庐
貓	ᵐbiu45	猫：大～
貌	ᵐbau31	貌：礼～
鬧	ⁿdau31	闹：～热，～事
罩	tsau21	罩：灯～，床～
爪	tsau45	爪：鸡～
抄	ʈʰau34	抄：～书
炒	ʈʰau45	炒：～股，～菜
交	kau34	交：～通，～钱[文]
咬	ᵑɡau45	咬：～人
孝	hau34	孝：～顺
效	hau31	效：～果
標	piu34	标：～准，～志，招～
表	piu45	表：图～，～扬
票	piu21	票：车～
苗	ᵐbiu22	苗：鱼～，～族
秒	ᵐbiu21	秒：～针
廟	ᵐbiu31	庙：和尚～
療	liu22	疗：治～，～养
椒	tsiu34	椒：胡～
消	siu34	消：～化
小	siu45	小：～姐，～人
笑	siu34	笑：～话，玩～
朝	tsiu21	朝：～晨，三～
超	ʈʰiu34	超：～过
朝	ʈʰiu22	朝：～代
趙	tsiu31	赵：姓
招	tsiu34	招：～生
照	tsiu34	照：～明，～顾
燒	siu34	烧：～水，发～
少	siu45	少：～数，多～
少	siu34	少：～年，～爷
饒	ᵑɡiu22	饶：～命，求～
繞	ᵑɡiu45	绕：围～，～线
