#漢字	音標	解釋
舞	mou13	舞：拨弄，摆弄[白，动]
侮	mui13	侮：～辱
鵡	mou13	鹉：鹦～
務	mou21	务：任～，～农
霧	mou21	雾：大～
縷	lɐu13	缕：千丝万～
屢	lui13	屡：～次，～教不改
趨	tsʰui55	趋：～势
取	tsʰœy35	取：～钱
娶	tsʰœy35	娶：嫁～
趣	tsʰœy322	趣：兴～
聚	tsœy21	聚：～会
須	sœy55	须：必～
鬚	sou55	须：胡～
需	sœy55	需：～要
續	tsok021	续：连～，继～
誅	tsy55	诛：天～地灭
蛛	tsy55	蛛：蜘～
株	tsy55	株：守～待兔
駐	tsy322	驻：～扎
註	tsy322	注：～释
廚	tsʰy21	厨：～房
櫥	tsʰy21	橱：碗～
柱	tsʰy13	柱：柱子
住	tsy21	住：～宿
雛	tsœy55	雏：～形
數	sou35	数：～落，～星星[动]
數	sou322	数：～字，～学
朱	tsy55	朱：姓
珠	tsy55	珠：珍～
主	tsy35	主：～人，地～
注	tsy322	注：～意
蛀	tsy322	蛀：～虫
鑄	tsy322	铸：～铁，～钢
輸	sy55	输：～赢
戍	syt032	戍：～边
輸	sy55	输：运～
殊	sy21	殊：特～
豎	sy21	竖：横～
樹	sy21	树：～立，种～
儒	jy21	儒：～家思想
乳	jui13	乳：哺～，母～[文]
乳	jui13	乳：食～（吃奶），麦～精[训]
拘	kʰœy55	拘：～留
倶	kœy21	俱：～备，～乐部
矩	kœy35	矩：规～，～形
句	kœy322	句：～号
區	kʰœy55	区：地～，～别
驅	kʰœy55	驱：先～，～动
具	kœy21	具：～体
懼	kœy21	惧：恐～
愚	jy21	愚：～蠢，～公移山
虞	jy21	虞：姓，～姬
娛	jy21	娱：～乐
遇	jy21	遇：遭～，相～，～到
寓	jy21	寓：～言；公～
迂	jy55	迂：～回，～腐
于	jy55	于：姓；等～
雨	jy13	雨：落～，谷～，～水
宇	jy13	宇：～宙
羽	jy13	羽：～毛球
芋	wu21	芋：芋头
愉	jy21	愉：～快
愈	jy21	愈：病～
喩	jy21	喻：比～
裕	jy21	裕：富～
獃	sɔ21	呆：书～子，发～[文]
戴	tai322	戴：姓；～帽
胎	tʰɔi55	胎：双胞～，～盘
台	tʰɔi21	台：天台
態	tʰai322	态：～度，心～
貸	tʰai322	贷：～款
