#漢字	音標	解釋
弟	tʰai44	弟：弟弟，老～[白]
第	tʰi51	第：～一，门～
遞	tʰi51	递：传～，邮～员
泥	nai22	泥：水～，地～（地板）
犂	lai22	犁：耕田用具
黎	lai22	黎：～民，～明；姓
禮	li45	礼：～貌
麗	li51	丽：秀～
隷	li51	隶：奴～，～属
擠	tsi45	挤：拥～，～时间
濟	tsi51	济：～公，经～
妻	tsʰi44	妻：夫～
齊	tsʰi22	齐：～国[文]
齊	tsʰi22	齐：整～，放～，来～[白]
臍	tsʰi22	脐：肚～，～带
劑	tsi51	剂：一～药，药～
西	si44	西：东西南北
棲	si44	栖：两～动物
犀	si44	犀：～牛
洗	sei31	洗：～菜，～衣机
細	sei51	细：粗细，大小
婿	sei51	婿：女～
鷄	ke44	鸡：～公（公鸡）
稽	ʃi44	稽：～查，滑～
計	ki51	计：～算，会～
繼	ki51	继：～续，～承
繫	ʃi31	系：～皮带
髻	ki51	髻：发髻；鸡～（鸡冠）
溪	hai44	溪：～水
啓	kʰi31	启：～发
契	kʰei51	契：房～，～约
倪	ji22	倪：姓，～萍
奚	hai44	奚：～落
系	ʃi51	系：中文～，～统
繫	ʃi51	系：联～
係	ʃi51	系：关～[文]
係	hei51	系：是[白]
杯	pi44	杯：茶～
輩	pi51	辈：～分，长～
背	pɔi51	背：违～，后～
胚	pʰei44	胚：～胎
坯	pʰei44	坯：泥～，毛～房
配	pʰi51	配：分～，搭～
培	pʰi22	培：～训
陪	pʰi22	陪：～同
賠	pʰɔi22	赔：～钱
裴	pʰɔi22	裴：姓
倍	pʰi51	倍：～数
佩	pʰi51	佩：～服
背	pɔi51	背：～书
焙	pʰɔi51	焙：～火
梅	mɔi22	梅：～花
枚	mɔi22	枚：两～
媒	mɔi22	媒：～人
煤	mɔi22	煤：烧～，～矿
玫	mɔi22	玫：～瑰
每	mi44	每：～只，～日
莓	mɔi22	莓：草～
妹	mɔi51	妹：妹妹，姊～，老～
昧	mi51	昧：愚～，拾金不～
堆	tɔi44	堆：一～[量]，～放[动]
對	tui51	对：～错；成双成～
碓	tɔi51	碓：舂米工具，踏～
推	tsʰui44	推：～荐，～动
腿	tʰui31	腿：～部，火～
退	tʰui51	退：后～，～步[文]
退	tʰui51	退：向后退[白]
隊	tui51	队：～伍，排～
內	nui51	内：～行，～外
雷	li22	雷：打～，～公；姓
累	lui51	累：劳～
催	tsʰui44	催：～促，～眠
崔	tsʰui44	崔：姓，～莺莺
摧	tsʰui44	摧：～残
罪	tsʰi51	罪：得～，犯～[文]
罪	tsʰi51	罪：～过（可怜、难受）[白]
碎	sui51	碎：～布，破～
盔	fɔi44	盔：头～，～甲
魁	kʰvi22	魁：～梧，花～
恢	fɔi44	恢：～复
傀	kʰuai51	块：一～钱，～头
桅	ŋɔi22	桅：～杆
灰	fɔi44	灰：石～，～色
賄	jiu51	贿：受～，～赂
悔	fi51	悔：后～
晦	fi51	晦：～气
回	fi22	回：～想[文]
回	fi22	回：～礼[白]
茴	fi22	茴：～香
匯	fi51	汇：～报，～款
潰	kʰvi31	溃：～疡，胃～疡
煨	vɔi44	煨：～番薯
蛻	tʰɔi31	蜕：～变，～皮，～壳
兌	tʰui31	兑：～水，～换
最	tsui51	最：～好
會	kʰuai51	会：～计
劊	kʰuai51	刽：～子手
檜	kʰuai51	桧：人名，秦～
外	ŋɔi51	外：～面
會	fi51	会：开～
會	vɔi51	会：～睡，～来
繪	kʰuai51	绘：～图，测～
乖	kuai44	乖：小孩听话
怪	kuai51	怪：奇～
懷	fai22	怀：～疑
槐	fai22	槐：～树
淮	fai22	淮：～河，～北
壞	fai51	坏：～人
拐	kuai31	拐：～卖，铁～李
拐	kuai31	拐：～脚（瘸腿）
掛	kua51	挂：～起来，牵～，～钩
卦	kua51	卦：八～
歪	vai44	歪：～风邪气
畫	fa51	画：～图，图～
快	kʰuai51	快：～车
筷	kʰuai51	筷：公～
話	fa51	话：笑～，讲～[文，名]
話	fa51	话：讲～[白，名]
話	va51	话：说[白，动]
脆	tsʰɔi51	脆：干～[文]
脆	tsʰɔi51	脆：易断[白]
歲	sei51	岁：万～，～月[文]
歲	sei51	岁：十～，～数[白]
綴	tsʰɔi51	缀：点～
稅	sɔi51	税：交～，～收
衛	vi51	卫：～生
銳	jiui51	锐：尖～，～角
廢	fi51	废：～品，作～
肺	fi51	肺：猪～
吠	pʰɔi51	吠：狗～
穢	sei51	秽：淫～，污～
圭	kua44	圭：人名用字；乌拉～
閨	kvi44	闺：～房
桂	kvi51	桂：～花
奎	kʰvi22	奎：人名用字；～宁（药名）
攜	ʃi44	携：～带，提～
惠	fi51	惠：～州，优～
慧	fi51	慧：智～
碑	pi44	碑：石～，～文
卑	pi44	卑：自～，～鄙
彼	pi31	彼：～此
臂	pi31	臂：手～，～力
披	pʰi44	披：～肩，～露
譬	pi31	譬：～喻，～如
皮	pʰi22	皮：调～，～肤
疲	pʰi22	疲：～劳
脾	pʰi22	脾：～胃，～气
被	pʰi44	被：被子，毛巾～
婢	pʰi44	婢：奴～，～女
被	pʰi44	被：～动，～迫
避	pʰit031	避：逃～
糜	mi22	糜：～烂；粥
彌	ni44	弥：～补，阿～陀佛
離	li22	离：～別，～开
