#漢字	音標	解釋
殺	sat044	杀：～人，自～
間	kan22	间：房～，中～
揀	kan24	拣：挑选
眼	ŋan24	眼：双～皮
閑	han55	闲：～事，空～
限	han22	限：期～，～制
班	pan52	班：上～
板	pan24	板：黑～，石～
蠻	man55	蛮：不听话；野～
慢	man22	慢：～车
顏	ȵien55	颜：姓；～色
雁	ŋan22	雁：大～
瞎	hat044	瞎：～目
變	pien31	变：～化，改～
鼈	piet044	鳖：甲鱼
篇	pʰien52	篇：一～文章
便	pʰien22	便：～宜
辨	pʰien31	辨：分～，～别
便	pʰien22	便：方～
別	pʰiet031	别：离～，分～
棉	mien55	棉：～花
免	mien52	免：难～，～除
面	mien31	面：～子
滅	met031	灭：消～，～亡
聯	lien55	联：～系；对～
烈	liet031	烈：～士，热～
煎	tsien52	煎：～药，～鱼
剪	tsien24	剪：～刀
箭	tsien31	箭：射～
淺	tsʰien24	浅：深～
錢	tsʰien55	钱：～财
賤	tsʰien22	贱：下～，～人
仙	sien52	仙：神～
癬	sien24	癣：发～（生癣）
線	sien31	线：～索
展	tʃan24	展：开～，发～
撤	tʃʰat044	撤：～退
纏	tʃʰan55	缠：纠～，～线
戰	tʃan31	战：～斗
折	tʃat044	折：～断，打～
舌	ʃat031	舌：舌头
設	siet044	设：～计，建～
善	ʃan22	善：～良，心～
然	ʒan55	然：～后，居～
熱	ȵiet031	热：冷～，～情
乾	kʰien55	乾：～坤，～隆
件	kʰien22	件：事～
傑	kʰiet031	杰：～出
延	ʒan55	延：～长，～安
演	ʒan31	演：～员，表～
建	kien31	建：～设
揭	kiet044	揭：～发，～露
言	ȵien55	言：语～
獻	hien31	献：贡～
歇	hiet044	歇：～夜（过夜）
邊	pien52	边：～疆，旁～
扁	pien24	扁：圆扁
片	pʰien31	片：一～，～面
撇	pʰiet044	撇：～捺，～开
顚	tien52	颠：～倒
典	tien24	典：～型，词～
天	tʰien52	天：～才
鐵	tʰiet044	铁：～皮
田	tʰien55	田：种～
電	tʰien22	电：触～，～灯
墊	tʰiap044	垫：～钱，座～
年	ȵien55	年：过～
捏	niap031	捏：以指尖捏取小面积
練	lien22	练：～习，熟～
薦	tsien52	荐：推～
節	tsiet044	节：～约，竹～
千	tsʰien52	千：～万
切	tsʰiet044	切：～菜
截	tsʰiet031	截：～断
先	sien52	先：祖～，～进，～生
見	kien31	见：～人，～识
潔	kiet044	洁：～白，清～
牽	kʰien52	牵：～牛花
硏	ŋan52	研：～究
顯	hien24	显：明～
賢	hien55	贤：～惠，圣～
現	hien24	现：～在，出～
煙	ʒan52	烟：冒～
燕	ʒan31	燕：燕子，～窝
搬	pan52	搬：～运
半	pan31	半：一～，～日
鉢	pat044	钵：花～（花盆），衣～
潘	pʰan52	潘：姓
判	pʰan31	判：～断，审～
潑	pʰat044	泼：～水；泼辣
盤	pʰan55	盘：算～
叛	pan24	叛：～徒，背～
滿	man31	满：～意
末	mat031	末：～尾
短	tɔn24	短：长～
脫	tʰɔt031	脱：～鞋，摆～
團	tʰɔn55	团：～结，～长
斷	tʰɔn52	断：线断了[白]
段	tʰɔn22	段：姓；阶～
奪	tʰɔt031	夺：～取
暖	nɔn52	暖：冷～
卵	lɔn24	卵：鸡～（鸡蛋），～生
亂	lɔn22	乱：混～
