#漢字	音標	解釋
疾	tsɐʔ021	疾 疾病
辛	ɬɐŋ55	辛 辛苦
新	ɬɐŋ55	新 新旧
信	ɬɐŋ33	信 相信
訊	ɬɐŋ33	讯 通讯
悉	ɬek055	悉 熟悉
膝	ɬɐʔ055	膝 膝盖
珍	tsɐŋ55	珍 珍珠
鎭	tsɐŋ33	镇 镇压
趁	tsʰɐŋ33	趁 趁机
陳	tsʰɐŋ21	陈 陈年
塵	tsʰɐŋ21	尘 灰尘
陣	tsɐŋ21	阵 阵雨
侄	tsɐʔ021	侄 侄子
秩	tit021	秩 秩序
襯	tsʰɐŋ33	衬 衬衫
蝨	sɐʔ055	虱 虱子
眞	tsɐŋ55	真 真假
診	tsʰɐŋ35	诊 急诊
疹	tsʰɐŋ35	疹 麻疹
振	tsɐŋ33	振 振动
震	tsɐŋ33	震 地震
質	tsɐʔ055	质 质量
神	sɐŋ21	神 精神
實	sɐʔ021	实 老实
身	sɐŋ55	身 身体
申	sɐŋ55	申 申请
失	sɐʔ055	失 失去
室	sɐʔ055	室 室内
辰	sɐŋ21	辰 时辰
晨	sɐŋ21	晨 早晨
腎	sɐŋ13	肾 肾脏，肾虚
愼	sɐŋ21	慎 慎重
人	ȵiɐŋ21	人 人民
仁	ȵiɐŋ21	仁 仁义
忍	ȵiɐŋ13	忍 忍住
認	ȵieŋ21	认 认得
韌	ȵiɐŋ55	韧 坚韧
日	ȵiɐʔ021	日 日期
巾	kɐŋ55	巾 毛巾
緊	kɐŋ35	紧 紧张
吉	kɐʔ055	吉 吉利
僅	kɐŋ35	仅 不仅
銀	ŋɐŋ21	银 银行
釁	hɐŋ33	衅 挑衅
因	iɐŋ55	因 原因
姻	iɐŋ55	姻 婚姻
印	iɐŋ33	印 手印
一	iɐʔ055	一 一定
乙	it033	乙 天干
寅	iɐŋ21	寅 地支
引	iɐŋ13	引 吸引
逸	iɐʔ021	逸 安逸，劳逸结合
斤	kɐŋ55	斤 斤两
筋	kɐŋ55	筋 筋骨
謹	kɐŋ35	谨 谨慎
乞	hɐʔ055	乞 乞讨，乞儿
勤	kʰɐŋ21	勤 辛勤
芹	kʰɐŋ21	芹 芹菜
近	kʰɐŋ13	近 远近
欣	hɐŋ55	欣 欣欣向荣
殷	iɐŋ55	殷 殷勤；姓
隱	iɐŋ35	隐 隐身，隐形
奔	pɐŋ55	奔 东奔西走
本	pun35	本 书本
不	pɐʔ055	不 不过，不是
噴	pʰɐŋ33	喷 喷水
盆	pʰun21	盆 脸盆
笨	pɐŋ21	笨 笨蛋
門	mun21	门 关门
悶	mun21	闷 闷热
沒	mut021	没 沉没
墩	tɐŋ35	墩 桥墩
頓	tɐŋ35	顿 停顿
豚	tʰun21	豚 海豚
飩	tʰɐŋ55	饨 馄饨
盾	tɐŋ21	盾 矛盾
鈍	tɐŋ21	钝 迟钝
突	tɐʔ021	突 突然
凸	tɐʔ021	凸 凸起
嫩	nun21	嫩 稚嫩，菜嫩
侖	lɐŋ21	仑 昆仑
論	lɐŋ21	论 讨论，论文
尊	tsun55	尊 尊敬
卒	tsɐʔ055	卒 兵卒
村	tsʰun55	村 村庄
寸	tsʰun33	寸 尺寸
猝	tsɐʔ055	猝 仓猝；猝死
存	tsʰun21	存 存折
孫	ɬun55	孙 子孙
損	ɬin35	损 损坏
昆	kwʰɐn55	昆 昆虫
滾	kwɐn35	滚 滚动
棍	kwɐn55	棍 棍棒
骨	kwɐʔ055	骨 骨头
坤	kwʰɐn55	坤 乾坤
困	kwʰɐn33	困 困难
窟	fɐʔ055	窟 屎窟
昏	fɐŋ55	昏 黄昏
婚	fɐŋ55	婚 结婚
忽	fɐʔ055	忽 忽然
魂	ʋɐŋ21	魂 鬼魂
餛	ʋɐŋ21	馄 馄饨
混	kwɐn35	混 相混，混在一起
核	ʋɐʔ021	核 果核
溫	ʋɐŋ55	温 温度
瘟	ʋɐŋ55	瘟 鸡瘟
穩	ʋɐŋ35	稳 稳定
倫	lɐŋ21	伦 伦理
輪	lɐŋ21	轮 轮船
律	lɐʔ021	律 纪律
率	lɐʔ021	率 效率
遵	tsun55	遵 遵守
俊	tsɐŋ33	俊 英俊
詢	ɬɐŋ21	询 问询、咨询
筍	ɬɐŋ35	笋 竹笋
榫	ɬɐŋ35	榫 榫头
迅	ɬɐŋ33	迅 迅速
戌	ɬɐʔ055	戌 戊戌变法，申酉戌亥
恤	ɬek055	恤 体恤
旬	ɬɐŋ21	旬 上旬
循	ɬɐŋ21	循 循环
巡	ɬɐŋ21	巡 巡逻
朮	ɬɐʔ021	朮 白朮
蟀	ɬɐʔ055	蟀 蟋蟀
准	tsɐŋ35	准 标准；准确；准许
圳	tsɐŋ33	圳 深圳；田中小沟
春	tsʰɐŋ55	春 春秋
蠢	tsʰɐŋ35	蠢 愚蠢
出	tsʰɐʔ055	出 出去
脣	sɐŋ21	唇 嘴唇
順	sɐŋ21	顺 顺利
術	ɬɐʔ021	术 技术
述	ɬɐʔ021	述 叙述
純	ɬɐŋ21	纯 单纯
潤	iɐŋ21	润 滋润
閏	iɐŋ21	闰 闰月
均	kwʰɐn55	均 平均
橘	kɐʔ055	橘 橘子，橘红
菌	kwʰɐn35	菌 细菌
勻	iɐŋ21	匀 均匀
允	ʋɐŋ13	允 允许
分	fɐŋ55	分 分开
粉	fɐn35	粉 面粉
糞	fɐŋ33	粪 猪粪
奮	fɐŋ13	奋 奋斗
芬	fɐŋ55	芬 芬芳
紛	fɐŋ55	纷 纠纷
焚	fɐŋ21	焚 焚烧
墳	fɐŋ21	坟 坟墓
憤	fɐŋ13	愤 愤怒
份	fɐŋ21	份 一份
佛	fɐʔ021	佛 佛像，阿弥陀佛
文	mɐŋ21	文 论文
蚊	mɐŋ55	蚊 蚊香
聞	mɐŋ21	闻 新闻
問	mɐŋ21	问 问问题
物	mɐʔ021	物 物理
君	kwɐn55	君 君子
軍	kwɐn55	军 参军
屈	kwʰɐʔ055	屈 委屈
羣	kwʰɐŋ21	群 群众
裙	kwʰɐŋ21	裙 连衣裙，裙子
掘	kwɐʔ021	掘 挖掘，掘墓
倔	kwɐʔ021	倔 倔强，脾气倔
勳	fɐŋ55	勋 勋章
葷	ʋɐŋ21	荤 荤菜（与素菜相对）
訓	fɐŋ13	训 教训
云	ʋɐŋ21	云 白云，人云亦云
運	ʋɐŋ21	运 运气
暈	ʋɐŋ21	晕 晕车
幫	pɔŋ55	帮 帮忙
榜	pɔŋ35	榜 榜样
博	pɔʔ033	博 博士
泊	pʰaʔ033	泊 梁山泊
旁	pʰɔŋ21	旁 旁边
傍	pʰɔŋ21	傍 傍晚；依傍
薄	pɔʔ021	薄 薄荷；单薄
泊	pʰaʔ033	泊 停泊
忙	mɔŋ21	忙 农忙
芒	mɔŋ21	芒 芒种
莽	mɔŋ13	莽 鲁莽
蟒	mɔŋ13	蟒 蟒蛇
莫	mɔʔ021	莫 莫非；姓
幕	mɔʔ033	幕 谢幕
摸	mo55	摸 偷偷摸摸，摸一下
當	tɔŋ55	当 当时；应当
黨	tɔŋ35	党 党员
擋	tɔŋ35	挡 阻挡
當	tɔŋ33	当 当铺；当作
檔	tɔŋ35	档 档案
湯	tʰɔŋ55	汤 喝汤；姓
倘	tʰɔŋ35	倘 倘若
燙	tʰɔŋ55	烫 烫手
趟	tʰɔŋ33	趟 一趟
托	tʰɔʔ033	托 托盘，托下巴；寄托
堂	tʰɔŋ21	堂 堂兄
唐	tʰɔŋ21	唐 唐朝
蕩	tɔŋ21	荡 放荡
諾	nɔʔ033	诺 承诺
廊	lɔŋ21	廊 走廊
狼	lɔŋ21	狼 豺狼
朗	lɔŋ13	朗 明朗
浪	lɔŋ21	浪 浪费
晾	lɔŋ21	晾 晾衣服
落	lɔʔ021	落 下落
樂	lɔʔ021	乐 快乐
贓	tsɔŋ55	赃 赃款
葬	tsɔŋ33	葬 埋葬
作	tsɔʔ033	作 工作
倉	tsʰɔŋ55	仓 仓库
艙	tsʰɔŋ55	舱 船舱
藏	tsʰɔŋ21	藏 隐藏
藏	tsɔŋ21	藏 西藏
臟	tsɔŋ21	脏 内脏
鑿	tsɔʔ021	凿 用凿子凿
桑	ɬɔŋ55	桑 桑树
喪	ɬɔŋ33	丧 婚丧，丧事
嗓	ɬɔŋ55	嗓 嗓子
喪	ɬɔŋ33	丧 丧失
索	ɬɔʔ033	索 绳索
崗	kɔŋ55	岗 山岗；站岗
鋼	kɔŋ33	钢 钢铁，炼钢
缸	kɔŋ55	缸 水缸
杠	kɔŋ33	杠 抬物用具，高低杠
各	kɔʔ033	各 各位
擱	kɔʔ033	搁 耽搁
康	hɔŋ55	康 健康
糠	hɔŋ55	糠 谷糠，米糠
抗	kʰɔŋ33	抗 反抗
昂	ŋɔŋ13	昂 昂首，高昂
鱷	ŋɔʔ021	鳄 鳄鱼
行	hɔŋ21	行 银行
航	hɔŋ21	航 航线，航船
鶴	hɔʔ021	鹤 仙鹤
惡	ɔʔ033	恶 善恶，恶霸
娘	nøŋ21	娘 爹娘
釀	ȵiøŋ13	酿 酿酒
良	løŋ21	良 良好
凉	løŋ21	凉 凉快
量	løŋ21	量 量尺寸
梁	løŋ21	梁 梁山；姓
兩	løŋ13	两 两个
兩	løŋ35	两 斤两
亮	løŋ21	亮 天亮
輛	løŋ35	辆 车辆
量	løŋ21	量 数量
略	løʔ021	略 战略
將	tsøŋ55	将 将来；将军
漿	tsøŋ55	浆 浆糊
蔣	tsøŋ35	蒋 蒋介石
獎	tsøŋ35	奖 奖品，奖励
將	tsøŋ33	将 大将，将士
醬	tsøŋ33	酱 酱油，辣椒酱
雀	tsøʔ033	雀 麻雀
槍	tsʰøŋ55	枪 手枪
搶	tsʰøŋ35	抢 抢东西
鵲	tsøʔ033	鹊 喜鹊
牆	tsʰøŋ21	墙 墙壁
匠	tsøŋ21	匠 木匠
相	ɬøŋ55	相 互相
廂	ɬøŋ55	厢 车厢
鑲	ɬøŋ55	镶 镶牙
想	ɬøŋ35	想 想念
相	ɬøŋ33	相 相貌，看相
削	ɬøʔ033	削 剥削
詳	tsʰøŋ21	详 详细
象	tsøŋ21	象 大象
像	tsøŋ21	像 像章，相像
橡	tsøŋ21	橡 橡胶；橡树
張	tsøŋ55	张 一张纸；姓
長	tsøŋ35	长 生长
漲	tsøŋ33	涨 涨价
賬	tsøŋ33	账 算账，账簿
脹	tsøŋ33	胀 肿胀
着	tsøʔ033	着 着衣，着装
暢	tsʰøŋ33	畅 畅快
長	tsʰøŋ21	长 长短
場	tsʰøŋ21	场 场地
丈	tsøŋ21	丈 一丈；老丈人
仗	tsøŋ33	仗 打仗
杖	tsøŋ21	杖 拐杖
着	tsøʔ021	着 睡着；着火
莊	tsɔŋ55	庄 村庄
裝	tsɔŋ55	装 假装
壯	tsɔŋ33	壮 壮大，强壮
瘡	tsʰɔŋ55	疮 痔疮
闖	tsʰɔŋ35	闯 闯祸
創	tsʰɔŋ33	创 创造
牀	tsʰɔŋ21	床 机床
狀	tsɔŋ21	状 状元
霜	ɬɔŋ55	霜 落霜，霜降
爽	sɔŋ35	爽 爽快
章	tsøŋ55	章 文章
樟	tsøŋ55	樟 樟树
掌	tsøŋ35	掌 巴掌
障	tsøŋ33	障 保障
瘴	tsøŋ33	瘴 瘴气
酌	tsøʔ033	酌 酌情
昌	tsʰøŋ55	昌 昌盛
娼	tsʰøŋ55	娼 娼妓
厰	tsʰɔŋ35	厂 厂长
唱	tsʰøŋ33	唱 唱歌
倡	tsʰøŋ55	倡 提倡
焯	tsʰøʔ033	焯 把菜放在开水里焯一焯
商	søŋ55	商 商业
傷	søŋ55	伤 伤害
賞	søŋ35	赏 欣赏
餉	høŋ35	饷 军饷
常	søŋ21	常 经常
償	søŋ21	偿 赔偿
上	søŋ13	上 上山（动）
尙	søŋ21	尚 和尚
上	søŋ21	上 上面，山上（名）
芍	tsøʔ033	芍 芍药花；白芍
瓤	nɔŋ21	瓤 瓜瓤
壤	ȵiøŋ13	壤 土壤
讓	ȵiøŋ21	让 让座
若	iøʔ021	若 若无其事
弱	ȵiøʔ021	弱 弱点
疆	køŋ55	疆 新疆
薑	køŋ55	姜 生姜
脚	køʔ033	脚 赤脚
卻	kʰøʔ033	却 退却
强	kʰøŋ21	强 强大
强	kʰøŋ13	强 勉强
仰	ȵiøŋ13	仰 仰视，仰望
虐	ȵiøʔ021	虐 虐待
香	høŋ55	香 香气
鄕	høŋ55	乡 乡下
享	høŋ35	享 分享
響	høŋ35	响 音响
向	høŋ33	向 向前
央	iøŋ55	央 中央
秧	iøŋ55	秧 插秧
約	iøʔ033	约 约定
羊	iøŋ21	羊 绵羊
陽	iøŋ21	阳 太阳
瘍	iøŋ21	疡 溃疡
養	iøŋ13	养 养猪
癢	ȵiøŋ13	痒 皮肤痒
樣	iøŋ21	样 样子
藥	iøʔ021	药 吃药
躍	iøʔ033	跃 跳跃
光	kwɔŋ55	光 阳光
廣	kɔŋ35	广 广东
郭	kɔʔ033	郭 姓
曠	kʰɔŋ33	旷 旷工
廓	kɔʔ033	廓 轮廓
擴	kʰɔŋ33	扩 扩充
荒	fɔŋ55	荒 荒地
慌	fɔŋ55	慌 心慌
謊	fɔŋ55	谎 说谎
霍	kʰɔʔ033	霍 霍乱
藿	kʰɔʔ033	藿 藿香
黃	ʋɔŋ21	黄 黄色
簧	ʋɔŋ21	簧 弹簧
皇	ʋɔŋ21	皇 皇帝
鑊	ʋɔʔ021	镬 锅（炒菜用）
汪	ʋɔŋ55	汪 汪洋
方	fɔŋ55	方 地方
肪	fɔŋ55	肪 脂肪
坊	fɔŋ55	坊 作坊
倣	fɔŋ35	仿 仿效
放	fɔŋ33	放 放手
芳	fɔŋ55	芳 芳香
妨	fɔŋ21	妨 妨害，不妨
紡	fɔŋ35	纺 纺织
仿	fɔŋ35	仿 相仿，仿照
訪	fɔŋ35	访 访问
房	fɔŋ21	房 房间
防	fɔŋ21	防 防止
縛	fɔʔ021	缚 缚鞋带，缚鸡
亡	mɔŋ21	亡 死亡
芒	mɔŋ55	芒 麦芒，锋芒毕露
網	mɔŋ13	网 鱼网
忘	mɔŋ21	忘 忘记
望	mɔŋ21	望 希望
筐	hɔŋ55	筐 箩筐
框	kwʰɔŋ55	框 门框
狂	kʰɔŋ21	狂 发狂
况	kʰɔŋ33	况 情况
枉	ʋɔŋ35	枉 冤枉
王	ʋɔŋ21	王 姓；大王
往	ʋɔŋ13	往 来往
旺	ʋɔŋ21	旺 兴旺
邦	pɔŋ55	邦 城邦；刘邦
綁	pɔŋ35	绑 松绑
剝	mɔʔ033	剥 剥削；剥皮
駁	pɔʔ033	驳 反驳
樸	pʰɔʔ033	朴 朴素
龐	pʰɔŋ21	庞 庞大
棒	foŋ35	棒 木棒
蚌	pʰɔŋ13	蚌 蚌壳
雹	pɔʔ021	雹 冰雹
樁	tsɔŋ55	桩 打桩
桌	tsʰøʔ033	桌 书桌
卓	tsʰøʔ033	卓 卓越
啄	tøʔ033	啄 啄木鸟
戳	tsʰɔʔ033	戳 戳破，戳穿
撞	tsɔŋ21	撞 碰撞
濁	tsok021	浊 清浊，浑浊
捉	tsɔʔ033	捉 捕捉
窗	tsʰɔŋ55	窗 窗户
雙	sɔŋ55	双 一双
江	kɔŋ55	江 长江
扛	kɔŋ55	扛 肩扛
肛	koŋ55	肛 肛门
講	kɔŋ35	讲 讲话
港	kɔŋ35	港 港口
降	kɔŋ33	降 下降
覺	kʰɔʔ033	觉 知觉
角	kɔʔ033	角 角色
腔	kʰɔŋ55	腔 口腔
確	kʰɔʔ033	确 的确
殼	hɔʔ033	壳 蛋壳
岳	ŋɔʔ021	岳 姓，岳飞
樂	ŋɔʔ021	乐 音乐
降	kɔŋ33	降 投降
項	hɔŋ13	项 项链
巷	hɔŋ21	巷 小巷，街巷
學	hɔʔ021	学 学习
握	aʔ055	握 握手
崩	pɐŋ55	崩 山崩
北	pɐʔ055	北 北方
朋	pʰɐŋ21	朋 朋友
墨	mɐʔ021	墨 笔墨
默	mɐʔ021	默 默写
登	tɐŋ55	登 登山
燈	tɐŋ55	灯 灯光
等	tɐŋ35	等 高等
凳	tɐŋ33	凳 凳子
得	tɐʔ055	得 得到
德	tɐʔ055	德 道德
騰	tʰɐŋ21	腾 奔腾
藤	tʰɐŋ21	藤 藤椅
鄧	tɐŋ21	邓 姓
特	tɐʔ021	特 特别
能	nɐŋ21	能 才能
棱	leŋ21	棱 棱角
肋	lɐʔ021	肋 肋骨
勒	lɐʔ021	勒 勒索
曾	tsɐŋ55	曾 姓
增	tsɐŋ55	增 增加
則	tsɐʔ055	则 否则
曾	tsʰɐŋ21	曾 曾经
層	tsʰɐŋ21	层 层次
贈	tsɐŋ21	赠 赠送
賊	tsʰaʔ021	贼 做贼
僧	tsɐŋ55	僧 唐僧
塞	ɬɐʔ055	塞 阻塞
肯	hɐŋ35	肯 肯定
刻	hɐʔ055	刻 刀刻；时刻
克	hɐʔ055	克 克服
黑	hɐʔ055	黑 黑白
恆	hɐŋ21	恒 永恒
冰	peŋ55	冰 结冰
逼	pek055	逼 被逼
憑	pʰɐŋ21	凭 文凭
陵	leŋ21	陵 陵园
菱	leŋ21	菱 菱角
力	lek021	力 力量
即	tsek055	即 立即
鯽	tsɐʔ055	鲫 鲫鱼
息	ɬek055	息 休息
熄	ɬek055	熄 熄灭
徵	tseŋ55	征 征求
澄	kʰeŋ21	澄 水浑，澄一澄
懲	tsʰeŋ21	惩 惩罚
直	tsek021	直 直接
値	tsek021	值 价值
側	tsɐʔ055	侧 侧面
測	tsʰɐʔ055	测 测量
色	sek055	色 色彩
蒸	tseŋ55	蒸 蒸发
拯	tseŋ35	拯 拯救
證	tseŋ33	证 证明
症	tseŋ33	症 病症
織	tsek055	织 织布
職	tsek055	职 职务
稱	tsʰeŋ55	称 称呼；称重量
稱	tsʰeŋ55	称 相称，称心
秤	tsʰeŋ33	秤 一杆秤
乘	seŋ21	乘 乘法
繩	seŋ21	绳 麻绳
剩	seŋ21	剩 剩余
食	sek021	食 食物
蝕	sek021	蚀 月蚀，腐蚀
升	seŋ55	升 升级
勝	seŋ33	胜  胜任；胜败
識	sek055	识 认识
式	sek055	式 式样
飾	sek055	饰 装饰
承	seŋ21	承 继承
殖	tsek021	殖 繁殖
植	tsek021	植 植物
仍	ȵieŋ21	仍 仍然
棘	kek055	棘 棘手
極	kek021	极 南极
興	heŋ55	兴 兴旺
興	heŋ33	兴 高兴
應	ieŋ55	应 应该
鷹	ieŋ55	鹰 老鹰
應	ieŋ33	应 响应，反应
憶	iek055	忆 回忆
億	iek055	亿 亿万
蠅	ieŋ21	蝇 苍蝇
孕	iɐŋ21	孕 怀孕
翼	iek021	翼 机翼
國	kɔʔ033	国 中国
弘	hoŋ21	弘 弘扬
或	ʋaʔ021	或 或者
域	ʋaʔ021	域 地域
百	paʔ033	百 百姓
柏	pʰaʔ033	柏 柏树
伯	paʔ033	伯 伯父
迫	pek055	迫 迫害
烹	pʰaŋ55	烹 烹调
碰	pʰoŋ33	碰 碰到
拍	pʰaʔ033	拍 拍球
魄	pʰaʔ033	魄 魂魄
彭	pʰaŋ21	彭 姓
白	paʔ021	白 白色；白吃白喝
盲	maŋ21	盲 盲人，文盲
虻	mɔŋ55	虻 牛虻
猛	mɐŋ13	猛 凶猛
孟	mɐŋ13	孟 孟子
打	ta35	打 打针
冷	laŋ13	冷 天冷
撑	tsʰaŋ33	撑 支撑
拆	tsʰaʔ033	拆 拆开
澤	tsaʔ021	泽 毛泽东
宅	tsaʔ021	宅 住宅
窄	tsaʔ033	窄 狭窄
生	saŋ55	生 生活；生小孩
牲	saŋ55	牲 牺牲；畜牲
甥	saŋ55	甥 外甥
省	saŋ35	省 省长；节省
更	kaŋ55	更 三更
羹	kaŋ55	羹 调羹
哽	kʰɐŋ35	哽 骨哽在喉
更	kɐŋ33	更 更加
格	kaʔ033	格 格子
坑	haŋ55	坑 屎坑，水坑
客	haʔ033	客 客人
硬	ŋaŋ21	硬 软硬
額	ŋaʔ021	额 名额
嚇	haʔ033	吓 吓一跳
行	haŋ21	行 行走；行为
衡	hɐŋ21	衡 平衡
杏	hɐŋ21	杏 杏仁
行	haŋ21	行 品行
逬	peŋ33	迸 迸裂
擘	mɐʔ055	擘 用手擘开
棚	pʰaŋ21	棚 瓜棚
萌	mɐŋ21	萌 萌芽
麥	mɐʔ021	麦 大麦
脈	mɐʔ021	脉 把脉
摘	tsaʔ021	摘 摘花
橙	tsʰaŋ21	橙 橙子，脐橙
爭	tsaŋ55	争 争吵；战争
箏	tsaŋ55	筝 风筝
踭	tsaŋ55	踭 脚后跟
責	tsaʔ033	责 责任
策	tsʰaʔ033	策 策略
冊	tsʰaʔ033	册 书册
耕	kaŋ55	耕 耕田
耿	kɐŋ35	耿 耿耿于怀
革	kaʔ033	革 革命；皮革
隔	kaʔ033	隔 隔开，隔壁
幸	hɐŋ21	幸 幸福
核	haʔ021	核 核对，审核
鶯	ɐŋ55	莺 黄莺
鸚	ieŋ55	鹦 鹦鹉
櫻	ieŋ55	樱 樱桃
軛	aʔ033	轭 牛轭（牛耕田时套的工具）
兵	peŋ55	兵 当兵
丙	peŋ35	丙 甲乙丙丁
秉	peŋ35	秉 秉公办事
柄	piaŋ33	柄 把柄
碧	pek055	碧 碧玉
平	pʰeŋ21	平 平时（文）
評	pʰeŋ21	评 批评
病	piaŋ21	病 生病
鳴	meŋ21	鸣 鸣叫
明	meŋ21	明 明年
命	meŋ21	命 命令（文）
京	keŋ55	京 北京
驚	kiaŋ55	惊 吃惊，好惊
境	keŋ35	境 境界
景	keŋ35	景 景色
敬	keŋ33	敬 敬爱
鏡	kiaŋ33	镜 镜子，圆镜
慶	heŋ33	庆 庆祝
鯨	keŋ55	鲸 鲸鱼
競	keŋ21	竞 竞争
劇	kiaʔ021	剧 剧烈；戏剧
屐	kʰiaʔ021	屐 木屐
迎	ȵieŋ21	迎 欢迎
逆	ŋaʔ021	逆 逆风
英	ieŋ55	英 英雄
影	ieŋ35	影 电影
映	ieŋ35	映 反映
餠	piaŋ35	饼 饼干
倂	peŋ33	并 合并
璧	pek055	璧 玉璧
聘	pʰeŋ33	聘 聘请
僻	pʰek055	僻 偏僻
辟	pʰek055	辟 开辟
名	meŋ21	名 名字（文）
領	liaŋ13	领 衣领（白）
嶺	liaŋ13	岭 岭头；岭南
令	leŋ21	令 令人
精	tseŋ55	精 很精；精神
晶	tseŋ55	晶 水晶
睛	tseŋ55	睛 眼睛
井	tsiaŋ35	井 一口井（白）
積	tsek055	积 积极
跡	tsek055	迹 笔迹，痕迹
脊	tsiaʔ033	脊 背脊
淸	tsʰeŋ55	清 水很清；清洁
請	tsʰeŋ35	请 请人，邀请
情	tsʰeŋ21	情 情节
晴	tsʰeŋ21	晴 天晴
靜	tseŋ21	静 安静
淨	tsiaŋ21	净 净重；干净
籍	tsek021	籍 籍贯
性	ɬeŋ33	性 性别
姓	ɬeŋ33	姓 姓名
惜	ɬek055	惜 可惜
昔	ɬek055	昔 今昔
席	tsek021	席 酒席；主席
蓆	tsiaʔ021	席 草席
貞	tseŋ55	贞 贞节
偵	tseŋ55	侦 侦察
程	tsʰeŋ21	程 程度；姓
鄭	tseŋ21	郑 姓；郑重
擲	tsaʔ021	掷 掷骰子
正	tseŋ55	正 正月
征	tseŋ55	征 长征；征兵
整	tseŋ35	整 整体
正	tseŋ33	正 正直，方正
政	tseŋ33	政 政治
隻	tsiaʔ033	只 一只
赤	tsʰiaʔ033	赤 赤脚
斥	tsʰek055	斥 排斥
尺	tsʰiaʔ033	尺 尺寸，一把尺
聲	seŋ55	声 声音
聖	seŋ33	圣 神圣
適	ɬek055	适 合适
釋	ɬek055	释 解释
成	seŋ21	成 完成（文）
城	seŋ21	城 县城
誠	seŋ21	诚 诚心
石	siaʔ021	石 石头
頸	kiaŋ35	颈 头颈
勁	keŋ33	劲 有劲，劲敌
輕	hiaŋ55	轻 轻重
嬰	ieŋ55	婴 婴儿
纓	ieŋ55	缨 红缨枪
益	iek055	益 利益
盈	ieŋ21	盈 盈利
贏	iaŋ21	赢 输赢
亦	iek021	亦 亦可
易	iek021	易 交易
液	iek021	液 液体
壁	piaʔ033	壁 墙壁
拼	pʰeŋ33	拼 拼音，拼图
劈	pʰiaʔ033	劈 雷劈，刀劈
甁	pʰeŋ21	瓶 瓶子
屛	pʰeŋ21	屏 屏风
萍	pʰeŋ21	萍 萍水相逢；萍乡
並	pʰeŋ33	并 并且
銘	meŋ21	铭 铭刻
冥	meŋ21	冥 冥王，冥钞
丁	teŋ55	丁 甲乙丙丁；姓
釘	tiaŋ55	钉 铁钉（名）；钉书（动）
叮	tiaŋ55	叮 蚊子咬
頂	teŋ35	顶 顶好；山顶
鼎	teŋ35	鼎 鼎盛
訂	teŋ33	订 订合同，预订
的	tek055	的 目的
滴	tek055	滴 滴水
聽	tʰiaŋ55	听 听见；听任
廳	tʰiaŋ55	厅 客厅
踢	tʰiaʔ033	踢 踢球
剔	tʰek055	剔 挑剔，剔牙
亭	tʰeŋ21	亭 凉亭
停	tʰeŋ21	停 停下
庭	tʰeŋ21	庭 家庭
艇	tʰiaŋ13	艇 潜艇
挺	tʰeŋ13	挺 挺胸
定	teŋ21	定 坚定
笛	tiaʔ021	笛 笛子
敵	tek021	敌 敌人
糴	tiaʔ021	籴 籴米（买米）
寧	neŋ21	宁 安宁；宁可
靈	leŋ21	灵 灵活
零	leŋ21	零 零碎；零分（文）
鈴	leŋ21	铃 风铃
拎	neŋ55	拎 提
另	leŋ21	另 另外
歷	lek021	历 经历，历史
曆	lek021	历 日历，历书
績	tsek055	绩 成绩
靑	tsʰeŋ55	青 青年（文）
戚	tsʰek055	戚 亲戚
寂	tsek021	寂 寂寞
星	ɬeŋ55	星 星星（文）
腥	ɬiaŋ55	腥 腥臭
醒	ɬiaŋ35	醒 醒来，清醒
錫	ɬiaʔ033	锡 无锡；锡纸
析	ɬek055	析 分析
經	keŋ55	经 经济；经纬
徑	keŋ33	径 半径
擊	kek055	击 击败
激	kek055	激 激动
喫	haʔ055	吃 吃亏
馨	heŋ55	馨 温馨
形	ieŋ21	形 形状
型	ieŋ21	型 型号
刑	ieŋ21	刑 刑法
礦	kʰɔŋ33	矿 煤矿
橫	ʋaŋ21	横 横直；蛮横
轟	hoŋ55	轰 轰炸（新）
宏	hoŋ21	宏 宏大
獲	ʋaʔ021	获 获得
劃	ʋaʔ021	划 计划
兄	heŋ55	兄 兄弟
榮	ioŋ21	荣 光荣
永	ʋeŋ13	永 永远
泳	ʋeŋ13	泳 游泳
傾	kʰeŋ55	倾 倾向
頃	kʰeŋ35	顷 千顷良田；顷刻
瓊	kʰeŋ21	琼 琼楼；琼州
營	ieŋ21	营 营养
穎	ʋeŋ21	颖 新颖
疫	ʋek021	疫 疫苗
役	ʋek021	役 战役
螢	ieŋ21	萤 萤火虫
卜	pok055	卜 占卜
撲	pʰɔk033	扑 扑灭
篷	pʰoŋ21	篷 帐篷
蓬	pʰoŋ21	蓬 蓬勃；蓬蒿；蓬莱
曝	pou21	曝 曝光
蒙	moŋ21	蒙 蒙古
懵	moŋ35	懵 懵懂
木	mok021	木 木头
東	toŋ55	东 东方
董	toŋ35	董 姓
懂	toŋ35	懂 懂了；懵懂
凍	toŋ33	冻 冻死
棟	toŋ35	栋 栋梁
通	tʰoŋ55	通 通过
桶	tʰoŋ35	桶 木桶
痛	tʰoŋ33	痛 痛苦
禿	tʰok055	秃 秃顶
同	tʰoŋ21	同 同学
銅	tʰoŋ21	铜 铜器
童	tʰoŋ21	童 儿童
動	toŋ21	动 动作
洞	toŋ21	洞 山洞
獨	tok021	独 独立
讀	tok021	读 读书
籠	loŋ21	笼 鸟笼
嚨	loŋ21	咙 喉咙
攏	loŋ35	拢 靠拢
