#漢字	音標	解釋
才	tsʰɔi21	才 天才；刚才
材	tsʰɔi21	材 材料
財	tsʰɔi21	财 发财
在	tsɔi21	在 现在
鰓	ɬɔi55	鳃 鱼鳃
賽	ɬɔi33	赛 比赛
該	kɔi55	该 应该
改	kɔi35	改 修改
概	kʰɔi33	概 大概
開	hɔi55	开 开门
凱	hɔi35	凯 凯旋
咳	kʰɐʔ055	咳 咳嗽
礙	ŋɔi21	碍 妨碍
海	hɔi35	海 大海
孩	hai21	孩 孩子
亥	hɔi21	亥 辛亥革命
哀	ɔi55	哀 悲哀
埃	ai55	埃 尘埃；埃及
愛	ɔi33	爱 喜爱
貝	pui33	贝 宝贝
沛	pʰui13	沛 充沛
帶	tai33	带 鞋带
太	tʰai33	太 太阳
泰	tʰai33	泰 泰山
大	tai21	大 大小；大黄（药名）
奈	nɔi21	奈 无奈
賴	lai33	赖 无赖
癩	lai33	癞 癞痢头
蔡	tsʰɔi33	蔡 姓
蓋	kɔi33	盖 盖子
艾	ŋai21	艾 艾草
害	hɔi21	害 害人
拜	pai33	拜 礼拜；拜佛
排	pʰai21	排 排队
埋	mai21	埋 埋葬
齋	tsai55	斋 吃斋
豺	tsʰɔi21	豺 豺狼
階	kai55	阶 台阶
芥	kai33	芥 芥菜
尬	kai33	尬 尴尬
戒	kai33	戒 戒指
揩	kai55	揩 揩油
楷	kai55	楷 楷书
諧	hai21	谐 和谐
械	hai21	械 机械
挨	ai55	挨 挨近
擺	pai35	摆 摇摆
派	pʰai33	派 派出所
牌	pʰai21	牌 牌坊
罷	pa21	罢 罢工
稗	pɐi21	稗 稗子
買	mai13	买 买进
賣	mai21	卖 卖掉
奶	nai13	奶 奶奶
債	tsai33	债 还债
差	tsʰai55	差 出差
柴	tsʰai21	柴 火柴
篩	sɐi55	筛 筛子，米筛
灑	sa35	洒 洒水
曬	sai33	晒 晒谷
街	kai55	街 大街
解	kai35	解 解开；理解
崖	ŋam21	崖 悬崖
捱	ŋai21	捱 捱苦，捱打
鞋	hai21	鞋 布鞋
蟹	hai13	蟹 螃蟹
矮	ai35	矮 高矮
敗	pai21	败 失败
邁	mai21	迈 迈步
寨	tsai21	寨 山寨
蔽	pɐi33	蔽 隐蔽
幣	pɐi21	币 人民币
斃	pɐi21	毙 枪毙
例	lɐi21	例 例子
厲	lei21	厉 厉害
祭	tsɐi33	祭 祭祀
際	tsɐi33	际 国际
滯	tsɐi21	滯 停滞
制	tsɐi33	制 制度；制造
世	sɐi33	世 世界
勢	sɐi33	势 势力
誓	sɐi21	誓 发誓
藝	ŋɐi21	艺 艺术
蓖	pei55	蓖 蓖麻
閉	pɐi33	闭 关闭
批	pʰɐi55	批 批评
迷	mɐi21	迷 迷路
米	mɐi13	米 大米
低	tɐi55	低 高低
堤	tʰɐi21	堤 河堤
底	tɐi35	底 水底
抵	tɐi35	抵 抵押
帝	tɐi33	帝 皇帝
梯	tʰɐi55	梯 楼梯
體	tʰɐi35	体 身体
替	tʰɐi33	替 代替
涕	tʰɐi33	涕 鼻涕
題	tʰɐi21	題 题目
提	tʰɐi21	提 提问
弟	tʰɐi13	弟 弟弟
第	tɐi21	第 第一
遞	tɐi21	递 传递
泥	nɐi21	泥 水泥
犁	lɐi21	犁 犁地
黎	lɐi21	黎 黎明；姓
禮	lɐi13	礼 礼貌
麗	lɐi21	丽 美丽
擠	tsɐi55	挤 拥挤
濟	tsɐi33	济 经济
妻	tsʰɐi55	妻 妻子
砌	tsʰɐi33	砌 砌墙
齊	tsʰɐi21	齐 整齐
臍	tsʰei21	脐 肚脐
劑	tsɐi55	剂 药剂
西	ɬɐi55	西 东西南北
犀	ɬɐi55	犀 犀牛
洗	ɬɐi35	洗 洗衣服
細	ɬɐi33	细 粗细；大细
婿	ɬɐi33	婿 女婿
雞	kɐi55	鸡 公鸡
計	kɐi33	计 会计
繼	kɐi33	继 继续
溪	kʰɐi55	溪 小溪
啓	kʰɐi35	启 启发
契	kʰɐi33	契 地契
倪	ŋɐi21	倪 姓
系	hɐi21	系 系统；中文系
係	hɐi21	系 是
杯	pui55	杯 茶杯
輩	pui33	辈 长辈
背	pui33	背 后背，背人
坯	pʰui55	坯 毛坯
配	pʰui13	配 分配
陪	pʰui21	陪 陪伴
賠	pʰui21	赔 赔钱
倍	pʰui13	倍 倍数
佩	pui33	佩 佩服
背	pui33	背 背书，背诵
焙	pui21	焙 焙干
梅	mui21	梅 梅花
媒	mui21	媒 媒人
每	mui13	每 每天
妹	mui21	妹 妹妹
堆	tui55	堆 堆放
對	tui33	对 对错
推	tʰui55	推 推动
腿	tʰui35	腿 腿部
退	tʰui33	退 退后
隊	tui21	队 队伍
內	nui21	内 内外
雷	lui21	雷 雷公；姓
累	lui13	累 劳累，很累
催	tsʰui55	催 催眠
罪	tsui21	罪 犯罪
碎	ɬui33	碎 破碎
盔	kwʰɐi55	盔 头盔
恢	fui55	恢 恢复
塊	fai33	块 块状
桅	ʋɐi21	桅 桅杆
灰	fui55	灰 灰色
賄	fui35	贿 贿赂
悔	fui35	悔 后悔
回	wui21	回 回去
茴	wui21	茴 茴香
匯	wui21	汇 汇报
潰	kʰui33	溃 溃疡
煨	wui55	煨 煨番薯
蛻	tʰui33	蜕 蜕皮，蝉蜕
兌	tui33	兑 兑换
最	tsui33	最 最好
會	wui21	会 会计；开会；会不会
外	ŋɔi21	外 外面
乖	kwai55	乖 小孩听话
怪	kwai33	怪 奇怪
懷	ʋai21	怀 胸怀
淮	ʋɐi21	淮 淮河
壞	ʋai21	坏 好坏
拐	kwʰai35	拐 拐卖
掛	kwʰa33	挂 挂钩
卦	kwa33	卦 卜卦；八卦
歪	ʋai55	歪 歪斜
畫	ʋaʔ021	画 油画（名词）；画圈（动词）
蛙	ʋa55	蛙 青蛙
快	fai33	快 快点；快车
筷	fai33	筷 筷子
話	ʋa21	话 说话
脆	tsʰui33	脆 干脆
歲	ɬui33	岁 万岁
贅	tsui21	赘 入赘
稅	sui33	税 税收
衛	ʋɐi21	卫 卫生
銳	iui21	锐 尖锐
廢	fei33	废 废品
肺	fei33	肺 猪肺
吠	fei21	吠 狗叫、狗吠
閨	kwai55	闺 闺房
桂	kwɐi33	桂 桂花
奎	kwʰɐi21	奎 人名用字
攜	kwʰɐi21	携 携带
惠	ʋɐi21	惠 优惠
慧	ʋɐi33	慧 智慧
碑	pei55	碑 石碑
彼	pʰei35	彼 彼此
臂	pei33	臂 手臂
披	pʰei55	披 披上
皮	pʰei21	皮 果皮
脾	pʰei21	脾 脾气
被	pʰei13	被 棉被
被	pei21	被 被动
避	pei21	避 避开
糜	mei21	糜 糜烂；粥
離	lei21	离 离别，离开
璃	lei55	璃 玻璃
荔	lɐi21	荔 荔枝
紫	tsi35	紫 紫色
雌	tsʰi55	雌 雌雄
此	tsʰi35	此 此地
刺	tsʰi33	刺 鱼刺
撕	si55	撕 撕破
璽	ɬai35	玺 玉玺
賜	tsʰu33	赐 赏赐
知	tsi55	知 知道（文）
蜘	tsi55	蜘 蜘蛛
智	tsi33	智 智慧
池	tsʰi21	池 池塘
支	tsi55	支 支持
枝	tsi55	枝 荔枝
紙	tsi35	纸 白纸
只	tsi35	只 只有
舐	liam13	舐 舔
施	si55	施 施肥
翅	tsʰi33	翅 鱼翅
匙	si21	匙 钥匙；匙羹
是	si21	是 是不是
豉	si21	豉 豆豉
兒	ȵi21	儿 儿童
寄	kei33	寄 寄信
企	kʰei13	企 企业
奇	kʰei21	奇 奇怪
騎	kʰei21	骑 骑马
徛	kʰei13	徛 站立
技	kei21	技 技术
妓	kei21	妓 妓女
宜	ȵi21	宜 便宜
儀	ȵi21	仪 礼仪，仪表
蟻	ŋɐi13	蚁 蚂蚁
誼	ȵi21	谊 友谊
義	ȵi21	义 情义
犧	hei55	牺 牺牲
