#漢字	音標	解釋
泥	nai11	泥：水～，地～（地板）
犁	lai11	犁：耕田用具
黎	lai11	黎：～民，～明；姓
禮	li44	礼：～貌
麗	li53	丽：秀～
隸	li53	隶：奴～，～属
擠	tsi44	挤：拥～，～时间
濟	tsi53	济：～公，经～
妻	tsʰi44	妻：夫～
齊	tsʰi11	齐：～国，整～[文]
齊	tsʰiɛ11	齐：整～，放～，来～[白]
臍	tsʰi31	脐：肚～
劑	tsi53	剂：一～药，药～
西	si44	西：东西南北
棲	si44	栖：两～动物
犀	si44	犀：～牛
洗	siɛ31	洗：～菜，～衣机
細	siɛ53	细：粗细，大小
婿	siɛ53	婿：女～
雞	kai44	鸡：～公（公鸡）
稽	ʃɿ44	稽：～查
計	ki53	计：～算，会～
繼	ki53	继：～续，～承
繫	kai44	系：～鞋带
髻	ki53	髻：发髻
溪	hai44	溪：～水
啟	kʰi31	启：～发
契	kʰiɛ53	契：房～，～约
倪	ni11	倪：姓，～萍
奚	hai44	奚：～落
系	ʃɿ53	系：中文～，～统
繫	ʃɿ53	系：联～
係	ʃɿ53	系：关～[文]
係	hɛ53	系：是[白]
杯	pi44	杯：茶～
輩	pi53	辈：～分，长～
背	puɔi53	背：违～，后～
胚	pʰuɔi44	胚：～胎
坯	pʰuɔi44	坯：泥～，毛～房
配	pʰi53	配：分～，搭～
培	pʰi11	培：～训
陪	pʰi11	陪：～同
賠	pʰuɔi11	赔：～钱
裴	pʰi11	裴：姓
倍	pʰi53	倍：～数
佩	pʰi53	佩：～服
背	pʰuɔi53	背：～书
焙	pʰuɔi53	焙：～火
梅	muɔi11	梅：～花
枚	muɔi11	枚：两～
媒	muɔi11	媒：～人
煤	muɔi11	煤：烧～，～矿
玫	muɔi11	玫：～瑰
每	mi44	每：～只，～日
莓	muɔi11	莓：草～
妹	muɔi53	妹：妹妹，姊～，老～
昧	mi53	昧：愚～，拾金不～
堆	tuɔi44	堆：一～[量]，～放[动]
對	tui53	对：～错
碓	tuɔi53	碓：舂米工具，踏～
推	tʰui44	推：～荐，～动
腿	tʰui31	腿：～部
退	tʰui53	退：后～，～步[文]
退	tʰuɔi53	退：向后退[白]
隊	tui53	队：～伍，排～
內	nui53	内：～行，～外
雷	lui11	雷：打～，～公；姓
累	lui53	累：劳～
催	tsʰui44	催：～促，～眠
崔	tsʰui44	崔：姓，～莺莺
摧	tsʰui44	摧：～残
罪	tsʰui53	罪：得～，犯～[文]
碎	sui53	碎：～布，破～
盔	kʰui44	盔：头～
魁	kʰui11	魁：～梧，花～
恢	fuɔi44	恢：～复
塊	kʰai53	块：～头
桅	ŋui11	桅：～杆
灰	fuɔi44	灰：石～，～色
賄	ʒuk1	贿：受～，～赂
悔	fi53	悔：后～
晦	fi53	晦：～气
回	fi11	回：～想[文]
回	fi11	回：～礼[白]
茴	fi11	茴：～香
匯	fi53	汇：～报，～款
潰	kʰui53	溃：～疡，胃～疡
煨	vuɔi44	煨：～番薯
蛻	tʰui31	蜕：～变
兌	tʰui31	兑：～水，～换
最	tsui53	最：～好
會	kʰai53	会：～计
劊	kʰai53	刽：～子手
檜	kʰai53	桧：人名，秦～
外	ŋuɔi53	外：～面
會	fi53	会：开～
會	vuɔi53	会：～睡，～来
繪	fi53	绘：～图，测～
乖	kai44	乖：小孩听话
怪	kai53	怪：奇～
懷	fai11	怀：～疑
槐	fai11	槐：～树
淮	fai11	淮：～河，～北
壞	fai53	坏：～人
拐	kai31	拐：～卖，铁～李
拐	kai31	拐：～脚（瘸腿）
掛	ka53	挂：～起来，牵～，～钩
卦	kai53	卦：八～
歪	vai44	歪：～风邪气
畫	fa53	画：～图，图～
快	kʰai53	快：～车
筷	kʰai53	筷：公～
話	va53	话：笑～，讲～[文，名]
話	va53	话：讲～[白，名]
話	va53	话：说话[白，动]
脆	tsʰuɔi53	脆：干～[文]
脆	tsʰuɔi53	脆：易断[白]
歲	suɔi53	岁：万～，～月[文]
歲	suɔi53	岁：十～，～数[白]
綴	tʃui53	缀：点～
贅	tʃui53	赘：累～，入～
稅	ʃuɔi53	税：交～，～收
衛	vi53	卫：～生
銳	ʒui53	锐：尖～，～角
廢	fi53	废：～品，作～
肺	fi53	肺：猪～
吠	pʰuɔi53	吠：狗～
穢	vuɔi53	秽：淫～，污～
圭	kui44	圭：人名用字；乌拉～
閨	kui44	闺：～房
桂	kui53	桂：～花
奎	kʰui11	奎：人名用字；～宁（药名）
攜	ʃɿ44	携：～带，提～
惠	fi53	惠：～州，优～
慧	fi53	慧：智～
碑	pi44	碑：石～，～文
卑	pi44	卑：～鄙
彼	pʰi31	彼：～此
臂	pi31	臂：手～，～力
披	pʰi44	披：～肩，～露
譬	pʰut1	譬：～喻，～如
皮	pʰi11	皮：调～，～肤
疲	pʰi44	疲：～劳
脾	pʰi11	脾：～胃，～气
