#漢字	音標	解釋
傅	fu21	傅：师～[文]
傅	fu21	傅：姓[白]
敷	fu51	敷：～衍，～药
俘	fu51	俘：～虏
孵	fu51	孵：孵小鸡
麩	fu51	麸：麦～
撫	məu13	抚：～养，安～
赴	fu21	赴：奔～，～汤蹈火
訃	ɓok053	讣：～告
符	fu21	符：～合，鬼画～
扶	fu21	扶：～贫，～手[文]
扶	fu21	扶：搀扶，～起来[白]
芙	fu51	芙：～蓉
父	fu21	父：～亲
釜	fu35	釜：破～沉舟
腐	fu21	腐：～败
腐	fu21	腐：豆～
輔	fu21	辅：～导，～助
附	fu21	附：～近，～带
無	məu13	无：没有，～中生有[文]
無	məu13	无：没有，～事[白]
巫	məu51	巫：姓；～婆
誣	məu51	诬：～陷，～告
武	məu13	武：～器，～术
舞	məu13	舞：跳～
舞	məu13	舞：拨弄，摆弄[白，动]
侮	fui35	侮：～辱
鵡	məu13	鹉：鹦～
務	məu21	务：任～，～农
霧	məu21	雾：大～
縷	lɐu13	缕：千丝万～
屢	lui21	屡：～次，～教不改
趨	tʰui51	趋：～势
取	tʰui35	取：～钱
娶	tʰui35	娶：嫁～
趣	tʰui33	趣：兴～
聚	tʰui21	聚：～会
聚	tʰui21	聚：捡～（收拢）[白]
須	ɬui51	须：必～
鬚	ɬui51	须：胡～
需	ɬui51	需：～要
續	tʰok021	续：连～，继～
誅	ʧi51	诛：天～地灭
蛛	ʧi51	蛛：蜘～
株	ʧi51	株：守～待兔
駐	ʧʰi21	驻：～扎
註	ʧi33	注：～释
廚	ʃi21	厨：～房
櫥	ʃi21	橱：碗～
柱	ʧʰi13	柱：柱子
住	ʧʰi21	住：～宿
雛	ʧʰui51	雏：～形
數	ʃəu35	数：～落，～星星[动]
數	ʃəu33	数：～字，～学
朱	ʧi51	朱：姓
珠	ʧi51	珠：珍～
主	ʧi35	主：～人，地～
注	ʧi33	注：～意
蛀	ʧi33	蛀：～虫
鑄	ʧi33	铸：～铁，～钢
樞	kʰui51	枢：中～，～纽
輸	ʃi51	输：～赢
戍	ʃi21	戍：～边
輸	ʃi51	输：运～
殊	ʃi21	殊：特～
豎	ʃi21	竖：横～
樹	ʃi21	树：～立，种～
儒	ji21	儒：～家思想
乳	ȵui13	乳：哺～，母～[文]
乳	nai13	乳：食～（吃奶），麦～精[训]
拘	kʰui51	拘：～留
倶	kʰui21	俱：～备，～乐部
矩	kui35	矩：规～，～形
句	kui33	句：～号
區	kʰui51	区：地～，～别
驅	kʰui51	驱：先～，～动
具	kʰui21	具：～体
懼	kui21	惧：恐～
愚	ŋui21	愚：～蠢，～公移山
娛	ŋ̍21	娱：～乐
遇	ŋui21	遇：遭～，相～，～到
寓	ŋui21	寓：～言；公～
迂	ji21	迂：～回，～腐
于	ʔui51	于：姓；等～
吁	ji51	吁：气喘～～，长～短叹
雨	ji13	雨：落～，谷～，～水
宇	ji13	宇：～宙
禹	ji13	禹：大～治水
羽	ji13	羽：～毛球
芋	vu21	芋：芋头
逾	ji21	逾：超过，～期
愉	ji21	愉：～快
愈	ji21	愈：病～
喩	ji21	喻：比～
裕	ji21	裕：富～
獃	ŋɔi51	呆：书～子，发～[文]
獃	ŋɔi51	呆：发～[白]
戴	ɗai33	戴：姓；～帽
胎	tʰɔi51	胎：双胞～，～盘
台	tɔi231	台：天台
態	tʰai33	态：～度，心～
貸	tʰai33	贷：～款
臺	tɔi231	台：～湾
苔	tɔi231	苔：青～，舌～
抬	tɔi231	抬：两个人抬
待	tɔi21	待：等～，～人接物
怠	tɔi13	怠：～慢，～工
殆	tɔi21	殆：百战不～
代	tɔi21	代：～替，～表
逮	tɐi21	逮：～捕
袋	tɔi21	袋：袋子
乃	nai13	乃：安～近；人名用字
耐	nɔi21	耐：～力，～心，忍～
來	lɔi231	来：过～，～去
災	tɔi51	灾：水～
栽	tɔi51	栽：种，～培
宰	tɔi35	宰：～相
載	tɔi33	载：一年半～
再	tɔi33	再：～来
載	tɔi33	载：～重
猜	ku35	猜：～谜
彩	tʰɔi35	彩：～色
採	tʰɔi35	采：～集
睬	tʰɔi35	睬：理睬
菜	tʰɔi33	菜：煮～，青～
才	tʰɔi231	才：人～，～气，秀～
材	tʰɔi231	材，药～，～料
財	tʰɔi231	财，发～
裁	tɔi33	裁，～纸，剪～
纔	tʰɔi231	才：刚～
在	tʰɔi21	在：实～，现～[文]
在	tʰɔi21	在：存在，还～[白]
載	tɔi33	载：满～而归
腮	ɬɔi51	腮：～腺炎，～红
鰓	ɬɔi51	鳃：鱼鳃
賽	ɬɔi33	赛：比～
該	kɔi51	该：应～
改	kɔi35	改：修～，～正
概	kʰɔi33	概：大～，～括
溉	kʰɔi33	溉：灌～
開	hɔi51	开：公～，～门
凱	ŋɔi35	凯：～旋
慨	kʰɔi33	慨：慷～，感～
咳	kʰɐt053	咳：～嗽，止～糖浆
呆	ŋɔi51	呆：～板
礙	ŋɔi21	碍：妨～
海	hɔi35	海：大～
孩	hɔi21	孩：～童
亥	hɔi13	亥：辛～革命
哀	ŋɔi51	哀：悲～
埃	ai51	埃：尘～，～及
愛	ɔi33	爱：～情；要
貝	pui33	贝：宝～
貝	pui33	贝：川～，～壳
沛	pʰui33	沛：充～
帶	ɗai33	带：鞋～
太	tʰai33	太：老～婆
泰	tʰai33	泰：～山
大	tai21	大：大小
奈	nɔi21	奈：无～，～何
賴	lai21	赖：依～，无～；姓
癩	lai21	癞：～蛤蟆[文]
癩	lai21	癞：～哥（癞疮）[白]
蔡	tʰɔi33	蔡：姓
蓋	kɔi33	盖：～被[动]；盖子[名]
丐	kʰɔi33	丐：～帮
艾	ŋɔi51	艾：姓；～滋病
艾	ŋɔi21	艾：艾草
害	hɔi21	害：～人
藹	ŋɔi35	蔼：和～，宋～龄
拜	ɓai33	拜：结～，礼～，～佛
排	pai21	排：～队
埋	mai231	埋：～伏
齋	ʧai51	斋：食～（吃斋）
豺	ʧʰai231	豺：～狼
皆	kai51	皆：～大欢喜
階	kai51	阶：台～，～级
介	kai33	介：～绍，中～
界	kai33	界：世～
芥	kai33	芥：～菜
尬	kai33	尬：尴～
疥	kai33	疥：～疮
屆	kai33	届：第一～
戒	kai33	戒：～烟，猪八～
楷	kai51	楷：～书，～模
諧	hai21	谐：和～
駭	hɔi13	骇：惊～，～人听闻
械	hai21	械：机～
挨	ai51	挨：～打，～近
擺	ɓai35	摆：摇～
派	pʰai51	派：正～，～出所
牌	pai231	牌：～坊，～匾[文]
牌	pai231	牌：打～[白，训]
㵺	pai231	排：竹排
罷	pa21	罢：～工
稗	pai231	稗：～草
買	mai21	买：～卖
賣	mai21	卖：买～
奶	nai13	奶：二～，～牛
債	ʧai33	债：欠～
釵	ʧʰa51	钗：宝～
差	ʧʰai51	差：出～
柴	ʃai231	柴：姓；火～
篩	ʃɐi51	筛：～选，～米
灑	ʃa13	洒：潇～，～水
佳	kai51	佳：～人，～节
街	kai51	街：～路
解	kai35	解：～释，讲～[文]
解	kai35	解：～开[白]
懈	hai21	懈：松～，坚持不～
涯	ŋai231	涯：天～
崖	ŋai231	崖：悬～
捱	ŋai231	捱：难～，～苦
鞋	hai231	鞋：布～
解	kai35	解：懂了，理～，了～
蟹	hai13	蟹：老～
矮	ai35	矮：高矮
敗	pai21	败：失～
邁	mai13	迈：豪～，～步
寨	ʃai21	寨：山～，大～
蔽	ɓɐi33	蔽：隐～
弊	pɐi21	弊：作～
幣	pɐi21	币：人民～
斃	pɐi21	毙：枪～
例	lɐi21	例：举～，～外
厲	lɐi21	厉：严～，～害
勵	lɐi21	励：鼓～
祭	tɐi33	祭：～祀
際	ʧɐi33	际：国～
滯	nɐi21	滞：停～，湿～（中医）
制	ʧɐi33	制：～度
製	ʧɐi33	制：～造
世	ʃɐi33	世：～界
世	ʃɐi33	世：出～
勢	ʃɐi33	势：～力，有权有～
誓	ʃɐi21	誓：发～
逝	ʃɐi21	逝：～世
藝	ŋɐi21	艺：～术，文～晚会
蓖	ɓei51	蓖：～麻
閉	ɓɐi33	闭：关～
批	pʰɐi51	批：～评，大～
批	pʰɐi51	批：螺丝～
陛	pɐi21	陛：～下
迷	mɐi231	迷：入～，～路
米	mɐi13	米：大米
謎	mɐi231	谜：～语，猜～
低	ɗɐi51	低：高～
堤	tɐi231	堤：河～，～坝
底	ɗɐi35	底：水～
抵	ɗɐi35	抵：～押
抵	ɗɐi35	抵：用手抵挡
帝	ɗɐi33	帝：皇～
梯	tʰɐi51	梯：楼～
蒂	ɗɐi33	蒂：花～，并～莲
體	tʰɐi35	体：～育，身～
替	tʰɐi33	替：代～，～身
涕	tʰɐi33	涕：～泪纵横
剃	tʰɐi33	剃：～头
題	tɐi231	题：～目，难～
提	tɐi231	提：～问，～醒
蹄	tɐi33	蹄：马～
啼	ɗɐi33	啼：哭哭～～[文]
啼	tɐi231	啼：鸡～[白]
弟	tɐi35	弟：兄～[文]
弟	tɐi21	弟：弟弟，老～[白]
第	tɐi21	第：～一，门～
遞	tɐi21	递：传～，邮～员
