#漢字	音標	解釋
踏	tæp021	踏：脚～
潭	tam231	潭：深～
譚	tam231	谭：姓，～嗣同
沓	tæp021	沓：一～纸
南	nam231	南：东南西北
男	nam21	男：男女
納	næp021	纳：归～
拉	lai51	拉：拖～
簪	ʧam51	簪：绾住发髻的条状物
參	tʰam51	参：～军，～加
慘	tʰam35	惨：悲～
蠶	tam231	蚕：～丝
雜	tʰæp021	杂：复～
感	kam35	感：～谢，～动
蛤	ha51	蛤：花～；～蚧
鴿	kɔk033	鸽：白～
堪	hɐm51	堪：难～，不～
龕	hæp021	龛：神～
坎	ham33	坎：～坷
砍	hɔn35	砍：～伤
勘	hɐm33	勘：～误，～探
含	hɔn231	含：包～[文]
含	hɔn231	含：～糖[白]
函	ham21	函：～授，信～
撼	ham21	撼：震～
憾	ham21	憾：遗～
合	hɔk021	合：～作，～适[文]
合	kæp033	合：～本，～伙[白]
盒	hæp021	盒：铁～
庵	ɐm51	庵：尼姑～
揞	ɐm35	揞：手覆，揞住
揞	ɬɐm35	揞：把粉末撒在表面
暗	ɐm33	暗：不亮
擔	ɗam51	担：～任[动]
擔	ɗam51	担：～竿[名]
膽	tam35	胆：大～
擔	ɗam33	担：挑～[名]；一～水[量]
坍	tʰan51	坍：～塌
毯	tʰan35	毯：毛～
塔	tʰæp033	塔：宝～
塌	tʰæp033	塌：倒～
談	tam231	谈：会～，～论
痰	tam21	痰：吐～
淡	tam13	淡：～水（地名）
淡	tam13	淡：咸～；浓～
藍	lam231	蓝：～色；姓
籃	lam231	篮：菜～
覽	lam35	览：展～，阅～室
攬	lam35	揽：包～[文]
攬	lam35	揽：抱[白]
欖	lam35	榄：橄～，乌～
濫	lan21	滥：泛～
纜	lam35	缆：～车
臘	læp021	腊：～肉，～肠
蠟	læp021	蜡：～烛
慚	tʰan21	惭：～愧
暫	ʧam21	暂：～时
三	ɬam51	三：～国
甘	kam51	甘：甜；～心
柑	kɔn51	柑
敢	kɔn35	敢：勇～
橄	kɔn51	橄：～榄
磕	kʰɐu33	磕：～头
蚶	kam51	蚶：软体动物，血～
憨	jɔn21	憨：～厚
喊	ham33	喊：叫[文]
喊	jiau51	喊：叫[白]
站	kʰei13	站：站立
賺	ʧʰan21	赚：～钱
站	ʧʰam21	站：车～
斬	ʧam35	斩：白～鸡
蘸	tiu51	蘸：～豉油
插	ʧʰæp033	插：～花
閘	ʧʰæp021	闸：铁～，跳～
煠	ʃæp021	炸：～番薯（水煮地瓜）
杉	ʧʰam35	杉：～树
尷	kam33	尴：～尬
減	kam35	减：加～
鹻	ham231	碱：酸～，～性
鹻	ham231	碱：纯～
夾	kæp033	夹：夹子；～心饼干
裌	kʰiɛp021	夹：～袄，～衣
恰	tæp033	恰：～切，～当
咸	ham231	咸：～丰皇帝
鹹	ham231	咸：～淡
陷	ham21	陷：～害，～井
掐	ŋian35	掐：～颈（掐脖子）
餡	ham231	馅：～饼
狹	kʰiɛp021	狭：～窄[文]
狹	kʰiɛp021	狭：空间小[白]
峽	hiɛp021	峡：三～（地名）
洽	tæp033	洽：～谈会，融～
攙	ʧʰam33	搀：～扶，～腰
衫	ʃam51	衫：衬～，～裤（衣服）
監	kam51	监：～狱，～视，～督
鑑	kam33	鉴：～定
監	kam33	监：太～
甲	kæp033	甲：天干，甲乙丙丁
胛	kæp033	胛：肩～
巖	ŋam231	岩：～石，石灰～
銜	ŋam231	衔：军～；叼在嘴里
艦	lam21	舰：军～
匣	ʧʰæp021	匣：匣子
鴨	æp033	鸭：鸭子
押	æp033	押：抵～，～送
壓	æk033	压：～力
貶	ɓian35	贬：～值
黏	na51	黏：～合剂，～起来
聶	nip033	聂：姓，～耳
廉	lim231	廉：清～，～洁
鐮	lim231	镰：镰刀，禾～
簾	lim231	帘：窗～
斂	lim35	敛：收～
殮	lim35	殓：给死者穿衣入棺，～尸
獵	lip021	猎：打～，～人
尖	ʧim51	尖：～刀
殲	tʰim51	歼：～灭
接	tip033	接：迎～，～待
籤	tʰim51	签：竹～，求～
簽	tʰim51	签：～字，～名
妾	tʰip033	妾：小老婆
潛	tʰim21	潜：～力
漸	tʰim21	渐：逐～
捷	tip033	捷：～报，大～，敏～
沾	ʧim51	沾：～光
粘	ʧim51	粘：～贴
占	ʧim33	占：～卜
佔	ʧim33	占：～领，～地方
摺	ʧit033	折：～被，～叠
褶	ʧit033	褶：衣裙或皮肤上的皱纹，打～
陝	ʃim35	陕：～西
閃	ʃim35	闪：～开
攝	nip033	摄：～影
蟾	ʧim51	蟾：～蜍
涉	ʃip021	涉：～及
染	ȵim13	染：污～
染	ȵim13	染：～色
檢	kim35	检：～查，体～
臉	lim13	脸：红～白～[文]
鉗	kʰim231	钳：～工，火～
儉	kʰim21	俭：勤～
驗	nim21	验：～收，试～
險	him35	险：危～，保～
淹	jim35	淹：～没
閹	jim51	阉：～鸡，～猪
掩	jim35	掩：～护
厭	jim33	厌：讨～
炎	jim21	炎：消～，～热
鹽	jim231	盐
閻	nim21	阎：～罗王；姓
簷	ʧim51	檐：屋～下
豔	jim21	艳：鲜～，～丽
焰	jim21	焰：火～
葉	jip021	叶：树～；姓
頁	jip021	页：～数
劍	kim33	剑：宝～
劫	kip033	劫：抢～
欠	him33	欠：～钱，拖～
嚴	him231	严：～格；姓
業	ȵip021	业：事～，～余
脅	hip021	胁：威～
醃	jim51	腌：腌制
掂	nim51	掂：～量
點	tim35	点：～心，～头
店	ɗim33	店：开～
跌	tʰit033	跌：～打
添	tʰim51	添：～加，～丁
帖	tʰip033	帖：请～
貼	tʰip033	贴：补～
貼	tʰip033	贴：～纸，～对联[动]
甜	tim231	甜
簟	tim35	簟：竹制品，用以储存粮食
疊	tip033	叠：～起来，折～
碟	tip033	碟：盛具，碟子
牒	tip033	牒：通～，文～
蝶	tip033	蝶：蝴～
諜	tip033	谍：间～
鮎	lim21	鲇：～鱼
拈	nim51	拈：用指头捏取物，～起来
念	nim21	念：～经，怀～
兼	kim51	兼：～职
挾	kʰiɛp021	挟：～菜
謙	him51	谦：～虚
歉	him33	歉：道～，～意
嫌	him51	嫌：～弃，～人
協	hip021	协：～会，～作
俠	hæp021	侠：武～
法	fæt033	法：方～
泛	fan33	泛：广～，～滥[文]
凡	fan231	凡：平～
帆	fan231	帆：～船
范	fan21	范：姓
範	fan21	范：模～，～围
犯	fan21	犯：～法[文]
犯	fan21	犯：触犯[白]
乏	fæt021	乏：缺～
稟	ɬɐm35	禀：～报
品	pʰɐm35	品：～德
林	lɐm231	林：树～；姓
淋	lɐm231	淋：～湿，～菜
臨	lɐm231	临：～时，面～
立	lɐp021	立：～足
笠	lɐp021	笠：～嫲，斗～
粒	nɐp053	粒：三～，颗～
凜	ɬɐm35	凛：威风～～
浸	tɐm33	浸：～水
侵	tʰɐm51	侵：～略
寢	ʧʰɐm35	寝：就～，～室，废～忘食
緝	tʰɐp053	缉：～私，通～
集	tʰɐp021	集：～合，～体
輯	tʰɐp053	辑：编～
心	ɬɐm51	心：～肝，内～
尋	ʧʰɐm21	寻：～人
習	tʰɐp021	习：学～，练～
襲	tʰɐp021	袭：～击，偷～
沉	ʧʰɐm231	沉：～底
蟄	ʧʰiet021	蛰：惊～
參	tʰɐm51	参：～差不齐
岑	kʰɐm231	岑：姓，～参；～村
森	ɬɐm51	森：～林
參	tʰam51	参：人～
滲	tʰam51	渗：～水
澀	ɬɐp053	涩：青～
澀	ɬɐp053	涩：柿子～[训]
針	ʧɐm51	针：～线，～对
斟	ʧɐm51	斟：～酒，～酌
枕	ʧɐm35	枕：～头[名]；～枕头[动]
執	ʧɐp053	执：～行，～法
汁	ʧɐp053	汁：菜～，果～
深	ʃɐm51	深：～浅，～入
沈	ʃɐm35	沈：姓；地名，～阳
審	ʃɐm35	审：～问
嬸	ʃɐm35	婶：叔母，大～
濕	ʃɐp053	湿：潮～
甚	ʃɐm21	甚：～至
十	ʃɐp021	十：数字
拾	ʃɐp021	拾：收～
壬	jɐm231	壬：天干，庚辛壬癸
任	ȵɐm21	任：姓；责～，～何
紝	ȵɐm13	纫：缝～
入	ȵɐp021	入：～门，进～
今	kɐm51	今：～日，～年，现～[文]
今	kɐm51	今：～日，～年[白]
金	kɐm51	金：～银
禁	kɐm33	禁：不～
襟	kʰɐm51	襟：衣的前幅、交领，连～
錦	kɐm35	锦：～绣，～旗
禁	kɐm33	禁：～止
急	kɐp053	急：心～
級	kʰɐp053	级：～别，年～
級	kʰɐp053	级：三年～
給	kɐp053	给：供～，～予
欽	hɐm51	钦：～差，～佩
泣	lɐp053	泣：～血，哭～
琴	kʰɐm231	琴：弹～
禽	kʰɐm231	禽：家～
擒	kʰɐm231	擒：～拿
及	kʰɐp021	及：～时
吟	ȵɐm231	吟：～诗
吸	kʰɐp053	吸：呼～，～引
音	jɐm51	音：～乐，声～
陰	jɐm51	阴：～天
飮	ȵɐm35	饮：～料
蔭	jɐm51	荫：福～，树～
飮	ȵɐm35	饮：～田
揖	tʰɐp053	揖：作～
淫	jɐm231	淫：～荡
丹	ɗan51	丹：牡～，仙～
單	ɗan51	单：～独
旦	ɗan33	旦：元～，花～
疸	tʰan35	疸：黄～
灘	tʰan51	滩：沙～
攤	tʰan51	摊：分～，～开，摆～
癱	tʰan51	瘫：～痪
坦	tʰan35	坦：～白，～克
炭	tʰan33	炭：烧～
嘆	tʰan33	叹：～气
檀	tan231	檀：～香
壇	tan231	坛：天～，文～
彈	tan21	弹：～琴
誕	tan33	诞：圣～，～生
但	tan21	但：～係（但是），不～
彈	tan21	弹：子～
蛋	tan21	蛋：皮～
達	tæt021	达：发～，～到
難	nan231	难：困～
難	nan231	难：逃～，患～
捺	na21	捺：撇～
蘭	lan231	兰：～花
攔	lan231	拦：～路
欄	lan231	栏：～杆
懶	lan13	懒：懒惰，～尸
爛	lan21	烂：灿～，腐～
辣	læt021	辣：～椒
瘌	læk053	瘌：结～（结痂），～痢（头屑）
贊	tan33	赞：称～，～助
餐	tʰan51	餐：～车，快～
燦	tʰan35	灿：～烂
擦	ʧʰæt033	擦：～车
殘	tʰan231	残：～废
珊	ʃan51	珊：～瑚
散	ɬan33	散：药～
散	ɬan33	散：分～，解～
撒	ɬæk033	撒：～手，～种
薩	ɬæk033	萨：菩～
干	kɔn51	干：天～地支；～扰
亁	kɔn51	干：烘～，饼～
肝	kɔn51	肝：猪～
竿	kɔn51	竿：竹～
桿	kɔn51	杆：旗～，杠～
稈	kɔn35	秆：禾～（稻秆）
趕	kɔn35	赶：追～
幹	kɔn33	干：～部，才～
割	kɔk033	割：～禾（割稻）
葛	kɔk033	葛：诸～亮；生～，～薯
看	hɔn33	看：～守所
刊	hɔn35	刊：报～
看	hɔn33	看：看见
渴	hɔk033	渴：口渴；～望
岸	ŋɔn21	岸：口～，两～
鼾	hɔn231	鼾：～睡
罕	hɔn35	罕：稀～，～见
漢	hɔn33	汉：～人
喝	hɔk033	喝：吆～，～彩
寒	hɔn231	寒：大～，～流
韓	hɔn21	韩：～国；姓
旱	hɔn13	旱：干旱
汗	hɔn21	汗：出～，～马功劳
銲	hɔn21	焊：电～，～接
翰	hɔn21	翰：～林院；人名用字
安	ɔn51	安：公～，～全
鞍	ɔn51	鞍：马～，～山
按	ɔn33	按：～照
案	ɔn33	案：～件，档～
扮	ɓan33	扮：打～
八	ɓæt033	八：数字
盼	pʰan33	盼：～望
瓣	ɓin51	瓣：花～
辦	pan21	办：～事
拔	pɐt021	拔：～河，选～
綻	ʧʰan21	绽：破～[文]
綻	ʧʰan21	绽：长出，～笋，～芽[白]
盞	ʧan35	盏：灯～（灯）
紮	ʧæt021	扎：～紧，驻～
鏟	ʧʰan35	铲：～草
察	ʧʰæt033	察：观～
山	ʃan51	山
產	ʧʰan35	产：生～
殺	ʃæt033	杀：～人，自～
艱	kan51	艰：～苦
間	kan51	间：房～，中～
簡	kan35	简：～单
揀	kan35	拣：挑选
間	kan33	间：～断，离～[文]
間	kan33	间：隔开[白]
眼	ŋan13	眼：双～皮
閑	han231	闲：～事，空～
限	hɐn21	限：期～，～制
莧	ʧok053	苋：～菜
軋	ʧæt033	轧：～钢厂
班	ɓan51	班：上～
斑	ɓan51	斑：～马
頒	pan51	颁：～布，～奖
扳	ɓan35	扳：～手，～开
板	ɓan35	板：黑～，石～
版	pan35	版：出～
攀	pʰan51	攀：～登，高～
蠻	man231	蛮：不听话；野～
慢	man21	慢：～车
棧	ʧʰam21	栈：客～；碗橱，碗～
鍘	ʧʰæp021	铡：～刀
刪	ʃan51	删：～除
疝	ʧʰan33	疝：～气（小肠气）
奸	kan51	奸：～诈，～臣
鐧	kan35	锏：杀手～
顏	ŋan21	颜：姓；～色
雁	ŋan21	雁：大～
瞎	man231	瞎：～目
轄	hɐt021	辖：管～，直～市
晏	an33	晏：晚、迟；～子使楚
鞭	ɓin51	鞭：皮～，～策
編	pʰin51	编：主～，～辑[文]
編	pʰin51	编：毛～，～毛编[白]
變	ɓin33	变：～化，改～
別	pit021	别：区～
鼈	ɓit033	鳖：甲鱼
篇	pʰian51	篇：一～文章
偏	pʰin51	偏：～～，～僻
騙	pʰin33	骗：欺～
便	pin21	便：～宜
辨	pin21	辨：分～，～别
辯	pin21	辩：～论
汴	pin21	汴：～京（北宋都城）
便	pin21	便：方～
別	pit021	别：离～，分～
綿	min231	绵：海～，～羊
棉	min231	棉：～花
免	min231	免：难～，～除
勉	min231	勉：～强，～励
娩	man13	娩：分～
緬	min21	缅：～怀；～甸（地名）
面	min21	面：～子
滅	mit021	灭：消～，～亡
碾	ʃin35	碾：～米
連	lin231	连：～长；大～（地名）
聯	lin231	联：～系；对～
列	lit021	列：排～；～宁（人名）
列	lit021	列：两～（两排）[白，量]
烈	lit021	烈：～士，热～
裂	lit021	裂：～开，分～
煎	tin51	煎：～药，～鱼
剪	tin35	剪：～刀
箭	tin33	箭：射～
濺	tʰin35	溅：～一身水
遷	ʧʰin51	迁：升～，～怒
淺	tʰin35	浅：深～
錢	tʰin231	钱：～财
踐	tʰin33	践：实～
賤	tʰin21	贱：下～，～人
仙	ɬin51	仙：神～
鮮	ɬin51	鲜：新～
鮮	ɬin51	鲜：朝～（国名）
癬	ɬin35	癣：发～（生癣）
線	ɬin33	线：～索
薛	ɬit033	薛：姓，～宝钗
泄	ɬit033	泄：～漏，排～
羨	ʧʰim33	羡：～慕
展	ʃin35	展：开～，发～
哲	ʧit033	哲：～学
徹	ʧʰit033	彻：～底
撤	ʧʰit033	撤：～退
纏	ʧʰin231	缠：纠～，～线
轍	ʧʰit033	辙：南辕北～；苏～（人名）
氈	ʧim51	毡：羊毛～
戰	ʧin33	战：～斗
折	ʧit033	折：～断，打～
浙	ʧit033	浙：～江（地名）
舌	ʃip021	舌：舌头
搧	ʃin33	扇：扇扇子，扇耳光[动]
扇	ʃin33	扇：扇子[名]
設	ʃit033	设：～计，建～
蟬	ʃim21	蝉
禪	ʃim231	禅：～宗，～师
善	ʃin21	善：～良，心～
膳	ʃin21	膳：～食，用～
單	ʃim231	单：姓
禪	ʃim231	禅：～让，封～
折	ʃit021	折：～本（赔本）
然	jin231	然：～后，居～
燃	jin35	燃：～烧
熱	ȵit021	热：冷～，～情
遣	hin35	遣：派～
乾	kʰin231	乾：～坤，～隆
虔	kʰin21	虔：～诚
件	kʰin21	件：事～
傑	kʰit021	杰：～出
諺	ŋan21	谚：农～，～语
孽	nip033	孽：造～
延	jin13	延：～长，～安
演	jin13	演：～员，表～
建	kin33	建：～设
揭	kʰit033	揭：～发，～露
揭	kʰit033	揭：～阳（地名）
鍵	kʰin21	键：关～，～盘
腱	kʰin21	腱：肌～
言	ŋin231	言：语～
軒	hin51	轩：人名用字
掀	hin51	掀：～起[文]
掀	hin51	掀：～被[白]
憲	hin33	宪：～法
獻	hin33	献：贡～
歇	hit033	歇：～夜（过夜）
蠍	kʰit033	蝎：蝎子，蛇～心肠
堰	jin21	堰：坝，都江～
邊	ɓin51	边：～疆，旁～
蝙	pʰin51	蝙：～蝠
扁	pian35	扁：圆扁
匾	ɓian35	匾：牌～
遍	pʰin33	遍：三～，～地，普～
片	pʰian33	片：一～，～面
撇	pʰit033	撇：～捺，～开
蹩	pɐi51	蹩：跛，～脚
眠	min231	眠：～床（床），安～
麵	min21	面：～粉
蔑	miu35	蔑：～视
顚	ɗin51	颠：～倒，～簸
典	tin35	典：～型，词～
天	tʰin51	天：～才
腆	ɗin35	腆：腼～
鐵	tʰit033	铁：～皮
田	tin231	田：种～
塡	tʰin231	填：～空
電	tin21	电：触～，～灯
殿	tin21	殿：宫～
奠	tin21	奠：～基
墊	tʰip033	垫：～钱，座～
年	ŋin231	年：过～
撚	nɐn35	捻：以指捻碎
捏	tiɛp053	捏：以指尖捏取小面积
憐	lɐn231	怜：可～[文]
憐	lɐn231	怜：可～[白]
蓮	lin231	莲：～花，睡～
練	lin21	练：～习，熟～
鍊	lin21	炼：～丹，锻～
链	lin21	链：项～，～条
楝	lin21	楝：苦～树
箋	ʧin51	笺：便～，信～
薦	tin33	荐：推～
節	tit033	节：～约，竹～
千	ʧʰin51	千：～万
切	ʧʰit033	切：～菜
前	tʰin231	前：从～，～后
截	tʰit021	截：～断
先	ɬin51	先：祖～，～进，～生
屑	ɬiu51	屑：锯～[白，名]
屑	tʰiu33	屑：不～一顾[文，动]
楔	ɬiɛp033	楔：～入去（塞进去）[训]
肩	kin51	肩：～头
堅	kin51	坚：～强
繭	kan35	茧：蚕～
見	kin33	见：～人，～识
結	kit033	结：～婚，～疕[文，动]
結	kit033	结：打～[白]
潔	kit033	洁：～白，清～
牽	hin51	牵：～牛花
硏	ŋin21	研：～究
硯	jin21	砚：～台
顯	hin35	显：明～
賢	jin231	贤：～惠，圣～
弦	jin231	弦：琴～
現	jin21	现：～在，出～
煙	jin51	烟：冒～
燕	jin33	燕：姓；～京，～山（地名）
燕	jin33	燕：燕子，～窝
嚥	jin51	咽：～喉
宴	jin33	宴：～会
般	pʰɐt033	般：～配，一～
搬	ɓun51	搬：～运
半	ɓun33	半：一～，～日
絆	pun21	绊：～脚石，～马索
鉢	ɓun35	钵：花～（花盆），衣～
撥	puk033	拨：～款
潘	pʰun51	潘：姓
拚	pʰien33	拼：～命
判	pʰun33	判：～断，审～
潑	pʰok033	泼：～水；泼辣
盤	pun231	盘：算～
伴	pun21	伴：～随，伙～[文]
伴	pun21	伴：做～，冇～[白]
拌	pun21	拌：凉～，搅～
叛	pun21	叛：～徒，背～
瞞	mun51	瞒：隐～
饅	man21	馒：～头
鰻	man21	鳗：～鱼
滿	mun13	满：～意
漫	man21	漫：～画，～长
末	mok021	末：～尾
沫	mok021	沫：泡～
抹	mok033	抹：～桌，～布
端	ɗin51	端：～正
短	ɗin35	短：长～
斷	tin13	断：判～，～案
鍛	tin21	锻：～炼
掇	tʰɔk033	掇：端东西，～菜
脫	tʰit033	脱：～鞋，摆～
團	tin231	团：～结，～长
糰	tin231	团：饭～，面～
斷	tin13	断：～绝[文]
斷	tin13	断：线断了[白]
段	tin21	段：姓；阶～
緞	tin21	缎：绸～
奪	tit021	夺：～取
暖	nin13	暖：冷～
鸞	lin35	鸾：～凤
卵	lin35	卵：鸡～（鸡蛋），～生
亂	lin21	乱：混～
捋	niɛp033	捋：捋袖子
捋	lɛ35	捋：～骨头（啃骨头）
鑽	tin21	钻：～孔，～山洞[动]
攢	tɐn35	攒：积～
鑽	tin33	钻：电～[名]，～石
撮	tiɛp053	撮：一～毛
撮	tiɛp053	撮：～人（骗人），～把戏（变魔术）
酸	ɬin51	酸：～甜
算	ɬin33	算：计～
蒜	ɬin33	蒜：大蒜，蒜头
官	kun51	官：～司，当～
棺	kun51	棺：～材
觀	kun51	观：参～，～音
冠	kun51	冠：衣～，鸡～花
管	kun35	管：～理，气～
館	kun35	馆：图书～
貫	kun33	贯：一～，～彻
灌	kun33	灌：～溉
罐	kun33	罐：～头
觀	kun51	观：道～
冠	kun33	冠：～军
括	kuk33	括：包～
寬	fun51	宽：～松
款	fun35	款：汇～，拨～
闊	fuk033	阔：开～
玩	vun21	玩：～具，游～
歡	fun51	欢：喜～，～喜
喚	vun21	唤：呼～
煥	vun21	焕：～然一新
桓	hɐn21	桓：齐～公
完	vin231	完：～全[文]
完	vin231	完：用～，食～[白]
丸	vin231	丸：肉～，药～
緩	vun231	缓：～慢，迟～
皖	van35	皖：安徽简称，～南事变
換	van21	换：交～[文]
換	van21	换：～水[白]
換	van21	换：金不换[白]
活	vuk021	活：生～
豌	vun35	豌：～豆
碗	vun35	碗：饭～
腕	vun35	腕：手～
頑	van21	顽：～固，～皮
幻	van21	幻：科～，～想
滑	væt021	滑：地～，～稽
猾	væt021	猾：狡～
挖	væt033	挖：～掘[文]
挖	væt033	挖：穵[白]
篡	ʃan33	篡：～位，～改
閂	kʷan51	闩：～门，门～
拴	ʧʰin231	拴：拴住（捆绑）
刷	ʃæt021	刷：～牙，牙～
關	kʷan51	关：～门，海～
慣	kʷan33	惯：习～
刮	kʷæk033	刮：～毛，搜～
還	van231	还：～原[文]
還	van231	还：～钱[白]
還	van231	还：～有[白]
環	van21	环：～境
患	van21	患：～病，忧～
宦	van21	宦：～官
彎	van51	弯：转～
灣	van51	湾：台～，海～
戀	lin35	恋：～爱
劣	liɛt033	劣：～质，恶～
全	ʧʰin231	全：～部，安～
泉	ʧʰin231	泉：～水，喷～
絕	tʰit021	绝：～对
宣	ɬin51	宣：～布，～传
選	ɬin35	选：～择，挑～
雪	ɬit033	雪：落～（下雪），～白
旋	ɬin21	旋：～转
轉	ʧin35	转：～学，～移，翻～
轉	ʧin35	转：～圈
傳	ʧʰin231	传：～达，流～
傳	ʧʰin21	传：～记，自～
專	ʧin51	专：～门，大～
磚	ʧin51	砖：～头
拙	kʷɐt021	拙：勤能补～
川	ʧʰun51	川：四～
穿	ʧʰin51	穿：～堂风，揭～
喘	ʧʰin35	喘：哮～
串	ʧʰin33	串：一～，～通
船	ʃin231	船：轮～
說	ʃit033	说：小～
軟	ȵin13	软：～弱
捲	hin35	卷：～起来[动]
眷	kin33	眷：～属
卷	kin35	卷：试～[名]
絹	kin51	绢
圈	kʰin51	圈：圆～，～套
拳	kʰin231	拳：～头
權	kʰin231	权：～利
倦	kʰin21	倦：疲～
圓	vin231	圆：团～
員	vin231	员：人～，～工
院	vin21	院：医～，～长
緣	jin231	缘：～分
沿	vin231	沿：边～，～江路
鉛	vin231	铅：～笔，～球
捐	kin51	捐：～钱
悅	jit021	悦：愉～
閱	jit021	阅：～读
藩	fan51	藩：曾国～
反	fan35	反：～对，造～
販	fan33	贩：～毒，小～，～卖
髮	fæt033	发：头～
發	fæt033	发：～展，～财[文]
發	fæt033	发：～虫（长虫）[白]
翻	fan51	翻：～书[文]
翻	fan51	翻：翻转；呕吐[白]
番	fan51	番：三～两次，～薯
番	fan51	番：一～被（一床被子）
番	pʰun51	番：～禺（地名）
煩	fan231	烦：麻～
礬	fan231	矾：明～
繁	fan231	繁：～华
飯	fan21	饭：～店[文]
飯	fan21	饭：食～（吃饭）[白]
伐	fæt021	伐：讨～，～木工人
筏	fæk021	筏：竹～（竹排）
罰	fæk021	罚：～款，惩～
晚	man13	晚：～会
挽	man35	挽：～留，手～手
萬	man21	万：～一
蔓	man21	蔓：～延，瓜～
襪	mæk021	袜：鞋～
勸	hin33	劝：规～
券	kin33	券：国库～，证～
掘	kʷʰɐt021	掘：挖～
元	ŋin231	元：～旦[文]
元	vin231	元：一～钱[白]
原	ŋin231	原：～来，平～
源	ŋin231	源：～头，来～
阮	vin231	阮：姓，～玲玉
願	ŋin21	愿：～望
月	ŋit021	月：三～
喧	ɬin51	喧：～哗，～闹
冤	vin51	冤：～枉
怨	vin33	怨：～人，埋～
袁	vin231	袁：姓，～世凯
轅	vin231	辕：轩～
園	vin231	园：菜～，花～
援	vun21	援：～助，支～
遠	vin13	远：永～
越	jit021	越：～来～好
曰	viɛt021	曰：子～
粵	vit021	粤：～东
決	kʰit033	决：～定
訣	kʰit033	诀：口～
犬	fin35	犬：狂～病
缺	kʰit033	缺：～点
血	fit033	血：流～
玄	jin231	玄：～妙
懸	vin231	悬：～挂，～崖
縣	vin21	县：～长
眩	jin231	眩：晕眩，～昏
穴	vit021	穴：～位
淵	jin51	渊：深～，～源
吞	tʰɐn51	吞：～口水
跟	kɐn51	跟：～从
根	kɐn51	根：～本，树～
懇	kʷʰɐn35	恳：～求，诚～
墾	kʷʰɐn35	垦：开～
齦	ŋɐn231	龈：牙～肉（牙龈）
痕	hɐn21	痕：～迹
很	hɐn35	很：～大
恨	hɐn21	恨：仇～
恩	ɐn51	恩：～人
彬	ɓɐn51	彬：文质～～；人名用字
賓	ɓɐn51	宾：贵～
檳	ɓɐn51	槟：～榔
濱	ɓɐn51	滨：哈尔～（地名）
殯	ɓɐn51	殡：～仪馆，出～
鬢	ɓɐn51	鬓：～角
筆	pɐt053	笔：毛～，～记
畢	ɓɐt053	毕：～业
必	ɓit033	必：～须
匹	pɐt053	匹：～配
貧	pɐn231	贫：扶～
頻	pɐn231	频：～繁
弼	pæt033	弼：～马温；任～时
閩	mɐn13	闽：福建简称，～南
民	mɐn231	民：人～，～族
憫	mɐn13	悯：怜～
敏	mɐn13	敏：灵～
密	mɐt021	密：秘～，～封
抿	mɐn13	抿：小口喝
蜜	mɐt021	蜜：～蜂
鄰	lɐn231	邻：～居
鱗	lɐn231	鳞：鱼～
燐	lɐn231	磷：～肥
栗	lɐt021	栗：～子
津	tɐn51	津：天～（地名）
儘	tʰɐn21	尽：～管，～早
進	tɐn33	进：～步，前～
晉	ʧɐn33	晋：山西简称；魏～南北朝
親	tʰɐn51	亲：～生，父～
親	tʰɐn51	亲：～家
七	tʰɐt053	七：数字
漆	tʰɐt053	漆：油～
秦	tʰɐn21	秦：姓；～国
盡	tʰɐn21	尽：～量，～力，～头
疾	tɐt021	疾：残～
辛	ɬɐn51	辛：～苦
新	ɬɐn51	新：～旧
新	ɬɐn51	新：～妇（儿媳妇）
薪	ɬɐn51	薪：～水
信	ɬɐn33	信：相～
訊	ɬɐn33	讯：通～
悉	ɬiet053	悉：熟～
膝	ʧʰɐt053	膝：～头（膝盖）
珍	ʧɐn51	珍：～珠
鎭	ʧʰɐn33	镇：～长，～压
趁	ʧʰɐn33	趁：～机
陳	ʧʰɐn231	陈：姓；～列，～皮
塵	ʧʰɐn231	尘：灰～，～灰
陣	ʧʰɐn21	阵：～雨
姪	ʧʰɐt021	侄：～子
秩	tit021	秩：～序
臻	tɐn51	臻：聂荣～
襯	ʧʰɐn33	衬：～衫
蝨	ʃɐt053	虱：虱子，～嫲
眞	ʧɐn51	真：认～，～假
診	ʧɐn35	诊：急～
疹	ʧɐn35	疹：麻～
振	ʧɐn33	振：～动
震	ʧɐn33	震：地～
質	ʧɐt053	质：～量，品～
神	ʃɐn231	神：～仙，精～
實	ʃɐt021	实：老～，～在
身	ʃɐn51	身：～体，上～
申	ʃɐn51	申：～请；地支，申酉戌亥
伸	ʃɐn51	伸：～展，延～[文]
伸	ʃɐn51	伸：～手[白]
娠	ʃɐn231	娠：妊～反应
失	ʃɐt053	失：～去，丧～
室	ʃɐt053	室：教～，～内
辰	ʃɐn231	辰：时～
晨	ʃɐn231	晨：朝～
臣	ʃɐn231	臣：大～
腎	ʃɐn13	肾：～病
腎	ʃɐn13	肾：鸡～（鸡肫）[白]
愼	ʃɐn21	慎：谨～，～重
人	ȵɐn21	人：老～，～民
仁	ȵɐn21	仁：～义
忍	ȵɐn13	忍：～耐，～受
刃	ȵɐn13	刃：刀～
認	ȵɐn21	认：承～，～真
靭	ȵɐn21	韧：不易断，坚～[文]
靭	ȵɐn21	韧：不易断[白]
日	ȵɐt021	日：十～，～期
巾	kɐn51	巾：围～
緊	kɐn35	紧：～张
吉	kɐt053	吉：～利
