#漢字	音標	解釋
吳	ŋ̍11	吴：姓
蜈	ŋ̍11	蜈：～蚣
梧	ŋ̍11	梧：～桐
五	ŋ̍31	五：数字
伍	ŋ̍31	伍：姓；队～
午	ŋ̍31	午：中～，端～
誤	ŋu51	误：～会，错～
悟	ŋu51	悟：觉～；孙～空
呼	fu24	呼：称～，～吸，招～
虎	fu31	虎：老～
虎	fu31	虎：马～
滸	fu11	浒：水～
戽	fu51	戽：～水（泼水），～斗
胡	fu11	胡：二～ ；姓
湖	fu11	湖：西～
狐	fu11	狐：～狸
壺	fu11	壶：水～
乎	fu24	乎：在～
瓠	fu11	瓠：瓠卢，同葫芦
鬍	fu11	胡：～须
蝴	fu11	蝴：～蝶
糊	fu11	糊：浆～，～涂
戶	fu51	户：～口
滬	fu51	沪：上海简称
互	fu51	互：～相
護	fu51	护：保～，～士
瓠	pʰu24	瓠：瓠瓜（味似葫芦而长）
烏	vu24	乌：黑
污	vu24	污：～染
塢	vu24	坞：船～
惡	ɔk031	恶：可～
女	ȵi31	女：女人
廬	lu11	庐：～山
驢	lu11	驴：毛驴
呂	li24	吕：姓
旅	li31	旅：～游
慮	li51	虑：考～
濾	li51	滤：过～
絮	si51	絮：棉～
徐	tsʰi11	徐：姓
序	si51	序：顺～
敍	si51	叙：倒～
緖	si51	緖：情～；光～
豬	tʂu24	猪：～肉
著	tʂu51	著：～名，显～
除	tʂʰu11	除：～法
儲	ʂu11	储：～蓄
苧	tʂʰu24	苎：～麻
箸	tʂʰu51	箸：筷子
阻	tsɿ31	阻：～止，～力
初	tsʰɔ24	初：当～，～中
楚	tsʰɔ31	楚：清～
礎	tsʰɔ31	础：基～
鋤	tsʰɔ11	锄：～草，～禾日当午
助	tsʰɿ51	助：帮～
梳	sɔ24	梳：梳子[名]；梳头[动]
疏	sɔ24	疏：～远；稀疏
疏	sɔ24	疏：生～
蔬	sɔ24	蔬：～菜
所	sɔ31	所：～以；派出～
疏	sɔ24	疏：注～
諸	tʂu24	诸：姓；～如此类
煮	tʂu31	煮：～饭
處	tʂʰu31	处：～理
處	tʂʰu51	处：～所
書	ʂu24	书：读～
舒	ʂu24	舒：～服
暑	ʂu31	暑：～假
鼠	tʂʰu31	鼠：老～
庶	ʂu51	庶：～民
恕	ʂu51	恕：宽～
署	ʂu31	署：～名
薯	ʂu11	薯：番～
如	ʒʅ11	如：～果，假～
居	ki24	居：～民
車	ki24	车：象棋，～马炮
舉	ki31	举：～报，～重
據	ki31	据：收～
鋸	ki51	锯：电～
墟	ʂʅ24	墟：～日
去	kʰi51	去：来～，过～
渠	kʰiu24	渠：水～，～道
佢	ki11	佢：他，第三人称
巨	kʰi24	巨：～大
拒	kʰi24	拒：～绝
距	kʰi24	距：～离
魚	ŋ̍11	鱼：金～
漁	ŋ̍11	渔：～业，～夫
語	ni24	语：～文
禦	ni51	御：防～
虛	ʂʅ24	虚：～心
噓	ʂʅ24	嘘：吹～
許	ʂʅ31	许：允～；姓
於	ʒʅ24	于：在～
淤	ʒʅ24	淤：～泥
余	ʒʅ11	余：姓
餘	ʒʅ11	余：多～
與	ʒʅ24	与：参～，给～，～众不同
予	ʒʅ24	予：给～
譽	ʒʅ51	誉：荣～
預	ʒʅ51	预：～报，～备
豫	ʒʅ51	豫：犹～
夫	fu24	夫：～妻，车～
膚	fu24	肤：皮～
跗	fu51	跗：脚背，～骨
府	fu31	府：政～
腑	fu31	腑：五脏六～
俯	fu31	俯：～卧撑，～视
甫	pʰu31	甫：杜～
脯	pʰu31	脯：菜～（萝卜干）
斧	pu31	斧：～头
付	fu51	付：应～
咐	fu51	咐：吩～
賦	fu51	赋：天～
傅	fu31	傅：师～[文]
傅	fu51	傅：姓[白]
敷	fu24	敷：～衍，～药
俘	fu24	俘：～虏
孵	pʰu51	孵：孵小鸡
麩	fu24	麸：麦～
撫	vu31	抚：～养，安～
赴	fu51	赴：奔～，～汤蹈火
訃	pʰuk031	讣：～告
符	pʰu11	符：～合，鬼画～
扶	fu11	扶：～贫，～手[文]
扶	fu11	扶：搀扶，～起来[白]
芙	fu24	芙：～蓉
父	fu51	父：～亲
釜	fu31	釜：破～沉舟
腐	fu31	腐：～败
腐	fu51	腐：豆～
輔	pʰu31	辅：～导，～助
附	fu51	附：～近，～带
無	vu11	无：没有，～中生有[文]
無	mɔ11	无：没有，～事[白]
巫	mu11	巫：姓；～婆
誣	mu11	诬：～陷，～告
武	vu24	武：～器，～术
