#漢字	音標	解釋
衙	ŋa21	衙：～门
雅	ŋa13	雅：文～；～典（国名）
砑	ŋa21	砑：碾，～平，～碎
蝦	ha55	虾：鱼～，～公
嚇	hak3	吓：～人
霞	ha21	霞：晚～
瑕	ha21	瑕：～疵
蝦	ha55	虾：～蟆（蟾蜍）
下	ha31	下：～背，底～
下	ha31	下：取下，～下来
夏	ha31	夏：姓
廈	ha31	厦：～门，大～
下	ha31	下：～降，～流
夏	ha31	夏：春～秋冬
暇	ha31	暇：闲～
鴉	a55	鸦：老～，乌～，～片
丫	a55	丫：～鬟，～头
椏	a55	桠：～杈
啞	a35	哑：哑巴，～佬
亞	a33	亚：～洲，～军
姐	tʃɛ35	姐：小～[文]
姐	tʃɛ35	姐：姐姐[白]
借	tʃɛ33	借：～钱
且	tʃʰɛ35	且：而～，况～
笡	tʃʰɛ21	笡：斜，～～（歪斜的样子）
藉	tʃek2	藉：～故，～口
些	ʃɛ55	些：一～
寫	ʃɛ35	写：～字
瀉	ʃɛ33	泻：腹～，一～千里
卸	ʃɛ33	卸：～货，推～
邪	tʃʰɛ21	邪：～气，～门歪道
斜	tʃʰɛ21	斜：倾～[文]
斜	tʃʰɛ21	斜：不正[白]
謝	tʃɛ31	谢：多～；姓
爹	tɛ55	爹：～娘
遮	tʃɛ55	遮：遮挡[动]；伞[名]
者	tʃɛ35	者：记～，作～
蔗	tʃɛ33	蔗：甘蔗
車	tʃʰɛ55	车：火～
扯	tʃʰɛ35	扯：～开，～烂
蛇	ʃɛ21	蛇：毒～
射	ʃɛ31	射：发～，～箭
麝	ʃɛ31	麝：～香
奢	tʃʰi53	奢：～侈
賒	ʃɛ55	赊：～帐
捨	ʃɛ33	舍：～唔得（舍不得）
赦	ʃɛ33	赦：～免
舍	ʃɛ33	舍：宿～
社	ʃɛ13	社：～会，公～
惹	jɛ35	惹：～事
耶	jɛ21	耶：～稣
爺	jɛ21	爷：父亲；爷爷[文]
也	jɛ13	也：～知
野	jɛ13	野：～人
夜	jɛ31	夜：日～，～班
傻	ʃɔ21	傻：～瓜，～子
瓜	kua55	瓜：西～，～分
蝸	wɔ55	蜗：～牛
寡	kua35	寡：～妇，守～
剮	kua35	剐：千刀万～
誇	kʰua53	夸：～大，～张
垮	kʰua53	垮：～台
跨	kʰua53	跨：～栏，～度
娃	wa55	娃：洋～～
瓦	ŋa13	瓦：～片
花	fa55	花：开～
化	fa33	化：变～
華	wa21	华：中～
劃	wak2	划：～船
華	wa21	华：～山；姓
蛙	wa55	蛙：青～，～泳
補	pou35	补：～鞋，～充
譜	pʰou35	谱：族～，歌～
布	pou33	布：红～，～料
佈	pou33	布：公～，～置
鋪	pʰou55	铺：～路，床～
普	pʰou35	普：～通，～遍
浦	pou33	浦：黄～江
鋪	pʰou33	铺：店～，当～
怖	pou33	怖：恐～
蒲	pʰou35	蒲：（石）菖～
菩	pʰou21	菩：～萨
脯	pou35	脯：胸～
部	pou31	部：～队，干～
簿	pou35	簿：练习～，帐～
步	pou31	步：跑～
捕	pou31	捕：逮～，～快
埠	fɐu31	埠：开～
埠	fɐu31	埠：庵～，蚌～（地名）
模	mou21	模：～型，～范
摹	mou21	摹：～仿，描～
暮	mou31	暮：日暮
慕	mou31	慕：羡～，～名而来
墓	mou31	墓：坟～，～地
募	mou31	募：～捐
都	tou55	都：首～，～市
都	tou55	都：都是
堵	tou35	堵：～车，～塞
賭	tou35	赌：～博
肚	tou35	肚：猪～，鱼～
妬	tou31	妒：～忌
土	tʰou35	土：～地
吐	tʰou33	吐：～痰；呕～
兔	tʰou33	兔：野～
徒	tʰou21	徒：～弟
屠	tʰou21	屠：～杀
途	tʰou21	途：前～
塗	tʰou21	涂：糊～，～改
圖	tʰou21	图：画～，地～
杜	tou31	杜：姓；杜仲（中药）
肚	tou35	肚：肚子
度	tou31	度：～数，长～
渡	tou31	渡：偷～，摆～
鍍	tou31	镀：电～
奴	lou21	奴：～隶
努	lou13	努：～力
怒	lou31	怒：愤～，～气
盧	lou21	卢：姓
爐	lou21	炉：火～
蘆	lou21	芦：～苇
魯	lou13	鲁：～国，～迅
虜	lou13	虏：俘～
滷	lou13	卤：盐～，～水
路	lou31	路：大～
賂	lou31	赂：贿～
露	lou31	露：～水，白～，打～
鷺	lou31	鹭：白～
租	tʃou55	租：～金，出～
祖	tʃou35	祖：～宗，～国
組	tʃou35	组：～织，小～
做	tʃou33	做：～好事
粗	tʃʰou55	粗：～心
醋	tʃʰou33	醋：陈～
措	tʃʰou33	措：～施
錯	tʃʰɔ33	错：～误
蘇	ʃou55	苏：～州；姓
酥	ʃou55	酥：脆，杏仁～
素	ʃou33	素：～菜，朴～
訴	ʃou33	诉：上～，倾～
塑	ʃɔk3	塑：雕～，～料
姑	ku55	姑：大～
孤	ku55	孤：～儿，～单
箍	kʰu53	箍：紧～咒[文]
箍	kʰu55	箍：围束，～桶[白]
古	ku35	古：～代
估	ku35	估：～计
牯	ku35	牯：牛～
股	ku35	股：～票
鼓	ku35	鼓：锣～，～励
故	ku33	故：～事，～乡
蠱	ku35	蛊：养～，～惑
固	ku33	固：～定
錮	ku33	锢：禁～
雇	ku33	雇：～人，～主
顧	ku33	顾：照～
枯	ku55	枯：干～，～水
苦	fu35	苦：辛～，食～（吃苦）
苦	fu35	苦：～味
庫	fu33	库：水～，仓～
褲	fu33	裤：裤子
吳	ŋ̍13	吴：姓
蜈	ŋ̍31	蜈：～蚣
梧	ŋ̍31	梧：～桐
五	ŋ̍13	五：数字
伍	ŋ̍13	伍：姓；队～
午	ŋ̍13	午：中～，端～
誤	ŋ̍31	误：～会，错～
悟	ŋ̍31	悟：觉～；孙～空
呼	fu55	呼：称～，～吸，招～
虎	fu35	虎：老～
虎	fu35	虎：马～
滸	wu35	浒：水～
胡	wu21	胡：二～ ；姓
湖	wu21	湖：西～
狐	wu21	狐：～狸
壺	wu21	壶：水～
乎	fu33	乎：在～
鬍	wu21	胡：～须
蝴	wu21	蝴：～蝶
糊	wu21	糊：浆～，～涂
戶	wu31	户：～口
滬	wu31	沪：上海简称
互	wu31	互：～相
護	wu31	护：保～，～士
烏	wu55	乌：黑
污	wu55	污：～染
塢	wu55	坞：船～
惡	ɔk3	恶：可～
女	nœy13	女：女人
廬	lou21	庐：～山
驢	lœy21	驴：毛驴
呂	lœy13	吕：姓
旅	lœy13	旅：～游
慮	lœy31	虑：考～
濾	lœy31	滤：过～
蛆	tʃy31	蛆：蛆虫，生～
徐	tʃʰœy21	徐：姓
序	tʃœy31	序：顺～
敍	tʃœy31	叙：倒～
緖	ʃœy33	緖：情～；光～
豬	tʃy55	猪：～肉
著	tʃy33	著：～名，显～
除	tʃʰœy21	除：～法
儲	tʃʰy13	储：～蓄
阻	tʃɔ35	阻：～止，～力
初	tʃʰɔ55	初：当～，～中
楚	tʃʰɔ35	楚：清～
礎	tʃʰɔ35	础：基～
鋤	tʃʰɔ21	锄：～草，～禾日当午
助	tʃɔ31	助：帮～
梳	ʃɔ55	梳：梳子[名]；梳头[动]
疏	ʃɔ55	疏：～远；稀疏
疏	ʃɔ55	疏：生～
蔬	ʃɔ55	蔬：～菜
所	ʃɔ35	所：～以；派出～
疏	ʃɔ55	疏：注～
諸	tʃy55	诸：姓；～如此类
煮	tʃy35	煮：～饭
處	tʃʰy35	处：～理
處	tʃʰy33	处：～所
書	ʃy55	书：读～
舒	ʃy55	舒：～服
暑	ʃy35	暑：～假
鼠	ʃy35	鼠：老～
恕	ʃy33	恕：宽～
署	tʃʰy33	署：～名
薯	ʃy21	薯：番～
如	jy21	如：～果，假～
居	kœy55	居：～民
車	tʃʰɛ55	车：象棋，～马炮
舉	kœy35	举：～报，～重
據	kœy33	据：收～
鋸	kœy35	锯：电～
墟	hœy55	墟：～日
去	hœy33	去：来～，过～
渠	kʰœy21	渠：水～，～道
佢	kʰœy13	佢：他，第三人称
巨	kœy31	巨：～大
拒	kʰœy13	拒：～绝
距	kʰœy13	距：～离
魚	jy21	鱼：金～
漁	jy21	渔：～业，～夫
語	jy13	语：～文
御	jy31	御：～用文人
禦	jy31	御：防～
虛	hœy55	虚：～心
噓	hœy55	嘘：吹～
許	hœy35	许：允～；姓
於	jy55	于：在～
淤	jy35	淤：～泥
余	jy21	余：姓
餘	jy31	余：多～
與	jy55	与：参～，给～，～众不同
予	jy55	予：给～
譽	jy31	誉：荣～
預	jy31	预：～报，～备
豫	jy21	豫：犹～
夫	fu53	夫：～妻，车～
膚	fu55	肤：皮～
府	fu35	府：政～
腑	fu35	腑：五脏六～
俯	fu55	俯：～卧撑，～视
甫	pʰou35	甫：杜～
脯	pʰou35	脯：菜～（萝卜干）
斧	fu35	斧：～头
付	fu31	付：应～
咐	fu33	咐：吩～
賦	fu31	赋：天～
傅	fu31	傅：师～[文]
傅	fu31	傅：姓[白]
敷	fu55	敷：～衍，～药
俘	fu55	俘：～虏
孵	fu55	孵：孵小鸡
麩	fu55	麸：麦～
撫	fu35	抚：～养，安～
赴	fu31	赴：奔～，～汤蹈火
訃	fu31	讣：～告
符	fu21	符：～合，鬼画～
扶	fu21	扶：～贫，～手[文]
扶	fu21	扶：搀扶，～起来[白]
芙	fu21	芙：～蓉
父	fu31	父：～亲
釜	fu35	釜：破～沉舟
腐	fu31	腐：～败
腐	fu31	腐：豆～
輔	fu31	辅：～导，～助
附	fu31	附：～近，～带
無	mou13	无：没有，～中生有[文]
無	mou13	无：没有，～事[白]
巫	mou21	巫：姓；～婆
誣	mou21	诬：～陷，～告
武	mou13	武：～器，～术
舞	mou13	舞：跳～
舞	mou13	舞：拨弄，摆弄[白，动]
侮	mou13	侮：～辱
鵡	mou13	鹉：鹦～
務	mou31	务：任～，～农
霧	mou31	雾：大～
縷	lɐu13	缕：千丝万～
屢	lœy13	屡：～次，～教不改
趨	tʃʰœy55	趋：～势
取	tʃʰœy35	取：～钱
娶	tʃʰœy35	娶：嫁～
趣	tʃʰœy33	趣：兴～
聚	tʃœy31	聚：～会
聚	tʃœy31	聚：捡～（收拢）[白]
須	ʃœy55	须：必～
鬚	ʃou55	须：胡～
需	ʃœy55	需：～要
續	tʃok2	续：连～，继～
誅	tʃy55	诛：天～地灭
蛛	tʃy55	蛛：蜘～
株	tʃy55	株：守～待兔
駐	tʃy33	驻：～扎
註	tʃy33	注：～释
廚	tʃʰœy21	厨：～房
櫥	tʃʰœy21	橱：碗～
柱	tʃʰy13	柱：柱子
住	tʃy31	住：～宿
雛	tʃʰɔ55	雏：～形
數	ʃou33	数：～落，～星星[动]
數	ʃou33	数：～字，～学
朱	tʃy55	朱：姓
珠	tʃy55	珠：珍～
主	tʃy35	主：～人，地～
注	tʃy33	注：～意
蛀	tʃy33	蛀：～虫
鑄	tʃy33	铸：～铁，～钢
樞	ʃy53	枢：中～，～纽
輸	ʃy53	输：～赢
戍	ʃœt5	戍：～边
輸	ʃy53	输：运～
殊	ʃy21	殊：特～
豎	ʃy31	竖：横～
樹	ʃy31	树：～立，种～
儒	jy21	儒：～家思想
乳	jy13	乳：哺～，母～[文]
乳	jy13	乳：食～（吃奶），麦～精[训]
拘	kʰœy55	拘：～留
倶	kœy31	俱：～备，～乐部
矩	kœy35	矩：规～，～形
句	kœy33	句：～号
區	kʰœy55	区：地～，～别
驅	kʰœy55	驱：先～，～动
具	kœy31	具：～体
懼	kœy31	惧：恐～
愚	jy21	愚：～蠢，～公移山
虞	jy21	虞：姓，～姬
娛	jy21	娱：～乐
遇	jy31	遇：遭～，相～，～到
寓	jy31	寓：～言；公～
迂	tʃʰin55	迂：～回，～腐
于	jy55	于：姓；等～
吁	fu55	吁：气喘～～，长～短叹
雨	jy13	雨：落～，谷～，～水
宇	jy13	宇：～宙
禹	jy13	禹：大～治水
羽	jy13	羽：～毛球
芋	wu31	芋：芋头
逾	jy21	逾：超过，～期
愉	jy31	愉：～快
愈	jy31	愈：病～
喩	jy31	喻：比～
裕	jy31	裕：富～
獃	tɔi53	呆：书～子，发～[文]
獃	ŋɔi21	呆：发～[白]
戴	tai33	戴：姓；～帽
胎	tʰɔi55	胎：双胞～，～盘
台	tʰɔi21	台：天台
態	tʰai33	态：～度，心～
貸	tʰai33	贷：～款
臺	tʰɔi21	台：～湾
苔	tʃʰɔi21	苔：青～，舌～
抬	tʰɔi21	抬：两个人抬
待	tɔi31	待：等～，～人接物
怠	tʰɔi13	怠：～慢，～工
殆	tʰɔi13	殆：百战不～
代	tɔi31	代：～替，～表
逮	tɐi31	逮：～捕
袋	tɔi31	袋：袋子
乃	nai13	乃：安～近；人名用字
耐	nɔi31	耐：～力，～心，忍～
來	lɔi21	来：过～，～去
災	tʃɔi55	灾：水～
宰	tʃɔi35	宰：～相
載	tʃɔi35	载：一年半～
再	tʃɔi33	再：～来
載	tʃɔi33	载：～重
猜	tʃʰai55	猜：～谜
彩	tʃʰɔi35	彩：～色
採	tʃʰɔi35	采：～集
睬	tʃʰɔi35	睬：理睬
菜	tʃʰɔi33	菜：煮～，青～
才	tʃʰɔi21	才：人～，～气，秀～
材	tʃʰɔi21	材，药～，～料
財	tʃʰɔi21	财，发～
裁	tʃʰɔi21	裁，～纸，剪～
纔	tʃʰɔi21	才：刚～
在	tʃɔi31	在：实～，现～[文]
在	tʃɔi31	在：存在，还～[白]
載	tʃɔi33	载：满～而归
腮	ʃɔi55	腮：～腺炎，～红
鰓	ʃɔi55	鳃：鱼鳃
賽	tʃʰɔi33	赛：比～
該	kɔi55	该：应～
改	kɔi35	改：修～，～正
概	kʰɔi33	概：大～，～括
溉	kʰɔi33	溉：灌～
開	hɔi55	开：公～，～门
凱	ɔi35	凯：～旋
慨	kʰɔi33	慨：慷～，感～
咳	kʰɐt5	咳：～嗽，止～糖浆
呆	tɔi31	呆：～板
礙	ŋɔi31	碍：妨～
海	hɔi35	海：大～
孩	hai21	孩：～童
亥	hɔi31	亥：辛～革命
哀	ɔi55	哀：悲～
埃	ai55	埃：尘～，～及
愛	ɔi33	爱：～情；要
貝	pui33	贝：宝～
貝	pui33	贝：川～，～壳
沛	pʰui33	沛：充～
帶	tai33	带：鞋～
太	tʰai33	太：老～婆
泰	tʰai33	泰：～山
大	tai31	大：大小
奈	nɔi31	奈：无～，～何
賴	lai31	赖：依～，无～；姓
癩	lai31	癞：～蛤蟆[文]
癩	lai31	癞：～哥（癞疮）[白]
蔡	tʃʰɔi33	蔡：姓
蓋	kʰɔi33	盖：～被[动]；盖子[名]
丐	kʰɔi33	丐：～帮
艾	ŋai31	艾：姓；～滋病
艾	ŋai31	艾：艾草
害	hɔi31	害：～人
藹	ɔi35	蔼：和～，宋～龄
拜	pai33	拜：结～，礼～，～佛
排	pʰai21	排：～队
埋	mai21	埋：～伏
齋	tʃai55	斋：食～（吃斋）
豺	tʃʰai21	豺：～狼
皆	kai55	皆：～大欢喜
階	kai55	阶：台～，～级
介	kai33	介：～绍，中～
界	kai33	界：世～
芥	kai33	芥：～菜
尬	kai33	尬：尴～
疥	kai33	疥：～疮
屆	kai33	届：第一～
戒	kai33	戒：～烟，猪八～
楷	hai33	楷：～书，～模
諧	hai21	谐：和～
駭	hɔi31	骇：惊～，～人听闻
械	hai31	械：机～
挨	ai55	挨：～打，～近
擺	pai35	摆：摇～
派	pʰai33	派：正～，～出所
牌	pʰai21	牌：～坊，～匾[文]
牌	pʰai21	牌：打～[白，训]
㵺	pʰai21	排：竹排
罷	pa31	罢：～工
稗	pɐi35	稗：～草
買	mai13	买：～卖
賣	mai31	卖：买～
奶	nai13	奶：二～，～牛
債	tʃai31	债：欠～
釵	tʃʰa55	钗：宝～
差	tʃʰai55	差：出～
柴	tʃʰai21	柴：姓；火～
篩	ʃɐi55	筛：～选，～米
灑	ʃa35	洒：潇～，～水
佳	kai55	佳：～人，～节
街	kai55	街：～路
解	kai35	解：～释，讲～[文]
解	kai35	解：～开[白]
懈	hai31	懈：松～，坚持不～
涯	ŋai21	涯：天～
崖	ŋai21	崖：悬～
捱	ai55	捱：难～，～苦
鞋	hai21	鞋：布～
解	kai35	解：懂了，理～，了～
蟹	hai13	蟹：老～
矮	ai13	矮：高矮
敗	pai31	败：失～
邁	man53	迈：豪～，～步
寨	tʃai31	寨：山～，大～
蔽	pɐi33	蔽：隐～
弊	pɐi31	弊：作～
幣	pɐi31	币：人民～
斃	pɐi31	毙：枪～
例	lɐi31	例：举～，～外
厲	lɐi31	厉：严～，～害
勵	lɐi31	励：鼓～
祭	tʃɐi33	祭：～祀
際	tʃɐi33	际：国～
滯	tʃɐi33	滞：停～，湿～（中医）
制	tʃɐi33	制：～度
製	tʃɐi33	制：～造
世	ʃɐi33	世：～界
世	ʃɐi33	世：出～
勢	ʃɐi33	势：～力，有权有～
誓	ʃɐi33	誓：发～
逝	ʃɐi31	逝：～世
藝	ŋɐi31	艺：～术，文～晚会
蓖	pei55	蓖：～麻
閉	pɐi33	闭：关～
批	pʰɐi55	批：～评，大～
批	pʰɐi55	批：螺丝～
陛	pɐi31	陛：～下
迷	mɐi21	迷：入～，～路
米	mɐi13	米：大米
謎	mɐi21	谜：～语，猜～
低	tɐi55	低：高～
堤	tʰɐi21	堤：河～，～坝
底	tɐi55	底：水～
抵	tɐi35	抵：～押
抵	tɐi35	抵：用手抵挡
帝	tɐi33	帝：皇～
梯	tʰai55	梯：楼～
蒂	tɐi33	蒂：花～，并～莲
體	tʰɐi35	体：～育，身～
替	tʰɐi33	替：代～，～身
涕	tʰɐi33	涕：～泪纵横
剃	tʰɐi33	剃：～头
題	tʰɐi21	题：～目，难～
提	tʰɐi21	提：～问，～醒
蹄	tʰɐi21	蹄：马～
啼	tʰɐi21	啼：哭哭～～[文]
啼	tʰɐi21	啼：鸡～[白]
弟	tɐi31	弟：兄～[文]
弟	tɐi31	弟：弟弟，老～[白]
第	tɐi31	第：～一，门～
遞	tɐi31	递：传～，邮～员
泥	nɐi21	泥：水～，地～（地板）
犁	lɐi21	犁：耕田用具
黎	lɐi21	黎：～民，～明；姓
禮	lɐi13	礼：～貌
麗	lɐi31	丽：秀～
隸	tɐi31	隶：奴～，～属
擠	tʃɐi55	挤：拥～，～时间
濟	tʃɐi33	济：～公，经～
妻	tʃʰɐi55	妻：夫～
砌	tʃʰɐi33	砌：～墙
齊	tʃʰɐi21	齐：～国[文]
齊	tʃʰɐi21	齐：整～，放～，来～[白]
臍	tʃʰei21	脐：肚～，～带
劑	tʃɐi55	剂：一～药，药～
西	ʃɐi55	西：东西南北
棲	tʃʰɐi55	栖：两～动物
犀	ʃɐi55	犀：～牛
洗	ʃɐi35	洗：～菜，～衣机
細	ʃɐi33	细：粗细，大小
婿	ʃɐi33	婿：女～
雞	kɐi55	鸡：～公（公鸡）
稽	kʰɐi55	稽：～查，滑～
計	kɐi33	计：～算，会～
繼	kɐi33	继：～续，～承
繫	hɐi53	系：～皮带
髻	kɐi35	髻：发髻；鸡～（鸡冠）
溪	kʰɐi55	溪：～水
啟	kʰɐi35	启：～发
契	kʰɐi33	契：房～，～约
倪	ŋɐi21	倪：姓，～萍
奚	hai21	奚：～落
兮	hɐi31	兮：神经～～
系	hɐi31	系：中文～，～统
繫	hɐi31	系：联～
係	hɐi31	系：关～[文]
係	hɐi31	系：是[白]
杯	pui55	杯：茶～
輩	pui33	辈：～分，长～
背	pui33	背：违～，后～
胚	pui55	胚：～胎
坯	pui55	坯：泥～，毛～房
配	pʰui33	配：分～，搭～
培	pʰui21	培：～训
陪	pʰui21	陪：～同
賠	pʰui21	赔：～钱
裴	pʰui21	裴：姓
倍	pʰui13	倍：～数
佩	pʰui33	佩：～服
背	pui33	背：～书
焙	pui31	焙：～火
梅	mui21	梅：～花
枚	mui21	枚：两～
媒	mui21	媒：～人
煤	mui21	煤：烧～，～矿
