#漢字	音標	解釋
巫	mu24	巫：姓；～婆
誣	mu21	诬：～陷，～告
武	vu24	武：～器，～术
舞	vu41	舞：跳～
舞	vu41	舞：拨弄，摆弄[白，动]
侮	vu24	侮：～辱
鵡	vu24	鹉：鹦～
務	vu45	务：任～，～农
霧	vu45	雾：大～
縷	li41	缕：千丝万～
屢	lui24	屡：～次，～教不改
趨	ʦʰi24	趋：～势
取	ʦʰi41	取：～钱
娶	ʦʰi41	娶：嫁～
趣	ʦʰi45	趣：兴～
聚	ʦʰi45	聚：～会
聚	ʦʰiu24	聚：捡～（收拢）[白]
須	si24	须：必～
鬚	si24	须：胡～
需	si24	需：～要
續	siuk045	续：连～，继～
誅	ʦu24	诛：天～地灭
蛛	ʦu24	蛛：蜘～
株	ʦu24	株：守～待兔
駐	ʦu45	驻：～扎
註	ʦu45	注：～释
廚	ʦʰu21	厨：～房
櫥	ʦʰu21	橱：碗～
柱	ʦʰu24	柱：柱子
住	ʦʰu45	住：～宿
雛	ʦʰu21	雏：～形
數	su41	数：～落，～星星[动]
數	su45	数：～字，～学
朱	ʦu24	朱：姓
珠	ʦu24	珠：珍～
主	ʦu41	主：～人，地～
注	ʦu45	注：～意
蛀	ʦu45	蛀：～虫
鑄	ʦu45	铸：～铁，～钢
樞	su24	枢：中～，～纽
輸	su24	输：～赢
戍	su45	戍：～边
輸	su24	输：运～
殊	su21	殊：特～
豎	su45	竖：横～
樹	su45	树：～立，种～
儒	ji21	儒：～家思想
乳	nɛn45	乳：食～（吃奶），麦～精[训]
拘	ki24	拘：～留
倶	kʰi45	俱：～备，～乐部
矩	ki41	矩：规～，～形
句	ki45	句：～号
區	kʰi24	区：地～，～别
驅	kʰi24	驱：先～，～动
具	kʰi45	具：～体
懼	kʰi41	惧：恐～
愚	ŋi21	愚：～蠢，～公移山
虞	ŋi21	虞：姓，～姬
娛	ŋu21	娱：～乐
遇	ŋi45	遇：遭～，相～，～到
寓	ŋi45	寓：～言；公～
迂	ji24	迂：～回，～腐
于	ji24	于：姓；等～
雨	ji41	雨：落～，谷～，～水
宇	ji24	宇：～宙
羽	ji24	羽：～翼未丰
芋	vu45	芋：芋头
逾	ji21	逾：超过，～期
愉	ji45	愉：～快
喩	ji45	喻：比～
裕	ji45	裕：富～
獃	tai24	呆：书～子，发～[文]
獃	ŋɔi21	呆：发～[白]
戴	tai45	戴：姓；～帽
胎	tʰɔi24	胎：双胞～，～盘
台	tʰɔi21	台：天台
態	tʰai45	态：～度，心～
貸	tʰɔi45	贷：～款
臺	tʰɔi21	台：～湾
苔	tʰɔi21	苔：青～，舌～
抬	tʰɔi21	抬：两个人抬
待	tʰai45	待：等～，～人接物
怠	tʰɔi45	怠：～慢，～工
殆	tʰɔi45	殆：百战不～
代	tʰɔi45	代：～替，～表
逮	ti45	逮：～捕
袋	tʰɔi45	袋：袋子
乃	nai24	乃：安～近；人名用字
耐	nai45	耐：～力，～心，忍～
來	lɔi21	来：过～，～去
災	ʦai24	灾：水～
栽	ʦai24	栽：种，～培
宰	ʦai41	宰：～相
載	ʦai41	载：一年半～
再	ʦai45	再：～来
載	ʦɔi45	载：～重
猜	ʦʰai24	猜：～谜
彩	ʦʰai41	彩：～色
採	ʦʰai41	采：～集
睬	ʦʰai41	睬：理睬
菜	ʦʰɔi45	菜：煮～，青～
才	ʦʰɔi21	才：人～，～气，秀～
材	ʦʰɔi21	材，药～，～料
財	ʦʰɔi21	财，发～
裁	ʦʰai21	裁，～纸，剪～
纔	ʦʰɔi21	才：刚～
在	ʦʰai45	在：实～，现～[文]
在	ʦʰɔi24	在：存在，还～[白]
載	ʦɔi45	载：满～而归
腮	sai24	腮：～腺炎，～红
鰓	sɔi24	鳃：鱼鳃
賽	sɔi45	赛：比～
該	kɔi24	该：应～
改	kɔi41	改：修～，～正
概	kʰɔi41	概：大～，～括
溉	kʰɔi41	溉：灌～
開	kʰɔi24	开：公～，～门
凱	kʰɔi41	凯：～旋
慨	kʰɔi41	慨：慷～，感～
咳	kʰɛt041	咳：～嗽，止～糖浆
呆	ŋɔi21	呆：～板
礙	ŋɔi45	碍：妨～
海	hɔi41	海：大～
孩	hai21	孩：～童
