#漢字	音標	解釋
愚	ȵi22	愚：～蠢，～公移山
娛	ŋu22	娱：～乐
遇	ȵi51	遇：遭～，相～，～到
寓	ȵi51	寓：～言；公～
迂	ʒʅ33	迂：～回，～腐
于	ʒʅ24	于：姓；等～
吁	ʒʅ24	吁：气喘～～，长～短叹
雨	ʒʅ31	雨：落～，谷～，～水
宇	ʒʅ31	宇：～宙
禹	ʒʅ22	禹：大～治水
羽	ʒʅ31	羽：～毛球
芋	vu51	芋：芋头
逾	ʒʅ51	逾：超过，～期
愉	ʒʅ51	愉：～快
愈	ʒʅ51	愈：病～
喩	ʒʅ51	喻：比～
裕	ʒʅ51	裕：富～
獃	tai24	呆：书～子，发～[文]
獃	ŋɔi22	呆：发～[白]
戴	tai51	戴：姓；～帽
胎	tʰuɔi22	胎：双胞～，～盘
台	tʰuɔi22	台：天台
態	tʰai51	态：～度，心～
貸	tʰuɔi51	贷：～款
臺	tʰuɔi22	台：～湾
苔	tʰuɔi22	苔：青～，舌～
抬	tʰuɔi22	抬：两个人抬
待	tʰuɔi51	待：等～，～人接物
怠	tʰai51	怠：～慢，～工
殆	tʰai51	殆：百战不～
代	tʰuɔi51	代：～替，～表
逮	tʰai51	逮：～捕
袋	tʰuɔi51	袋：袋子
乃	nai24	乃：安～近；人名用字
耐	nai51	耐：～力，～心，忍～
來	luɔi22	来：过～，～去
災	tsai33	灾：水～
栽	tsai24	栽：种，～培
宰	tsai31	宰：～相
載	tsuɔi51	载：一年半～
再	tsai51	再：～来
載	tsuɔi51	载：～重
猜	tsʰai24	猜：～谜
彩	tsʰai31	彩：～色
採	tsʰai31	采：～集
睬	tsʰai31	睬：理睬
菜	tsʰuɔi51	菜：煮～，青～
才	tsʰuɔi22	才：人～，～气，秀～
材	tsʰuɔi22	材，药～，～料
財	tsʰuɔi22	财，发～
裁	tsʰai22	裁，～纸，剪～
纔	tsʰuɔi22	才：刚～
在	tsʰai51	在：实～，现～[文]
在	tsʰuɔi24	在：存在，还～[白]
載	tsuɔi51	载：满～而归
腮	sai24	腮：～腺炎，～红
鰓	siɛ24	鳃：鱼鳃
賽	sai51	赛：比～
該	kuɔi24	该：应～
改	kuɔi31	改：修～，～正
概	kʰai31	概：大～，～括
溉	kʰai31	溉：灌～
開	kʰuɔi24	开：公～，～门
凱	kʰai31	凯：～旋
慨	kʰai31	慨：慷～，感～
咳	kʰiɛn31	咳：～嗽，止～糖浆
呆	ŋuɔi22	呆：～板
礙	ŋuɔi51	碍：妨～
海	huɔi31	海：大～
孩	hai22	孩：～童
亥	huɔi51	亥：辛～革命
哀	ɔi33	哀：悲～
埃	ai33	埃：尘～，～及
愛	ɔi51	爱：～情；要
貝	pi51	贝：宝～
貝	pi51	贝：川～，～壳
沛	pʰi51	沛：充～
帶	tai51	带：鞋～
太	tʰai51	太：老～婆
泰	tʰai51	泰：～山
大	tʰai51	大：大小
奈	nai51	奈：无～，～何
賴	lai51	赖：依～，无～；姓
