#漢字	音標	解釋
懈	hɑi52	懈：松～，坚持不～
涯	ŋɑi213	涯：天～
崖	ŋɑi213	崖：悬～
捱	ŋɑi22	捱：难～，～苦
鞋	hɑi22	鞋：布～
解	kɑi31	解：懂了，理～，了～
蟹	hɑi31	蟹：老～
矮	ɑi31	矮：高矮
敗	pʰɑi52	败：失～
邁	mɑi31	迈：豪～，～步
寨	tsʰɑi52	寨：山～，大～
蔽	pi52	蔽：隐～
弊	pi52	弊：作～
幣	pi52	币：人民～
斃	pi52	毙：枪～
例	li52	例：举～，～外
厲	li52	厉：严～，～害
勵	li52	励：鼓～
祭	tsi52	祭：～祀
際	tsi52	际：国～
滯	tʂʰɛ52	滞：停～，湿～（中医）
制	tʂʅ52	制：～度
製	tʂʅ52	制：～造
世	ʂʅ52	世：～界
世	ʂiɛ52	世：出～
勢	ʂʅ52	势：～力，有权有～
誓	ʂʅ52	誓：发～
逝	ʂʅ52	逝：～世
藝	ni52	艺：～术，文～晚会
蓖	pi44	蓖：～麻
閉	pi52	闭：关～
箅	pi52	箅：蒸笼中的竹屉
批	pʰi44	批：～评，大～
批	pɑi44	批：螺丝～
陛	pʰi52	陛：～下
迷	mi213	迷：入～，～路
米	mi31	米：大米
謎	mi52	谜：～语，猜～
低	tɑi44	低：高～
堤	tʰi213	堤：河～，～坝
底	tɑi31	底：水～
抵	ti31	抵：～押
抵	tɑi31	抵：用手抵挡
帝	ti52	帝：皇～
梯	tʰɔi44	梯：楼～
蒂	ti52	蒂：花～，并～莲
體	tʰi31	体：～育，身～
替	tʰi52	替：代～，～身
涕	tʰi52	涕：～泪纵横
剃	tʰɑi52	剃：～头
屜	tʰi52	屉：抽～
題	tʰi213	题：～目，难～
提	tʰi213	提：～问，～醒
蹄	tʰɑi213	蹄：马～
啼	tʰɑi22	啼：哭哭～～[文]
啼	tʰɑi213	啼：鸡～[白]
弟	tʰi52	弟：兄～[文]
弟	tʰɑi44	弟：弟弟，老～[白]
第	ti52	第：～一，门～
遞	tʰi52	递：传～，邮～员
泥	nɑi213	泥：水～，地～（地板）
犁	lɑi213	犁：耕田用具
黎	lɑi213	黎：～民，～明；姓
禮	li34	礼：～貌
麗	li52	丽：秀～
隸	li52	隶：奴～，～属
擠	tsi44	挤：拥～，～时间
濟	tsi52	济：～公，经～
妻	tsʰi34	妻：夫～
砌	tsʰi52	砌：～墙
齊	tsʰi213	齐：～国[文]
齊	tsʰiɛ213	齐：整～，放～，来～[白]
臍	tsʰi31	脐：肚～，～带
劑	tsi52	剂：一～药，药～
西	si44	西：东西南北
棲	tsʰi34	栖：两～动物
犀	ʂʅ44	犀：～牛
洗	siɛ31	洗：～菜，～衣机
細	siɛ52	细：粗细，大小
婿	siɛ52	婿：女～
雞	kɑi44	鸡：～公（公鸡）
稽	tʂʰʅ44	稽：～查，滑～
計	ki52	计：～算，会～
繼	ki52	继：～续，～承
繫	ʂʅ52	系：～皮带
髻	ki52	髻：发髻；鸡～（鸡冠）
溪	hɑi44	溪：～水
啟	kʰi31	启：～发
契	kʰiɛ52	契：房～，～约
倪	ʐʅ213	倪：姓，～萍
奚	hɑi44	奚：～落
兮	si44	兮：神经～～
系	ʂʅ52	系：中文～，～统
繫	ʂʅ52	系：联～
係	ʂʅ52	系：关～[文]
係	hiɛ52	系：是[白]
杯	pi44	杯：茶～
輩	pi52	辈：～分，长～
背	pɔi52	背：违～，后～
胚	pʰi44	胚：～胎
坯	pʰi44	坯：泥～，毛～房
配	pʰi52	配：分～，搭～
培	pʰi213	培：～训
陪	pʰi213	陪：～同
賠	pʰɔi22	赔：～钱
倍	pʰi52	倍：～数
佩	pʰi52	佩：～服
背	pʰɔi52	背：～书
焙	pʰi213	焙：～火
梅	mɔi213	梅：～花
枚	mɔi213	枚：两～
媒	mɔi22	媒：～人
煤	mɔi213	煤：烧～，～矿
玫	mɔi213	玫：～瑰
每	mi44	每：～只，～日
莓	mɔi213	莓：草～
妹	mɔi52	妹：妹妹，姊～，老～
昧	mi52	昧：愚～，拾金不～
堆	tɔi44	堆：一～[量]，～放[动]
對	tui52	对：～错；成双成～
碓	tɔi52	碓：舂米工具，踏～
推	tʰui44	推：～荐，～动
腿	tʰui31	腿：～部，火～
退	tʰui52	退：后～，～步[文]
退	tʰui52	退：向后退[白]
隊	tui52	队：～伍，排～
內	nui52	内：～行，～外
雷	lui213	雷：打～，～公；姓
累	lui52	累：劳～
催	tsʰui44	催：～促，～眠
崔	tsʰui44	崔：姓，～莺莺
摧	tsʰui44	摧：～残
罪	tsʰui52	罪：得～，犯～[文]
罪	tsʰui52	罪：～过（可怜、难受）[白]
碎	sui52	碎：～布，破～
盔	kʰui44	盔：头～，～甲
魁	kʰui213	魁：～梧，花～
恢	fui44	恢：～复
塊	kʰɑi52	块：一～钱，～头
桅	ŋui213	桅：～杆
灰	fɔi44	灰：石～，～色
賄	ʐu31	贿：受～，～赂
悔	fi52	悔：后～
晦	fi52	晦：～气
回	fi213	回：～想[文]
回	fi213	回：～礼[白]
茴	fi213	茴：～香
匯	fi52	汇：～报，～款
潰	kʰui52	溃：～疡，胃～疡
煨	vɔi44	煨：～番薯
蛻	tʰui31	蜕：～变，～皮，～壳
兌	tʰui31	兑：～水，～换
最	tsui52	最：～好
會	kʰɑi52	会：～计
劊	kʰɑi52	刽：～子手
檜	kʰɑi52	桧：人名，秦～
外	ŋɑi52	外：～面
會	fi52	会：开～
會	vɔi52	会：～睡，～来
繪	fi52	绘：～图，测～
乖	kɑi44	乖：小孩听话
