#漢字	音標	解釋
敷	pʰu35	敷：敷衍，敷药
咐	fu33	咐：吩咐、嘱咐
傅	fu33	傅：姓，
賦	fu33	赋：天赋，赋予
付	fu33	付：付钱
斧	pu31	斧：斧头
脯	pʰu31	脯：明脯（晒干的乌贼），杏脯
甫	pʰu31	甫：杜甫
俯	fu51	俯：俯视，俯卧撑
腑	fu51	腑：五脏六腑
府	fu31	府：XX府
膚	fu35	肤：皮肤
夫	fu35	夫：夫妻，车夫
豫	ʒu33	豫：河南简称，犹豫
預	ʒu33	预：预报，预备
譽	ʒu33	誉：荣誉
予	ʒu33	予：给予
與	ʒu51	与：参与，与众不同
餘	ʒu51	余：多余
余	ʒu51	余：姓
淤	vu35	淤：是否用于地名，淤泥，淤塞
於	ʒu51	于：在于
許	ʃi31	许：姓，许多，许愿，许配，远指“那儿”怎么说，答应别人怎么说
噓	ʃi35	嘘：吹嘘，嘘声
虛	ʃi35	虚：虚心，心虚，肿
語	ȵi35	语：语文
漁	ȵi51	渔：渔业，渔场
魚	m̩51	鱼：一条鱼
距	ki35	距：距离
拒	ki35	拒：拒绝
佢	ki314	佢：他
去	kʰi33	去：来去，去湿，过去（从前）
鋸	ki33	锯：锯子，锯木头
據	ki31	据：收据
舉	ki35	举：举起，举报
車	ki35	车：车馬炮
居	ki35	居：居民
如	ʒu51	如：如果，假如
薯	ʃu51	薯：番薯，薯片，山药
署	ʃu31	署：署名
墅	ʃu31	墅：别墅
黍	siuk031	黍：玉米
暑	ʃu31	暑：暑假，中暑
鼠	tʃʰu31	鼠：老鼠
舒	ʃu35	舒：舒服，姓
書	ʃu35	书：一本书
處	tʃʰu33	处：处所，处里（家里）
杵	tʃʰu51	杵：舂杵（可用来捣草药），杵杖（旧式手杖）
處	tʃʰu31	处：处理
煮	tʃu31	煮：煮饭，煮粥
諸	tʃu35	诸：诸葛亮，诸如此类
疏	sɿ35	疏：注疏，经疏
所	sɔu31	所：所以，派出所
蔬	sɿ35	蔬：蔬菜，菜蔬
疏	sɿ35	疏：亲疏，疏密，疏远
梳	sɿ35	梳：梳头，梳子（头梳）
助	tsʰɿ33	助：帮助
鋤	tsʰɿ51	锄：锄头
礎	tsʰɿ31	础：柱下石，基础
楚	tsʰɿ314	楚：姓，楚国。
初	tsʰɿ35	初：大年初一，初中
阻	tsɿ314	阻：阻力，阻拦
箸	tʃʰu33	箸：筷子。箸笼（盛筷器）
苧	tʃʰu33	苎：苎麻
儲	ʃu51	储：储蓄
除	tʃʰu51	除：除法，除衣服，把东西除掉
褚	tʃu35	褚：姓
著	tʃu33	著：著名，显著
豬	tʃu35	猪：养猪，猪八戒
緖	ʃi35	绪：光绪，情绪
叙	tsʰi33	叙：
序	si33	序：秩序
徐	tsʰi51	徐：姓
濾	li33	滤：过滤
慮	li33	虑：考虑
旅	li314	旅：旅长
呂	li314	吕：姓，吕布
驢	lu51	驴：毛驴
廬	lu51	庐：庐山
女	ȵi31	女：女儿，女婿，孙女，女人
惡	ɔk031	恶：可恶，大便
污	vu35	污：污染
烏	vu35	乌：黑，乌纱帽
護	fu33	护：保护，护士
互	fu35	互：互相，相互
戶	fu33	户：户口
鬍	fu51	胡：胡须
蝴	fu51	蝴：蝴蝶
葫	fu35	葫：葫芦
乎	fu35	乎：之乎者也
壺	fu51	壶：水壶
狐	fu51	狐：狐狸
糊	fu51	糊：米糊（用米粉调制的食品，可以喂婴儿），浆糊，糊涂，糊了
湖	fu51	湖：
胡	fu51	胡：姓，二胡
滸	fu31	浒：水浒传
虎	fu31	虎：老虎
呼	fu35	呼：呼吸，呼鸡
悟	ŋu51	悟：孙悟空，觉悟
誤	ŋu33	误：误会，错误，耽误
午	vu31	午：端午，中午
伍	vu31	伍：队伍，姓
五	m̩31	五：数字
梧	vu35	梧：梧桐
吾	vu35	吾：
蜈	vu35	蜈：蜈蚣
吳	m̩51	吴：姓
褲	kʰu33	裤：裤子
庫	kʰu33	库：水库，库存
苦	fu31	苦：甜的苦的，吃苦
枯	kʰu35	枯：树枯了，水枯了
顧	ku33	顾：照顾，顾忌
雇	ku33	雇：雇主
固	ku33	固：固定
故	ku31	故：故事，事故
鼓	ku31	鼓：锣鼓
股	ku31	股：一股线，股票
牯	ku31	牯：公牛，公狗
估	kʰu314	估：估计，毛估估
古	ku31	古：古老，古代
辜	ku35	辜：无辜，辜负
孤	ku35	孤：孤儿，孤独
姑	ku35	姑：姑妈，姑娘
嗉	sɿ31	嗉：鸟嗉子，嗉囊
塑	sɔk031	塑：塑料，塑像
訴	sɿ31	诉：告诉，上诉，诉讼
素	sɿ31	素：吃素，朴素，素质
酥	sɿ35	酥：杏仁酥，酥糖，酥油
蘇	sɿ35	苏：苏州，苏联，姓
錯	tsʰɔu33	错：做错，错误，过错
措	tʃʰʅ33	措：措施，举措
醋	tsʰɿ33	醋：一种调味料，味酸。吃醋
粗	tsʰɿ35	粗：粗细，粗心
做	tsɔu33	做：做事情
組	tsɿ314	组：组长，小组，组织
祖	tsɿ314	祖：祖宗，祖国
租	tsɿ35	租：租房子，田租
鷺	lu33	鹭：白鹭，鹭鸶（一种鸟，腿很长）
露	lu33	露：露水，白露
賂	lu33	赂：贿赂
路	lu33	路：一条路，大路，走路
滷	lu314	卤：盐卤，菜中的汤汁
魯	lu31	鲁：鲁国，鲁迅
爐	lu51	炉：炉子，风炉
盧	lu35	卢：姓
怒	nu33	怒：发怒
努	nu51	努：努力
奴	nu51	奴：奴隶
鍍	tʰu33	镀：电镀
渡	tʰu33	渡：摆渡，渡船，偷渡
度	tʰu33	度：度量
肚	tu31	肚：肚子，肚脐
杜	tʰu51	杜：姓，杜仲
圖	tʰu51	图：画图，地图
塗	tʰu51	涂：泥涂
徒	tʰu51	徒：徒弟，学徒
途	tʰu314	途：前途
兔	tʰu33	兔：兔子，野兔
吐	tʰu51	吐：呕吐
吐	tʰu31	吐：吐痰
土	tʰu31	土：
妒	tu33	妒：妒忌
肚	tu314	肚：猪肚（胃）
賭	tu33	赌：打赌，赌博
堵	tu33	堵：堵车，堵塞
都	tɔu51	都：都是
都	tu33	都：都市，首都
募	mɔk031	募：募捐，招募
墓	mɔu33	墓：坟墓，墓地
慕	mɔu33	慕：羡慕
暮	mɔk051	暮：
模	mɔu51	模：模范
模	mɔu51	模：模型
埠	pu35	埠：埠头，蚌埠
捕	pʰu31	捕：逮捕，捕快
步	pʰu33	步：一步，脚步，步行
簿	pʰu35	簿：帐簿，练习簿
部	pʰu33	部：部队，干部
葡	pʰu51	葡：葡萄
脯	pʰu51	脯：胸脯
菩	pʰu51	菩：菩萨
蒲	pʰu31	蒲：菖蒲，蒲团
怖	pu33	怖：恐怖
鋪	pʰu31	铺：店铺，当铺
浦	pʰu314	浦：浦江
普	pʰu314	普：普通
鋪	pʰu35	铺：铺开，铺设，铺张
佈	pu33	布：宣布，公布
布	pu33	布：一块布，布料
譜	pʰu314	谱：族谱，宗谱，歌谱
補	pu314	补：补衣服
蛙	kuai31	蛙：青蛙，蛙跳，蛙泳
樺	fa51	桦：桦树
華	fa51	华：华山，姓
划	vat051	划：划船
華	fa51	华：中华
化	fa33	化：变化
花	fa35	花：一朵花，开花
瓦	ŋa314	瓦：动词，瓦砖
瓦	ŋa314	瓦：名词，瓦片
娃	va35	娃：娃娃，洋娃娃
跨	kʰua35	跨：跨过障碍物，跨步，跨度
垮	kʰua314	垮：垮台
侉	kʰua314	夸：夸大
誇	kʰua35	夸：夸奖，夸张
剮	kua314	剐：千刀万剐
寡	kua314	寡：寡妇，守寡
蝸	vɔu35	蜗：蜗牛
瓜	kua35	瓜：黄瓜，西瓜
耍	sa31	耍：玩耍，耍人
傻	sa31	傻：傻瓜
夜	ʒa33	夜：走夜路，夜班，夜晚
野	ʒa314	野：野兔
也	ʒe315	也：之乎者也，也是
椰	ʒei51	椰：椰子
爺	ta35	爷：爷爷，父亲
耶	ʒei51	耶：耶酥
惹	ȵia314	惹：招惹，小孩惹事，传染
社	ʃa314	社：公社，社会
騇	ʃa31	騇：母的牛马
舍	ʃa31	舍：宿舍
赦	ʃæt031	赦：大赦，十恶不赦，赦免
捨	ʃa31	舍：舍不得，割舍
奢	tsʰa35	奢：奢侈
賒	tsʰa35	赊：赊帐
麝	ʃa33	麝：麝香
射	ʃa33	射：发射，射箭
蛇	ʃa51	蛇：一条蛇
扯	tʃʰa314	扯：拉扯，扯钻
車	tʃʰa35	车：火车
蔗	tʃa33	蔗：甘蔗，蔗糖
者	tʃæt031	者：记者，作者，之乎者也。
遮	tʃa35	遮：遮住，遮挡
爹	tie35	爹：父亲
謝	sia33	谢：谢谢，姓
斜	tsʰia51	斜：不正
邪	sia51	邪：邪气，邪门歪道
卸	sia33	卸：装卸，卸货
瀉	sia33	泻：腹泻，泻肚子
寫	sia314	写：写字，写信
些	sia35	些：一些
藉	sit051	藉：藉故，藉口
且	tsʰia314	且：而且，况且
借	tsia33	借：借钱
姐	tsia31	姐：姐姐，小姐
亞	a31	亚：亚洲，亚军，东亚
啞	a314	哑：哑巴，聋哑
椏	a35	桠：桠杈
丫	a35	丫：丫头
鴉	a35	鸦：老鸦，乌鸦
夏	ha33	夏：春夏，立夏
下	ha33	下：下降，下去，下流
廈	ha33	夏：姓
夏	ha33	厦：厦门
下	ha33	下：下面，乡下，上下
蝦	ha51	虾：虾蟆（青蛙、蛙类、蝌蚪）
瑕	a51	瑕：瑕疵
霞	ha51	霞：朝霞，晚霞，人名用字
嚇	hak031	吓：吓一跳
蝦	ha51	虾：鱼虾，虾公
砑	ŋa51	砑：弹好棉花后，用厚实的木圆盘砑砑平
雅	ŋa31	雅：文雅，雅座
蚜	ŋa51	蚜：蚜虫（木虱,生在豆类、棉花、稻等幼苗上）
伢	ŋa31	伢：伢儿，伢郎（小孩子）
衙	ŋa51	衙：衙门
芽	ŋa51	芽：豆芽
牙	ŋa51	牙：牙齿，刷牙
價	ka33	价：价钱，价值
稼	ka33	稼：庄稼，邓稼先
嫁	ka33	嫁：出嫁，嫁女儿
駕	ka33	驾：驾驶，大驾光临
架	ka33	架：衣架，脚手架，摆架子
假	ka31	假：放假，假期
賈	ka31	贾：姓，贾宝玉
假	ka31	假：真假
傢	ka35	傢：傢伙，傢什（工匠用的），傢具
嘉	ka35	嘉：嘉宾，嘉兴，嘉峪关
加	ka35	加：加法，加工，加油
家	ka35	家：成家，家教，老家
廈	ha33	厦：高楼大厦，商厦
灑	sa314	洒：洒水
砂	sa35	砂：朱砂，铁砂，砂纸
痧	sa35	痧：夏天中暑，刮痧
紗	sa35	纱：纱布，棉纱
沙	sa35	沙：黄沙，泥沙，沙漠
乍	tsa31	乍：乍浦，初来乍到
査	tsʰa51	查：调查，查帐
差	tsʰa35	差：差多少钱
岔	tsʰa35	岔：三岔路口，《三岔口》（京剧）
差	tsʰa35	差：差别，时差，好的差的
杈	va35	杈：枝杈
叉	tsʰa35	叉：鱼叉，叉腰
炸	tsa33	炸：轰炸，炸弹
榨	tsa33	榨：榨油，榨菜，压榨
詐	tsa33	诈：诈骗，敲诈
渣	tsa35	渣：甘蔗渣，油渣，药渣，渣滓
査	tsʰa51	楂：山楂
搽	tsʰat031	搽：搽药，搽雪花膏
茶	tsʰa51	茶：茶叶，喝茶
拿	na314	拿：拿不出手，拿手，拿东西，推拿
駡	ma51	骂：骂人，咒骂
碼	ma31	码：码头，筹码
馬	ma314	马：骑马，马后砲，马虎
痲	ma51	痳：痳疹，痳疯
媽	ma314	妈：妈妈，后妈
蟆	ŋa51	蟆：蛤蟆（青蛙、蛙类、蝌蚪），癞蛤蟆
麻	ma51	麻：麻袋，天麻
耙	pʰa51	耙：犁耙，用牛拉的碎土工具
鈀	pʰa51	钯：钉钯（猪八戒的武器），钯子，挖地的农具
杷	pʰa51	杷：枇杷
琶	pʰa51	琶：琵琶
爬	pʰa51	爬：爬树，爬行动物
帕	pʰa31	帕：手帕
怕	pʰa31	怕：害怕，怕生
爸	pa314	爸：父亲
壩	pa31	坝：大坝，堤坝
欛	pa31	把：刀把（柄）
垻	pa31	坝：平地
把	pa314	把：把握，一把刀，把脉，抓一把
笆	pa314	笆：篱笆
吧	pa314	吧：酒吧，吧台
疤	pa314	疤：结疤，伤疤
芭	pa314	芭：芭蕉，芭蕾
巴	pa314	巴：巴掌，巴结，巴黎
靴	ʃiau35	靴：靴子，皮靴
瘸	kuai51	瘸：瘸手，瘸腿
萵	vou51	莴：萵苣
和	fou51	和：和面，唱和，和诗
禍	fou33	祸：闯祸，祸害
禾	vou51	禾：水稻
和	fou51	和：我和你,和牌，和平
貨	fou314	货：到货，货车，百货商店
伙	fou314	伙：伙食
夥	fou31	伙：伙计（店里打杂工的），合伙
火	fou31	火：着火，火车，火神庙
臥	ŋou35	卧：卧倒，卧铺，卧薪尝胆
課	kʰou31	课：上课，课文
顆	kʰou31	颗：一颗珍珠，颗粒
棵	tʰeu51	棵：一棵，棵子（植物的梗子，根茎）
窠	teu314	窠：鸟巢，鸡窝
科	kʰou314	科：文科，科学
過	kou314	过：过去（走过去，从前）
餜	kʰou314	馃：清明馃，米馃，巧果
裹	kou314	裹：包裹，裹东西（如棕子）
果	kou314	果：水果，果冻
鍋	vɔk051	锅：砂锅，锅铲
過	kou314	过：姓
瑣	sou314	琐：琐碎，烦琐
鎖	sou314	锁：一把锁，锁匙
唆	sou35	唆：啰唆，唆使
座	tsʰou35	座：座位，上座
坐	tsʰou314	坐：坐下来，请坐
銼	tsʰou314	锉：锉刀，木锉
摞	tʰet051	摞：把东西整齐地重叠往上放
瘰	lek051	瘰：生瘰（疮疖），多生在脖子上
囉	lou51	啰：啰唆
螺	lou51	螺：螺蛳
糯	nou33	糯：糯米
墮	tek031	堕：从高处掉下，堕落
唾	pʰui51	唾：唾液（吐出来的口水）唾沫
橢	tʰou35	椭：橢圆
妥	tʰou35	妥：妥当，妥协
剁	tʰɔk051	剁：用刀向下砍
躲	tou314	躲：躲起来，躲避
朵	tou314	朵：一朵花
磨	mou35	磨：石磨，磨豆腐
摩	mou51	摩：摩擦，按摩
磨	nou51	磨：磨刀，磨墨
魔	mou51	魔：魔鬼，魔术
薄	pʰɔk051	薄：薄菏（有两种，做菜用、药用）
婆	pʰou51	婆：外婆，老太婆
破	pʰou31	破：东西破了，破鱼肚，破坏
玻	pou35	玻：玻璃
坡	pou35	坡：山坡，山体滑坡
簸	pou35	簸：簸箕
播	pou35	播：传播，播种
跛	pei51	跛：跛足
簸	pou35	簸：簸一簸
菠	pou35	菠：菠菜
波	pou35	波：波浪，风波
茄	kʰiau51	茄：茄子
阿	a31	阿：阿胶，阿弥陀佛
賀	hou33	贺：姓，祝贺
荷	hou51	荷：挑担
荷	hou51	荷：荷花
河	hou51	河：一条河，黄河
何	hou51	何：姓，哪里
荷	hou51	荷：薄荷（有两种，做菜用、药用）
餓	ŋou51	饿：肚子饿，饿他一顿，饿肚子
我	ŋou51	我：注意文白读
俄	ŋou51	俄：俄国，苏俄
鵝	ŋou51	鹅：一种家禽
蛾	ŋou51	蛾：飞蛾，夏天晚上集中到亮处的动物，似蝴蝶
可	kʰou31	可：可以，许可证
個	kei31	个：一个，这个。个人，个体户。
哥	kou35	哥：哥哥，老哥，哥们儿
歌	kou35	歌：唱歌，歌曲
搓	tsʰou51	搓：搓手，搓绳子，搓衣服，搓麻将
佐	tsou31	佐：辅佐，佐料
左	tsou31	左：左手，左右
蘿	lou51	萝：萝卜
籮	lou51	箩：箩筐，装稻谷用
鑼	lou51	锣：锣鼓
羅	lou51	罗：姓
那	na314	那：那里
哪	na314	哪：哪里，哪吒
挪	na314	挪：挪用公款，挪地方
大	tʰai33	大：大小，大学
舵	tʰou51	舵：船舵，舵手
馱	tʰou35	驮：驮东西（背负或扛在肩上），拿在手里。
駝	tʰou51	驼：驼背，骆驼
他	tʰa35	他：其他
拖	tʰou35	拖：拖车，（拉，拉长），吐舌头是否说拖，拖鞋，拖拉机
多	tou35	多：多少，多数
銲	kʰiɔk031	焊：焊接，电焊
翰	kʰiɔŋ51	翰：翰林，人名用字
安	ɔn35	安：安全，安放
鞍	ɔn31	鞍：马鞍
按	ȵiɔk031	按：按照，按铃
案	ȵiɔk051	案：人命案，档案
扮	ʃiɔŋ35	扮：打扮，扮相
八	ʃiɔŋ35	八：数字
盼	ʃiɔŋ31	盼：盼望，期盼
辦	ʃiɔŋ31	办：办法，怎么办
瓣	ʃiɔŋ33	瓣：花瓣，叶子
拔	ʒɔŋ35	拔：拔秧，选拔
抹	ʒɔŋ35	抹：抹布
綻	ʒɔŋ35	绽：破绽，谷粒饱满，绽缝（衣服脱线）
盞	ʒɔk031	盏：灯盏，酒盏，碗盏
札	ʒɔŋ51	札：札记，信札
紮	pʰi33	扎：扎紧，驻扎
鏟	pʰi33	铲：镬铲，铲草
察	pin35	察：察看，观察
山	san33	山：山顶，泰山
產	mui51	产：生产，共产党，做产母，产母娘
殺	mui51	杀：杀人，自杀
艱	kien35	艰：艰苦
間	kien31	间：中间，一间房间
襉	mi33	裥：衣服上的褶子，老人皮肤皱
簡	tʰi33	简：简单
柬	nei51	柬：请柬
揀	ni51	拣：挑选，拣菜
間	kien35	间：间断，离间
擖	li51	擖：用刀刮
閑	hen51	闲：空闲，闲事
限	li33	限：有限，限制
莧	tsɿ35	苋：苋菜，马齿苋
軋	tsɿ35	轧：被车轧，轧钢厂
班	pan21	班：班级，上班
斑	pan21	斑：雀斑，斑点
扳	pan31	扳：扳手，用力往后拉
頒	pan35	颁：颁布
板	tsʰi51	板：黑板，石板
版	tsʰɿ33	版：出版，版本
攀	pʰan31	攀：攀登，高攀
扳	pan31	扳：
蠻	man51	蛮：野蛮，蛮横
慢	tʃʅ33	慢：慢车，快慢
棧	tʃʰʅ51	栈：客栈，栈房，栈道
刪	san35	删：删除
疝	tʃʰʅ35	疝：疝气（大卵脬，小肠气）
奸	kien35	奸：奸臣，忠奸
諫	sɿ35	谏：谏议
澗	sɿ35	涧：两山之间的小溪
鐧	tʃʅ35	锏：车锏，杀手锏
顏	ȵien51	颜：颜色，姓
雁	tʃʅ31	雁：大雁，雁鹅
瞎	tʃʅ33	瞎：瞎子，眼瞎
轄	ʃʅ33	辖：直辖市，管辖
晏	ʃʅ35	晏：晚也，晏子
鞭	pien35	鞭：皮鞭，鞭策
編	pʰien35	编：编筐，编辑
別	ʃʅ33	别：别针，别支笔在口袋
鼈	ȵien33	鳖：甲鱼，鳖壶（军用水壶）
篇	pʰien31	篇：一篇文章
偏	pʰien31	偏：偏偏，偏僻
騙	ki35	骗：骗人，欺骗
便	pʰien51	便：便宜
辯	ki35	辩：辩论
便	pʰien33	便：方便，便当
別	kʰi33	别：分别，别人
綿	mien51	绵：海绵，绵延
棉	mien51	棉：棉花
免	ʒit031	免：免除，罢免
勉	ʒʅ51	勉：勉强，勉励
緬	ʒʅ51	缅：缅甸，缅怀
娩	n̩51	娩：分娩
面	li51	面：被面，面子
滅	li51	灭：消灭，灭亡
碾	li31	碾：农具，碾米
連	lien51	连：连长，大连
聯	lien51	联：对联，联系
輦	li31	辇：
列	li35	列：排列，列宁
烈	li33	烈：烈士，热烈
裂	tsɿ35	裂：分裂，裂开
煎	tsien31	煎：煎药，煎鱼
剪	tsɿ31	剪：铰剪，剪东西
箭	tsɿ31	箭：射箭
濺	tsʰɿ51	溅：溅水
遷	tsʰien31	迁：迁移
淺	tsʰɿ33	浅：深浅，浅薄
踐	sɿ35	践：实践
賤	sɿ35	贱：犯贱，贱价
仙	sien31	仙：神仙，仙丹
鮮	sien31	鲜：新鲜，鲜艳
鮮	sien31	鲜：朝鲜
癬	tsʰɿ51	癣：脚癣
綫	tsʰɿ51	线：棉线，线索
薛	tsʰɿ51	薛：姓，薛宝钗
泄	sɿ33	泄：排泄，泄漏，泄洪
羡	ʃien31	羡：羡慕
展	tsʰɿ33	展：发展，展开
哲	tsʰɿ51	哲：哲学，哲理
撤	tʃʅ33	撤：撤退
徹	tʃʰʅ35	彻：彻底
纏	tʃʰan51	缠：盘缠，纠缠
轍	tʃʰʅ51	辙：南辕北辙
澈	tʃit031	澈：清澈
氈	tʃen35	毡：油毛毡
戰	tʃʰʅ33	战：战斗
舌	tsʰet031	舌：舌头，口舌
搧	ʃen31	搧：搧扇子
扇	sɿ33	扇：芭蕉扇
設	sɿ33	设：建设，设计
蟬	ʧʰan51	蝉：蝉儿，蝉蜕
禪	ʧʰan51	禅：禅师，禅宗
善	sɿ31	善：善良，面善
膳	sɿ31	膳：用膳，膳食
單	tan35	单：姓，单雄信
禪	tʃʰan51	禅：禅让
折	tsɿ35	折：折本，摔折
然	ʒen51	然：然后，居然
燃	ʒen51	燃：点燃，燃烧
熱	tʃʅ31	热：冷热，热烈
囝	tʃʅ33	囝：儿子
遣	tʃʅ33	遣：遣责，派遣
乾	kʰien51	乾：乾隆，乾坤
虔	kʰien35	虔：虔诚
件	tʃʰʅ31	件：一件，事件
傑	ʃʅ33	杰：杰出，豪杰
諺	ʃʅ51	谚：谚语
延	ʒen51	延：延安，拖延
筵	ʒen35	筵：酒席
蜒	ʒen51	蜒：蜿蜒，蚰蜒（蛞蝓）
演	nei51	演：表演，演出
衍	lei51	衍：敷衍
拽	lei51	拽：拽衣裳，拽被子
建	li33	建：建设，新建
毽	li33	毽：毽子
揭	li33	揭：揭发，揭盖
鍵	tsi31	键：关键，键盘
健	tsi33	健：健康，老人体健
腱	tsʰi35	腱：肌腱
言	ȵien51	言：语言，言论
掀	ʃien31	掀：掀桌子、锅盖、被子
軒	ʃien35	轩：人名用字
憲	tsʰei51	宪：宪法
獻	tsʰi51	献：贡献，献宝
蠍	tsi33	蝎：蝎子，蛇蝎
堰	si35	堰：都江堰，坝
邊	pien31	边：旁边，边缘
蝙	pʰien31	蝙：蝙蝠
扁	pien31	扁：扁担，形状
匾	sei33	匾：牌匾，匾额
遍	kei35	遍：一遍
遍	ki35	遍：遍地，普遍
憋	ki33	憋：憋气，憋尿
片	ki33	片：一片，片面
撇	ʃi31	撇：撇捺，撇开
辮	ki33	辫：编辫子，辫子
癟	kʰei35	瘪：干瘪，瘪谷
蹩	kʰi31	蹩：跛，蹩脚
眠	min51	眠：安眠，眠床
麵	ȵi51	面：吃面，面粉
顚	ten31	颠：颠倒，颠箥
癲	ten31	癫：疯，癫狗
典	ʃi31	典：词典，典当
天	tʰen31	天：天上，晴天
腆	ʒit031	腆：腆肚子，腼腆
田	tʰen51	田：种田，田地
塡	tʰen51	填：填空，填房（续弦）
電	pɔi33	电：电灯，触电
奠	pʰi35	奠：奠基，奠定
佃	pʰui33	佃：佃户
墊	pʰui51	垫：垫钱，座垫
澱	ʒɔŋ51	淀：沉淀，淀粉
年	nen51	年：过年，年纪
撚	ʒɔŋ51	撚：用指撚碎，撚线
捏	ʒɔŋ51	捏：捏紧
憐	len51	怜：可怜
蓮	len51	莲：莲花，莲蓬
練	ʒɔŋ35	练：练习，熟练
煉	ʒɔŋ33	炼：炼丹
鏈	ʒɔk051	链：项链，链条
楝	ʒau33	楝：苦楝树
鍊	ʒɔk031	炼：锻炼
箋	ʦien31	笺：便笺，信笺
薦	kuɔŋ31	荐：推荐，棕荐，稿荐
節	kuɔk031	节：竹节，节约
癤	kʰɔŋ33	疖：疮疖
千	ʦʰien31	千：数字，千万
切	kʰuɔk031	切：切开，迫切
竊	fɔŋ35	窃：偷窃，窃听
前	ʦʰien51	前：前后，从前
截	fɔŋ35	截：斩钉截铁，截断
先	sien31	先：祖先，先进
筅	vɔk031	筅：筅帚
屑	vɔŋ51	屑：木屑，不屑一顾
楔	vaŋ51	楔：楔子
肩	kien35	肩：肩膀
堅	kien35	坚：坚强
繭	vɔŋ51	茧：蚕茧
趼	fɔŋ51	趼：老茧
結	vɔŋ35	结：打结，结果
潔	fɔŋ31	洁：清洁，洁白
牽	kʰien31	牵：牵牛花
縴	ʦʰien35	纤：拉纤，纤绳
硏	ȵien35	研：研究，研磨
硯	fɔŋ35	砚：砚台
顯	fɔŋ51	显：明显，显灵
賢	ʃien51	贤：圣贤，贤惠
弦	ʃien51	弦：上弦月，琴弦
現	fɔŋ31	现：出现，现在
煙	ʒen31	烟：冒烟，香烟
燕	ʒen31	燕：姓，燕京
胭	ʒen31	胭：胭脂
燕	ʒen31	燕：燕子
嚥	mɔŋ51	咽：下咽，咽喉
噎	miɔŋ31	噎：噎住
搬	pan35	搬：搬家，搬运
般	pan35	般：般配，一般
半	mɔŋ33	半：半天，一半
絆	kʰiɔŋ35	绊：绊脚石，绊倒
鉢	kʰiɔŋ35	钵：钵头，衣钵
撥	kʰiɔŋ35	拨：拨款，点拨
潘	pʰan35	潘：姓
拚	kʰuɔŋ51	拼：拼命
判	kʰɔŋ31	判：判断，审判
潑	vɔŋ31	泼：泼水，泼辣
盤	pʰan51	盘：盘子，算盘
伴	vɔŋ35	伴：伙伴，伴随
拌	vɔŋ33	拌：搅拌，凉拌
畔	ȵien35	畔：河畔，江畔
叛	tæn35	叛：叛徒，背叛
鈸	tæn31	钹：铜质圆乐器
瞞	man35	瞒：隐瞒
饅	man51	馒：馒头
鰻	tʰæk031	鳗：河鳗，鳗鱼
滿	tʰæn35	满：装满，满意
漫	tʰæn31	漫：漫长，漫画
幔	tʰæn35	幔：帷幔、幔帐
沫	tʰæt031	沫：泡沫
抹	tæk031	抹：抹布，抹杀
端	tɔn31	端：端午，端正
短	tʰæn33	短：长短，短命
斷	tʰiak051	断：判断，断案，断价钱
鍛	tʰiak051	锻：锻炼
掇	tʰiak051	掇：端东西
疃	tʰiak051	疃：
脫	tʰiak051	脱：脱衣裳，脱线，摆脱
團	tʰɔn51	团：团结，一团线，团长
糰	tʰɔn51	团：糯米团子
斷	næn33	断：断绝，断掉
緞	kiaŋ35	缎：绸缎，缎面
奪	kiak031	夺：抢夺，夺权
暖	kiak031	暖：温暖，暖和
卵	kʰiaŋ33	卵：鸡卵，男阴
亂	ʃiaŋ51	乱：混乱，乱动
捋	ʃiak051	捋：以手沿物摘取，顺着抹过去，捋胡子，捋牌,捋衣袖
鑽	ʦɔn35	钻：动词，钻洞
纂	fak031	纂：编纂
攢	faŋ33	攒：攒钱
鑽	ʦɔn35	钻：名词，扯钻，钻子
汆	ʦɔt05	汆：汆丸子，汆汤，汆青菜
躥	faŋ33	蹿：向前或向上跳
竄	faŋ33	窜：东窜西窜
撮	faŋ33	撮：一撮毛，撮一撮米
酸	sɔn35	酸：硫酸，味道
算	fat051	算：算账，计算
蒜	pin31	蒜：大蒜，蒜苗
官	kuan35	官：当官，官司
棺	kuan35	棺：棺材
觀	kuan35	观：参观，观音
冠	kuan35	冠：衣冠
管	lin51	管：不管，管理
灌	lit051	灌：灌溉，浇灌
罐	lit051	罐：瓦罐，罐头
觀	liak051	观：道观，寺观
冠	tsen31	冠：冠军
括	tsin33	括：包括，
聒	tsʰin35	聒：聒耳朵，面聒（打耳光）
寬	kʰin31	宽：宽敞，不紧
款	sit051	款：款项，汇款
玩	sik051	玩：古玩，玩具
歡	sik051	欢：喜欢，欢喜
喚	sin35	唤：呼唤
煥	sin35	焕：焕然一新
豁	tsʰin51	豁：豁然，豁嘴，豁口，豁拳
桓	sit051	桓：齐桓公
完	sit051	完：吃完，完全
丸	tsen35	丸：药丸，丸子
紈	tʃʰin51	纨：纨绔子弟
皖	tʃaŋ35	皖：皖南事变
換	tsʰaŋ35	换：交换，换衣
豌	sen35	豌：豌豆
剜	sen35	剜：挖
碗	sen33	碗：饭碗，碗筷
腕	set031	腕：手腕
鰥	tʃin35	鳏：鳏夫，鳏寡
頑	tʃin35	顽：顽皮，顽固
幻	tʃin31	幻：幻想，科幻
滑	tʃin31	滑：地滑，滑稽
猾	tʃik031	猾：狡猾
挖	tʃik031	挖：挖地，开挖
撰	tʃʰin35	撰：撰写
