#漢字	音標	解釋
潭	tʰak031	潭：溪中深处，湘潭，鹰潭
搨	tʰan31	搨：搨本
踏	ɔu35	踏：脚踏，践踏
探	taŋ35	探：探路，试探
貪	tʰam35	贪：贪心
答	taŋ35	答：回答
搭	aŋ33	搭：衣服搭在肩上，搭讪
耽	tam35	耽：耽误，耽搁
幼	aŋ35	幼：幼稚，幼小
幽	ʒiu51	幽：幽默
糾	kiu35	纠：纠正
丟	tiu35	丢：扔，丢失
謬	han31	谬：谬论
彪	piau35	彪：林彪
釉	haŋ51	釉：釉彩，上釉
誘	kʰaŋ33	诱：引诱，诱惑
莠	kʰaŋ31	莠：良莠不齐
酉	kʰaŋ31	酉：地支第十
悠	ʒiu51	悠：悠闲
猶	ʒiu51	犹：犹豫
游	ʒiu51	游：游泳，旅游
油	ʒiu51	油：菜油，油滑
由	ʒiu51	由：理由，由来
祐	kaŋ31	佑：保佑
右	tsʰak051	右：右面，左右
又	tsʰaŋ51	又：又来了，又红又专
友	tsʰaŋ31	友：朋友，友谊
有	tsʰaŋ35	有：有无，拥有
郵	ʒiu51	邮：邮票，邮电
尤	ʒiu51	尤：尤其
憂	ʒiu51	忧：担忧，忧伤
優	ʒiu51	优：优秀
嗅	nak051	嗅：嗅觉，闻
朽	naŋ51	朽：朽木，腐朽，永垂不朽
休	siu35	休：休息，退休
牛	ȵiu51	牛：吹牛，一头牛
柩	tʰaŋ51	柩：已装尸的棺材
舊	tʰaŋ51	旧：新旧，旧货
咎	tʰaŋ51	咎：咎由自取
臼	tʰak051	臼：石臼，脱臼
仇	ʧʰiu51	仇：姓
球	kʰiu51	球：汽球，地球
求	kʰiu51	求：要求，求雨
丘	kʰiu35	丘：一丘田，姓
究	taŋ35	究：研究，究竟
救	ʒiu33	救：救命，求救
灸	ʒiu51	灸：针灸
韭	kiu35	韭：韭菜
久	tiu35	久：长久，久仰
九	miau31	九：数字
糾	kiu35	纠：纠缠
鬮	kiu35	阄：抓阄
鳩	kiu35	鸠：斑鸠
揉	ʒiu51	揉：揉痛的地方，揉眼睛。揉面团
柔	ʒiu51	柔：温柔，柔软
壽	ʒiu51	寿：做寿，寿星
受	ʒiu51	受：接受，受苦，受记（把仇恨等记在心里）
仇	ʧʰiu51	仇：报仇
酬	ʧʰiu51	酬：报酬，酬谢
獸	ʒiu33	兽：野兽，兽性
守	ʒiu33	守：看守（养牛，看东西），保守，守卫
首	ʒiu33	首：首都
手	ʒiu35	手：身体部位，手艺，手段
收	ʃiu35	收：秋收，收集
臭	ʒiu51	臭：香臭
醜	ʒiu51	丑：难看，丑恶
咒	ʒiu35	咒：咒人
帚	ʒiu51	帚：扫帚
週	tʃiu35	周：一周，周年
洲	ʧiu35	洲：亚洲
州	tʃiu35	州：杭州
舟	ʦiu35	舟：舟山
周	ʦeu35	周：姓
漱	kʰiu33	漱：漱口
瘦	tʃiu35	瘦：人瘦了
蒐	seu35	搜：搜集
餿	seu35	馊：饭馊了
搜	ʃiu35	搜：搜查，搜身
驟	kʰiu51	骤：步骤，暴风骤雨
愁	ʃiu51	愁：发愁，愁眉苦脸
矁	kiu35	瞅：看，瞧
縐	kiu33	绉：文绉绉，绉纱
皺	kiu33	皱：老人皮肤皱，皱纹
掫	ʦiu35	掫：望上掫
宙	kiu31	宙：宇宙
紂	kiu35	纣：商纣王
籌	ʧʰiu51	筹：筹码，筹备
稠	ʧʰiu51	稠：稠密
綢	ʧʰiu51	绸：绸缎，丝绸
丑	ʒiu51	丑：地支名
抽	tʃʰiu35	抽：抽出，抽屉
晝	ʃiu33	昼：白天，昼夜中午，日昼
肘	ʃiu33	肘：手肘，肘子（蹄膀）
袖	ʃiu33	袖：袖子，领袖
泅	tʃʰiu51	泅：游水
囚	tʃʰiu51	囚：囚笼，囚犯
宿	tʃʰiu33	宿：星宿
銹	ʃiu31	锈：生锈
繡	ʃiu31	绣：绣花，刺绣
秀	ʃiu31	秀：清秀，秀才
羞	siu35	羞：害羞，羞愧
修	siu35	修：修理，装修
就	tʃʰiu31	就：成就，就去
鰍	tsʰiu35	鳅：泥鳅
秋	ʦʰiu35	秋：秋千
秋	tsʰiu35	秋：秋天，春秋
酒	tʃiu35	酒：喝酒，酒精
揪	tsiu35	揪：揪头发
廖	leu33	廖：姓
餾	fu33	馏：蒸馏水
溜	pʰɔu51	溜：溜走，滑
柳	fu33	柳：柳树，姓
硫	liu51	硫：硫磺
琉	liu51	琉：琉璃
榴	liu51	榴：石榴
劉	liu51	刘：姓，刘备
留	liu51	留：留下，停留
流	liu51	流：水流，流动
扭	eu31	扭：扭动，用两个手指掐
紐	kʰi35	纽：纽扣，纽带
矛	mau51	矛：矛盾，长矛
謀	miau51	谋：阴谋，谋财
復	heu33	复：复兴，唧唧复唧唧
婦	heu33	妇：妇女、媳妇
負	heu33	负：负担，负责
浮	fu51	浮：浮动，轻浮
副	heu51	副：正副
富	heu51	富：有钱，富贵
不	heu51	不：
慪	fuŋ31	怄：怄气
漚	ŋeu31	沤：久浸水中
毆	ŋeu31	殴：殴打
嘔	ŋeu35	呕：呕吐
區	kʰi35	区：姓
甌	eu35	瓯：瓯江
歐	eu35	欧：姓，欧洲
候	kʰeu31	候：等候，候车
厚	kʰeu33	厚：厚薄，忠厚
后	keu35	后：皇后
猴	heu51	猴：动物，属相
喉	heu51	喉：喉咙
侯	heu33	侯：诸侯，姓
鱟	keu33	鲎：彩虹
吼	keu33	吼：
偶	keu31	偶：偶然
偶	keu31	偶：配偶
藕	keu35	藕：植物
寇	keu35	寇：姓，倭寇
扣	keu35	扣：扣子，纽扣，扣钱
叩	seu33	叩：叩头
口	sau35	口：嘴，门口，口头，开口
瞘	kʰeu31	眍：眼眍下去
摳	kʰeu31	抠：挖，掏
勾	keu35	勾：勾当
購	leu33	购：购买，采购
構	leu33	构：结构，构造
彀	leu51	够：往上够
够	leu51	够：足够，够了
垢	leu51	垢：污垢
苟	leu51	苟：苟且偷生
狗	tʰeu33	狗：动物
溝	keu35	沟：阴沟，畎沟，沟通
鈎	keu35	钩：鱼钩，打钩
勾	keu35	勾：勾引，勾芡，勾心斗角
