#漢字	音標	解釋
女	ȵi31	女：女人
廬	lu41	庐：～山
驢	lu41	驴：毛驴
呂	li22	吕：姓
旅	li22	旅：～游
慮	lui31	虑：考～
濾	lui31	滤：过～
絮	sɿ22	絮：棉～
徐	tʃʰɿ41	徐：姓
序	ʃɿ31	序：顺～
敍	ʃɿ31	叙：倒～
緖	ʃɿ31	緖：情～；光～
豬	ʧu22	猪：～肉
著	tʃu45	著：～名，显～
除	tʃʰu41	除：～法
儲	ʃu41	储：～蓄
苧	tʃʰu22	苎：～麻
阻	tʃu31	阻：～止，～力
初	tʃʰu22	初：当～，～中
楚	tʃʰu31	楚：清～
礎	tʃʰu31	础：基～
鋤	tʃʰu41	锄：～草，～禾日当午
助	tʃʰu31	助：帮～
梳	ʃu22	梳：梳子[名]；梳头[动]
疏	ʃu22	疏：～远；稀疏
疏	ʃu22	疏：生～
蔬	ʃu22	蔬：～菜
所	sɔu31	所：～以；派出～
疏	ʃu22	疏：注～
諸	tʃu22	诸：姓；～如此类
煮	tʃu31	煮：～饭
處	tʃʰu45	处：～理
處	tʃʰu45	处：～所
書	ʃu22	书：读～
舒	ʃu22	舒：～服
暑	ʃu31	暑：～假
鼠	tʃʰu31	鼠：老～
庶	ʃu45	庶：～民
恕	ʃu45	恕：宽～
署	ʃu31	署：～名
薯	ʃu41	薯：番～
如	ji41	如：～果，假～
居	ʦɿ22	居：～民
車	tsɿ22	车：象棋，～马炮
舉	tsɿ31	举：～报，～重
據	ʦɿ31	据：收～
鋸	tsɿ45	锯：电～
去	ʦʰɿ45	去：来～，过～
渠	tsʰɿ22	渠：水～，～道
佢	tsɿ45	佢：他，第三人称
巨	tsʰɿ22	巨：～大
拒	tsʰɿ22	拒：～绝
距	tsʰɿ22	距：～离
魚	ȵi41	鱼：金～
漁	ȵi41	渔：～业，～夫
語	ȵi22	语：～文
虛	ʃu22	虚：～心
噓	ʃu22	嘘：吹～
許	ʃu31	许：允～；姓
於	ji41	于：在～
淤	ji41	淤：～泥
余	ji41	余：姓
餘	ji41	余：多～
與	ji31	与：参～，给～，～众不同
予	ji31	予：给～
譽	ji31	誉：荣～
預	ji31	预：～报，～备
豫	ji41	豫：犹～
夫	fu22	夫：～妻，车～
膚	fu22	肤：皮～
府	fu31	府：政～
腑	fu31	腑：五脏六～
俯	fu31	俯：～卧撑，～视
甫	pʰu22	甫：杜～
脯	pʰu22	脯：菜～（萝卜干）
斧	pu31	斧：～头
付	fu45	付：应～
咐	fu45	咐：吩～
賦	vu31	赋：天～
傅	fu31	傅：师～[文]
傅	fu31	傅：姓[白]
敷	fu22	敷：～衍，～药
俘	fu22	俘：～虏
孵	pʰu31	孵：孵小鸡
麩	kʰu22	麸：麦～
撫	vu22	抚：～养，安～
赴	fu45	赴：奔～，～汤蹈火
符	pʰu41	符：～合，鬼画～
扶	fu41	扶：～贫，～手[文]
