#漢字	音標	解釋
來	lɔi24	来 过来
災	tsɔi55	灾 水灾
宰	tsɔi221	宰 宰相
再	tsai33	再 再来
載	tsɔi33	载  载重；满载
猜	tsʰai55	猜 猜谜
彩	tsʰɔi221	彩 彩色
睬	tsʰɔi221	睬 理睬
菜	tsʰɔi33	菜 青菜
才	tsʰɔi24	才 天才；刚才
材	tsʰɔi24	材 材料
財	tsʰɔi24	财 发财
在	tsʰai33	在 现在
鰓	ɬɔi55	鳃 鱼鳃
賽	ɬɔi33	赛 比赛
該	kɔi55	该 应该
改	kɔi221	改 修改
概	kʰɔi221	概 大概
開	hɔi55	开 开门
凱	kʰɔi221	凯 凯旋
咳	kʰɛm221	咳 咳嗽
礙	ŋɔi33	碍 妨碍
海	hɔi221	海 大海
孩	hai24	孩 孩子
亥	hɔi33	亥 辛亥革命
哀	ɔi55	哀 悲哀
埃	ai55	埃 尘埃；埃及
愛	ɔi33	爱 喜爱
貝	pui33	贝 宝贝
沛	pʰui221	沛 充沛
帶	tai33	带 鞋带
太	tʰai33	太 太阳
泰	tʰai33	泰 泰山
大	tʰai33	大 大小；大黄（药名）
奈	nai33	奈 无奈
賴	lai33	赖 无赖
癩	lai33	癞 癞痢头
蔡	tsʰɔi33	蔡 姓
蓋	kɔi33	盖 盖子
艾	ŋɛ33	艾 艾草
害	hɔi33	害 害人
拜	pai33	拜 礼拜；拜佛
排	pʰai24	排 排队
埋	mai24	埋 埋葬
齋	tsai55	斋 吃斋
豺	tsʰɔi24	豺 豺狼
階	kai55	阶 台阶
芥	kai33	芥 芥菜
戒	kai33	戒 戒指
揩	kai33	揩 揩油
楷	kai55	楷 楷书
諧	hai221	谐 和谐
械	hai221	械 机械
挨	ai55	挨 挨近
擺	pai221	摆 摇摆
派	pʰai221	派 派出所
牌	pʰai24	牌 牌坊
罷	pʰa221	罢 罢工
稗	pʰai221	稗 稗子
買	mai55	买 买进
賣	mai33	卖 卖掉
奶	nai221	奶 奶奶
債	tsai33	债 还债
差	tsʰai55	差 出差
柴	tsʰai24	柴 火柴
篩	ɬi55	筛 筛子，米筛
灑	ɬa221	洒 洒水
曬	ɬai33	晒 晒谷
街	kai55	街 大街
解	kai221	解 解开；理解
崖	ŋai24	崖 悬崖
捱	ŋai221	捱 捱苦，捱打
鞋	hai24	鞋 布鞋
蟹	hai221	蟹 螃蟹
矮	ai221	矮 高矮
敗	pʰai33	败 失败
邁	mai221	迈 迈步
寨	tsʰai33	寨 山寨
蔽	pi33	蔽 隐蔽
幣	pʰi221	币 人民币
斃	pi55	毙 枪毙
例	lɛ33	例 例子
厲	li33	厉 厉害
祭	tsi33	祭 祭祀
際	tsi33	际 国际
滯	nɛ33	滯 停滞
制	tsɛ33	制 制度；制造
世	sɛ33	世 世界
勢	sɛ33	势 势力
誓	si33	誓 发誓
藝	ŋɛ33	艺 艺术
蓖	pi55	蓖 蓖麻
閉	pi33	闭 关闭
批	pʰɛ55	批 批评
迷	mi24	迷 迷路
米	mi221	米 大米
低	tɛ55	低 高低
堤	tʰi24	堤 河堤
底	tɛ221	底 水底
抵	tɛ221	抵 抵押
帝	ti33	帝 皇帝
梯	tʰɔi55	梯 楼梯
體	tʰi221	体 身体
替	tʰɛ33	替 代替
涕	tʰi33	涕 鼻涕
題	tʰi24	題 题目
提	tʰi24	提 提问
弟	tʰi33	弟 弟弟
第	tʰi33	第 第一
遞	tʰi33	递 传递
泥	nɛ24	泥 水泥
犁	lɛ24	犁 犁地
黎	lɛ24	黎 黎明；姓
禮	li55	礼 礼貌
麗	li33	丽 美丽
擠	tsai55	挤 拥挤
濟	tsi33	济 经济
妻	tsʰi55	妻 妻子
砌	tsʰɛ33	砌 砌墙
齊	tsʰɛ24	齐 整齐
臍	tsʰi24	脐 肚脐
劑	tsai55	剂 药剂
西	ɬi55	西 东西南北
犀	tsʰi24	犀 犀牛
洗	ɬɛ221	洗 洗衣服
細	ɬɛ33	细 粗细；大细
婿	ɬɛ33	婿 女婿
雞	kɛ55	鸡 公鸡
計	kɛ33	计 会计
繼	kɛ33	继 继续
溪	kʰɛ55	溪 小溪
啓	kʰi221	启 启发
契	tʰɛ33	契 地契
倪	ȵi24	倪 姓
系	hɛ33	系 系统；中文系
係	hɛ33	系 是
杯	pui55	杯 茶杯
輩	pui33	辈 长辈
背	pɔi33	背 后背，背人
坯	pʰɔi55	坯 毛坯
配	pʰui221	配 分配
陪	pʰɔi24	陪 陪伴
賠	pʰɔi24	赔 赔钱
倍	pʰui221	倍 倍数
佩	pui33	佩 佩服
背	pɔi33	背 背书，背诵
焙	pɔi33	焙 焙干
梅	mɔi24	梅 梅花
媒	mɔi24	媒 媒人
每	mui55	每 每天
妹	mɔi33	妹 妹妹
堆	tɔi55	堆 堆放
對	tui33	对 对错
推	tʰui55	推 推动
腿	tʰui221	腿 腿部
退	tʰui33	退 退后
隊	tui33	队 队伍
內	nui33	内 内外
雷	lui24	雷 雷公；姓
累	lui221	累 劳累，很累
催	tsʰui55	催 催眠
罪	tsʰui33	罪 犯罪
