#漢字	音標	解釋
料	lɛu33	料：肥～，材～
繳	kiɛu51	缴：～枪，～费
僥	hiɛu55	侥：～幸
叫	hau51	叫：大～；小孩哭
竅	kʰiɛu33	窍：～门
曉	hiɛu51	晓：春～，～得
剖	pʰua33	剖：解～
畝	vɔu51	亩：一～田
母	vɔ51	母：父～
貿	miɛu51	贸：外～，～易
兜	tɔu55	兜：～风
斗	tau51	斗：十升为一斗
鬥	tau21	斗：～争，批～
偸	tʰau55	偷：小～
透	tʰau21	透：～明
頭	tʰau24	头：开～
豆	tau33	豆：黄～
樓	lau24	楼：～下
漏	lau33	漏：～水，～斗
走	tsau51	走：行走
奏	tsiu21	奏：节～
湊	ʦʰau33	凑：～数，～热闹
鉤	kau55	钩：鱼～
狗	kau51	狗
夠	kau21	够：足～
摳	kʰau55	抠：挖
口	kʰau51	口：～头，开～
口	kʰau51	口：一～饭
扣	kʰau21	扣：～钱，～压
藕	ȵiu51	藕：～断丝连，莲～
喉	au24	喉：～咙
後	au33	后：～生，～来[文]
後	au33	后：～日[白]
歐	ᵉau55	欧：～洲；姓
嘔	au51	呕：～吐
漚	au33	沤：久浸水中，～坏，～肥
否	viou51	否：是～，～定
富	hu33	富：丰～，～贵
謀	viou55	谋：计～，～财害命
紐	ȵiu51	纽：纽扣；～约（地名）
劉	lau24	刘：姓
柳	liu51	柳：～树
酒	tsiu51	酒：～精
秋	tsʰiu55	秋：～天；～千
就	tsiu21	就：成～，～去
修	siu55	修：装～，～正
秀	siu33	秀：清～，～才
袖	ʦʰiu33	袖：领～
晝	tau21	昼：上～，～夜
散	suã33	散：分～，解～
亁	kuã55	干：饼～
趕	kuã51	赶：追～
幹	kuan21	干：～部，才～
割	kua51	割：～禾（割稻）
看	kʰuã21	看：看见
渴	kʰua51	渴：口渴；～望
岸	ŋan33	岸：口～，两～
寒	han24	寒：大～，～流
汗	kuã33	汗：出～，～马功劳
安	an55	安：公～，～全
案	uã21	案：～件，档～
扮	pan21	扮：打～
八	pɛ51	八：数字
辦	pan33	办：～事
拔	pat033	拔：选～
盞	tsua51	盏：灯～（灯）
紮	tsap021	扎：～紧，驻～
鏟	tsʰan51	铲：～草
察	tsʰat021	察：观～
山	suã55	山
產	suã51	产：生～
殺	sat021	杀：自～
間	kan55	间：房～，中～
揀	kan51	拣：挑选
眼	ŋan51	眼：针～
閑	an24	闲：～事，空～
限	han33	限：期～，～制
班	pan55	班：上～
板	pan51	板：黑～，石～
蠻	man24	蛮：不听话；野～
慢	man33	慢：～车
顏	ŋan24	颜：姓；～色
雁	ŋan33	雁：大～
變	piɛn21	变：～化，改～
篇	pʰiɛn55	篇：一～文章
便	piɛn33	便：～宜
辨	pʰiɛn33	辨：分～，～别
便	piɛn33	便：方～
別	piɛt033	别：离～，分～
棉	mĩ24	棉：～花
免	miɛn55	免：难～，～除
面	vin33	面：～子
滅	miɛt055	灭：消～，～亡
聯	liɛn24	联：～系；对～
烈	liɛt055	烈：～士，热～
煎	tsiɛn55	煎：～药，～鱼
剪	tsiɛn51	剪：～刀
箭	tsĩ33	箭：射～
淺	tsʰiɛn51	浅：深～
錢	tsi24	钱：～财
賤	tsiɛn33	贱：下～，～人
仙	siɛn55	仙：神～
癬	siɛn51	癣：发～（生癣）
線	suã21	线：～索
展	tsiɛn51	展：开～，发～
撤	ʦʰiɛt055	撤：～退
纏	tĩ24	缠：纠～，～线
戰	ʦiɛn21	战：～斗
折	tsiɛt051	折：～断，打～
舌	tsi55	舌：舌头
設	siɛt051	设：～计，建～
善	siɛn33	善：～良，心～
然	jiɛn24	然：～后，居～
熱	jiɛt055	热：冷～，～情
乾	kʰiɛn24	乾：～坤，～隆
件	kiã33	件：事～
傑	kʰiɛt055	杰：～出
延	jiɛn24	延：～长，～安
演	jiɛn55	演：～员，表～
建	kiɛn33	建：～设
揭	kʰiɛt021	揭：～发，～露
言	jiɛn24	言：语～
獻	hiɛn33	献：贡～
歇	tʰau51	歇：～夜（过夜）
邊	pĩ55	边：～疆，旁～
扁	pĩ51	扁：圆扁
片	pʰiɛn51	片：一～，～面
撇	pʰiɛt021	撇：～捺，～开
顚	tiɛn33	颠：～倒
典	tiɛn51	典：～型，词～
天	tʰĩ55	天：～才
鐵	tʰi51	铁：～皮
田	tsʰan24	田：种～
電	tiɛn33	电：触～，～灯
墊	tiɛn21	垫：～钱，座～
年	nĩ24	年：过～
捏	nĩ55	捏：以指尖捏取小面积
練	liɛn33	练：～习，熟～
薦	tsiɛn21	荐：推～
節	tsie51	节：～约，竹～
千	ʦʰan55	千：～万
切	tsʰiɛt021	切：～菜
截	tsʰiɛt021	截：～断
先	siɛn55	先：祖～，～进
見	kiɛ̃33	见：～人，～识
潔	kiɛt021	洁：～白，清～
牽	kʰan55	牵：～牛花
硏	ŋan55	研：～究
