#漢字	音標	解釋
斧	pu21	斧：～头
付	fu51	付：应～
咐	fu21	咐：吩～
賦	fu51	赋：天～
傅	fu21	傅：师～[文]
傅	fu51	傅：姓[白]
敷	fu44	敷：～衍，～药
俘	fu44	俘：～虏
孵	pʰu21	孵：孵小鸡
撫	vu21	抚：～养，安～
殕	pʰu21	殕：食物长毛变质，臭～
赴	fu51	赴：奔～，～汤蹈火
訃	puk031	讣：～告
符	pʰu25	符：～合，鬼画～
扶	fu44	扶：～贫，～手[文]
扶	pʰu25	扶：搀扶，～起来[白]
芙	fu44	芙：～蓉
父	fu21	父：～亲
釜	fu21	釜：破～沉舟
腐	fu21	腐：～败
腐	fu21	腐：豆～
輔	pu21	辅：～导，～助
附	fu51	附：～近，～带
無	vu25	无：没有，～中生有[文]
無	mau25	无：没有，～事[白]
巫	mu25	巫：姓；～婆
誣	mu25	诬：～陷，～告
武	vu21	武：～器，～术
舞	vu21	舞：跳～
舞	mu21	舞：拨弄，摆弄[白，动]
侮	vu44	侮：～辱
鵡	vu21	鹉：鹦～
務	vu51	务：任～，～农
霧	vu51	雾：大～
縷	lɛu21	缕：千丝万～
屢	lui44	屡：～次，～教不改
趨	tsʰi44	趋：～势
取	tsʰi21	取：～钱
娶	tsʰi21	娶：嫁～
趣	tsʰi51	趣：兴～
聚	tsʰi51	聚：～会
聚	tsʰiu44	聚：捡～（收拢）[白]
須	si44	须：必～
鬚	si44	须：胡～
需	si44	需：～要
續	siuk044	续：连～，继～
誅	tʃu44	诛：天～地灭
蛛	tʃu44	蛛：蜘～
株	tʃu44	株：守～待兔
駐	tʃu51	驻：～扎
註	tʃu51	注：～释
廚	tʃʰu25	厨：～房
櫥	tʃʰu25	橱：碗～
柱	tʃʰu44	柱：柱子
住	tʃʰu21	住：～宿
雛	tʃʰɿi44	雏：～形
數	sɿ51	数：～落，～星星[动]
數	sɿ51	数：～字，～学
朱	tʃu44	朱：姓
珠	tʃu44	珠：珍～
主	tʃu21	主：～人，地～
注	tʃu51	注：～意
