#漢字	音標	解釋
皮	pʰi25	皮：调～，～肤
此	tsʰɿ31	此：到～为止
知	ti44	知：通～，～道，无～[文]
知	ti44	知：知道，唔～[白]
池	kʰi25	池：水～
紙	tʃi31	纸：白～
兒	ji25	儿：～童
騎	kʰi25	骑：～马
徛	kʰi44	徛：站立；（山）斜度高
儀	ȵi25	仪：礼～，～式
蟻	ni44	蚁：蚂蚁，白～
義	ȵi51	义：情～，～气
戲	hi51	戏：做～
椅	ji31	椅：椅子，藤～
易	ji51	易：容～
鄙	pe31	鄙：差劲[白]
比	pi31	比：～较，对～
屁	pʰi51	屁：放～
鼻	pʰi51	鼻：鼻子；鼻涕
眉	mi25	眉：眉毛，画～
美	mui44	美：～丽，～化
地	tʰi51	地：土～
膩	ni51	腻：油～，细～
資	tsɿ44	资：～本
姊	tsi31	姊：～妹
次	tsʰɿ51	次：名～，～品
自	tsʰɿ51	自：～私
四	si51	四：数字
師	sɿ44	师：老～，～父
指	tʃi31	指：手～，～甲
屎	ʃi31	屎：狗～
二	ȵi51	二：数字
姨	ji25	姨：大～，～丈
李	li31	李：姓；水果
理	li44	理：道～，～由
子	tsɿ31	子：～孙；孔～
字	tsʰɿ51	字：～典，文～
絲	sɿ44	丝：～绸
詞	tsʰɿ25	词：歌～
寺	sɿ51	寺：～庙，灵光～
柿	sɿ51	柿：柿子，～饼
痣	tʃi51	痣：乌～
齒	tʃʰi31	齿：牙～
詩	ʃi44	诗：～人
時	ʃi25	时：～间，当～
耳	ȵi31	耳：耳朵，中～炎
基	ki44	基：～本，地～
記	ki51	记：笔～，～号
起	hi31	起
喜	hi31	喜：～欢
醫	ji44	医：～生
意	ji44	意：～思
以	ji31	以：可～，～为
幾	ki31	几：～只
氣	kʰi51	气：～人，空～
希	hi44	希：～望
隨	sui25	随：～时，～便
吹	tʃʰɔi44	吹：～牛皮，～喇叭
跪	kui51	跪：下～
危	ŋui25	危：～险，安～
委	vui44	委：～托，常～
類	lui51	类：分～
追	tʃui44	追：～求[文]
衰	sɔi44	衰：～弱，～老[文]
水	sui31	水：～果，～平
龜	kui44	龟：乌～
葵	kʰui25	葵：向日～，～花籽
櫃	kui51	柜：～台
位	vui51	位：座～，～置
維	vui25	维：～生素，～持，纤～
飛	pui44	飞：～机；飞行
費	fui51	费：～用，浪～
肥	pʰui25	肥：化～，～肉
尾	mui44	尾：尾巴
味	mui51	味：～道，～精
鬼	kui31	鬼：鬼神
貴	kui51	贵：～重
魏	ŋui51	魏：～国；姓
威	vui44	威：～风，～胁
畏	vui51	畏：不喜欢；怕，～热
偉	vui31	伟：～大
胃	vui51	胃：肠～
寶	pɔ31	宝：～贝
報	pɔi51	报：～告，日～
袍	pʰau25	袍：长～，袄～
暴	pʰau51	暴：～雨，残～
毛	mɔ44	毛：～病，鸡～
帽	mɔ51	帽：草～
刀	tɔ44	刀：菜～
到	tɔ51	到：～站
討	tʰɔ31	讨：～老婆，～厌
套	tʰau51	套：配～，～房
桃	tʰɔ25	桃：杨～，～花
導	tʰɔ31	导：领～，～师
惱	nɔ31	恼：烦～[文]
惱	nau44	恼：讨厌，不喜欢[白]
勞	lɔ25	劳：～动
老	lɔ31	老：～爷，～实
糟	tsɔ44	糟：酒～，～糕
早	tsɔ31	早：还～
竈	tsɔ51	灶：～头，～神
草	tsʰɔ31	草：青～，～稿
造	tsʰɔ51	造：创～
臊	sɔ44	臊：臭～
掃	sɔ51	扫：～地[动]
嫂	sɔ31	嫂：大～
髙	kɔ44	高：姓；～低
稿	kɔ31	稿：草～，～纸
吿	kɔ51	告：报～，～状
考	kʰau31	考：～试，大～
靠	kʰau51	靠：依～，可～
熬	ŋau25	熬：～汤，～夜
好	hɔ31	好：～人
號	hɔ51	号：～码，口～[名]
襖	ɔ31	袄：棉～，～袍
包	pau44	包：钱～，～围
飽	pau31	饱：食～（吃饱）
爆	pau51	爆：～炸
炮	pʰau51	炮：枪～
跑	pʰau44	跑：～步
茅	mɔ44	茅：～庐
貓	ȵiau51	猫：大～
貌	mau51	貌：礼～
鬧	nau51	闹：～热，～事
罩	tsau51	罩：灯～，床～
爪	tsau31	爪：鸡～
抄	tsʰau44	抄：～书
炒	tsʰau31	炒：～股，～菜
交	kau44	交：～通，～钱[文]
咬	ŋau44	咬：～人
孝	hau51	孝：～顺
效	hau51	效：～果
標	piau44	标：～准，～志，招～
表	piau31	表：图～，～扬
票	pʰiau51	票：车～
苗	miau25	苗：鱼～，～族
秒	miau31	秒：～针
廟	miau51	庙：和尚～
療	liau25	疗：治～，～养
椒	tsiau44	椒：胡～
消	siau44	消：～化
小	siau31	小：～姐，～人
笑	siau51	笑：～话，玩～
朝	tʃeu44	朝：～晨，三～
超	tʃʰeu44	超：～过
朝	tʃʰeu25	朝：～代
趙	tʃʰeu51	赵：姓
招	tʃeu44	招：～生
照	tʃeu51	照：～明，～顾
燒	ʃeu44	烧：～水，发～
少	ʃeu31	少：～数，多～
少	ʃeu31	少：～年，～爷
饒	ȵiau25	饶：～命，求～
繞	ȵiau25	绕：围～，～线
嬌	kiau44	娇：～气，做～（撒娇）
橋	kʰiau25	桥：大～
轎	kʰiau51	轿：坐～，扛～
要	jeu44	要：～求
要	jeu51	要：重～
搖	jeu25	摇：动～，～篮
舀	jeu31	舀：～水
耀	jeu51	耀：～眼，荣～
鳥	tsiɔk055	鸟：花～市场[文]
鳥	tsiɔk055	鸟：～笼[白]
鳥	tiau31	鸟：骂人话，交合[白]
吊	tiau51	吊：上～，～车
挑	tʰiau44	挑：～剔，～担
跳	tʰiau51	跳：～高，起～
條	tʰiau25	条：～件，字～
調	tʰiau51	调：音～
尿	niau51	尿：屙～
