#漢字	音標	解釋
蜻	ʦʰeŋ51	蜻：～蜓
靑	ʦʰeŋ51	青：～色，～年
績	ʦek055	绩：成～
曆	lek022	历：日～，～书
歷	lek022	历：～史，经～
另	leŋ22	另：～外
翎	leŋ42	翎：～毛，顶上花～
伶	leŋ42	伶：～俐（干净）[白]
伶	leŋ42	伶：聪明～俐[文]
鈴	leŋ42	铃：～声，风～
零	leŋ42	零：十～个，～头
靈	leŋ42	灵：～活
溺	lek055	溺：～爱，～死
寧	leŋ42	宁：～可
寧	leŋ42	宁：安～；～波（地名）
糴	tɛk022	籴：～米（买米）
狄	tek022	狄：姓，～青
敵	tek022	敌：～人
笛	tɛk022	笛：笛子
定	teŋ22	定：稳～；永～（地名）
挺	tʰeŋ13	挺：～起来[白]
挺	tʰeŋ13	挺：坚～，叶～[文]
艇	tʰɛŋ13	艇：快～，潜～
蜓	tʰeŋ42	蜓：蜻～
庭	tʰeŋ42	庭：家～，～院
廷	tʰeŋ42	廷：朝～
停	tʰeŋ42	停：～止
亭	tʰeŋ42	亭：凉～
剔	tʰek055	剔：挑～
踢	tʰɛk033	踢：～球
聽	tʰɛŋ51	听：听任，～佢（随他）
聽	tʰeŋ33	听：听任，～佢（随他）
廳	tʰɛŋ55	厅：客～，～长
聽	tʰɛŋ51	听：～话
嫡	tek055	嫡：～系，～亲，～子
滴	tek022	滴：～水，两～
的	tek055	的：目～，～确
訂	tɛŋ22	订：预～，～房间
釘	tɛŋ55	钉：～铁钉[动]
鼎	teŋ24	鼎：～盛
頂	teŋ24	顶：～唔得（顶不住）[文]
頂	teŋ24	顶：山～[白]
釘	tɛŋ55	钉：铁～[名]
丁	teŋ51	丁：天干；姓
覓	mek022	觅：寻～
銘	meŋ13	铭：～文，～刻
並	peŋ33	并：～且，～排
萍	pʰeŋ42	萍：～水相逢；人名用字
萍	pʰeŋ42	萍：薸[训]
屛	pʰeŋ42	屏：～风，～障
甁	pʰeŋ42	瓶：热水～
霹	pʰek055	霹：～雳舞
劈	pʰɛk033	劈：～开，用刀～，雷～
拼	pʰeŋ33	拼：～音
壁	pek033	壁：墙～
腋	jek022	腋：～下
液	jek022	液：～体，输～
易	jek022	易：交～，贸～
譯	jek022	译：翻～
亦	jek022	亦：～可以
贏	jɛŋ44	赢：～输
盈	jeŋ42	盈：～利，～亏
益	jek055	益：得～，有～
纓	jeŋ51	缨：红～枪
嬰	jeŋ51	婴：～儿
輕	heŋ51	轻：不重；年～，～松[白]
輕	heŋ51	轻：年～，～松[文]
頸	kɛŋ24	颈：脖子
石	sɛk022	石：～头，～榴
盛	seŋ22	盛：兴～，茂～
誠	seŋ42	诚：真～，～实
城	seŋ42	城：～市，县～
成	seŋ42	成：事成，做～[白]
成	seŋ42	成：两～[白]
成	seŋ42	成：～功，完～[文]
釋	sek055	释：解～
適	sek055	适：～应，合～
聖	seŋ33	圣：神～，～水
聲	seŋ51	声：～音，笑～
射	sɛ22	射：～箭，发～
尺	ʦʰɛk033	尺：～寸
斥	ʦʰek055	斥：排～，～责
赤	ʦʰek033	赤：～色，～脚
隻	ʦek033	只：两～
政	ʦeŋ33	政：行～，～治
正	ʦeŋ33	正：～好，～来[白]
正	ʦeŋ33	正：立～，～直[文]
整	ʦeŋ24	整：修理，～车[白]
整	ʦeŋ24	整：～体，完～[文]
征	ʦeŋ51	征：长～，特～
正	ʦeŋ51	正：～月
鄭	ʦɛŋ22	郑：～重；姓
程	ʦʰeŋ42	程：姓[白]
程	ʦʰeŋ42	程：～度，路～[文]
呈	ʦʰeŋ42	呈：～现，辞～
逞	ʦʰeŋ24	逞：～能，得～
偵	ʦeŋ51	侦：～察，刑～
貞	ʦeŋ55	贞：～节
夕	ʦek022	夕：～阳
蓆	ʦɛk022	席：草～
席	ʦek022	席：酒～，主～
昔	sek033	昔：～日，今～
惜	sek033	惜：可～，珍～[文]
惜	sek033	惜：疼爱[白]
姓	seŋ33	姓：～名
性	seŋ33	性：～别，天～
省	sɛŋ24	省：反～
藉	ʦek022	藉：狼～
籍	ʦek022	籍：祖～，～贯
淨	ʦɛŋ22	净：干～
靖	ʦeŋ22	靖：李～（人名）
靜	ʦeŋ22	静：安～
晴	ʦʰeŋ42	晴：天～
情	ʦʰeŋ42	情：亲～（亲戚）[白]
情	ʦʰeŋ42	情：感～，～节[文]
請	ʦʰɛŋ24	请：～人，邀～
淸	ʦʰeŋ51	清：～明[白]
淸	ʦʰeŋ51	清：～楚，～水[文]
脊	ʦɛk033	脊：～椎，背～
跡	ʦek055	迹：脚～，油～[白]
跡	ʦek055	迹：～象，痕～[文]
積	ʦek055	积：～极，累～
井	ʦɛŋ24	井：～水，～～有条
睛	ʦeŋ55	睛：眼～
晶	ʦeŋ55	晶：水～
精	ʦeŋ51	精：～神
令	leŋ22	令：命～，口～
嶺	lɛŋ13	岭：～岗[白]
嶺	leŋ13	岭：～南[文]
領	leŋ13	领：～导，衫～（衣领）
名	meŋ42	名：姓～
闢	pʰek055	辟：开～，复～
僻	pʰek055	僻：偏～，～静
聘	pʰeŋ33	聘：～请，特～
璧	pek033	璧：美玉，珠联～合
倂	pʰeŋ33	并：合～
餠	pɛŋ24	饼：～干
映	jeŋ24	映：反～
影	jeŋ24	影：电～
英	jeŋ51	英：～雄；～国（国名）
逆	jek022	逆：～风
迎	jeŋ42	迎：～接，欢～
屐	kʰɛk022	屐：木～
劇	kʰɛk022	剧：快[白]
劇	kʰɛk022	剧：～烈，京～[文]
競	keŋ22	竞：～争，～赛
鯨	kʰeŋ42	鲸：～鱼
慶	heŋ33	庆：～祝
卿	heŋ51	卿：～家；人名用字
鏡	kɛŋ33	镜：镜子
竟	keŋ24	竟：～然
敬	keŋ33	敬：尊～，～酒
警	keŋ24	警：～察，报～
景	keŋ24	景：～色，风～
境	keŋ24	境：环～，～界
驚	keŋ51	惊：害怕；～蛰
荊	keŋ51	荆：布～子（中药）[白]
荊	keŋ51	荆：～州（地名）[文]
京	keŋ51	京：北～，～剧
命	mɛŋ22	命：～运，算～[白]
命	meŋ22	命：～令[文]
皿	meŋ13	皿：器～
盟	mɐŋ42	盟：同～，～友
明	meŋ42	明：清～[白]
明	meŋ42	明：～白，清～[文]
鳴	meŋ42	鸣：～叫
病	pɛŋ22	病：～人
評	pʰeŋ33	评：批～，～论
坪	pʰeŋ42	坪：草～
平	pʰeŋ42	平：～头，～地[白]
平	pʰeŋ42	平：和～，～时[文]
碧	pek055	碧：～玉，～绿
柄	pɛŋ33	柄：刀～，把～
秉	peŋ24	秉：～持，～公办事
丙	peŋ24	丙：天干，甲乙丙丁
兵	peŋ51	兵：当～
扼	ak055	扼：～杀，～制
櫻	jeŋ51	樱：～桃
鸚	jeŋ51	鹦：～鹉
鶯	ɐŋ55	莺：黄～，夜～
幸	hɐŋ22	幸：荣～，～福
莖	kwʰaŋ24	茎：根；莲～
隔	kak033	隔：～壁
革	kap033	革：～命，改～
耿	kɐŋ24	耿：忠心～～；姓，～精忠
耕	kaŋ51	耕：～田
冊	ʦʰak033	册：两～，～封
策	ʦʰak033	策：～划，政～
責	ʦak033	责：～任，负～
睜	ʦɐŋ51	睁：～眼
箏	ʦɐŋ55	筝：风～
爭	ʦaŋ51	争：相～，～唔多（差不多）[白]
爭	ʦɐŋ51	争：～取，斗～[文]
摘	ʦak022	摘：～菜
脈	mak022	脉：～搏，把～
麥	mak022	麦：小～，～芽糖
氓	mɔŋ42	氓：流～
萌	mɐŋ42	萌：～芽
棚	pʰaŋ42	棚：楼～，瓜～
擘	mek055	擘：用手分开，～开
浜	pɔŋ51	浜：沙家～
行	hɐŋ22	行：品～
杏	hɐŋ22	杏：～仁
衡	hɐŋ42	衡：～量，平～
行	hɐŋ42	行：～为；行走
嚇	hak033	吓：～一跳
赫	hak055	赫：～～有名，显～
亨	hɐŋ51	亨：～通；～特（人名）
額	ak033	额：名～
硬	aŋ22	硬：软～
客	hak033	客：请～
坑	haŋ55	坑：水～，～沟
格	kak033	格：空～，三～[白]
格	kak033	格：～式；还珠～～[文]
更	kɐŋ33	更：～加
梗	kwʰaŋ24	梗：茎，菜～[白]
梗	kɐŋ24	梗：心肌～塞[文]
哽	kʰɐŋ24	哽：哽住，骨头～到
羹	kɐŋ55	羹：调～；米糊
庚	kɐŋ51	庚：天干，庚辛壬癸
更	kaŋ51	更：五～
更	kɐŋ51	更：～换，～衣
省	han51	省：节省，～钱[白]
省	saŋ24	省：～长，节～[文]
甥	sɐŋ55	甥：外～
牲	sɐŋ51	牲：头～[白]
牲	sɐŋ51	牲：牺～[文]
生	sɐŋ51	生：与“死”相对[白]
生	sɐŋ55	生：学～，～活[文]
窄	tsak033	窄：狭～
宅	tsak022	宅：住～
擇	tsak022	择：～菜[白]
擇	tsak022	择：选～[文]
澤	tsak022	泽：毛～东（人名）
拆	ʦʰak033	拆：～开
撐	ʦʰaŋ51	撑：支～，～开
冷	laŋ13	冷：～热，～清
打	ta24	打：～针
陌	mak022	陌：～生人
?	pʰak033	?：大力打
孟	maŋ22	孟：姓，～姜女
猛	maŋ13	猛：～烈，凶～
虻	mɔŋ55	虻：牛～
盲	maŋ42	盲：文～，～目
白	pak022	白：～色
膨	pʰaŋ42	膨：～胀
彭	pʰaŋ42	彭：姓，～德怀
魄	pʰak033	魄：魂～，气～
珀	pʰak033	珀：琥～
拍	pʰak033	拍：～片，～球
烹	pʰaŋ51	烹：～调
迫	pek055	迫：压～，～害[训]
伯	pak033	伯：大～
柏	pʰak033	柏：松～，～树；～林（地名）
百	pak022	百：～姓
域	wek022	域：领～，地～
惑	wak022	惑：迷～
或	wak022	或：～者
弘	wɐŋ42	弘：～扬
國	kwɔk033	国：～家，中～
翼	jek022	翼：鸡～，机～
孕	jɐn22	孕：怀～，～妇
蠅	heŋ55	蝇：乌～（苍蝇）
抑	jek055	抑：～制，压～
億	jek055	亿：十～
憶	jek055	忆：回～
鷹	jeŋ55	鹰：老～
應	jeŋ33	应：～用，响～
應	jeŋ51	应：～当，～该
興	heŋ33	兴：高兴[白]
興	heŋ33	兴：高～，～趣[文]
興	heŋ51	兴：～旺；绍～（地名）
凝	jeŋ42	凝：冰霜，霜～[训]
凝	jeŋ42	凝：凝固，～油[训]
凝	jeŋ42	凝：～聚，～结
極	kek022	极：南～
仍	jeŋ42	仍：～然
植	ʦek022	植：～物
殖	ʦek022	殖：繁～
丞	seŋ42	丞：～相
承	seŋ42	承：～担，继～
飾	sek055	饰：装～
式	sek055	式：～样，公～
識	sek055	识：相～，～字
勝	seŋ33	胜：～利，战～
勝	seŋ33	胜：～任
升	seŋ51	升：～级
蝕	sek022	蚀：腐～
食	sek022	食：粮～；吃
剩	ʦeŋ22	剩：～下，～余
繩	ʦʰeŋ33	绳：～之以法
乘	seŋ42	乘：加减乘除
乘	seŋ42	乘：～机，～车
秤	ʦʰeŋ33	秤：用以称物，～砣
稱	ʦʰeŋ51	称：～呼
稱	ʦʰeŋ33	称：～心如意，对～
職	ʦek055	职：～位，称～
織	ʦek055	织：纺～，～布
症	ʦeŋ33	症：～状
證	ʦeŋ33	证：～明
拯	ʦʰeŋ24	拯：～救；包～（人名）
蒸	ʦeŋ51	蒸：清～，～发
色	sek055	色：颜～，～彩
測	ʦʰak055	测：～量，观～
側	ʦak055	侧：～面
値	ʦek022	值：价～，～日
直	ʦek022	直：～接
瞪	tɐŋ51	瞪：瞪眼[白]
瞪	tɐŋ51	瞪：瞪眼，目～口呆[文]
橙	ʦʰaŋ24	橙：橙子
懲	ʦʰeŋ42	惩：～罚，严～
澄	ʦʰeŋ42	澄：～海（地名）[白]
澄	ʦʰeŋ42	澄：水浑，澄一澄[白]
澄	ʦʰeŋ42	澄：～清[文]
徵	ʦeŋ51	征：～求
媳	sek055	媳：～妇，婆～
熄	sek055	熄：～火
息	sek055	息：子息，孙～[白]
息	sek055	息：休～[文]
鯽	ʦak055	鲫：～鱼
卽	ʦek055	即：～时，立～
力	lek022	力：大～，～量
菱	leŋ42	菱：～角
淩	leŋ42	凌：冰淇～，壮志～云
陵	leŋ42	陵：中山～
匿	lek022	匿：～名信
憑	pɐŋ22	凭：倚靠，～墙[白]
憑	pʰɐŋ42	凭：文～，～借[文]
冰	peŋ51	冰：结～，～箱
恆	hɐŋ42	恒：～心，永～
黑	hak055	黑：～白
克	hak055	克：～服，攻～
刻	hak055	刻：～字[白]
刻	hak055	刻：时～ ，～画[文]
肯	hɐŋ24	肯：愿意，～去[白]
肯	hɐŋ24	肯：～定，中～[文]
塞	sɐk55	塞：堵～，～车
僧	ʦɐŋ55	僧：～人
僧	ʦɐŋ55	僧：唐～，沙～
賊	ʦʰak35	贼：做～
贈	ʦɐŋ22	赠：～送
層	ʦʰɐŋ42	层：～次
曾	ʦʰɐŋ42	曾：～经
蹭	ʦaŋ51	蹭：磨～
則	ʦak055	则：否～，规～
憎	ʦɐŋ51	憎：～恨
增	ʦɐŋ51	增：～加
曾	ʦɐŋ51	曾：姓
陽	jœŋ42	阳：太～；揭～（地名）
楊	jœŋ42	杨：姓；～树
