#漢字	音標	解釋
乎	fu34	乎：在～
瓠	pʰu22	瓠：瓠卢，同葫芦
鬍	fu22	胡：～须
蝴	fu22	蝴：～蝶
糊	fu22	糊：浆～，～涂
戶	fu51	户：～口
滬	fu51	沪：上海简称
互	fu34	互：～相
護	fu51	护：保～，～士
瓠	pʰu34	瓠：瓠瓜（味似葫芦而长）
烏	vu34	乌：黑
污	vu34	污：～染
塢	vu34	坞：船～
惡	ɔk031	恶：可～
女	ȵi31	女：女人
廬	lu22	庐：～山
驢	lu22	驴：毛驴
呂	li34	吕：姓
旅	li31	旅：～游
慮	li51	虑：考～
濾	li51	滤：过～
蛆	tsui31	蛆：蛆虫，生～
絮	sɿ51	絮：棉～
徐	tsʰi22	徐：姓
序	si51	序：顺～
敍	si51	叙：倒～
緖	si51	緖：情～；光～
豬	tʂu34	猪：～肉
著	tʂu51	著：～名，显～
除	tʂʰu22	除：～法
儲	ʂu22	储：～蓄
苧	tʂʰu34	苎：～麻
箸	tʂʰu51	箸：筷子
阻	tsɿ31	阻：～止，～力
初	tsʰɔ34	初：当～，～中
楚	tsʰɔ31	楚：清～
礎	tsʰɔ31	础：基～
鋤	tsʰɔ22	锄：～草，～禾日当午
助	tsʰɿ51	助：帮～
梳	sɔ34	梳：梳子[名]；梳头[动]
疏	sɔ34	疏：～远；稀疏
疏	sɔ34	疏：生～
蔬	sɔ34	蔬：～菜
所	sɔ31	所：～以；派出～
疏	sɔ34	疏：注～
諸	tʂu34	诸：姓；～如此类
煮	tʂu31	煮：～饭
處	tʂʰu31	处：～理
處	tʂʰu51	处：～所
書	ʂu34	书：读～
舒	ʂu34	舒：～服
暑	ʂu31	暑：～假
鼠	tʂʰu31	鼠：老～
恕	ʂu51	恕：宽～
署	tʂu51	署：～名
薯	ʂu22	薯：番～
如	ʒʅ22	如：～果，假～
居	ki34	居：～民
車	ki34	车：象棋，～马炮
舉	ki31	举：～报，～重
據	ki31	据：收～
鋸	ki51	锯：电～
墟	ʂʅ34	墟：～日
去	kʰi51	去：来～，过～
渠	kʰi34	渠：水～，～道
佢	ki22	佢：他，第三人称
巨	ki22	巨：～大
拒	kʰi34	拒：～绝
距	kʰi34	距：～离
魚	ŋ̍22	鱼：金～
漁	ȵi22	渔：～业，～夫
語	ȵi34	语：～文
御	ȵi51	御：～用文人
禦	ȵi51	御：防～
虛	sɿ34	虚：～心
噓	sɿ34	嘘：吹～
許	sɿ31	许：允～；姓
於	ʒʅ34	于：在～
淤	ʒʅ34	淤：～泥
余	ʒʅ22	余：姓
餘	ʒʅ22	余：多～
與	ʒʅ34	与：参～，给～，～众不同
予	ʒʅ34	予：给～
譽	ʒʅ51	誉：荣～
預	ʒʅ51	预：～报，～备
豫	ʒʅ51	豫：犹～
夫	fu34	夫：～妻，车～
膚	fu34	肤：皮～
府	fu31	府：政～
腑	fu31	腑：五脏六～
俯	fu31	俯：～卧撑，～视
甫	pʰu31	甫：杜～
脯	pʰu31	脯：菜～（萝卜干）
斧	pu31	斧：～头
付	fu51	付：应～
咐	fu51	咐：吩～
賦	fu51	赋：天～
傅	fu51	傅：师～[文]
傅	fu51	傅：姓[白]
敷	fu34	敷：～衍，～药
俘	fu34	俘：～虏
孵	pʰu51	孵：孵小鸡
麩	kʰu34	麸：麦～
撫	vu31	抚：～养，安～
赴	fu51	赴：奔～，～汤蹈火
訃	fu51	讣：～告
符	pʰu22	符：～合，鬼画～
扶	fu22	扶：～贫，～手[文]
扶	pʰu22	扶：搀扶，～起来[白]
芙	fu22	芙：～蓉
父	fu51	父：～亲
釜	fu51	釜：破～沉舟
腐	fu31	腐：～败
腐	fu51	腐：豆～
輔	pʰu31	辅：～导，～助
附	fu51	附：～近，～带
無	vu22	无：没有，～中生有[文]
無	mɔ22	无：没有，～事[白]
巫	mu22	巫：姓；～婆
誣	mu22	诬：～陷，～告
武	vu34	武：～器，～术
舞	vu31	舞：跳～
舞	vu31	舞：拨弄，摆弄[白，动]
侮	vu34	侮：～辱
鵡	vu34	鹉：鹦～
務	vu51	务：任～，～农
霧	vu51	雾：大～
縷	liu31	缕：千丝万～
屢	lui34	屡：～次，～教不改
趨	tsʰi34	趋：～势
取	tsʰi31	取：～钱
娶	tsʰi31	娶：嫁～
趣	tsʰi51	趣：兴～
聚	tsʰi51	聚：～会
聚	tsʰiu34	聚：捡～（收拢）[白]
須	si34	须：必～
鬚	si34	须：胡～
需	si34	需：～要
續	siuʔ045	续：连～，继～
誅	tʂu34	诛：天～地灭
蛛	tʂu34	蛛：蜘～
株	tʂu34	株：守～待兔
駐	tʂu51	驻：～扎
註	tʂu51	注：～释
廚	tʂʰu22	厨：～房
櫥	tʂʰu22	橱：碗～
柱	tʂʰu34	柱：柱子
住	tʂʰu51	住：～宿
雛	tʂʰʅ34	雏：～形
數	sɿ51	数：～落，～星星[动]
數	sɿ51	数：～字，～学
朱	tʂu34	朱：姓
珠	tʂu34	珠：珍～
主	tʂu31	主：～人，地～
注	tʂu51	注：～意
蛀	tʂu51	蛀：～虫
鑄	tʂu51	铸：～铁，～钢
樞	kʰi34	枢：中～，～纽
輸	ʂu34	输：～赢
戍	ʂuit031	戍：～边
輸	ʂu34	输：运～
殊	ʂu22	殊：特～
豎	ʂu51	竖：横～
樹	ʂu51	树：～立，种～
儒	ʒʅ22	儒：～家思想
乳	ŋen51	乳：哺～，母～[文]
乳	ŋen51	乳：食～（吃奶），麦～精[训]
拘	kʰiu51	拘：～留
倶	kʰi51	俱：～备，～乐部
矩	ki31	矩：规～，～形
句	ki51	句：～号
區	kʰi34	区：地～，～别
驅	kʰi34	驱：先～，～动
具	kʰi51	具：～体
懼	kʰi51	惧：恐～
愚	ȵi22	愚：～蠢，～公移山
娛	ŋu22	娱：～乐
遇	ȵi51	遇：遭～，相～，～到
寓	ȵi51	寓：～言；公～
迂	ʒʅ34	迂：～回，～腐
于	ʒʅ34	于：姓；等～
吁	ʒʅ34	吁：气喘～～，长～短叹
雨	ʒʅ31	雨：落～，谷～，～水
宇	ʒʅ31	宇：～宙
禹	ʒʅ31	禹：大～治水
羽	ʒʅ31	羽：～毛球
芋	vu51	芋：芋头
逾	ʒʅ51	逾：超过，～期
愉	ʒʅ51	愉：～快
愈	ʒʅ51	愈：病～
喩	ʒʅ51	喻：比～
裕	ʒʅ51	裕：富～
獃	ŋɔi22	呆：书～子，发～[文]
獃	ŋɔi22	呆：发～[白]
戴	tai51	戴：姓；～帽
胎	tʰɔi34	胎：双胞～，～盘
台	tʰɔi22	台：天台
態	tʰai51	态：～度，心～
貸	tʰɔi51	贷：～款
臺	tʰɔi22	台：～湾
苔	tʰɔi22	苔：青～，舌～
抬	tʰɔi22	抬：两个人抬
待	tʰɔi51	待：等～，～人接物
怠	tʰɔi22	怠：～慢，～工
殆	tʰɔi22	殆：百战不～
代	tʰɔi51	代：～替，～表
逮	tʰi51	逮：～捕
袋	tʰɔi51	袋：袋子
乃	nai34	乃：安～近；人名用字
耐	nai51	耐：～力，～心，忍～
來	lɔi22	来：过～，～去
災	tsai34	灾：水～
栽	tsai34	栽：种，～培
宰	tsai31	宰：～相
載	tsɔi51	载：一年半～
再	tsai51	再：～来
載	tsɔi51	载：～重
猜	tsʰai34	猜：～谜
彩	tsʰai31	彩：～色
採	tsʰai31	采：～集
睬	tsʰai31	睬：理睬
菜	tsʰɔi51	菜：煮～，青～
才	tsʰɔi22	才：人～，～气，秀～
材	tsʰɔi22	材，药～，～料
財	tsʰɔi22	财，发～
裁	tsʰai22	裁，～纸，剪～
纔	tsʰɔi22	才：刚～
在	tsʰai51	在：实～，现～[文]
在	tsʰɔi34	在：存在，还～[白]
載	tsɔi51	载：满～而归
腮	sɔi34	腮：～腺炎，～红
鰓	sɔi34	鳃：鱼鳃
賽	sai51	赛：比～
該	kɔi34	该：应～
改	kɔi31	改：修～，～正
概	kʰai31	概：大～，～括
溉	kʰai31	溉：灌～
開	kʰɔi34	开：公～，～门
凱	kʰai31	凯：～旋
慨	kʰai31	慨：慷～，感～
咳	kʰien31	咳：～嗽，止～糖浆
呆	ŋɔi22	呆：～板
礙	ŋɔi51	碍：妨～
海	hɔi31	海：大～
孩	hai22	孩：～童
亥	hɔi51	亥：辛～革命
哀	ɔi34	哀：悲～
埃	ai34	埃：尘～，～及
愛	ɔi51	爱：～情；要
貝	pi51	贝：宝～
貝	pi51	贝：川～，～壳
沛	pʰi51	沛：充～
帶	tai51	带：鞋～
太	tʰai51	太：老～婆
泰	tʰai51	泰：～山
大	tʰai51	大：大小
奈	nai51	奈：无～，～何
賴	lai51	赖：依～，无～；姓
癩	lai51	癞：～蛤蟆[文]
癩	lai51	癞：～哥（癞疮）[白]
蔡	tsʰai51	蔡：姓
蓋	kɔi51	盖：～被[动]；盖子[名]
丐	kɔi51	丐：～帮
艾	ɔi51	艾：姓；～滋病
艾	ŋɔi51	艾：艾草
害	hɔi51	害：～人
藹	ɔi31	蔼：和～，宋～龄
拜	pai51	拜：结～，礼～，～佛
排	pʰai22	排：～队
埋	mai22	埋：～伏
齋	tsai34	斋：食～（吃斋）
豺	sai22	豺：～狼
皆	kai34	皆：～大欢喜
階	kai34	阶：台～，～级
介	kai51	介：～绍，中～
界	kai51	界：世～
芥	kai51	芥：～菜
尬	kai51	尬：尴～
