#漢字	音標	解釋
皮	pʰi21	皮：调～，～肤
此	tsʰi35	此：到～为止
知	tsi55	知：通～，～道，无～[文]
知	tsi55	知：知道，唔～[白]
池	tsʰi21	池：水～
紙	tsi35	纸：白～
兒	ŋi21	儿：～童
騎	kʰe21	骑：～马
徛	kʰi35	徛：站立；（山）斜度高
儀	ji21	仪：礼～，～式
蟻	ŋɐi35	蚁：蚂蚁，白～
義	ji33	义：情～，～气
戲	hi33	戏：做～
椅	ji35	椅：椅子，藤～
易	ji33	易：容～
鄙	pʰi35	鄙：差劲[白]
比	pi35	比：～较，对～
屁	pʰi33	屁：放～
鼻	pi33	鼻：鼻子；鼻涕
眉	mi21	眉：眉毛，画～
美	mi35	美：～丽，～化
地	ti33	地：土～
膩	ni33	腻：油～，细～
資	tsi55	资：～本
姊	tsi35	姊：～妹
次	tsʰi33	次：名～，～品
自	tsi33	自：～私
四	si33	四：数字
師	si55	师：老～，～父
指	tsi35	指：手～，～甲
屎	si35	屎：狗～
二	ŋi33	二：数字
姨	ji21	姨：大～，～丈
李	li35	李：姓；水果
理	li35	理：道～，～由
子	tsi35	子：～孙；孔～
字	tsi33	字：～典，文～
絲	si55	丝：～绸
詞	tsʰi21	词：歌～
寺	tsi33	寺：～庙，灵光～
柿	tsʰi35	柿：柿子，～饼
痣	tsi33	痣：乌～
齒	tsʰi35	齿：牙～
詩	si55	诗：～人
時	si21	时：～间，当～
耳	ŋi35	耳：耳朵，中～炎
基	ki55	基：～本，地～
記	ki33	记：笔～，～号
起	hi35	起
喜	hi35	喜：～欢
醫	i55	医：～生
意	i33	意：～思
以	i35	以：可～，～为
幾	ki35	几：～只
氣	hi33	气：～人，空～
希	hi55	希：～望
隨	tsʰui21	随：～时，～便
吹	tsʰui55	吹：～牛皮，～喇叭
跪	kɐi33	跪：下～
危	ŋɐi21	危：～险，安～
委	uɐi35	委：～托，常～
類	lui33	类：分～
追	tsui33	追：～求[文]
衰	sui33	衰：～弱，～老[文]
水	sui35	水：～果，～平
龜	kɐi55	龟：乌～
葵	kʰɐi21	葵：向日～，～花籽
櫃	kɐi33	柜：～台
位	uɐi33	位：座～，～置
維	uɐi21	维：～生素，～持，纤～
飛	fi55	飞：～机；飞行
費	fɐi33	费：～用，浪～
肥	fi21	肥：化～，～肉
尾	mi35	尾：尾巴
