#漢字	音標	解釋
奴	nu55	奴：～隶
努	nu55	努：～力
怒	nu35	怒：愤～，～气
盧	lu55	卢：姓
爐	lu55	炉：火～
蘆	lu55	芦：～苇
鸕	lu55	鸬：～鹚（扁嘴善捕鱼的水鸟）
魯	lu21	鲁：～国，～迅
虜	lu21	虏：俘～
滷	lu21	卤：盐～，～水
路	lu35	路：大～
賂	lu51	赂：贿～
露	lu51	露：～水，白～，打～
鷺	lu35	鹭：白～
租	tsɿ21	租：～金，出～
祖	tsɿ51	祖：～宗，～国
組	tsɿ21	组：～织，小～
做	tsɔu51	做：～好事
粗	tsʰɿ21	粗：～心
醋	tsʰɿ51	醋：陈～
措	tsʰɿ51	措：～施
錯	tsʰɔu51	错：～误
蘇	sɿ21	苏：～州；姓
酥	sɿ21	酥：脆，杏仁～
素	sɿ51	素：～菜，朴～
訴	sɿ51	诉：上～，倾～
塑	sɔk035	塑：雕～，～料
姑	ku21	姑：大～
孤	ku21	孤：～儿，～单
箍	ku51	箍：紧～咒[文]
箍	ku51	箍：围束，～桶[白]
古	ku51	古：～代
估	kʰu21	估：～计
牯	ku51	牯：牛～
股	ku51	股：～票
故	ku51	故：～事，～乡
蠱	ku51	蛊：养～，～惑
固	ku51	固：～定
錮	ku51	锢：禁～
雇	ku51	雇：～人，～主
顧	ku51	顾：照～
枯	kʰu21	枯：干～，～水
苦	kʰu51	苦：辛～，食～（吃苦）
苦	kʰu51	苦：～味
庫	kʰu51	库：水～，仓～
褲	kʰu51	裤：裤子
吳	m̩55	吴：姓
蜈	m̩55	蜈：～蚣
梧	ŋu55	梧：～桐
五	m̩51	五：数字
伍	m̩51	伍：姓；队～
午	m̩51	午：中～，端～
誤	ŋu35	误：～会，错～
悟	ŋu55	悟：觉～；孙～空
呼	fu21	呼：称～，～吸，招～
虎	fu51	虎：老～
虎	fu51	虎：马～
滸	fu51	浒：水～
戽	fu51	戽：～水（泼水），～斗
胡	fu55	胡：二～ ；姓
湖	fu55	湖：西～
狐	fu55	狐：～狸
壺	fu55	壶：水～
乎	fu21	乎：在～
瓠	fu55	瓠：瓠卢，同葫芦
鬍	fu55	胡：～须
蝴	fu55	蝴：～蝶
糊	fu55	糊：浆～，～涂
戶	fu35	户：～口
滬	fu35	沪：上海简称
互	fu55	互：～相
護	fu35	护：保～，～士
瓠	fu55	瓠：瓠瓜（味似葫芦而长）
烏	vu21	乌：黑
污	vu21	污：～染
塢	pu21	坞：船～
惡	ɔk035	恶：可～
女	ȵi51	女：女人
廬	lu55	庐：～山
驢	lu55	驴：毛驴
呂	li21	吕：姓
旅	li21	旅：～游
慮	li35	虑：考～
濾	li35	滤：过～
蛆	tsɿ21	蛆：蛆虫，生～
絮	si35	絮：棉～
徐	tsʰi55	徐：姓
序	si35	序：顺～
叙	si35	叙：倒～
緖	si35	緖：情～；光～
豬	tʃu21	猪：～肉
著	tʃu51	著：～名，显～
除	tʃʰu55	除：～法
儲	ʃu55	储：～蓄
苧	tʃʰu21	苎：～麻
箸	tʃʰu35	箸：筷子
阻	tsɿ51	阻：～止，～力
初	tsʰɿ21	初：当～，～中
楚	tsʰɿ51	楚：清～
礎	tsʰɿ51	础：基～
鋤	tsʰɿ55	锄：～草，～禾日当午
助	tsʰɿ35	助：帮～
梳	sɿ21	梳：梳子[名]；梳头[动]
疏	sɿ21	疏：～远；稀疏
疏	sɿ21	疏：生～
蔬	sɿ21	蔬：～菜
所	sɔu51	所：～以；派出～
疏	sɿ21	疏：注～
諸	tʃu51	诸：姓；～如此类
煮	tʃu51	煮：～饭
處	tʃʰu51	处：～理
處	tʃʰu51	处：～所
書	ʃu21	书：读～
舒	ʃu21	舒：～服
暑	ʃu51	暑：～假
鼠	tʃʰu51	鼠：老～
庶	ʃu51	庶：～民
恕	ʃu51	恕：宽～
署	ʃu51	署：～名
薯	ʃu55	薯：番～
如	ʒu55	如：～果，假～
居	ki21	居：～民
車	ki21	车：象棋，～马炮
舉	ki51	举：～报，～重
據	ki35	据：收～
鋸	ki51	锯：电～
墟	hi21	墟：～日
去	kʰi51	去：来～，过～
渠	ki55	渠：水～，～道
佢	ki55	佢：他，第三人称
巨	ki55	巨：～大
拒	ki51	拒：～绝
距	kʰi21	距：～离
魚	m̩55	鱼：金～
漁	ȵi55	渔：～业，～夫
語	ȵi21	语：～文
御	ȵi35	御：～用文人
禦	ȵi35	御：防～
虛	hi21	虚：～心
噓	hi21	嘘：吹～
許	ʃu51	许：允～
於	ʒu55	于：在～
淤	ʒu55	淤：～泥
余	ʒu55	余：姓
餘	ʒu55	余：多～
與	ʒu21	与：参～，给～，～众不同
予	ʒu21	予：给～
譽	ʒu35	誉：荣～
預	ʒu35	预：～报，～备
豫	ʒu35	豫：犹～
夫	fu21	夫：～妻，车～
膚	fu21	肤：皮～
府	fu51	府：政～
腑	fu51	腑：五脏六～
俯	fu51	俯：～卧撑，～视
甫	pʰu51	甫：杜～
脯	pu51	脯：菜～（萝卜干）
斧	pu51	斧：～头
付	fu35	付：应～
咐	fu51	咐：吩～
賦	fu35	赋：天～
傅	fu35	傅：师～[文]
傅	fu35	傅：姓[白]
敷	fu21	敷：～衍，～药
俘	fu21	俘：～虏
孵	pʰu35	孵：孵小鸡
麩	fu21	麸：麦～
撫	fu51	抚：～养，安～
殕	pʰu51	殕：食物长毛变质，臭～
赴	fu35	赴：奔～，～汤蹈火
訃	fu35	讣：～告
符	fu55	符：～合，鬼画～
扶	fu55	扶：～贫，～手[文]
扶	fu55	扶：搀扶，～起来[白]
芙	pʰu55	芙：～蓉
父	fu35	父：～亲
釜	fu51	釜：破～沉舟
腐	fu35	腐：～败
腐	fu35	腐：豆～
輔	pʰu21	辅：～导，～助
附	fu35	附：～近，～带
無	vu55	无：没有，～中生有[文]
無	vu55	无：没有，～事[白]
巫	mɔu55	巫：姓；～婆
誣	mɔu55	诬：～陷，～告
武	vu51	武：～器，～术
舞	vu51	舞：跳～
舞	vu51	舞：拨弄，摆弄[白，动]
侮	vu21	侮：～辱
鵡	vu51	鹉：鹦～
務	vu35	务：任～，～农
霧	vu51	雾：大～
縷	li21	缕：千丝万～
屢	li21	屡：～次，～教不改
趨	tsʰi21	趋：～势
取	tsʰi51	取：～钱
娶	tsʰi51	娶：嫁～
趣	tsʰi51	趣：兴～
聚	tsʰi35	聚：～会
聚	tsʰiu21	聚：捡～（收拢）[白]
須	si21	须：必～
鬚	si21	须：胡～
需	si21	需：～要
續	siuk035	续：连～，继～
誅	tʃu21	诛：天～地灭
蛛	tʃu21	蛛：蜘～
株	tʃu21	株：守～待兔
駐	tʃʰu35	驻：～扎
註	tʃu51	注：～释
廚	tʃʰu55	厨：～房
櫥	tʃʰu55	橱：碗～
柱	tʃʰu21	柱：柱子
住	tʃʰu35	住：～宿
雛	tsʰi21	雏：～形
數	sɿ51	数：～落，～星星[动]
數	sɿ51	数：～字，～学
朱	tʃu21	朱：姓
珠	tʃu21	珠：珍～
主	tʃu51	主：～人，地～
注	tʃu51	注：～意
蛀	tʃu51	蛀：～虫
鑄	tʃu51	铸：～铁，～钢
樞	ʃu21	枢：中～，～纽
輸	ʃu21	输：～赢
戍	sut035	戍：～边
輸	ʃu21	输：运～
殊	ʃu55	殊：特～
豎	ʃu51	竖：横～
樹	ʃu35	树：～立，种～
儒	ʒu55	儒：～家思想
乳	ʒu35	乳：哺～，母～[文]
乳	nen21	乳：食～（吃奶），麦～精[训]
拘	kʰi21	拘：～留
倶	kʰi35	俱：～备，～乐部
矩	ki51	矩：规～，～形
句	ki51	句：～号
區	kʰi21	区：地～，～别
驅	kʰi21	驱：先～，～动
具	kʰi35	具：～体
懼	kʰi35	惧：恐～
愚	ȵi55	愚：～蠢，～公移山
虞	ŋ̍55	虞：姓，～姬
娛	ŋu35	娱：～乐
遇	ȵi35	遇：遭～，相～，～到
寓	ȵi21	寓：～言；公～
迂	ʒu55	迂：～回，～腐
于	ʒu55	于：姓；等～
吁	ʒu55	吁：气喘～～，长～短叹
雨	ʒu51	雨：落～，谷～，～水
宇	ʒu35	宇：～宙
禹	ʒu21	禹：大～治水
羽	ʒu35	羽：～毛球
芋	ʒu35	芋：芋头
逾	ʒu35	逾：超过，～期
愉	ʒu35	愉：～快
愈	ʒu35	愈：病～
喩	ʒu35	喻：比～
裕	ʒu35	裕：富～
獃	tai21	呆：书～子，发～[文]
獃	ŋɔŋ21	呆：发～[白]
戴	tai51	戴：姓；～帽
