#漢字	音標	解釋
需	si33	～要
續	siuk055	连～，继～
誅	tsu33	天～地灭
蛛	tsu33	蜘～
株	tsu33	守～待兔
駐	tsu51	～扎
註	tsu51	～释
廚	tsʰu21	～房
櫥	tsʰu21	碗～
柱	tsʰu35	柱子
住	tsʰu51	～宿
數	su51	～落，～星星[动]
數	su51	～字，～学
朱	tsu35	姓
珠	tsu33	珍～
主	tsu31	～人，地～
注	tsu51	～意
蛀	tsu51	～虫
鑄	tsu51	～铁，～钢
樞	su35	中～，～纽
輸	su35	～赢
戍	sut031	～边
輸	su33	运～
殊	su21	特～
豎	su51	横～
樹	su51	～立，种～
儒	ji21	～家思想
乳	nen51	哺～，母～[文]
乳	nen51	食～（吃奶），麦～精[训]
拘	ki35	～留
倶	kʰi51	～备，～乐部
矩	ki31	规～，～形
句	ki51	～号
區	kʰi35	地～，～别
驅	kʰi35	先～，～动
具	kʰi51	～体
懼	kʰi31	恐～
愚	ŋi21	～蠢，～公移山
虞	ŋi21	姓，～姬
娛	ŋu21	～乐
遇	ȵi51	遭～，相～，～到
寓	ȵi31	～言；公～
迂	ji35	～回，～腐
于	ji35	姓；等～
吁	ʃi33	气喘～～，长～短叹
雨	ji31	落～，谷～，～水
宇	ji35	～宙
禹	ji35	大～治水
羽	ji35	～毛球
芋	vu51	芋头
逾	ji51	超过，～期
愉	ji51	～快
愈	ji51	病～
喩	ji51	比～
裕	ji51	富～
獃	tai33	书～子，发～[文]
獃	ŋɔŋ51	发～[白]
戴	tai51	姓；～帽
胎	tʰɔi33	双胞～，～盘
台	tʰɔi21	天台
態	tʰai51	～度，心～
貸	tʰɔi51	～款
臺	tʰɔi21	～湾
苔	tʰɔi33	青～，舌～
抬	tʰɔi21	两个人抬
待	tʰai51	等～，～人接物
怠	tʰai51	～慢，～工
殆	tʰai51	百战不～
代	tʰɔi51	～替，～表
逮	tʰi51	～捕
袋	tʰɔi51	袋子
乃	nai35	安～近；人名用字
耐	nai51	～力，～心，忍～
來	lɔi21	过～，～去
災	tsai35	水～
栽	tsai35	种，～培
宰	tsai31	～相
載	tsɔi51	一年半～
再	tsai51	～来
載	tsɔi51	～重
猜	tsʰai35	～谜
彩	tsʰai31	～色
採	tsʰai31	～集
睬	tsʰai31	理睬
菜	tsʰɔi51	煮～，青～
才	tsʰɔi21	人～，～气，秀～
材	tsʰɔi21	材，药～，～料
財	tsʰɔi21	财，发～
裁	tsʰai21	裁，～纸，剪～
纔	tsʰai21	刚～
在	tsʰai51	实～，现～[文]
在	tsʰɔi33	存在，还～[白]
載	tsɔi51	满～而归
腮	sɔi33	～腺炎，～红
鰓	sɔi33	鱼鳃
賽	sɔi51	比～
該	kɔi33	应～
改	kɔi31	修～，～正
概	kʰɔi31	大～，～括
溉	kʰɔi31	灌～
開	kʰɔi33	公～，～门
